cityname,latitude,longitude,temperature_j1,precipitation_j1,weathercode_j1,temperature_j2,precipitation_j2,weathercode_j2,temperature_j3,precipitation_j3,weathercode_j3,temperature_j4,precipitation_j4,weathercode_j4,temperature_j5,precipitation_j5,weathercode_j5,temperature_j6,precipitation_j6,weathercode_j6,temperature_j7,precipitation_j7,weathercode_j7,mean_temp,sum_precipitation,top_weather_code
Mont Saint Michel,48.6359541,-1.511459954959514,10.0,0.0,2,11.1,0.0,3,13.9,0.0,3,12.8,0.0,3,12.7,0.0,3,11.0,0.1,3,12.4,0.0,3,11.985714285714286,0.1,3
St Malo,48.649518,-2.0260409,11.4,0.0,3,11.9,0.0,3,13.4,0.0,3,12.5,0.0,3,10.5,0.0,3,10.8,0.1,3,12.2,0.0,3,11.814285714285715,0.1,3
Bayeux,49.2764624,-0.7024738,10.0,0.0,2,11.0,0.0,3,13.5,0.0,3,12.9,0.0,3,12.3,0.1,61,10.9,0.2,80,12.2,0.1,3,11.828571428571431,0.4,80
Le Havre,49.4938975,0.1079732,9.8,0.0,2,10.2,0.0,3,12.8,0.0,3,12.3,0.0,3,11.8,0.3,61,10.8,0.1,3,12.1,0.3,80,11.399999999999997,0.7,80
Rouen,49.4404591,1.0939658,10.3,0.0,3,10.3,0.0,3,13.6,0.0,3,13.1,0.0,3,12.3,0.2,61,10.1,0.5,61,11.5,0.1,3,11.6,0.7999999999999999,61
Paris,48.8588897,2.3200410217200766,11.1,0.1,61,10.2,0.0,1,12.2,0.0,3,13.7,0.0,3,12.8,0.0,3,9.2,0.1,61,11.3,0.1,3,11.5,0.30000000000000004,61
Amiens,49.8941708,2.2956951,10.5,0.0,3,9.7,0.0,3,13.1,0.0,3,12.8,0.0,3,11.6,0.1,3,9.7,0.4,61,10.4,0.5,80,11.114285714285714,1.0,80
Lille,50.6365654,3.0635282,9.8,0.1,61,8.8,0.0,2,12.9,0.0,3,11.6,0.0,3,11.7,0.0,2,9.4,0.2,61,9.7,1.0,80,10.557142857142859,1.3,80
Strasbourg,48.584614,7.7507127,15.2,0.0,3,10.1,0.0,1,8.5,0.0,3,12.3,0.1,3,12.1,0.0,3,10.3,0.0,2,9.5,0.6,61,11.142857142857142,0.7,61
Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,11.5,0.0,3,7.1,0.0,2,7.3,0.0,3,9.0,0.0,2,9.5,0.0,3,9.2,0.0,2,8.2,1.4,61,8.828571428571431,1.4,61
Colmar,48.0777517,7.3579641,14.6,0.0,3,10.2,0.0,0,9.1,0.1,61,12.7,0.0,2,12.4,0.0,3,11.2,0.0,2,8.4,1.2,61,11.228571428571428,1.3,61
Eguisheim,48.0447968,7.3079618,13.8,0.0,3,10.1,0.0,1,10.2,0.0,3,13.0,0.0,2,12.6,0.0,3,12.1,0.0,2,8.4,1.2,61,11.457142857142857,1.2,61
Besancon,47.2380222,6.0243622,13.9,0.3,80,10.1,0.0,1,9.9,0.0,3,10.6,0.0,3,11.2,0.0,3,12.6,0.0,2,9.7,1.5,61,11.142857142857142,1.8,80
Dijon,47.3215806,5.0414701,11.6,0.3,61,9.8,0.0,1,7.3,0.0,3,10.4,0.0,3,11.4,0.0,2,8.1,0.0,3,8.6,1.6,61,9.6,1.9000000000000001,61
Annecy,45.8992348,6.1288847,12.0,0.0,3,9.1,0.0,3,6.8,0.0,3,10.4,0.0,3,8.1,0.0,0,9.8,0.0,0,7.2,1.9,61,9.057142857142859,1.9,61
Grenoble,45.1875602,5.7357819,18.3,0.0,3,11.5,0.0,3,11.2,0.0,1,13.9,0.0,0,10.2,0.0,0,15.5,0.0,0,12.5,0.9,61,13.299999999999999,0.9,61
Lyon,45.7578137,4.8320114,15.0,0.0,3,11.7,0.0,1,6.5,0.0,3,8.7,0.1,61,9.6,0.0,2,13.8,0.0,0,10.9,0.3,61,10.885714285714288,0.4,61
Gorges du Verdon,43.7496562,6.3285616,11.5,0.0,3,9.8,0.0,3,10.8,0.0,0,10.3,0.0,0,10.1,0.0,0,9.3,0.0,2,5.4,0.3,61,9.600000000000003,0.3,61
Bormes les Mimosas,43.1506968,6.3419285,15.3,0.0,3,15.2,0.0,3,14.0,0.0,0,13.5,0.0,1,13.2,0.0,3,13.7,0.0,2,9.8,0.0,3,13.528571428571428,0.0,3
Cassis,43.2140359,5.5396318,17.4,0.0,1,16.3,0.0,3,14.2,0.0,0,12.8,0.0,0,14.6,0.0,1,15.1,0.0,2,14.1,0.1,61,14.928571428571427,0.1,61
Marseille,43.2961743,5.3699525,18.2,0.0,3,16.2,0.0,3,14.2,0.0,0,12.8,0.0,0,14.6,0.0,1,15.3,0.0,2,13.1,0.3,61,14.914285714285711,0.3,61
Aix en Provence,43.5298424,5.4474738,15.6,0.0,3,12.4,0.0,3,11.9,0.0,0,12.0,0.0,0,13.7,0.0,2,13.2,0.0,1,11.8,0.3,61,12.942857142857141,0.3,61
Avignon,43.9492493,4.8059012,14.1,0.0,3,12.8,0.0,3,11.5,0.0,0,16.2,0.0,0,12.1,0.0,0,14.6,0.1,2,11.1,0.3,3,13.199999999999998,0.4,3
Uzes,44.0121279,4.4196718,13.3,0.0,3,12.6,0.0,3,11.4,0.0,3,15.8,0.0,0,12.7,0.0,0,13.5,0.0,2,10.1,0.2,3,12.77142857142857,0.2,3
Nimes,43.8374249,4.3600687,13.9,0.0,3,13.3,0.0,3,12.5,0.0,2,16.0,0.0,0,13.1,0.0,0,14.1,0.0,2,10.6,0.1,61,13.357142857142856,0.1,61
