name,link,review_score,review_count,area,address,coordinates_gps,description
Hilton Garden Inn Le Havre Centre,https://www.booking.com/hotel/fr/hilton-garden-inn-le-havre-centre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AszGx50GwAIB0gIkZjdjYzllZmQtYzMwNC00MjUyLTkyMTEtNTg1OGU0NGUwYjFm2AIG4AIB&sid=86b799075c1aed5f9f158052084b25d9&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=class&srpvid=eb588b2e139d0062&srepoch=1672602490&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,7",1 090 expériences vécues,"Perret, Le Havre","128 Boulevard Clemenceau, Perret, 76600 Le Havre, France","0.070038943824353,49.4721215734269,0.125454970175647,49.5080524065731","Le Hilton Garden Inn Le Havre Centre est situé sur le front de mer du Havre, à 350 mètres de la plage et à 300 mètres de l'église Saint-Joseph. Vous séjournerez à proximité du musée des Beaux-Arts André Malraux, de l'école de commerce de Normandie et du musée Maison de l'Armateur. Il propose une réception ouverte 24h/24, un service d'étage et une bagagerie.
Tous les logements comprennent un petit réfrigérateur.
L'hôtel sert un petit-déjeuner buffet et continental.
Les lieux d'intérêt à proximité du Hilton Garden Inn Le Havre Centre incluent le Volcan, l'appartement témoin Perret et l'église Saint-Joseph. L'aéroport de Deauville-Normandie, le plus proche, est à 15 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement Hilton Garden Inn Le Havre Centre accueille des clients Booking.com depuis le 21 oct. 2021.
Chaîne hôtelière/marque: Hilton Garden Inn"
Odalys City Le Havre Centre Gare,https://www.booking.com/hotel/fr/odalys-city-le-havre-centre-gare.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AszGx50GwAIB0gIkZjdjYzllZmQtYzMwNC00MjUyLTkyMTEtNTg1OGU0NGUwYjFm2AIG4AIB&sid=86b799075c1aed5f9f158052084b25d9&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=class&srpvid=eb588b2e139d0062&srepoch=1672602490&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,7",367 expériences vécues,"Perret, Le Havre","25 Cours Commandant Fratacci, Perret, 76600 Le Havre, France","0.0954527448822241,49.4739426662439,0.150870832887776,49.5098734993901","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Odalys City Le Havre Centre Gare ! Connectez-vous pour économiser.
Situé au Havre, à 2,4 km de la plage, l'Odalys City Le Havre Centre Gare propose des hébergements climatisés avec connexion Wi-Fi gratuite.
Tous les logements disposent d'une kitchenette entièrement équipée avec machine à café, d'un salon avec télévision à écran plat ainsi que d'une salle de bains privative avec sèche-cheveux et douche. Un réfrigérateur, un lave-vaisselle, un micro-ondes et une bouilloire sont également disponibles.
Cet appart'hôtel sert un petit-déjeuner buffet chaque matin.
Vous séjournerez à proximité du Volcan, de l'appartement témoin Perret et de l'église Saint-Michel. L'aéroport de Deauville-Normandie, le plus proche, est à 37 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,6 pour un séjour à deux.
L'établissement Odalys City Le Havre Centre Gare accueille des clients Booking.com depuis le 17 juin 2022.
Chaîne hôtelière/marque: Odalys City/Campus"
Hotel Spa Le Pasino,https://www.booking.com/hotel/fr/pasino.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AszGx50GwAIB0gIkZjdjYzllZmQtYzMwNC00MjUyLTkyMTEtNTg1OGU0NGUwYjFm2AIG4AIB&sid=86b799075c1aed5f9f158052084b25d9&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=class&srpvid=eb588b2e139d0062&srepoch=1672602490&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,4",941 expériences vécues,"Perret, Le Havre","Place Jules Ferry, Perret, 76600 Le Havre, France","0.0842280000766938,49.4732090749417,0.13964525756033,49.5091399080879","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hotel Spa Le Pasino ! Connectez-vous pour économiser.
Situé au cœur du Havre, l'Hotel Spa le Pasino dispose d'une piscine intérieure, d'un spa avec un sauna et d'un casino sur place.
Les chambres climatisées comprennent toutes une télévision à écran plat ainsi qu'un lit queen-size. Certaines offrent une vue sur le port. Leur salle de bains privative est pourvue d'un sèche-cheveux et de peignoirs.
Chaque matin, un petit-déjeuner buffet est servi. Vous pourrez le prendre dans le confort de votre chambre.
Une connexion Wi-Fi gratuite est accessible dans l'ensemble de l'Hotel Spa le Pasino. Lors de votre séjour, vous pourrez faire de l'exercice dans la salle de sport ou vous détendre dans le jacuzzi du spa.
Un parking privé est disponible gratuitement sur place. La gare du Havre se trouve à 6 minutes de route. Le musée Malraux est accessible à 1 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour à deux.
L'établissement Hotel Spa Le Pasino accueille des clients Booking.com depuis le 27 oct. 2006."
Hôtel Spa Vent d'Ouest,https://www.booking.com/hotel/fr/vent-d-ouest-le-havre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AszGx50GwAIB0gIkZjdjYzllZmQtYzMwNC00MjUyLTkyMTEtNTg1OGU0NGUwYjFm2AIG4AIB&sid=86b799075c1aed5f9f158052084b25d9&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=class&srpvid=eb588b2e139d0062&srepoch=1672602490&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,0",758 expériences vécues,"Perret, Le Havre","4 Rue De Caligny, Perret, 76600 Le Havre, France","0.072998793471469,49.4734538632018,0.128416328083859,49.509384696348","L’Hôtel Spa Vent d’Ouest se situe au Havre, à seulement 550 mètres de la plage et à 5 minutes de route du terminal ferry. Il propose une connexion Wi-Fi gratuite et un spa Nuxe doté d’une superficie de 200 m², d’un hammam, de 3 salles de massage et 2 de salons.
Chacune des chambres dispose d’une télévision à écran plat, d’un coffre-fort et d’une salle de bains privative avec des articles de toilette gratuits.
L’Hôtel Spa Vent d’Ouest sert un petit-déjeuner buffet tous les matins. Vous pourrez le prendre en chambre moyennant un supplément. Vous aurez aussi la possibilité de déguster une cuisine bistronomique au restaurant Les Enfants Sages, à 5 minutes à pied, ainsi que de vous détendre avec un verre au bar de l’hôtel ou au salon de thé.
La gare ferroviaire du Havre se trouve à 2 km de l’hôtel. Un parking privé est accessible à proximité.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,0 pour un séjour à deux.
L'établissement Hôtel Spa Vent d'Ouest accueille des clients Booking.com depuis le 6 juil. 2009."
Mercure Le Havre Centre Bassin Du Commerce,https://www.booking.com/hotel/fr/mercure-bassin-du-commerce.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AszGx50GwAIB0gIkZjdjYzllZmQtYzMwNC00MjUyLTkyMTEtNTg1OGU0NGUwYjFm2AIG4AIB&sid=86b799075c1aed5f9f158052084b25d9&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=class&srpvid=eb588b2e139d0062&srepoch=1672602490&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,5",1 189 expériences vécues,Le Havre,"Chaussée Georges Pompidou, 76600 Le Havre, France","0.0891047304301111,49.4723710361135,0.144521039185062,49.5083018692596","Le Mercure Le Havre Centre Bassin Du Commerce se trouve dans le centre-ville du Havre, en face du Bassin du Commerce et à proximité du port ferry. Il propose des chambres climatisées dotées d'une télévision par satellite à écran LCD et d'une connexion Wi-Fi.
Durant votre séjour, vous pourrez vous détendre avec un verre et une collation au bar et déguster une cuisine locale et moderne dans le restaurant de l'hôtel, Happy Dock.
Le Mercure Le Havre Bassin Centre du Commerce est situé dans la ville historique, à 800 mètres de la cathédrale Notre-Dame et du Muséum d'histoire naturelle du Havre. Honfleur et Deauville sont respectivement à 24 et 42 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,4 pour un séjour à deux.
L'établissement Mercure Le Havre Centre Bassin Du Commerce accueille des clients Booking.com depuis le 7 mars 2007.
Chaîne hôtelière/marque: Mercure"
Best Western Plus Le Havre Centre Gare,https://www.booking.com/hotel/fr/hotelterminuslehavre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AszGx50GwAIB0gIkZjdjYzllZmQtYzMwNC00MjUyLTkyMTEtNTg1OGU0NGUwYjFm2AIG4AIB&sid=86b799075c1aed5f9f158052084b25d9&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=class&srpvid=eb588b2e139d0062&srepoch=1672602490&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,4",599 expériences vécues,Le Havre,"23, Cours De La République, 76600 Le Havre, France","0.0966078489996483,49.4753781524748,0.152027562262864,49.511308985621","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Best Western Plus Le Havre Centre Gare ! Connectez-vous pour économiser.
Situé dans le centre du Havre, à seulement 10 minutes de route de la plage, le Best Western Plus Le Havre Centre Gare est un hôtel design 4 étoiles doté d'une connexion Wi-Fi gratuite.
Les chambres disposent d'une salle de bains privative et d'une télévision par satellite à écran plat. Leur salle de bains privative est pourvue d'une baignoire ou d'une douche et d'un sèche-cheveux.
Le Best Western at Le Havre Centre Gare sert un petit-déjeuner buffet tous les matins. L'établissement possède également un bar.
Honfleur se trouve à seulement 20 minutes de route du Best Western at Le Havre Centre Gare et les villes balnéaires de Trouville et Deauville sont à 45 minutes en voiture. La gare du Havre, située en face de l'établissement, offre un accès direct à Paris.
Une offre traiteur signée Boco est disponible à tout moment de la journée : des plats équilibrés et variés préparés par des chefs étoilés à savourer dans notre bar ou dans votre chambre.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,2 pour un séjour à deux.
L'établissement Best Western Plus Le Havre Centre Gare accueille des clients Booking.com depuis le 18 juin 2005.
Chaîne hôtelière/marque: Best Western Plus"
APPART. PERRET VUE PANORAMIQUE MER-PORT et CATENE,https://www.booking.com/hotel/fr/appart-perret-vue-panoramique-mer-port-et-catene.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AszGx50GwAIB0gIkZjdjYzllZmQtYzMwNC00MjUyLTkyMTEtNTg1OGU0NGUwYjFm2AIG4AIB&sid=86b799075c1aed5f9f158052084b25d9&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=class&srpvid=eb588b2e139d0062&srepoch=1672602490&from_beach_sr=1&from=searchresults#hotelTmpl,"9,6",14 expériences vécues,Le Havre,"105 Quai de Southampton, 76600 Le Havre, France","0.0835145365699736,49.4686765834269,0.138926663430026,49.5046074165731","Offrant une vue sur la mer, l'APPART. PERRET VUE PANORAMIQUE MER-PORT et CATENE est situé au Havre, à 1,7 km de la plage et à 500 mètres du Volcan. Cet appartement 4 étoiles se trouve à 800 mètres de l'appartement témoin Perret.
Cet appartement comprend 2 chambres, une cuisine équipée d'un réfrigérateur et d'un four, ainsi qu'une salle de bains pourvue d'une douche, d'un sèche-cheveux et d'un lave-linge. Vous bénéficierez gratuitement d'un parking privé et d'une connexion Wi-Fi.
Vous séjournerez à moins de 1 km de l'église Saint-Joseph et à 15 minutes à pied de l'église Saint-Michel. L'aéroport de Deauville-Normandie, le plus proche, est implanté à 37 km. PERRET VUE PANORAMIQUE MER-PORT ET CATENE.
L'établissement APPART. PERRET VUE PANORAMIQUE MER-PORT et CATENE accueille des clients Booking.com depuis le 8 juin 2022."
Novotel Le Havre Centre Gare,https://www.booking.com/hotel/fr/novotellehavre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AszGx50GwAIB0gIkZjdjYzllZmQtYzMwNC00MjUyLTkyMTEtNTg1OGU0NGUwYjFm2AIG4AIB&sid=86b799075c1aed5f9f158052084b25d9&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=class&srpvid=eb588b2e139d0062&srepoch=1672602490&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,7",756 expériences vécues,Le Havre,"20 Cours Lafayette, 76600 Le Havre, France","0.0975610155192968,49.4736428981379,0.152978764143789,49.5095737312841","Le Novotel Le Havre est situé sur le front de mer au niveau des Docks Vauban, à proximité du centre du Havre. Il propose un hébergement moderne et confortable. Il se trouve à 30 minutes en voiture de Honfleur et d'Étretat, ainsi qu'à 40 km de Deauville.
Cet hôtel moderne possède des chambres contemporaines dotées d'une salle de bains privative moderne, d'une télévision par satellite et d'une connexion Wi-Fi.
Dégustez une cuisine simple, savoureuse, saine et équilibrée au Novotel Café. Ce restaurant climatisé possède une terrasse. Un service d'étage est en outre assuré 7j/7.
Vous aurez accès à 2 parkings publics et à une salle de sport. L'établissement constitue ainsi un pied-à-terre idéal pour un voyage d'affaires ou un séjour en couple ou en famille au Havre.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,1 pour un séjour à deux.
L'établissement Novotel Le Havre Centre Gare accueille des clients Booking.com depuis le 20 sept. 2005.
Chaîne hôtelière/marque: Novotel"
Le Boudoir de Fanny - Sauna/Balnéo/ciné/Hamacs,https://www.booking.com/hotel/fr/le-boudoir-de-fanny-sauna-balneo-cine-hamacs.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AszGx50GwAIB0gIkZjdjYzllZmQtYzMwNC00MjUyLTkyMTEtNTg1OGU0NGUwYjFm2AIG4AIB&sid=86b799075c1aed5f9f158052084b25d9&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=class&srpvid=eb588b2e139d0062&srepoch=1672602490&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,7",9 expériences vécues,Le Havre,"319 Rue de Verdun, 76600 Le Havre, France","0.143809877950202,49.4846765834269,0.199240122049798,49.5206074165731","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Boudoir de Fanny - Sauna/Balnéo/ciné/Hamacs ! Connectez-vous pour économiser.
Offrant une vue sur la ville, Le Boudoir de Fanny - Sauna/Balnéo/ciné/Hamacs propose un hébergement avec une terrasse et un balcon, à environ 5,3 km du Volcan. Cet appartement se trouve à 5,3 km de l'appartement témoin Perret et à 5,5 km de l'église Saint-Michel.
Cet appartement comprend une chambre, une cuisine équipée d'un réfrigérateur et d'un four, une télévision à écran plat, un coin salon et une salle de bains pourvue d'une douche. Les serviettes et le linge de lit sont fournis.
Le spa et centre de bien-être de l'appartement dispose d'un sauna et d'un bain à remous.
Vous séjournerez à 6 km de l'église Saint-Joseph et à 20 km du musée d'ethnographie et d'art populaire normand. L'aéroport de Deauville-Normandie, le plus proche, est à 33 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,4 pour un séjour à deux.
L'établissement Le Boudoir de Fanny - Sauna/Balnéo/ciné/Hamacs accueille des clients Booking.com depuis le 28 août 2022."
Le Nid Douillet - Hypercentre - Confort,https://www.booking.com/hotel/fr/le-nid-douillet-hypercentre-confort.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AszGx50GwAIB0gIkZjdjYzllZmQtYzMwNC00MjUyLTkyMTEtNTg1OGU0NGUwYjFm2AIG4AIB&sid=86b799075c1aed5f9f158052084b25d9&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=class&srpvid=eb588b2e139d0062&srepoch=1672602490&from_beach_sr=1&from=searchresults#hotelTmpl,"6,0",2 expériences vécues,Le Havre,"50 Rue Maréchal Gallieni, 76600 Le Havre, France","0.0849492543303731,49.4778315834269,0.140371745669627,49.5137624165731","Le Nid Douillet - Hypercentre - Confort propose un hébergement avec connexion Wi-Fi gratuite au Havre, à 1,6 km de la plage du Havre, à 400 mètres de l'église Saint-Michel et à 700 mètres de l'appartement témoin Perret. Cet appartement se trouve à 25 km du musée d'ethnographie et d'art populaire normand et du vieux port de Honfleur.
Cet appartement comprend 2 chambres, une télévision à écran plat ainsi qu'une cuisine équipée d'un lave-vaisselle et d'un micro-ondes. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à moins de 1 km du Volcan et à 17 minutes à pied de l'église Saint-Joseph. L'aéroport de Deauville-Normandie, le plus proche, est implanté à 34 km."
