name,link,review_score,review_count,area,address,coordinates_gps,description
Hôtel Spa Marotte,https://www.booking.com/hotel/fr/ha-tel-marotte.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqbyx50GwAIB0gIkNjU5ZDc4MmQtN2E3ZC00MTAxLTk0YTktM2YzYjk1NzhkOTU12AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=class&srpvid=a1aa9619aba902a2&srepoch=1672608066&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,7",228 expériences vécues,Amiens,"3 rue Marotte, 80000 Amiens, France","2.27321340413667,49.8730852513239,2.32908846167945,49.90901608447","Bénéficiez d'un traitement VIP grâce au service exclusif de l'établissement Hôtel Spa Marotte
L’Hôtel Spa Marotte vous accueille dans le centre d’Amiens, à 500 mètres de la gare, dans un bâtiment traditionnel datant du XIXe siècle. Il propose des hébergements élégants, un salon de thé ainsi qu’un bar à vin et à champagne.
Toutes les chambres comprennent une télévision à écran plat et un minibar. Certaines sont dotées d’un balcon et d’autres d’un sauna.
Un petit-déjeuner continental composé de produits locaux est servi tous les matins. Vous pourrez également prendre un thé sur place.
Un coffre-fort et une bagagerie sont disponibles sur place. Vous bénéficierez gratuitement d’une connexion Wi-Fi dans l’ensemble des locaux.
L’Hôtel Spa Marotte dispose de son propre service de navette (aéroports, gares, etc.), assuré sur demande et moyennant des frais supplémentaires.
Vous pourrez profiter d'un accès d'1h30 au spa (massage, soin du corps ou du visage, seul ou en duo en complément)
L'établissement propose également un restaurant à la cuisine généreuse et gourmande, avec une immense terrasse à l'abri du vent et du bruit.
Vous séjournerez à 200 mètres de la cathédrale et à 300 mètres de la maison de Jules Verne. Enfin, l’hôtel se trouve à 800 mètres du musée de Picardie et à 5 minutes à pied de la gare d’Amiens. Un service de voiturier est disponible sur demande.
C'est le quartier préféré des voyageurs visitant Amiens, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,9 pour un séjour à deux.
L'établissement Hôtel Spa Marotte accueille des clients Booking.com depuis le 20 nov. 2012."
L’ÉMERAUDE AMIENS,https://www.booking.com/hotel/fr/emeraude-amiens.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqbyx50GwAIB0gIkNjU5ZDc4MmQtN2E3ZC00MTAxLTk0YTktM2YzYjk1NzhkOTU12AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=class&srpvid=a1aa9619aba902a2&srepoch=1672608066&from=searchresults#hotelTmpl,"9,7",46 expériences vécues,Amiens,"12 Rue de la Croix Rompue, 80090 Amiens, France","2.28014311720675,49.8520409066829,2.33599382557925,49.8879717398291","Vous pouvez bénéficier d'une réduction Genius dans l'établissement L’ÉMERAUDE AMIENS ! Connectez-vous pour économiser.
Situé à 2,6 km de la gare d'Amiens et à 5 km du Zénith d'Amiens, L'ÉMERAUDE AMIENS propose une connexion Wi-Fi gratuite et un court de tennis. Vous pourrez pratiquer diverses activités dans les environs, telles que la randonnée, la pêche et le ping-pong.
Cette maison de vacances comprend une chambre, une télévision par satellite à écran plat, un lave-linge et une salle de bains pourvue d'une douche. Sa cuisine équipée comporte un four et un réfrigérateur. Les serviettes et le linge de lit sont fournis.
Cette maison de vacances sert un petit-déjeuner continental.
Lors de votre séjour à L'ÉMERAUDE AMIENS, vous pourrez profiter d'installations de spa et de bien-être comprenant une salle de sport, un sauna et un bain à remous, ainsi que de massages. Vous pourrez jouer au squash sur place ou faire du vélo dans les environs.
Vous séjournerez à 3,4 km du parc des jardins flottants et du musée Berny. L'aéroport de Beauvais-Tillé, le plus proche, est implanté à 63 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,1 pour un séjour à deux.
L'établissement L’ÉMERAUDE AMIENS accueille des clients Booking.com depuis le 14 juin 2021."
LES PERLES AMIENOISES✩BLACK PEARL☆HYPER CENTRE☆,https://www.booking.com/hotel/fr/les-perles-amienoisesblack-pearlhyper-centre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqbyx50GwAIB0gIkNjU5ZDc4MmQtN2E3ZC00MTAxLTk0YTktM2YzYjk1NzhkOTU12AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=class&srpvid=a1aa9619aba902a2&srepoch=1672608066&from=searchresults#hotelTmpl,"9,3",17 expériences vécues,Amiens,"23 Rue Lamartine, 80000 Amiens, France","2.27734599604887,49.8745970834269,2.33322280395113,49.9105279165731","Vous pouvez bénéficier d'une réduction Genius dans l'établissement LES PERLES AMIENOISES✩BLACK PEARL☆HYPER CENTRE☆ ! Connectez-vous pour économiser.
L'établissement LES PERLES AMIENOISES est situé à 3,8 km du Zénith d'Amiens, à 800 mètres du parc des jardins flottants et à 400 mètres du musée Berny.Le ✩BLACK PEARL☆HYPER CENTRE☆ propose un hébergement à Amiens. Il est situé à 400 mètres de la gare d'Amiens et dispose d'une réception ouverte 24h/24.
Doté d'une connexion Wi-Fi gratuite, cet appartement 1 chambre dispose d'une télévision à écran plat et d'une cuisine avec un réfrigérateur et un micro-ondes. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 500 mètres du tribunal de grande instance d'Amiens et à 5,1 km de l'université de Picardie Jules Verne. L'aéroport de Beauvais-Tillé, le plus proche, est implanté à 66 km.
C'est le quartier préféré des voyageurs visitant Amiens, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement LES PERLES AMIENOISES✩BLACK PEARL☆HYPER CENTRE☆ accueille des clients Booking.com depuis le 4 déc. 2021."
Maison Longuevie,https://www.booking.com/hotel/fr/longuevie.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqbyx50GwAIB0gIkNjU5ZDc4MmQtN2E3ZC00MTAxLTk0YTktM2YzYjk1NzhkOTU12AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=class&srpvid=a1aa9619aba902a2&srepoch=1672608066&from=searchresults#hotelTmpl,"9,5",218 expériences vécues,Amiens,"1 place longueville, 80000 Amiens, France","2.26658841409402,49.8697285834269,2.32245958590598,49.9056594165731","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Maison Longuevie ! Connectez-vous pour économiser.
Doté d’un jardin et d’une terrasse, le Maison Longuevie propose des hébergements avec une télévision à écran plat et une connexion Wi-Fi gratuite à Amiens, à 400 mètres du musée de Picardie.
Un petit-déjeuner continental est servi sur place.
Cette chambre d’hôtes se trouve à 1,9 km des hortillonnages et du Zénith d'Amiens. L’aéroport le plus proche, celui de Beauvais-Tillé, est situé à 62 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement Maison Longuevie accueille des clients Booking.com depuis le 25 sept. 2017."
La Parenthèse Envoutée,https://www.booking.com/hotel/fr/aux-caves.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqbyx50GwAIB0gIkNjU5ZDc4MmQtN2E3ZC00MTAxLTk0YTktM2YzYjk1NzhkOTU12AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=class&srpvid=a1aa9619aba902a2&srepoch=1672608066&from=searchresults#hotelTmpl,"8,9",124 expériences vécues,Amiens,"54 rue Jules Barni, 80000 Amiens, France","2.28423488360024,49.8703736825545,2.34010680213212,49.9063045157007","Vous pouvez bénéficier d'une réduction Genius dans l'établissement La Parenthèse Envoutée ! Connectez-vous pour économiser.
Situé à Amiens, en Picardie, à proximité de la gare et du parc des jardins flottants, l'établissement La Parenthèse Envoutée propose des hébergements avec connexion Wi-Fi gratuite et accès à un jacuzzi. Vous profiterez d'un jacuzzi et d'une baignoire spa.
Tous les logements disposent d'une kitchenette entièrement équipée avec machine à café, d'un salon avec télévision à écran plat et d'une salle de bains privative avec articles de toilette gratuits et douche. Pour plus de commodité, l'établissement peut fournir des serviettes et du linge de lit moyennant des frais supplémentaires.
Vous séjournerez à 3,9 km du Zénith d'Amiens et à 1,1 km du musée Berny. L'aéroport de Beauvais-Tillé, le plus proche, est implanté à 65 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement La Parenthèse Envoutée accueille des clients Booking.com depuis le 10 juin 2016."
LE CANGE,https://www.booking.com/hotel/fr/le-cange.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqbyx50GwAIB0gIkNjU5ZDc4MmQtN2E3ZC00MTAxLTk0YTktM2YzYjk1NzhkOTU12AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=class&srpvid=a1aa9619aba902a2&srepoch=1672608066&from=searchresults#hotelTmpl,"9,4",36 expériences vécues,Amiens,"26 Boulevard du Cange, 80000 Amiens, France","2.2784373835015,49.8784185834269,2.3343186164985,49.9143494165731","Doté d'un jardin et d'une terrasse, l'établissement LE CANGE propose des hébergements à Amiens avec une connexion Wi-Fi gratuite et une vue sur le jardin. Doté d'un parking privé, l'appartement se trouve à moins de 1 km de la gare d'Amiens.
L'appartement comprend 2 chambres, 2 salles de bains, du linge de lit, des serviettes, une télévision par satellite à écran plat, un coin repas, une cuisine entièrement équipée et un balcon avec vue sur la rivière.
Vous séjournerez à proximité du parc des jardins flottants, du musée Berny et du tribunal de grande instance d'Amiens. L'aéroport de Beauvais-Tillé, le plus proche, est implanté à 65 km.
L'établissement LE CANGE accueille des clients Booking.com depuis le 16 juil. 2019."
Mercure Amiens Cathédrale,https://www.booking.com/hotel/fr/mercure-amiens-cathdrale.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqbyx50GwAIB0gIkNjU5ZDc4MmQtN2E3ZC00MTAxLTk0YTktM2YzYjk1NzhkOTU12AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=class&srpvid=a1aa9619aba902a2&srepoch=1672608066&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,2",1 662 expériences vécues,Amiens,"21/23 Rue Flatters, 80000 Amiens, France","2.27162216789419,49.8777454278806,2.32750262134379,49.9136762610268","L’hôtel 4 étoiles Mercure Amiens Cathédrale vous accueille en face de la plus grande cathédrale médiévale de France, classée au patrimoine mondial de l'Unesco.
D’une superficie comprise entre 25 et 41m2, toutes les chambres et suites ont été récemment rénovées. Spacieuses et insonorisées, elles bénéficient de la climatisation en été. Les hébergements sont équipés d'une connexion Wi-Fi gratuite et d'une télévision par satellite à écran plat recevant des chaînes françaises et internationales. Vous bénéficierez également d’un plateau/bouilloire et d’un minibar comportant une bouteille d'eau gratuite.
Sur place, le restaurant l'Échanson sert une large gamme de plats raffinés ainsi que des spécialités à base de produits locaux et régionaux.
C'est le quartier préféré des voyageurs visitant Amiens, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Mercure Amiens Cathédrale accueille des clients Booking.com depuis le 11 mai 2009.
Chaîne hôtelière/marque: Mercure"
Le 360° TOUR PERRET Panoramique LUXE 19E étage,https://www.booking.com/hotel/fr/appartement-alfonse-fiquet.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqbyx50GwAIB0gIkNjU5ZDc4MmQtN2E3ZC00MTAxLTk0YTktM2YzYjk1NzhkOTU12AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=class&srpvid=a1aa9619aba902a2&srepoch=1672608066&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,9",23 expériences vécues,Amiens,"13 Place Alphonse Fiquet, 80000 Amiens, France","2.27848639754826,49.8730397834269,2.3343614024518,49.9089706165731","Le 360° TOUR PERRET 19E vous propose un appartement doté d'une connexion Wi-Fi gratuite et de 14 fenêtres, chacune avec un balcon offrant une vue panoramique sur Amiens. Il vous accueille à Amiens, en face de la gare ferroviaire, à 700 mètres de la cathédrale d'Amiens, ainsi qu'à 1 km de la maison de Jules Verne et du parc Saint-Pierre.
L'appartement est situé au 19ème étage avec ascenseur. La cuisine entièrement équipée dispose d'un lave-vaisselle et d'une plaque de cuisson. L'appartement comprend également une télévision à écran plat, ainsi qu'une salle de bains privative pourvue d'une baignoire et d'une douche. Vous bénéficierez en outre d'un jacuzzi, de linge de lit et de serviettes de toilette.
Lors de votre séjour, vous profiterez de services de location de vélos et de voitures sur place, et vous pourrez découvrir cette région prisée des cyclistes. Enfin, l'aéroport de Paris-Beauvais est installé à 50 km de l'établissement Le 360° TOUR PERRET 19E.
C'est le quartier préféré des voyageurs visitant Amiens, selon les commentaires clients indépendants.
L'établissement Le 360° TOUR PERRET Panoramique LUXE 19E étage accueille des clients Booking.com depuis le 26 févr. 2016."
"UMAN, Un Monde à Nous, HYPER CENTRE",https://www.booking.com/hotel/fr/uman-un-monde-a-nous.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqbyx50GwAIB0gIkNjU5ZDc4MmQtN2E3ZC00MTAxLTk0YTktM2YzYjk1NzhkOTU12AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=class&srpvid=a1aa9619aba902a2&srepoch=1672608066&from=searchresults#hotelTmpl,"9,1",177 expériences vécues,Amiens,"3 place Gambetta, 80000 Amiens, France","2.26936376432506,49.8755088049727,2.32524162786638,49.9114396381189","Vous pouvez bénéficier d'une réduction Genius dans l'établissement UMAN, Un Monde à Nous, HYPER CENTRE ! Connectez-vous pour économiser.
Doté d'un restaurant et offrant une vue sur la ville, l'UMAN, Un Monde à Nous, HYPER CENTRE est situé à Amiens, à moins de 1 km de la gare et à 2,7 km du Zénith d'Amiens. Cet appartement 4 étoiles se trouve à 400 mètres du musée Berny.
Doté d'une connexion Wi-Fi gratuite, cet appartement 1 chambre dispose d'une télévision par satellite à écran plat et d'une cuisine avec un réfrigérateur et un four. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 1,4 km du parc des jardins flottants et à 400 mètres du tribunal de grande instance d'Amiens. L'aéroport de Beauvais-Tillé, le plus proche, est implanté à 64 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,8 pour un séjour à deux.
L'établissement UMAN, Un Monde à Nous, HYPER CENTRE accueille des clients Booking.com depuis le 20 nov. 2019."
Le Majestic Cathédrale,https://www.booking.com/hotel/fr/le-duplex-amiens-pleine-vue-cathedrale.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqbyx50GwAIB0gIkNjU5ZDc4MmQtN2E3ZC00MTAxLTk0YTktM2YzYjk1NzhkOTU12AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=class&srpvid=a1aa9619aba902a2&srepoch=1672608066&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,4",23 expériences vécues,Amiens,"2 Rue du Marché des Lanselles, 80000 Amiens, France","2.269831963042,49.8774176834269,2.325712036958,49.9133485165731","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Majestic Cathédrale ! Connectez-vous pour économiser.
Situé à Amiens, à 1,2 km de la gare, l'établissement Le Majestic Cathédrale propose un salon commun, une connexion Wi-Fi gratuite, une cuisine commune et un service d'étage. Cet appartement dispose d'un parking privé gratuit et d'un service de concierge.
Cet appartement comprend 2 chambres, une cuisine avec lave-vaisselle, une télévision à écran plat, un coin salon et une salle de bains avec douche. Les serviettes et le linge de lit sont fournis.
Des services de location de vélos et de voitures sont assurés sur place. La région est prisée pour pratiquer la randonnée.
Vous séjournerez à proximité du parc des jardins flottants, du musée Berny et du tribunal de grande instance d'Amiens. L'aéroport de Beauvais-Tillé, le plus proche, est implanté à 62 km.
C'est le quartier préféré des voyageurs visitant Amiens, selon les commentaires clients indépendants.
L'établissement Le Majestic Cathédrale accueille des clients Booking.com depuis le 21 mai 2021.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
