name,link,review_score,review_count,area,address,coordinates_gps,description
Maisons du Monde Hôtel & Suites - Marseille Vieux Port,https://www.booking.com/hotel/fr/maisondumondehotelandsuitesmarseille.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aq-Gy50GwAIB0gIkZGU1NzIyMTQtNzVjZC00OTA2LWFmZWQtMGQxN2E4NGUyNWJm2AIG4AIB&sid=6b5053ffe17d2cc0e8222ef87093e7b2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7a4e525d2bcb0152&srepoch=1672659772&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,4",1 650 expériences vécues,"Vieux Port - La Canebière, Marseille","43 Quai des Belges, 13001 Marseille, France","5.34991130163168,43.276158307804,5.39936855505014,43.3120891409502","Marseille - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Surplombant le Vieux-Port, l’établissement Maisons du Monde Hôtel & Suites - Marseille Vieux Port vous accueille au cœur de Marseille. Il propose des chambres modernes et climatisées. Une connexion Wi-Fi est disponible gratuitement.
Les chambres insonorisées de l’établissement Maisons du Monde Hôtel & Suites - Marseille Vieux Port comprennent une télévision par satellite à écran plat. Certaines offrent une vue sur la mer et le port.
L’hôtel se trouve à quelques pas de la station de métro Vieux-Port - Hôtel de Ville. Des arrêts de transports en commun desservant tous les principaux sites d’intérêt de la ville se trouvent le long de La Canebière, à 400 mètres.
C'est le quartier préféré des voyageurs visitant Marseille, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.
L'établissement Maisons du Monde Hôtel & Suites - Marseille Vieux Port accueille des clients Booking.com depuis le 1 oct. 2006."
Hôtel Maison Montgrand - Vieux Port,https://www.booking.com/hotel/fr/montgrand.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aq-Gy50GwAIB0gIkZGU1NzIyMTQtNzVjZC00OTA2LWFmZWQtMGQxN2E4NGUyNWJm2AIG4AIB&sid=6b5053ffe17d2cc0e8222ef87093e7b2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=7a4e525d2bcb0152&srepoch=1672659772&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,0",1 565 expériences vécues,"Vieux Port - La Canebière, Marseille","35 Rue Montgrand, 13006 Marseille, France","5.3517018585596,43.2729972834269,5.40115654144032,43.3089281165731","Marseille - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Maison Montgrand - Vieux Port ! Connectez-vous pour économiser.
Doté d'une terrasse spacieuse, d'un terrain de pétanque et d'un magasin de concept, l'Hôtel Maison Montgrand - Vieux Port vous propose 49 chambres et 13 appartements dans le centre de Marseille, à seulement 5 minutes à pied du Vieux-Port et à 4 km du stade Vélodrome.
Réparties dans 5 bâtiments différents, les chambres disposent de la climatisation, d’une connexion Wi-Fi gratuite, d’une télévision par satellite à écran plat et d’une salle de bains privative. Tous les appartements sont équipés d'une kitchenette et rendent hommage au peintre Michel Jouenne, dont la fondation au rez-de-chaussée expose ses œuvres.
Sur place, vous pourrez déguster un petit-déjeuner buffet chaque matin. Les repas sont servis à l’heure du déjeuner, du lundi au samedi. Le bar ouvert 24h/24 vous servira aussi des boissons chaudes et froides.
Le personnel de l’établissement se tiendra à votre disposition 24h/24. Il pourra vous aider à réserver une table de restaurant, louer une voiture et organiser de nombreuses activités. Un salon et une salle de réunion sont également disponibles.
Vous séjournerez à seulement 150 mètres de la station de métro Estrangin - Préfecture. Si vous venez en voiture, vous pourrez utiliser l’espace d’arrêt minute en face de l’hôtel. Enfin, vous rejoindrez en 5 minutes à pied l’opéra de Marseille et la place aux Huiles avec ses nombreux restaurants.
C'est le quartier préféré des voyageurs visitant Marseille, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement Hôtel Maison Montgrand - Vieux Port accueille des clients Booking.com depuis le 23 mars 2010."
LE PANIER ENCHANTÉ - Suites & Loft - Terrasse et patio au dessus du Vieux Port,https://www.booking.com/hotel/fr/le-panier-enchante-suites-amp-spa.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aq-Gy50GwAIB0gIkZGU1NzIyMTQtNzVjZC00OTA2LWFmZWQtMGQxN2E4NGUyNWJm2AIG4AIB&sid=6b5053ffe17d2cc0e8222ef87093e7b2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=7a4e525d2bcb0152&srepoch=1672659772&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,9",403 expériences vécues,"Vieux Port - La Canebière, Marseille","7 Rue de la Charité, 13002 Marseille, France","5.34285394399341,43.2821315834269,5.39231605600659,43.3180624165731","Marseille - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement LE PANIER ENCHANTÉ - Suites & Loft - Terrasse et patio au dessus du Vieux Port ! Connectez-vous pour économiser.
Situé dans le centre de Marseille, à 2,8 km de la plage des Catalans et à 700 mètres de la station de métro Joliette, l'établissement LE PANIER ENCHANTÉ - Suites & Loft - Terrasse et patio au dessus du Vieux Port propose un hébergement avec connexion Wi-Fi gratuite, climatisation et accès à un jardin avec terrasse.
Les logements comprennent une terrasse, une télévision à écran plat et une salle de bains privative pourvue d'articles de toilette gratuits. Plusieurs possèdent une cuisine équipée d'un réfrigérateur, d'un four et d'un micro-ondes.
Vous séjournerez à proximité de la station de métro Vieux Port, du centre commercial Les Terrasses du Port et du musée des civilisations de l'Europe et de la Méditerranée. L'aéroport de Marseille-Provence, le plus proche, est implanté à 21 km.
C'est le quartier préféré des voyageurs visitant Marseille, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement LE PANIER ENCHANTÉ - Suites & Loft - Terrasse et patio au dessus du Vieux Port accueille des clients Booking.com depuis le 28 août 2018.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Cocon au Soleil 1827,https://www.booking.com/hotel/fr/superbe-cocon-au-soleil-de-marseille.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aq-Gy50GwAIB0gIkZGU1NzIyMTQtNzVjZC00OTA2LWFmZWQtMGQxN2E4NGUyNWJm2AIG4AIB&sid=6b5053ffe17d2cc0e8222ef87093e7b2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=7a4e525d2bcb0152&srepoch=1672659772&from=searchresults#hotelTmpl,"8,7",79 expériences vécues,Marseille,"1ER ETAGE 38 Rue du Progrès, 13005 Marseille, France","5.36672331198256,43.2785841202499,5.41618253834944,43.3145149533961","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Cocon au Soleil 1827 ! Connectez-vous pour économiser.
Situé à Marseille, à 1,3 km de la station de métro La Timone et à 1,8 km de la station de métro Castellane, le Cocon au Soleil 1827 Il dispose d'une connexion Wi-Fi gratuite et de la climatisation. Offrant une vue sur la ville, il se trouve à 1,4 km de la rue Saint-Ferréol et à 1,7 km de la station de métro Vieux Port.
Cet appartement comprend une chambre, une télévision par câble à écran plat, un lave-linge et une salle de bains pourvue d'une douche. Sa cuisine est équipée d'un four et d'un réfrigérateur. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 1,5 km de la gare de Marseille-Saint-Charles et à 3,2 km du musée des civilisations de l'Europe et de la Méditerranée. L'aéroport de Marseille-Provence, le plus proche, est implanté à 24 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement Cocon au Soleil 1827 accueille des clients Booking.com depuis le 20 mai 2020."
Marseillement votre,https://www.booking.com/hotel/fr/votre-adresse-de-charme-hypercentre-marseille.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aq-Gy50GwAIB0gIkZGU1NzIyMTQtNzVjZC00OTA2LWFmZWQtMGQxN2E4NGUyNWJm2AIG4AIB&sid=6b5053ffe17d2cc0e8222ef87093e7b2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=7a4e525d2bcb0152&srepoch=1672659772&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,3",185 expériences vécues,"Saint-Charles, Marseille","4 Rue DELILLE, 13001 Marseille, France","5.35787135167227,43.2822356284689,5.40733354832773,43.3181664616151","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Marseillement votre ! Connectez-vous pour économiser.
Situé à Marseille, à 2,9 km de la plage des Catalans et à 1,1 km de la station de métro Vieux-Port, le Marseillement votre offre une vue sur la ville et propose une connexion Wi-Fi gratuite.
Tous les logements disposent d'une cuisine entièrement équipée avec une machine à café, d'un salon avec une télévision à écran plat ainsi que d'une salle de bains privative avec des articles de toilette gratuits et une douche. Tous les logements comprennent des coins salon et repas.
Vous séjournerez à proximité de la gare de Marseille-Saint-Charles, de la rue Saint-Ferréol et de la station de métro Joliette. L'aéroport de Marseille-Provence, le plus proche, est implanté à 22 km.
C'est le quartier préféré des voyageurs visitant Marseille, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,5 pour un séjour à deux.
L'établissement Marseillement votre accueille des clients Booking.com depuis le 4 févr. 2019."
Vieux Port République Cannebiére,https://www.booking.com/hotel/fr/vieux-port-47-les-augustins.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aq-Gy50GwAIB0gIkZGU1NzIyMTQtNzVjZC00OTA2LWFmZWQtMGQxN2E4NGUyNWJm2AIG4AIB&sid=6b5053ffe17d2cc0e8222ef87093e7b2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=7a4e525d2bcb0152&srepoch=1672659772&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,7",117 expériences vécues,"Vieux Port - La Canebière, Marseille","11 Rue des Augustins, 13001 Marseille, France","5.3498232234492,43.2779842976839,5.3992819619488,43.3139151308301","Marseille - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Vieux Port République Cannebiére ! Connectez-vous pour économiser.
Situé à Marseille, à 1,9 km de la plage des Catalans et à 100 mètres de la station de métro Vieux Port, le Vieux Port République Cannebiére propose un hébergement climatisé avec vue sur la ville et connexion Wi-Fi gratuite.
Tous les logements comprennent une cuisine entièrement équipée avec une table à manger, une télévision par satellite à écran plat ainsi qu'une salle de bains privative pourvue d'une douche, d'articles de toilette gratuits et d'un sèche-cheveux. Un réfrigérateur, un four, un micro-ondes, une machine à café et une bouilloire sont également fournis.
Vous pourrez pratiquer la randonnée, la planche à voile et la plongée sous-marine dans les environs.
Vous séjournerez à proximité de la rue Saint-Ferréol, du musée des civilisations de l'Europe et de la Méditerranée et de la station de métro Joliette. L'aéroport de Marseille-Provence, le plus proche, est implanté à 22 km.
C'est le quartier préféré des voyageurs visitant Marseille, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement Vieux Port République Cannebiére accueille des clients Booking.com depuis le 5 oct. 2020."
Le Plaisir 1827,https://www.booking.com/hotel/fr/le-plaisir-1827.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aq-Gy50GwAIB0gIkZGU1NzIyMTQtNzVjZC00OTA2LWFmZWQtMGQxN2E4NGUyNWJm2AIG4AIB&sid=6b5053ffe17d2cc0e8222ef87093e7b2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=7a4e525d2bcb0152&srepoch=1672659772&from=searchresults#hotelTmpl,"9,1",83 expériences vécues,Marseille,"3 Eme etages gauche 38 Rue du Progrès, 13005 Marseille, France","5.36664419118303,43.2785733834269,5.41610340881697,43.3145042165731","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Plaisir 1827 ! Connectez-vous pour économiser.
Le Plaisir 1827 est situé à Marseille, à 1,3 km de la station de métro La Timone, à 1,8 km de la station de métro Castellane et à 1,4 km de la rue Saint-Ferréol. Il offre une vue sur la ville et propose une connexion Wi-Fi gratuite dans l'ensemble de ses locaux.
Cet appartement comprend une chambre, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi qu'une salle de bains pourvue d'une douche et d'un sèche-cheveux. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 1,7 km de la station de métro Vieux-Port et à 1,5 km de la gare de Marseille-Saint-Charles. L'aéroport de Marseille-Provence, le plus proche, est implanté à 24 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,1 pour un séjour à deux.
L'établissement Le Plaisir 1827 accueille des clients Booking.com depuis le 28 déc. 2020."
"Superbe appart 3 p, 10 mn de la plage avec piscine et parking",https://www.booking.com/hotel/fr/superbe-appart-3-p-10-mn-de-la-plage-avec-piscine.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aq-Gy50GwAIB0gIkZGU1NzIyMTQtNzVjZC00OTA2LWFmZWQtMGQxN2E4NGUyNWJm2AIG4AIB&sid=6b5053ffe17d2cc0e8222ef87093e7b2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=7a4e525d2bcb0152&srepoch=1672659772&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,0",28 expériences vécues,"Borely-Bonneveine, Marseille","72 Boulevard du Sablier, 13008 Marseille, France","5.35677077992027,43.2325648834269,5.40619262007973,43.2684957165731","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Superbe appart 3 p, 10 mn de la plage avec piscine et parking ! Connectez-vous pour économiser.
Dans le quartier Borely-Bonneveine de Marseille, à proximité de la Plage de la Vieille Chapelle, Superbe appart 3 p, Le 10 mn de la plage avec piscine et parking dispose d'un bar, d'une connexion Wi-Fi gratuite et d'un lave-linge. Situé à moins de 1 km de Bonneveine, il propose une piscine extérieure ouverte en saison et un parking privé gratuit.
Cet appartement comprend 2 chambres, une salle de bains, du linge de lit, des serviettes, une télévision par satellite à écran plat, un coin repas, une cuisine entièrement équipée et un balcon avec vue sur le jardin.
Une terrasse bien exposée est présente. Un service de location de vélos est assuré sur place.
Vous séjournerez à 1,3 km de Borely et à 2,9 km du stade Orange Vélodrome. L'aéroport le plus proche, celui de Marseille Provence, est situé à 32 km.
L'établissement Superbe appart 3 p, 10 mn de la plage avec piscine et parking accueille des clients Booking.com depuis le 2 juin 2022.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Fully equipped apartment wifi European Hospital,https://www.booking.com/hotel/fr/fully-equipped-apartment-wifi-european-hospital.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aq-Gy50GwAIB0gIkZGU1NzIyMTQtNzVjZC00OTA2LWFmZWQtMGQxN2E4NGUyNWJm2AIG4AIB&sid=6b5053ffe17d2cc0e8222ef87093e7b2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=7a4e525d2bcb0152&srepoch=1672659772&from=searchresults#hotelTmpl,N/A,N/A,"Euromed - La Joliette, Marseille","37 Rue Pierre Albrand, 13002 Marseille, France","5.3459488040821,43.2896036834269,5.3954169959179,43.3255345165731","In the Euromed - La Joliette district of Marseille, close to Joliette Metro Station, Fully equipped apartment wifi European Hospital has free WiFi and a washing machine. This apartment is 1.6 km from Vieux Port Metro station and 2.9 km from Saint-Ferreol Street.
The 1-bedroom apartment has a living room with cable flat-screen TV, and a fully equipped kitchen with fridge. Towels and bed linen are offered in the apartment.
Popular points of interest near the apartment include Les Terrasses du Port Shopping Centre, Marseille Saint-Charles Train Station and Museum of European and Mediterranean Civilisations. The nearest airport is Marseille Provence Airport, 21 km from Fully equipped apartment wifi European Hospital."
Cocoon design and comfort near the Old Port,https://www.booking.com/hotel/fr/cocoon-design-and-comfort-near-the-old-port.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aq-Gy50GwAIB0gIkZGU1NzIyMTQtNzVjZC00OTA2LWFmZWQtMGQxN2E4NGUyNWJm2AIG4AIB&sid=6b5053ffe17d2cc0e8222ef87093e7b2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=7a4e525d2bcb0152&srepoch=1672659772&from=searchresults#hotelTmpl,N/A,N/A,Marseille,"8 Rue d'Oran, 13005 Marseille, France","5.36421422058319,43.2814515834269,5.41367577941681,43.3173824165731","Cocoon design and comfort near the Old Port is located in Marseille, 1.5 km from Vieux Port Metro station, 1.8 km from La Timone Metro Station, as well as 1.1 km from Marseille Saint-Charles Train Station. It features city views and free WiFi throughout the property.
The apartment consists of 1 bedroom, a living room, a fully equipped kitchen with a fridge and a coffee machine, and 1 bathroom with a bath or shower and a hairdryer. Towels and bed linen are featured in the apartment.
Saint-Ferreol Street is 1.6 km from the apartment, while Castellane Metro Station is 1.9 km away. The nearest airport is Marseille Provence Airport, 23 km from Cocoon design and comfort near the Old Port.
L'établissement Cocoon design and comfort near the Old Port accueille des clients Booking.com depuis le 27 déc. 2022."
