name,link,review_score,review_count,area,address,coordinates_gps,description
Royal Hôtel,https://www.booking.com/hotel/fr/royal.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqSiy50GwAIB0gIkYjI3NTEwNzUtM2UyNS00ZWM3LWIxYWEtYjVmMGMwZTdiZTg22AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=c682595854610bb8&srepoch=1672663345&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,2",1 832 expériences vécues,"Nimes City Centre, Nîmes","1 place d'Assas, 30000 Nîmes, France","4.32986521159854,43.82084967963,4.37977171505246,43.8567805127762","Nîmes - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Royal Hôtel ! Connectez-vous pour économiser.
Situé au cœur de Nîmes, le Royal Hôtel dispose d'un restaurant sur place, La Bodéguita, qui s'ouvre sur la place Assas. L'hôtel se trouve à moins de 3 minutes à pied du temple Maison Carrée et de la galerie d'art moderne Carré d'Art. Une connexion Wi-Fi est disponible gratuitement.
L'établissement accepte les chiens de moins de 10 kg.
Accessible par un escalier, chaque chambre comprend la climatisation, une télévision à écran plat et une vue sur le patio intérieur ou la place Assas. Certains logements comprennent un coin salon, idéal pour se détendre après une journée bien remplie. Les chambres comprennent une salle de bains privative.
Le petit-déjeuner est servi tous les jours et se compose d'une sélection de produits bio frais. Vous pourrez déguster une cuisine espagnole et du poisson à la plancha au restaurant. Vous pourrez déguster des tapas sur la terrasse du bar.
Des soirées tango sont organisées sur la place Assas en juillet et en août. Des spectacles d'art et des expositions sont régulièrement organisés sur la place.
Le parc des expositions de Nîmes se trouve à 2,7 km du Royal Hôtel. L'aéroport de Montpellier-Méditerranée est implanté à 53 km.
C'est le quartier préféré des voyageurs visitant Nîmes, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Royal Hôtel accueille des clients Booking.com depuis le 12 janv. 2009."
"Le Pari Nîmois, avec Parking, Centre Ville Arènes",https://www.booking.com/hotel/fr/le-pari-nimois-avec-parking-centre-ville-arenes.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqSiy50GwAIB0gIkYjI3NTEwNzUtM2UyNS00ZWM3LWIxYWEtYjVmMGMwZTdiZTg22AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=c682595854610bb8&srepoch=1672663345&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,6",14 expériences vécues,Nîmes,"3 Petite Rue du Louvre, 30000 Nîmes, France","4.33924224259412,43.8176224675499,4.38914604695588,43.8535533006961","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Pari Nîmois, avec Parking, Centre Ville Arènes ! Connectez-vous pour économiser.
Doté d'un jardin, d'une terrasse et d'un restaurant, Le Pari Nîmois, avec Parking, Centre Ville Arènes propose des hébergements à Nîmes avec une connexion Wi-Fi gratuite et une vue sur le jardin. Vous pourrez pratiquer diverses activités dans les environs, telles que la pêche et la randonnée.
Cet appartement comprend 2 chambres, une télévision à écran plat et une cuisine.
Vous séjournerez à 13 km du parc des expositions de Nîmes et à 34 km de l'amphithéâtre d'Arles. L'aéroport le plus proche, celui de Nîmes-Garons, est situé à 9 km.
C'est le quartier préféré des voyageurs visitant Nîmes, selon les commentaires clients indépendants.
L'établissement Le Pari Nîmois, avec Parking, Centre Ville Arènes accueille des clients Booking.com depuis le 29 sept. 2022.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
La Terra Nostra - Townhouse - Swimming pool,https://www.booking.com/hotel/fr/la-terra-nostra-townhouse-swimming-pool.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqSiy50GwAIB0gIkYjI3NTEwNzUtM2UyNS00ZWM3LWIxYWEtYjVmMGMwZTdiZTg22AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=c682595854610bb8&srepoch=1672663345&from=searchresults#hotelTmpl,"8,1",8 expériences vécues,Nîmes,"19 Rue Levieux, 30000 Nîmes, France","4.33530731550095,43.8252315834269,4.38521748449905,43.8611624165731","Vous pouvez bénéficier d'une réduction Genius dans l'établissement La Terra Nostra - Townhouse - Swimming pool ! Connectez-vous pour économiser.
Situé à Nîmes, à seulement 13 km du parc des expositions, l'établissement La Terra Nostra - Townhouse - Swimming pool propose un hébergement avec un jardin, une terrasse et une connexion Wi-Fi gratuite. Cette maison de vacances dispose également d'une piscine privée.
Cette maison de vacances climatisée comprend 3 chambres, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi que 2 salles de bains pourvues d'une douche et d'articles de toilette gratuits. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 35 km de l'amphithéâtre d'Arles et à 44 km de la gare centrale d'Avignon. L'aéroport de Nîmes-Garons, le plus proche, est implanté à 10 km.
L'établissement La Terra Nostra - Townhouse - Swimming pool accueille des clients Booking.com depuis le 7 févr. 2022."
Roma Divine home cinéma et jardin,https://www.booking.com/hotel/fr/roma-divine-home-cinema-jardinet-hyper-centre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqSiy50GwAIB0gIkYjI3NTEwNzUtM2UyNS00ZWM3LWIxYWEtYjVmMGMwZTdiZTg22AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=c682595854610bb8&srepoch=1672663345&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,8",9 expériences vécues,Nîmes,"Rez de chaussée 12 Rue Monjardin, 30000 Nîmes, France","4.33993360819842,43.8175220844449,4.38983732861158,43.8534529175911","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Roma Divine home cinéma et jardin ! Connectez-vous pour économiser.
Situé à Nîmes, à moins de 13 km du parc des expositions et à 34 km de l'amphithéâtre d'Arles, le Roma Divine home cinéma et jardin propose des hébergements avec une connexion Wi-Fi gratuite, la climatisation, un jardin et une terrasse. Offrant une vue sur le jardin, cet hébergement dispose d'une terrasse.
Cet appartement comprend 2 chambres, une télévision à écran plat, un coin salon et une salle de bains pourvue d'une douche. Sa cuisine est équipée d'un réfrigérateur et d'un four. Les serviettes et le linge de lit sont fournis.
Le personnel de la réception ouverte 24h/24 parle anglais, espagnol et français.
Vous séjournerez à 43 km de la gare centrale d'Avignon et à 45 km du palais des papes. L'aéroport le plus proche, celui de Nîmes-Garons, est situé à 9 km.
C'est le quartier préféré des voyageurs visitant Nîmes, selon les commentaires clients indépendants.
L'établissement Roma Divine home cinéma et jardin accueille des clients Booking.com depuis le 24 août 2022."
Appart'City Confort Nimes Arenes,https://www.booking.com/hotel/fr/appart-39-city-nimes.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqSiy50GwAIB0gIkYjI3NTEwNzUtM2UyNS00ZWM3LWIxYWEtYjVmMGMwZTdiZTg22AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=c682595854610bb8&srepoch=1672663345&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,6",2 369 expériences vécues,Nîmes,"1 Boulevard De Bruxelles, 30000 Nîmes, France","4.33648277415365,43.8159081183166,4.38638514489548,43.8518389514628","L'Appart'City Confort Nîmes Arenes est situé dans le centre historique de Nîmes, à 1 minute à pied des arènes, à 300 mètres de la gare et à proximité d'un parking public souterrain. La connexion Wi-Fi est gratuite.
Les studios et les appartements de l'Appart'City Confort Nimes Arenes disposent d'une télévision à écran plat et d'un coin salon. Leur kitchenette entièrement équipée comporte un micro-ondes et des plaques de cuisson. La salle de bains privative est pourvue d'une baignoire ou d'une douche.
Le petit-déjeuner est composé d'une variété de pains, de croissants, de salade de fruits, de fruits frais et de divers fromages. Des yaourts et de nombreux thés bios sont également proposés.
Enfin, l'aéroport de Nîmes-Garons, le plus proche, est à Garons/Saint-Gilles, à 12 km de l'Appart'City Confort Nimes Arenes.
C'est le quartier préféré des voyageurs visitant Nîmes, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement Appart'City Confort Nimes Arenes accueille des clients Booking.com depuis le 6 oct. 2015.
Chaîne hôtelière/marque: Appart'City"
Logis NIMOTEL Hôtel Cosy,https://www.booking.com/hotel/fr/nimotel.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqSiy50GwAIB0gIkYjI3NTEwNzUtM2UyNS00ZWM3LWIxYWEtYjVmMGMwZTdiZTg22AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=c682595854610bb8&srepoch=1672663345&from=searchresults#hotelTmpl,"7,4",2 759 expériences vécues,Nîmes,"152 Rue Claude Nicolas Ledoux, 30900 Nîmes, France","4.32165998882492,43.7976109326321,4.37154706650535,43.8335417657783","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Logis NIMOTEL Hôtel Cosy ! Connectez-vous pour économiser.
Le Logis NIMOTEL Hôtel Cosy vous accueille à 1 km de l’autoroute A9 et à 10 minutes en voiture du centre-ville de Nîmes. Cet établissement propose une réception ouverte 24h/24, une piscine extérieure sécurisée et une connexion Wi-Fi gratuite.
Ses chambres climatisées sont équipées d’une télévision par satellite à écran plat. Certaines chambres comprennent un plateau/bouilloire.
Le restaurant du Nimotel, Partage, sert une variété de plats traditionnels et de spécialités provençales. Vous trouverez également un bar et une terrasse au bord de la piscine, où vous pourrez vous détendre. Un petit-déjeuner buffet est servi tous les matins.
Si vous souhaitez explorer la région Occitanie en voiture,vous pourrez profiter d’un parking gratuit sur place.
L'établissement Logis NIMOTEL Hôtel Cosy accueille des clients Booking.com depuis le 23 mai 2005.
Chaîne hôtelière/marque: Logis Hôtels"
Mas d'Escattes,https://www.booking.com/hotel/fr/mas-d-39-escattes.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqSiy50GwAIB0gIkYjI3NTEwNzUtM2UyNS00ZWM3LWIxYWEtYjVmMGMwZTdiZTg22AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=c682595854610bb8&srepoch=1672663345&from=searchresults#hotelTmpl,"9,6",157 expériences vécues,Nîmes,"34 Allée du Mas d'Escattes, 30000 Nîmes, France","4.37994349939416,43.8525035834269,4.42987650060584,43.8884344165731","Situé à 10 km du parc des expositions de Nîmes, le Mas d'Escattes propose une piscine extérieure, un jardin et une cuisine commune. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking privé.
Certains logements comprennent une cuisine équipée d'un lave-vaisselle, d'un micro-ondes et d'un réfrigérateur.
Un petit-déjeuner continental est servi tous les matins sur place.
Vous pourrez profiter d'un barbecue et d'une terrasse bien exposée.
Le Mas d'Escattes se trouve à 40 km de la gare centrale d'Avignon et à 42 km du palais des papes. L'aéroport de Nîmes-Garons, le plus proche, est implanté à 24 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,1 pour un séjour à deux.
L'établissement Mas d'Escattes accueille des clients Booking.com depuis le 15 févr. 2019.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Kyriad Nîmes Ouest A9,https://www.booking.com/hotel/fr/kyriad-na-r-mes-ouest.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqSiy50GwAIB0gIkYjI3NTEwNzUtM2UyNS00ZWM3LWIxYWEtYjVmMGMwZTdiZTg22AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=c682595854610bb8&srepoch=1672663345&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,6",2 156 expériences vécues,Nîmes,"Ville Active - 157 rue Tony Garnier, 30900 Nîmes, France","4.31988942330629,43.7967419285567,4.36977577501982,43.8326727617029","Idéalement situé à 10 minutes en voiture du centre de Nîmes et à 2 km de la sortie 25 de l’autoroute A9, l’établissement 3 étoiles Kyriad Nîmes Ouest propose une connexion Wi-Fi à 20 Mb/s gratuite et des coins salon extérieurs.
Décorées dans des tons méditerranéens, les chambres du Kyriad Nîmes Ouest A9 comprennent un plateau/bouilloire et une télévision à écran plat avec des chaînes internationales, comme les chaînes des bouquets Canal+. Leur salle de bains privative est pourvue d’articles de toilette gratuits.
Un petit-déjeuner buffet est servi chaque matin dans la salle prévue à cet effet ou dans le jardin. Vous savourerez un apéritif au bar-salon avant de dîner dans l’un des restaurants des environs.
Le parking privé sur place est gratuit. L’aéroport de Nîmes-Garons est implanté à 15 minutes de route. Les parcours de golf de Vacquerolles et de Nîmes Campagne se trouvent à 20 minutes en voiture. Cet établissement Kyriad comporte une réception ouverte 24h/24.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,0 pour un séjour à deux.
L'établissement Kyriad Nîmes Ouest A9 accueille des clients Booking.com depuis le 4 oct. 2011.
Chaîne hôtelière/marque: Kyriad Hotel"
Appart'City Nimes,https://www.booking.com/hotel/fr/appart-city-nimes.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqSiy50GwAIB0gIkYjI3NTEwNzUtM2UyNS00ZWM3LWIxYWEtYjVmMGMwZTdiZTg22AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=c682595854610bb8&srepoch=1672663345&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"6,9",1 865 expériences vécues,Nîmes,"364, allée de l’Amérique Latine, 30900 Nîmes, France","4.339651748088,43.8036200690499,4.3895438466996,43.8395509021961","L’Appart'City Nîmes est situé à Nîmes, à 500 mètres du centre sportif et parc des expositions Le Parnasse, ainsi qu’à 20 minutes à pied des arènes de Nîmes et de la gare TGV.
Chaque appartement est climatisé et insonorisé. Vous profiterez d’une connexion Wi-Fi gratuite ainsi que d’une kitchenette munie d’un lave-vaisselle, d’un micro-ondes et d’un lave-linge. Tous les logements sont desservis par un ascenseur.
Le petit-déjeuner est servi du lundi au dimanche. Il se compose d’une variété de pains, dont du pain sans gluten, de viennoiseries ainsi que de boissons chaudes et froides. Vous bénéficierez également de fruits frais et de salade de fruits ainsi que de fromages et de yaourts.
Un parking privé est disponible sur place. Vous séjournerez à 10 km de l’aéroport de Nîmes-Garons.
L'établissement Appart'City Nimes accueille des clients Booking.com depuis le 1 mars 2010.
Chaîne hôtelière/marque: Appart'City"
Novotel Atria Nimes Centre,https://www.booking.com/hotel/fr/atria-nimes-centre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqSiy50GwAIB0gIkYjI3NTEwNzUtM2UyNS00ZWM3LWIxYWEtYjVmMGMwZTdiZTg22AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=c682595854610bb8&srepoch=1672663345&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,7",1 538 expériences vécues,Nîmes,"5 boulevard de Prague, 30000 Nîmes, France","4.33845238212872,43.8174552332045,4.38835604663562,43.8533860663507","Le Novotel Atria Nîmes Centre vous accueille dans le centre-ville de Nîmes, à quelques minutes de la gare, des célèbres arènes romaines et de la place principale.
Le Novotel Atria Nîmes Centre convient aux voyageurs d’affaires et aux vacanciers. Il comporte 119 chambres confortables et climatisées, un restaurant, un bar ainsi que 9 salles de conférence idéales pour les réunions et les séminaires.
Un petit-déjeuner buffet est servi tous les jours et le restaurant de l’hôtel propose une cuisine française. Vous pourrez vous détendre au bar, qui propose des boissons et des collations.
Récompensé pour son respect de l’environnement, cet hôtel moderne et bien entretenu vous propose un service attentionné.
C'est le quartier préféré des voyageurs visitant Nîmes, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement Novotel Atria Nimes Centre accueille des clients Booking.com depuis le 28 juin 2008.
Chaîne hôtelière/marque: Novotel"
