name,link,review_score,review_count,area,address,coordinates_gps,description
Hotel Canal Aigues Mortes,https://www.booking.com/hotel/fr/canal-aigues-mortes.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqOpy50GwAIB0gIkYWU2MTY5ZWQtNGUxMy00NGEzLWE5YTQtMDI4YTNmNzBhYzYw2AIG4AIB&sid=42b683c5236fca5d3341632d9d408cd1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=a6d95b17431900eb&srepoch=1672664240&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,5",1 166 expériences vécues,Aigues-Mortes,"440 Route De Nimes, 30220 Aigues-Mortes, France","4.16998185644106,43.5550221035115,4.21966753473326,43.5909529366577","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hotel Canal Aigues Mortes ! Connectez-vous pour économiser.
L’hôtel Canal Aigues Mortes vous accueille sur les rives du canal, à 5 minutes à pied de la ville fortifiée. Vous pourrez profiter d’une vue sur le canal depuis sa terrasse panoramique et sa piscine. Cet établissement propose des chambres climatisées avec une connexion Wi-Fi gratuite. Un parking gratuit est disponible. Un parking couvert est accessible moyennant des frais supplémentaires ou gratuitement pour les motos.
Toutes les chambres de cet hôtel 3 étoiles sont insonorisées. Elles comprennent une télévision à écran plat avec des chaînes nationales et internationales.
Pendant les mois les plus chauds, vous dégusterez le petit-déjeuner buffet sur la terrasse. En été, vous aurez également la possibilité de prendre des collations ou des repas légers au bord du canal.
Un service de location de vélos est assuré sur place. L’établissement compte par ailleurs une salle de séminaire pour les réunions.
L’hôtel Canal Aigues Mortes est placé à 10 minutes de route de la plage de Grau-du-Roi et à 20 minutes en voiture de l’aéroport de Montpellier-Méditerranée. La gare d'Aigues-Mortes est à 4 minutes de marche. Montpellier, Arles et Nîmes peuvent être atteints à moins de 45 minutes de route.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,0 pour un séjour à deux.
L'établissement Hotel Canal Aigues Mortes accueille des clients Booking.com depuis le 2 juin 2009."
CABANE DU SAUNIER MAIA ETANG DU ROY,https://www.booking.com/hotel/fr/cabane-du-saunier-maia-etang-du-roy.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqOpy50GwAIB0gIkYWU2MTY5ZWQtNGUxMy00NGEzLWE5YTQtMDI4YTNmNzBhYzYw2AIG4AIB&sid=42b683c5236fca5d3341632d9d408cd1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=a6d95b17431900eb&srepoch=1672664240&from=searchresults#hotelTmpl,"9,2",29 expériences vécues,Aigues-Mortes,"SALINS D'AIGUES MORTES, Route du Grau du Roi, 30220 Aigues-Mortes, France","4.15756023085085,43.5395739834269,4.20723316914915,43.5755048165731","Le CABANE DU SAUNIER MAIA ETANG DU ROY est situé à Aigues-Mortes, à 27 km du parc des expositions de Montpellier, à 31 km du Zénith Sud Montpellier et à 32 km du centre commercial Odysseum. Situé à 27 km de la salle omnisports Montpellier Arena, il dispose d'un jardin et d'un parking privé gratuit.
Donnant accès à une terrasse avec vue sur le lac, cette maison de vacances climatisée comprend une chambre et une kitchenette entièrement équipée.
Vous séjournerez à 32 km de l'hôtel de ville de Montpellier et à 35 km du Corum. L'aéroport de Montpellier-Méditerranée, le plus proche, est implanté à 32 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,8 pour un séjour à deux.
L'établissement CABANE DU SAUNIER MAIA ETANG DU ROY accueille des clients Booking.com depuis le 5 août 2021."
Résidence Odalys Fleur de Sel,https://www.booking.com/hotel/fr/residence-odalys-fleur-de-sel.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqOpy50GwAIB0gIkYWU2MTY5ZWQtNGUxMy00NGEzLWE5YTQtMDI4YTNmNzBhYzYw2AIG4AIB&sid=42b683c5236fca5d3341632d9d408cd1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=a6d95b17431900eb&srepoch=1672664240&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,3",509 expériences vécues,Aigues-Mortes,"278 Chemin de Trouche, 30220 Aigues-Mortes, France","4.15440270440472,43.5561285834269,4.20408929559528,43.5920594165731","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Résidence Odalys Fleur de Sel ! Connectez-vous pour économiser.
Situé à Aigues-Mortes, à 5 minutes à pied du centre-ville historique, l'établissement Résidence Odalys Fleur de Sel dispose d'une piscine extérieure chauffée ouverte en saison. Vous bénéficierez gratuitement d'une connexion Wi-Fi.
Répartis en petits duplex, tous les appartements comportent une salle de bains privative, un salon muni d'une télévision à écran plat et une kitchenette entièrement équipée. Certains comprennent également une terrasse ou un balcon.
La Résidence Odalys Fleur de Sel est implantée à 25 km de Montpellier. L'aéroport de Montpellier - Méditerranée se trouve, quant à lui, à 18 km. Vous pourrez profiter gratuitement d'un parking extérieur.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,9 pour un séjour à deux.
L'établissement Résidence Odalys Fleur de Sel accueille des clients Booking.com depuis le 11 avr. 2018.
Chaîne hôtelière/marque: Résidence Vacances Odalys"
La Villa Mazarin,https://www.booking.com/hotel/fr/la-villa-mazarin.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqOpy50GwAIB0gIkYWU2MTY5ZWQtNGUxMy00NGEzLWE5YTQtMDI4YTNmNzBhYzYw2AIG4AIB&sid=42b683c5236fca5d3341632d9d408cd1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=a6d95b17431900eb&srepoch=1672664240&from=searchresults#hotelTmpl,"9,1",677 expériences vécues,"Aigues-Mortes Medieval City, Aigues-Mortes","35 boulevard Gambetta, 30220 Aigues-Mortes, France","4.16691241748164,43.5470212030719,4.21659149620131,43.5829520362181","Bénéficiez d'un traitement VIP grâce au service exclusif de l'établissement La Villa Mazarin
Vous pouvez bénéficier d'une réduction Genius dans l'établissement La Villa Mazarin ! Connectez-vous pour économiser.
La Villa Mazarin est construite dans un bâtiment datant du XVème siècle situé dans la ville fortifiée d'Aigues-Mortes et propose une terrasse ainsi qu'un bar. Vous bénéficierez gracieusement d'une connexion Wi-Fi disponible dans l'ensemble de l'établissement.
Les chambres climatisées possèdent le chauffage, une télévision par satellite, un téléphone, un réfrigérateur et du mobilier de style provençal du XVIIème siècle.
Le Salon Mazarin est le restaurant de l'hôtel où vous dégusterez des spécialités culinaires françaises ou une sélection de repas légers et de collations. Le salon s'ouvre sur la cour et sur une terrasse bien exposée.
Montpellier est à 26 km et Nîmes à 32 km. L'aéroport le plus proche est celui de Montpellier-Méditerranée situé à 19 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement La Villa Mazarin accueille des clients Booking.com depuis le 16 oct. 2009."
Hôtel Saint Louis,https://www.booking.com/hotel/fr/saint-louis-aigues-mortes.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqOpy50GwAIB0gIkYWU2MTY5ZWQtNGUxMy00NGEzLWE5YTQtMDI4YTNmNzBhYzYw2AIG4AIB&sid=42b683c5236fca5d3341632d9d408cd1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=a6d95b17431900eb&srepoch=1672664240&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,4",956 expériences vécues,"Aigues-Mortes Medieval City, Aigues-Mortes","10, Rue Amiral Courbet, 30220 Aigues-Mortes, France","4.16450314127171,43.549254254998,4.21418406165874,43.5851850881442","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Saint Louis ! Connectez-vous pour économiser.
Set in the historical heart of Aigues-Mortes, 200 yards from the Tour de Constance, Hôtel Saint Louis is an air-conditioned hotel with a wellness center and restaurant. Free WiFi access is available on site and public city parking spots are available for free.
All rooms feature a contemporary décor inspired by the region and are fitted a flat-screen TV, a mini-bar and a telephone. Each room has a private bathroom. In the summer, guests can enjoy a drink on the patio or sun terrace. The onsite restaurant features a baroque-style décor and offers modern Camargue cuisine made with local produce and outdoor seating.
The property features a wellness center which includes a sauna-hammam which guests have free access upon reservation. Massages are also available upon request.
Nîmes is 43 km from Hôtel Saint Louis, while Arles is 49 km from the property. Montpellier - Mediterranee Airport is 26 km away.
There is a wellness center with a sauna and massages are also available on request.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Hôtel Saint Louis accueille des clients Booking.com depuis le 10 sept. 2008."
La Paloma,https://www.booking.com/hotel/fr/la-paloma-aigues-mortes.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqOpy50GwAIB0gIkYWU2MTY5ZWQtNGUxMy00NGEzLWE5YTQtMDI4YTNmNzBhYzYw2AIG4AIB&sid=42b683c5236fca5d3341632d9d408cd1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=a6d95b17431900eb&srepoch=1672664240&from=searchresults#hotelTmpl,"8,9",35 expériences vécues,Aigues-Mortes,"Résidence les rives de la tour N°17, 150 Rue du Vidourle, 30220 Aigues-Mortes, France","4.16233616518721,43.5520946623418,4.21201942845287,43.588025495488","Vous pouvez bénéficier d'une réduction Genius dans l'établissement La Paloma ! Connectez-vous pour économiser.
Offrant une vue sur le jardin, La Paloma est un hébergement situé à Aigues-Mortes, à 23 km du parc des expositions de Montpellier et à 27 km du Zénith Sud de Montpellier. Cet hébergement climatisé se trouve à 23 km de la salle omnisports Montpellier Arena. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking privé sur place.
Cette maison de vacances comprend 2 chambres, une salle de bains, du linge de lit, des serviettes, une télévision à écran plat, un coin repas, une cuisine entièrement équipée et une terrasse avec vue sur la rivière. Pour plus de commodité, l'établissement peut fournir des serviettes et du linge de lit moyennant des frais supplémentaires.
Vous séjournerez à 28 km du centre commercial Odysseum et de l'hôtel de ville de Montpellier. L'aéroport de Montpellier-Méditerranée, le plus proche, est à 29 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 10 pour un séjour à deux.
L'établissement La Paloma accueille des clients Booking.com depuis le 5 déc. 2016."
Maison des Croisades,https://www.booking.com/hotel/fr/des-croisades.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqOpy50GwAIB0gIkYWU2MTY5ZWQtNGUxMy00NGEzLWE5YTQtMDI4YTNmNzBhYzYw2AIG4AIB&sid=42b683c5236fca5d3341632d9d408cd1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=a6d95b17431900eb&srepoch=1672664240&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,8",810 expériences vécues,Aigues-Mortes,"2 RUE DU PORT, 30220 Aigues-Mortes, France","4.1634570066567,43.5510319834269,4.21313939334322,43.5869628165731","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Maison des Croisades ! Connectez-vous pour économiser.
Située à Aigues-Mortes, la Maison des Croisades propose un service de location de vélos et un jardin. Il dispose d'une connexion Wi-Fi gratuite et d'une terrasse. Vous pourrez profiter d'une vue sur le canal et le jardin. La plage du Grau-du-Roi se trouve à 10 minutes en voiture.
Toutes les chambres de la Maison des Croisades sont équipées d'une télévision à écran plat, de la climatisation et d'une armoire.
La Maison des Croisades sert un petit-déjeuner buffet.
La Maison des Croisades se trouve à 33 km de Montpellier et à 44 km de Nîmes. L'aéroport de Montpellier-Méditerranée est à 24 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement Maison des Croisades accueille des clients Booking.com depuis le 24 mars 2017."
la cabane du saunier Stella - Etang du Roy,https://www.booking.com/hotel/fr/la-cabane-du-saunier-stella-etang-du-roy.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqOpy50GwAIB0gIkYWU2MTY5ZWQtNGUxMy00NGEzLWE5YTQtMDI4YTNmNzBhYzYw2AIG4AIB&sid=42b683c5236fca5d3341632d9d408cd1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=a6d95b17431900eb&srepoch=1672664240&from=searchresults#hotelTmpl,"9,5",31 expériences vécues,Aigues-Mortes,"Salins du Midi - Route du grau du Roi, 30220 Aigues-Mortes, France","4.18798825559032,43.5613366834269,4.23767914440968,43.5972675165731","La cabane du saunier Stella - Etang du Roy est située à Aigues-Mortes, à 32 km du Zénith Sud Montpellier, à 33 km du centre commercial Odysseum et de l'hôtel de ville de Montpellier. Doté d'un parking privé gratuit, il se trouve à 28 km de la salle omnisports Montpellier Arena et du parc des expositions de Montpellier.
Donnant sur une terrasse, cette maison de vacances climatisée comprend une chambre et une kitchenette entièrement équipée.
Vous séjournerez à 36 km du Corum et du musée Fabre. L'aéroport de Montpellier-Méditerranée, le plus proche, est implanté à 33 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement la cabane du saunier Stella - Etang du Roy accueille des clients Booking.com depuis le 24 juil. 2021."
Nid douillet t3 au coeur des remparts,https://www.booking.com/hotel/fr/nid-douillet-t3-au-coeur-des-remparts.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqOpy50GwAIB0gIkYWU2MTY5ZWQtNGUxMy00NGEzLWE5YTQtMDI4YTNmNzBhYzYw2AIG4AIB&sid=42b683c5236fca5d3341632d9d408cd1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=a6d95b17431900eb&srepoch=1672664240&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,6",18 expériences vécues,"Aigues-Mortes Medieval City, Aigues-Mortes","24 Rue Theaulon, 30220 Aigues-Mortes, France","4.16477013179529,43.5475761834269,4.21444966820471,43.5835070165731","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Nid douillet t3 au coeur des remparts ! Connectez-vous pour économiser.
Le Nid douillet t3 au coeur des remparts est situé à Aigues-Mortes, à 24 km de la salle omnisports Montpellier Arena et du parc des expositions de Montpellier, dans une région propice à la randonnée. Il offre une vue sur la ville et propose une connexion Wi-Fi gratuite dans l'ensemble de ses locaux.
Cet appartement climatisé comprend 2 chambres, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi qu'une salle de bains pourvue d'une douche et d'un sèche-cheveux. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 28 km du Zénith Sud de Montpellier et à 29 km du centre commercial Odysseum. L'aéroport de Montpellier-Méditerranée, le plus proche, est implanté à 29 km.
L'établissement Nid douillet t3 au coeur des remparts accueille des clients Booking.com depuis le 25 févr. 2020."
La Maison de Lyna,https://www.booking.com/hotel/fr/la-maison-de-lyna.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqOpy50GwAIB0gIkYWU2MTY5ZWQtNGUxMy00NGEzLWE5YTQtMDI4YTNmNzBhYzYw2AIG4AIB&sid=42b683c5236fca5d3341632d9d408cd1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=a6d95b17431900eb&srepoch=1672664240&from=searchresults#hotelTmpl,"9,1",68 expériences vécues,"Aigues-Mortes Medieval City, Aigues-Mortes","22 Boulevard Gambetta, 30220 Aigues-Mortes, France","4.1675132355538,43.5480520834269,4.21719316444621,43.5839829165731","Situé à Aigues-Mortes, à moins de 24 km de la salle omnisports Montpellier Arena et du parc des expositions de Montpellier, l'établissement La Maison de Lyna propose des hébergements avec une connexion Wi-Fi gratuite et un coin salon.
Tous les logements disposent d'une salle de bains privative avec douche, de la climatisation, d'une télévision à écran plat et d'un réfrigérateur.
Vous séjournerez à 28 km du Zénith Sud de Montpellier et à 29 km du centre commercial Odysseum. L'aéroport de Montpellier-Méditerranée, le plus proche, est implanté à 29 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement La Maison de Lyna accueille des clients Booking.com depuis le 15 juil. 2022."
