name,link,review_score,review_count,area,address,coordinates_gps,description
Hostellerie de la Poste,https://www.booking.com/hotel/fr/hostellerie-de-la-poste-tarascon-sur-ariege.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtjFy50GwAIB0gIkMGY0MTc0NmYtNDIxYS00ZjQwLTgyZTgtN2JkM2QxOTRkMzI12AIG4AIB&sid=fec1d643bb4e797189447fbd6c93edb4&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=f1716232d032008c&srepoch=1672667878&from=searchresults#hotelTmpl,"7,2",336 expériences vécues,Tarascon-sur-Ariège,"16 avenue Victor Pilhes, 09400 Tarascon-sur-Ariège, France","1.58087617135502,42.8300985671174,1.62997478270076,42.8660294002636","Cette ancienne auberge est située dans le centre du village de Tarascon-sur-Ariège, à seulement 11,1 km de la station de ski de fond de Beille. Elle propose des hébergements avec salle de bains privative et un bar-restaurant régional sur les rives de l’Ariège.
Les chambres de l'Hostellerie de la Poste sont toutes équipées de la connexion Wi-Fi gratuite et d'une télévision. Elles sont toutes desservies par un ascenseur. Certaines chambres disposent d'un balcon qui donne sur le jardin et la rivière Ariège.
Un petit-déjeuner continental est préparé quotidiennement et peut être savouré dans le salon. Le restaurant La Grillerie sert des spécialités régionales et vous pourrez prendre vos repas sur la terrasse. Vous pourrez également vous détendre dans le bar-salon doté d'une télévision par satellite.
L'Hostellerie de la Poste dispose d'un abri pour vélos tandis qu'un parking public se trouve juste en face de l'hôtel. Les sources thermales d'Ax-les-Thermes sont situées à 27 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour à deux.
L'établissement Hostellerie de la Poste accueille des clients Booking.com depuis le 3 janv. 2012.
Chaîne hôtelière/marque: Logis Hôtels"
Domaine de Garabaud,https://www.booking.com/hotel/fr/domaine-de-garabaud.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtjFy50GwAIB0gIkMGY0MTc0NmYtNDIxYS00ZjQwLTgyZTgtN2JkM2QxOTRkMzI12AIG4AIB&sid=fec1d643bb4e797189447fbd6c93edb4&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=f1716232d032008c&srepoch=1672667878&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,2",206 expériences vécues,Mazères,"913 Garabaud, 09270 Mazères, France","1.6417214528825,43.2390468636911,1.69114855367878,43.2749776968373","Situé à Mazères, à 40 minutes de route de Toulouse, le Domaine de Garabaud est installé dans un magnifique cadre verdoyant, idéal pour accueillir tous vos événements.
L'établissement comprend 24 chambres (50 lits), toutes étant équipées d'une douche, de toilettes et d'une connexion Wi-Fi gratuite.
Le restaurant sur place est uniquement ouvert pour le déjeuner. Des plateaux-repas sont préparés sur réservation préalable.
Installé dans un parc de 3 hectares, le domaine met à votre disposition un restaurant, des salles de réunion, une piscine et un court de tennis pour vous permettre de vous détendre.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,2 pour un séjour à deux.
L'établissement Domaine de Garabaud accueille des clients Booking.com depuis le 25 sept. 2009."
Logis Auberge de l'Isard,https://www.booking.com/hotel/fr/logis-auberge-de-l-isard.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtjFy50GwAIB0gIkMGY0MTc0NmYtNDIxYS00ZjQwLTgyZTgtN2JkM2QxOTRkMzI12AIG4AIB&sid=fec1d643bb4e797189447fbd6c93edb4&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=f1716232d032008c&srepoch=1672667878&from=searchresults#hotelTmpl,"7,6",77 expériences vécues,Saint-Lary,"D618, 09800 Saint-Lary, France","0.86920438190585,42.9124855834269,0.918368618094215,42.9484164165731","Le Logis Auberge De L'isard est situé dans l'Ariège, au cœur du village de St Lary. Son restaurant sert une cuisine traditionnelle préparée avec des produits locaux. Situé dans 2 bâtiments différents séparés par une rivière que vous pourrez traverser par une petite passerelle, il dispose d'une terrasse.
Toutes les chambres disposent d'une télévision à écran plat. Elle comprend une connexion Wi-Fi gratuite et une salle de bains privative pourvue d'une douche.
Vous pourrez prendre un verre au bar de l'hôtel. La boutique de l'hôtel vend des produits locaux.
Vous pourrez pratiquer de nombreuses activités dans les environs, notamment la randonnée dans les montagnes environnantes et la pêche. Un parking public gratuit est disponible et un garage à vélos est également disponible gratuitement sur réservation.
Il est situé à 23 km de Saint-Girons et à 50 km de Luchon, sur la Route des Cols des Pyrénées.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,1 pour un séjour à deux.
L'établissement Logis Auberge de l'Isard accueille des clients Booking.com depuis le 14 avr. 2011.
Chaîne hôtelière/marque: Logis Hôtels"
Hôtel Terranostra,https://www.booking.com/hotel/fr/terranostra.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtjFy50GwAIB0gIkMGY0MTc0NmYtNDIxYS00ZjQwLTgyZTgtN2JkM2QxOTRkMzI12AIG4AIB&sid=fec1d643bb4e797189447fbd6c93edb4&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=f1716232d032008c&srepoch=1672667878&from=searchresults#hotelTmpl,"8,4",430 expériences vécues,Tarascon-sur-Ariège,"7, Place Jean Jaurès, 09400 Tarascon-sur-Ariège, France","1.58105383839232,42.8292205141969,1.6301517518207,42.8651513473431","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Terranostra ! Connectez-vous pour économiser.
Doté d'un restaurant et d'un bar, l'Hotel Terranostra vous accueille à Tarascon-sur-Ariège, au cœur des sites historiques de l'Ariège. Une connexion Wi-Fi est disponible gratuitement.
Insonorisées et climatisées, toutes les chambres comportent une bouilloire électrique, un bureau ainsi qu'une salle de bains privative avec douche et articles de toilette gratuits. La plupart d'entre elles offrent une vue sur la rivière ou la montagne.
Le matin, vous apprécierez le petit-déjeuner buffet. Au restaurant, vous pourrez savourer une cuisine traditionnelle.
L'Hotel Terranostra présente une terrasse et un local à skis. Vous trouverez un parking public gratuit à proximité, et la gare la plus proche se situe à 5 minutes à pied. Vous rejoindrez la station de ski d'Ax Les 3 Domaines en 40 minutes de route.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,0 pour un séjour à deux.
L'établissement Hôtel Terranostra accueille des clients Booking.com depuis le 20 mai 2014."
Auberge des Deux Rivières,https://www.booking.com/hotel/fr/auberge-des-deux-rivia-res-seix.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtjFy50GwAIB0gIkMGY0MTc0NmYtNDIxYS00ZjQwLTgyZTgtN2JkM2QxOTRkMzI12AIG4AIB&sid=fec1d643bb4e797189447fbd6c93edb4&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=f1716232d032008c&srepoch=1672667878&from=searchresults#hotelTmpl,"8,1",467 expériences vécues,Seix,"Pont De La Taule, 09140 Seix, France","1.17382245556116,42.8140617476982,1.22290832504034,42.8499925808444","L'Auberge Des Deux Rivières est située en plein cœur du département de l'Ariège, dans les Pyrénées françaises, au confluent de l'Alet et du Salat.
Ses chambres entièrement équipées comprennent une salle de bains privative pourvue d'articles de toilette gratuits.
Au restaurant, vous dégusterez une cuisine régionale traditionnelle concoctée par les propriétaires Robert et Philip. En juillet et en août, l'établissement sert exclusivement de la paëlla le lundi et du couscous le mardi. La formule demi-pension avec dîner comprend une sélection du menu à la carte choisie par le chef.
Ce petit hôtel de montagne constitue un pied-à-terre idéal pour pratiquer la randonnée à pied ou à vélo et la pêche.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,9 pour un séjour à deux.
L'établissement Auberge des Deux Rivières accueille des clients Booking.com depuis le 1 avr. 2008."
La Maison des Consuls,https://www.booking.com/hotel/fr/la-maison-des-consuls.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtjFy50GwAIB0gIkMGY0MTc0NmYtNDIxYS00ZjQwLTgyZTgtN2JkM2QxOTRkMzI12AIG4AIB&sid=fec1d643bb4e797189447fbd6c93edb4&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=f1716232d032008c&srepoch=1672667878&from=searchresults#hotelTmpl,"8,9",141 expériences vécues,Mirepoix,"6, Place Du Maréchal Leclerc, 09500 Mirepoix, France","1.84980222507841,43.0703388834269,1.89909297492147,43.1062697165731","La Maison des Consuls est située dans la ville historique de Mirepoix, à côté de la cathédrale de Mirepoix. Elle propose des chambres avec salle de bains privée, télévision et connexion Wi-Fi gratuite.
Un petit déjeuner continental peut être servi dans le confort de votre chambre et vous pourrez prendre un verre le soir au bar de l'hôtel.
Chaque chambre de la Maison des Consuls est équipée d'un ventilateur ou de la climatisation. Le service en chambre et des paniers repas sont également disponibles.
La Maison des Consuls se trouve à 25 minutes en voiture depuis l'autoroute A61/E80 entre Toulouse et la côte méditerranéenne.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement La Maison des Consuls accueille des clients Booking.com depuis le 30 mars 2010."
Chambres d'hôtes Belle Occitane,https://www.booking.com/hotel/fr/belle-occitane.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtjFy50GwAIB0gIkMGY0MTc0NmYtNDIxYS00ZjQwLTgyZTgtN2JkM2QxOTRkMzI12AIG4AIB&sid=fec1d643bb4e797189447fbd6c93edb4&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=f1716232d032008c&srepoch=1672667878&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,2",414 expériences vécues,Tarascon-sur-Ariège,"11 avenue François Laguerre, 09400 Tarascon-sur-Ariège, France","1.58220957848318,42.8292197868112,1.63130749133341,42.8651506199573","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Chambres d'hôtes Belle Occitane ! Connectez-vous pour économiser.
L'établissement Chambres d'hôtes Belle Occitane est une demeure de caractère du XVIIIe siècle située dans la ville médiévale de Tarascon-sur-Ariège. Elle se trouve sur la route d'Andorre, à une heure au sud de Toulouse.
Certaines chambres comprennent un coin salon où vous pourrez vous détendre. La connexion Wi-Fi est gratuite dans l'ensemble des locaux.
Ax-les-Thermes est à 24 km et Pas de la Casa à 35 km. L'aéroport de Toulouse-Blagnac, le plus proche, est distant de 89 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement Chambres d'hôtes Belle Occitane accueille des clients Booking.com depuis le 18 nov. 2015."
LES EYCHECADOUS,https://www.booking.com/hotel/fr/les-eychecadous.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtjFy50GwAIB0gIkMGY0MTc0NmYtNDIxYS00ZjQwLTgyZTgtN2JkM2QxOTRkMzI12AIG4AIB&sid=fec1d643bb4e797189447fbd6c93edb4&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=f1716232d032008c&srepoch=1672667878&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,5",81 expériences vécues,Artigat,"camping les Eychecadous 2 route du camping, 09130 Artigat, France","1.4194567901552,43.1195735834269,1.4687872098448,43.1555044165731","Offrant une vue sur la piscine, l'établissement LES EYCHECADOUS est situé à Artigat. Il propose un restaurant, un bar, un salon commun, un court de tennis et un barbecue. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking privé.
Tous les logements comprennent des coins salon et repas.
Un petit-déjeuner continental est servi sur place.
Une terrasse bien exposée est présente.
Vous pourrez jouer au ping-pong sur place ou faire du ski ou du vélo dans les environs.
Vous séjournerez à 40 km du col de la Crouzette et à 23 km de la rivière souterraine de Labouiche. L'aéroport de Toulouse-Blagnac, le plus proche, est implanté à 71 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement LES EYCHECADOUS accueille des clients Booking.com depuis le 13 nov. 2018.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
la maison d'Anna,https://www.booking.com/hotel/fr/la-maison-d-39-anna-ganac.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtjFy50GwAIB0gIkMGY0MTc0NmYtNDIxYS00ZjQwLTgyZTgtN2JkM2QxOTRkMzI12AIG4AIB&sid=fec1d643bb4e797189447fbd6c93edb4&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=f1716232d032008c&srepoch=1672667878&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,3",90 expériences vécues,Ganac,"lieu dit Camparnaud, 10 route de Foix, 09000 Ganac, France","1.55448516703387,42.9329466107748,1.60366574429731,42.968877443921","La maison d'Anna vous accueille dans une ancienne ferme située à Ganac, à 3 km de Foix. Vous pourrez profiter gratuitement d'une connexion Wi-Fi et d'un parking privé sur place.
Les salles de bains sont privatives et pourvues d'une baignoire ou d'une douche. Un sèche-cheveux et des articles de toilette gratuits sont fournis. Vous disposerez d’une télévision à écran plat.
Vous aurez accès à une cuisine et un jardin d'été communs. Parmi les autres installations, vous trouverez une piscine hors-sol et une balançoire.
Lors de votre séjour, vous pourrez pratiquer différentes activités, telles que le ski, la pêche et la randonnée. Vous séjournerez à 46 km de Saint-Lary-Soulan et 22 km de Vielha. Toulouse est à 92 km. Enfin, l'aéroport de Tarbes-Lourdes-Pyrénées se situe à 79 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement la maison d'Anna accueille des clients Booking.com depuis le 6 avr. 2017."
L'Enclos des Jacobins,https://www.booking.com/hotel/fr/l-39-enclos-des-jacobins.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtjFy50GwAIB0gIkMGY0MTc0NmYtNDIxYS00ZjQwLTgyZTgtN2JkM2QxOTRkMzI12AIG4AIB&sid=fec1d643bb4e797189447fbd6c93edb4&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=f1716232d032008c&srepoch=1672667878&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,7",101 expériences vécues,Saint-Girons,"11 avenue henri bernere, 09200 Saint-Girons, France","1.11891566834347,42.9690630834269,1.16812513165641,43.0049939165731","Vous pouvez bénéficier d'une réduction Genius dans l'établissement L'Enclos des Jacobins ! Connectez-vous pour économiser.
Situé à Saint-Girons, l'établissement L'Enclos des Jacobins propose une connexion Wi-Fi gratuite, un jardin, un salon commun et une terrasse.
Leur salle de bains privative est pourvue d'une douche, d'un sèche-cheveux et d'articles de toilette gratuits.
Ce Bed & Breakfast sert un petit-déjeuner continental ou sans gluten.
Vous pourrez faire du vélo dans les environs.
Le col de la Crouzette se trouve à 25 km de L'Enclos des Jacobins, tandis que le chruque de Saint-Lizier est à 1,8 km. L'aéroport de Toulouse-Blagnac, le plus proche, est à 99 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,0 pour un séjour à deux.
L'établissement L'Enclos des Jacobins accueille des clients Booking.com depuis le 11 mai 2016."
