name,link,review_score,review_count,area,address,coordinates_gps,description
Ibis Styles Toulouse Centre Canal du Midi,https://www.booking.com/hotel/fr/kyriad-toulouse.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AsPMy50GwAIB0gIkNzMyNWI2NGQtYjBhMC00NmJiLTkwMzAtYzVjNDZmYTFkNmY32AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=ce6c63e7ed5f00b4&srepoch=1672668752&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,5",2 204 expériences vécues,"Toulouse Est, Toulouse","5 boulevard de la gare, 31500 Toulouse, France","1.43221369681929,43.5835054811388,1.48192289184148,43.619436314285","L'ibis Styles Toulouse Centre Canal du Midi est situé au centre de Toulouse, au bord du Canal du Midi et à côté de la salle de concerts la Halle aux Grains, à seulement 1 km de la place du Capitole et à 3,5 km du stade toulousain. La connexion Wi-Fi est gratuite.
Les chambres climatisées de l’ibis Styles Toulouse Centre Canal du Midi disposent chacune d'une salle de bains privative. Une télévision à écran plat est également présente dans chaque chambre. Les hébergements sont desservis par un ascenseur.
L’établissement sert un petit-déjeuner buffet continental chaque matin. L'ibis Styles Toulouse Centre Canal du Midi propose une réception ouverte 24h/24 et des journaux gratuits. Le parking privé entraîne des frais supplémentaires.
L'hôtel se trouve à 10 minutes à pied de la gare de Toulouse-Matabiau et à 4 km du parc des expositions. L'aéroport de Toulouse-Blagnac est implanté à 15 minutes en voiture. La station de métro François Verdier est accessible, quant à elle, à 5 minutes à pied. Un parking souterrain sécurisé est disponible moyennant des frais supplémentaires.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,1 pour un séjour à deux.
L'établissement Ibis Styles Toulouse Centre Canal du Midi accueille des clients Booking.com depuis le 8 avr. 2013.
Chaîne hôtelière/marque: ibis Styles"
Hotel Ours Blanc - Place Victor Hugo,https://www.booking.com/hotel/fr/ours-blanc-25-place-victor-hugo.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AsPMy50GwAIB0gIkNzMyNWI2NGQtYjBhMC00NmJiLTkwMzAtYzVjNDZmYTFkNmY32AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=ce6c63e7ed5f00b4&srepoch=1672668752&from=searchresults#hotelTmpl,"6,9",2 514 expériences vécues,"Centre de Toulouse, Toulouse","25 Place Victor Hugo, 31000 Toulouse, France","1.42132784968438,43.5890534018617,1.47104162925658,43.6249842350079","Toulouse - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Situé en plein cœur de Toulouse, l'Hotel Ours Blanc - Place Victor Hugo est situé à côté de la place Victor Hugo, à 4 km du stade.
Toutes les chambres sont insonorisées. Elles sont munis d'une connexion Wi-Fi gratuite, de la climatisation et d'une télévision.
Un petit-déjeuner buffet est servi sur place. Des journaux gratuits sont à votre disposition dans la salle à manger.
L'Hotel Ours Blanc se trouve à 200 mètres des stations de métro Jeanne d'Arc et Capitole. Vous séjournerez à proximité du canal du Midi, de la place du Capitole et du marché Victor Hugo.
C'est le quartier préféré des voyageurs visitant Toulouse, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,0 pour un séjour à deux.
L'établissement Hotel Ours Blanc - Place Victor Hugo accueille des clients Booking.com depuis le 15 janv. 2010."
Charming and luxury flat in St-Cyprien district in Toulouse - Welkeys,https://www.booking.com/hotel/fr/charming-and-luxury-flat-in-st-cyprien-district-in-toulouse-welkeys.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AsPMy50GwAIB0gIkNzMyNWI2NGQtYjBhMC00NmJiLTkwMzAtYzVjNDZmYTFkNmY32AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=ce6c63e7ed5f00b4&srepoch=1672668752&from=searchresults#hotelTmpl,"8,7",16 expériences vécues,"Saint-Cyprien, Toulouse","25 rue de la République, 31300 Toulouse, France","1.41027242976693,43.5807765834269,1.45997937023307,43.6167074165731","Le Charming and luxury flat in St-Cyprien district in Toulouse - Welkeys est situé sur la rive gauche de Toulouse, à 2,3 km du Zénith, à 2,9 km du stade de Toulouse et à 5,2 km de l'amphithéâtre Purpan-Ancely. Offrant une vue sur la ville et la rivière, cet appartement dispose également d'une connexion Wi-Fi gratuite.
Cet appartement comprend 2 chambres, une télévision par satellite, un lave-linge et 2 salles de bains pourvues d'une douche. Sa cuisine est équipée d'un four et d'un réfrigérateur. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à proximité de la station de métro Saint-Cyprien République, du Pont Neuf et de la station de métro Carmes. L'aéroport de Toulouse-Blagnac, le plus proche, est implanté à 7 km.
L'établissement Charming and luxury flat in St-Cyprien district in Toulouse - Welkeys accueille des clients Booking.com depuis le 18 mai 2020.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Odalys City Toulouse Centre Compans Caffarelli,https://www.booking.com/hotel/fr/odalys-city-centre-compans-caffarelli.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AsPMy50GwAIB0gIkNzMyNWI2NGQtYjBhMC00NmJiLTkwMzAtYzVjNDZmYTFkNmY32AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=ce6c63e7ed5f00b4&srepoch=1672668752&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,6",3 491 expériences vécues,"Centre de Toulouse, Toulouse","39 Rue du Béarnais, 31000 Toulouse, France","1.40262575886793,43.5911134834269,1.45234124113207,43.6270443165731","Toulouse - séjournez au cœur de la ville – Très bon emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Odalys City Toulouse Centre Compans Caffarelli ! Connectez-vous pour économiser.
Situé à 1,8 km du Zénith de Toulouse, l'Odalys City Centre Compans Caffarelli propose un salon commun, un jardin et une réception ouverte 24h/24.
Les logements climatisés comprennent une télévision par satellite à écran plat, une cuisine entièrement équipée avec un coin repas et une salle de bains privative pourvue d'un sèche-cheveux. Un lave-vaisselle, un micro-ondes, un réfrigérateur et une bouilloire sont également fournis.
Cet appart'hôtel sert un petit-déjeuner buffet ou continental.
L'Odalys City Centre Compans Caffarelli possède une terrasse.
Vous séjournerez à proximité du jardin japonais Pierre Baudis, de la place du Capitole et du Pont Neuf. L'aéroport de Toulouse-Blagnac, le plus proche, est implanté à 5 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,3 pour un séjour à deux.
L'établissement Odalys City Toulouse Centre Compans Caffarelli accueille des clients Booking.com depuis le 15 sept. 2021.
Chaîne hôtelière/marque: Odalys City/Campus"
Confort Appartement 110 m² CleanNcosy Toulouse Hypercentre,https://www.booking.com/hotel/fr/confort-appartement-110-m2-cleanncosy-toulouse-hypercentre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AsPMy50GwAIB0gIkNzMyNWI2NGQtYjBhMC00NmJiLTkwMzAtYzVjNDZmYTFkNmY32AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=ce6c63e7ed5f00b4&srepoch=1672668752&from=searchresults#hotelTmpl,"9,0",46 expériences vécues,"Centre de Toulouse, Toulouse","18 Place Etienne Esquirol, 31000 Toulouse, France","1.42050566044689,43.5826389834269,1.47021413955311,43.6185698165731","Toulouse - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Situé dans un quartier central de Toulouse, à proximité des stations de métro Esquirol et Carmes, le Confort Appartement 110 m2 CleanNcosy Toulouse Hypercentre propose une connexion Wi-Fi gratuite, la climatisation et des équipements ménagers tels qu'un lave-vaisselle et une machine à café. Il propose un parking privé gratuit et une réception ouverte 24h/24.
Cet appartement comprend 3 chambres, une télévision par satellite à écran plat, un lave-linge et une salle de bains pourvue d'une douche. Sa cuisine est équipée d'un four et d'un réfrigérateur. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à proximité du Pont Neuf, de la station de métro Jean-Jaures et de la station Capitole. L'aéroport de Toulouse-Blagnac, le plus proche, est implanté à 8 km.
C'est le quartier préféré des voyageurs visitant Toulouse, selon les commentaires clients indépendants.
L'établissement Confort Appartement 110 m² CleanNcosy Toulouse Hypercentre accueille des clients Booking.com depuis le 15 juin 2021."
Zenitude Hôtel-Résidences Toulouse Métropole,https://www.booking.com/hotel/fr/appart-city-toulouse-hippodrome.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AsPMy50GwAIB0gIkNzMyNWI2NGQtYjBhMC00NmJiLTkwMzAtYzVjNDZmYTFkNmY32AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=ce6c63e7ed5f00b4&srepoch=1672668752&from=searchresults#hotelTmpl,"7,2",2 618 expériences vécues,"Toulouse Rive Gauche, Toulouse","1, Allée Antoine Osete, 31100 Toulouse, France","1.37837935645549,43.5735267929877,1.42808030884297,43.6094576261339","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Zenitude Hôtel-Résidences Toulouse Métropole ! Connectez-vous pour économiser.
Situé à Toulouse, en face de l’hippodrome, près des jardins du Barry, le Zenitude Hôtel-Résidences Toulouse Métropole dispose d’une piscine extérieure. Le Stadium de Toulouse est accessible à 4 km.
Les studios et les appartements sont décorés avec simplicité. Ils comprennent une télévision par satellite à écran plat, une kitchenette entièrement équipée et un coin salon. Le linge de lit et les serviettes de toilette sont inclus. Les lits seront faits à l’arrivée. Un service de ménage quotidien peut être assuré moyennant des frais supplémentaires.
Chaque matin, le Zenitude Hôtel-Résidences Toulouse Métropole sert un petit-déjeuner buffet.
Deux places de stationnement sont fournies, l'une gratuite et l'autre, sur demande préalable, moyennant des frais supplémentaires. Le Zenitude Hôtel-Résidences Toulouse Métropole se trouve à 8 minutes en voiture de l’aéroport de Toulouse-Blagnac. Vous rejoindrez la station de métro Les Arènes, qui donne accès à toute la ville de Toulouse, en 15 minutes.
Des formules de plats à emporter composées d'un plat chaud, d'une boisson et d'un dessert sont disponibles. Vous pourrez choisir parmi une large sélection de plats et vous détendre autour d'un délicieux repas.
L'établissement Zenitude Hôtel-Résidences Toulouse Métropole accueille des clients Booking.com depuis le 4 sept. 2009."
"Crowne Plaza Toulouse, an IHG Hotel",https://www.booking.com/hotel/fr/crowne-plaza-toulouse-toulouse.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AsPMy50GwAIB0gIkNzMyNWI2NGQtYjBhMC00NmJiLTkwMzAtYzVjNDZmYTFkNmY32AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=ce6c63e7ed5f00b4&srepoch=1672668752&from=searchresults#hotelTmpl,"8,0",2 065 expériences vécues,"Centre de Toulouse, Toulouse","7 Place du Capitole, 31000 Toulouse, France","1.41789799006532,43.585771072578,1.46760905711104,43.6217019057242","Toulouse - séjournez au cœur de la ville – Excellent emplacement - voir la carte
L’hôtel 4 étoiles Crowne Plaza Toulouse vous accueille dans le centre-ville de Toulouse, à 80 mètres du théâtre du Capitole. Cet établissement propose une salle de sport et une cour intérieure agrémentée de fontaines et de sculptures. Le stade de Toulouse est à 3 km.
Cette chambre insonorisée comprend une télévision à écran plat. Plusieurs chambres de style classique offrent une vue sur la place du Capitole. Les salles de bains en marbre sont pourvues d’articles de toilette de luxe.
Un petit-déjeuner américain est servi tous les matins sur place. Vous pourrez également déguster des cocktails au bar Plaza. Vous pourrez discuter autour de tapas fraîchement préparées au bar-restaurant O TLS.
Le Crowne Plaza Toulouse dispose d’une connexion Internet par câble.
Cet hôtel se trouve à 200 mètres de la station de métro Capitole. L’aéroport de Toulouse-Blagnac est accessible en 25 minutes en voiture.
De nombreux lieux d’intérêt touristiques sont accessibles à pied depuis l'hôtel : Basilique Saint-Sernin, couvent des Jacobins, musée des Augustins, Garonne.
C'est le quartier préféré des voyageurs visitant Toulouse, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Crowne Plaza Toulouse, an IHG Hotel accueille des clients Booking.com depuis le 10 déc. 2007.
Chaîne hôtelière/marque: Crowne Plaza Hotels & Resorts"
2br in Toulouse colors with balcony close to the train station Welkeys,https://www.booking.com/hotel/fr/2br-in-toulouse-colors-with-balcony-close-to-the-train-station-welkeys.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AsPMy50GwAIB0gIkNzMyNWI2NGQtYjBhMC00NmJiLTkwMzAtYzVjNDZmYTFkNmY32AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=ce6c63e7ed5f00b4&srepoch=1672668752&from=searchresults#hotelTmpl,"8,7",7 expériences vécues,"Centre de Toulouse, Toulouse","23 Rue de Stalingrad, 31300 Toulouse, France","1.4266539139029,43.5912222834269,1.4763694860971,43.6271531165731","Toulouse - séjournez au cœur de la ville – Très bon emplacement - voir la carte
Doté d'une connexion Wi-Fi et d'un parking privé gratuits, le 2br in Toulouse colors with balcony close to the train station Welkeys est situé à Toulouse, à seulement 400 mètres de la gare de Toulouse-Matabiau. Cet appartement se trouve à 5,8 km du stade de Toulouse et à 6,7 km du Zénith de Toulouse.
Cet appartement comprend 2 chambres, une salle de bains, du linge de lit, des serviettes, une télévision par satellite, un coin repas, une cuisine entièrement équipée et un balcon avec vue sur la ville.
Vous séjournerez à proximité des stations de métro Jeanne d'Arc, Jean-Jaures et Marengo-SNCF. L'aéroport de Toulouse-Blagnac, le plus proche, est implanté à 7 km.
C'est le quartier préféré des voyageurs visitant Toulouse, selon les commentaires clients indépendants.
L'établissement 2br in Toulouse colors with balcony close to the train station Welkeys accueille des clients Booking.com depuis le 13 oct. 2020."
Lagrange Aparthotel Toulouse Saint-Michel,https://www.booking.com/hotel/fr/privila-ge-appart-guillaumet.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AsPMy50GwAIB0gIkNzMyNWI2NGQtYjBhMC00NmJiLTkwMzAtYzVjNDZmYTFkNmY32AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=ce6c63e7ed5f00b4&srepoch=1672668752&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,8",3 100 expériences vécues,"Toulouse Sud-Est, Toulouse","36 Grande Rue Saint Michel, 31400 Toulouse, France","1.421830052415,43.5696704994061,1.47152782054795,43.6056013325523","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Lagrange Aparthotel Toulouse Saint-Michel ! Connectez-vous pour économiser.
Le Lagrange Aparthotel Toulouse Saint-Michel est situé à seulement 160 mètres de la station de métro Saint-Michel, à 10 minutes à pied du musée d'histoire naturelle et à 1,5 km du stade de Toulouse. Il possède une salle de sport ainsi que des terrains de badminton et de pétanque.
Les appartements et les studios disposent de la climatisation, d'une télévision à écran LCD et d'une salle de bains privative.
Vous pourrez lire le journal tout en dégustant votre petit-déjeuner sur la terrasse commune. Par ailleurs, vous aurez la possibilité de préparer vos repas dans la kitchenette de votre hébergement, équipée de plaques de cuisson et d'un micro-ondes.
La connexion Wi-Fi est gratuite dans tout l'établissement, tandis que le parking privé est accessible moyennant des frais supplémentaires. Vous rejoindrez le Pont-Neuf et le musée Georges Labit en 20 minutes de marche. Enfin, l'établissement se trouve à 35 minutes en tramway de l'aéroport de Toulouse-Blagnac.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,2 pour un séjour à deux.
L'établissement Lagrange Aparthotel Toulouse Saint-Michel accueille des clients Booking.com depuis le 10 mai 2012.
Chaîne hôtelière/marque: Lagrange City"
Aparthotel Adagio Access Toulouse Jolimont,https://www.booking.com/hotel/fr/citea-toulouse-jolimont.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AsPMy50GwAIB0gIkNzMyNWI2NGQtYjBhMC00NmJiLTkwMzAtYzVjNDZmYTFkNmY32AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=ce6c63e7ed5f00b4&srepoch=1672668752&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,6",2 489 expériences vécues,"Toulouse Est, Toulouse","11 avenue Léon Blum, 31500 Toulouse, France","1.43820178028832,43.5967933573582,1.48792195800056,43.6327241905044","Situé à Toulouse, à seulement 10 mètres de la station de métro Jolimont (ligne A) et à 5 km du stade, l'Aparthotel Adagio Access Toulouse Jolimont appartient à la gamme Adagio Access. Il compte une piscine extérieure ainsi que des appartements avec la climatisation et une connexion Wi-Fi gratuite.
Tous les studios de l'Adagio Access Toulouse Jolimont disposent d'une télévision par satellite ainsi que d'une salle de bains privative. Vous trouverez également un parking public à proximité.
Le Toulouse Jolimont Hotel comporte une réception ouverte 24h/24. Il se trouve à 800 mètres de la gare Matabiau et à 20 minutes de marche, soit 3 stations de métro, de la place du Capitole.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,2 pour un séjour à deux.
L'établissement Aparthotel Adagio Access Toulouse Jolimont accueille des clients Booking.com depuis le 18 févr. 2006.
Chaîne hôtelière/marque: Adagio Access Aparthotels"
