name,link,review_score,review_count,area,address,hotel_latitude,hotel_longitude,description
Hilton Garden Inn Le Havre Centre,https://www.booking.com/hotel/fr/hilton-garden-inn-le-havre-centre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtyQ0Z0GwAIB0gIkOThjMWY5YmMtMDM4OS00ZjI1LTk3MmUtYWJiMjU4ZTM2NjY42AIG4AIB&sid=de2e315f2c1cdda82db4dd3bf15a09d3&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=dc4f6c343e42035f&srepoch=1672759401&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,7",1 100 expériences vécues,"Perret, Le Havre","128 Boulevard Clemenceau, Perret, 76600 Le Havre, France",49.49008699,0.09774696,"Le Hilton Garden Inn Le Havre Centre est situé sur le front de mer du Havre, à 350 mètres de la plage et à 300 mètres de l'église Saint-Joseph. Vous séjournerez à proximité du musée des Beaux-Arts André Malraux, de l'école de commerce de Normandie et du musée Maison de l'Armateur. Il propose une réception ouverte 24h/24, un service d'étage et une bagagerie.
Tous les logements comprennent un petit réfrigérateur.
L'hôtel sert un petit-déjeuner buffet et continental.
Les lieux d'intérêt à proximité du Hilton Garden Inn Le Havre Centre incluent le Volcan, l'appartement témoin Perret et l'église Saint-Joseph. L'aéroport de Deauville-Normandie, le plus proche, est à 15 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement Hilton Garden Inn Le Havre Centre accueille des clients Booking.com depuis le 21 oct. 2021.
Chaîne hôtelière/marque: Hilton Garden Inn"
Holiday Inn Express - Le Havre Centre,https://www.booking.com/hotel/fr/campanile-le-havre-centre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtyQ0Z0GwAIB0gIkOThjMWY5YmMtMDM4OS00ZjI1LTk3MmUtYWJiMjU4ZTM2NjY42AIG4AIB&sid=de2e315f2c1cdda82db4dd3bf15a09d3&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=dc4f6c343e42035f&srepoch=1672759401&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,2",2 883 expériences vécues,Le Havre,"126 Cours De La Republique, 76600 Le Havre, France",49.49823800,0.12883700,"L’Holiday Inn Express - Le Havre Centre, situé dans le centre-ville du Havre et à 600 mètres de la gare SNCF, vous accueille pour un séjour professionnel et de loisirs. Il bénéficie d’une situation idéale pour rejoindre rapidement le centre-ville ou la plage par le tramway, accessible devant l'hôtel. Vous apprécierez la qualité des prestations : connexion Wi-Fi, collations, petit-déjeuner buffet et bar-salon. Afin de faciliter votre arrivée en voiture, vous pourrez profiter du parking privé de l’établissement.
. Réservez l’une des grandes chambres confortables de l’hôtel pour profiter de votre séjour.
L'établissement Holiday Inn Express - Le Havre Centre accueille des clients Booking.com depuis le 29 mars 2017.
Chaîne hôtelière/marque: Holiday Inn Express"
"The Originals Boutique, Hôtel Le Marignan,Le Havre Centre Gare",https://www.booking.com/hotel/fr/la-baraka.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtyQ0Z0GwAIB0gIkOThjMWY5YmMtMDM4OS00ZjI1LTk3MmUtYWJiMjU4ZTM2NjY42AIG4AIB&sid=de2e315f2c1cdda82db4dd3bf15a09d3&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=dc4f6c343e42035f&srepoch=1672759401&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,9",972 expériences vécues,"Perret, Le Havre","211 Boulevard de Strasbourg, Perret, 76600 Le Havre, France",49.49227908,0.12310803,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement The Originals Boutique, Hôtel Le Marignan,Le Havre Centre Gare ! Connectez-vous pour économiser.
Situé au Havre, à moins de 2,3 km de la plage, L'établissement The Originals Boutique, Hôtel Le Marignan, Le Havre Centre Gare propose des services de concierge, des chambres pour les personnes souffrant d'allergies, une terrasse, une connexion Wi-Fi gratuite dans l'ensemble de ses locaux et un bar. Vous séjournerez à 2 km de l'église Saint-Joseph, à 23 km du musée d'ethnographie et d'art populaire normand et du vieux port de Honfleur. L'établissement propose un karaoké et un service d'étage.
Les logements comprennent une télévision par satellite à écran plat et un coffre-fort. Leur salle de bains privative est pourvue d'une douche et d'articles de toilette gratuits. Certains logements offrent une vue sur la ville. Toutes les chambres disposent d'un bureau.
Un petit-déjeuner buffet, continental ou américain est servi chaque matin.
Parlant français et anglais, le personnel de la réception ouverte 24h/24 se fera un plaisir de vous aider à tout moment de la journée.
Vous séjournerez à proximité du Volcan, de l'église Saint-Michel et de l'appartement témoin Perret. L'aéroport le plus proche, celui de Deauville-Normandie, est situé à 37 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,3 pour un séjour à deux.
L'établissement The Originals Boutique, Hôtel Le Marignan,Le Havre Centre Gare accueille des clients Booking.com depuis le 20 avr. 2017.
Chaîne hôtelière/marque: The Originals Boutique
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Odalys City Le Havre Centre Gare,https://www.booking.com/hotel/fr/odalys-city-le-havre-centre-gare.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtyQ0Z0GwAIB0gIkOThjMWY5YmMtMDM4OS00ZjI1LTk3MmUtYWJiMjU4ZTM2NjY42AIG4AIB&sid=de2e315f2c1cdda82db4dd3bf15a09d3&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=dc4f6c343e42035f&srepoch=1672759401&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,7",373 expériences vécues,"Perret, Le Havre","25 Cours Commandant Fratacci, Perret, 76600 Le Havre, France",49.49190808,0.12316179,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Odalys City Le Havre Centre Gare ! Connectez-vous pour économiser.
Situé au Havre, à 2,4 km de la plage, l'Odalys City Le Havre Centre Gare propose des hébergements climatisés avec connexion Wi-Fi gratuite.
Tous les logements disposent d'une kitchenette entièrement équipée avec machine à café, d'un salon avec télévision à écran plat ainsi que d'une salle de bains privative avec sèche-cheveux et douche. Un réfrigérateur, un lave-vaisselle, un micro-ondes et une bouilloire sont également disponibles.
Cet appart'hôtel sert un petit-déjeuner buffet chaque matin.
Vous séjournerez à proximité du Volcan, de l'appartement témoin Perret et de l'église Saint-Michel. L'aéroport de Deauville-Normandie, le plus proche, est à 37 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,6 pour un séjour à deux.
L'établissement Odalys City Le Havre Centre Gare accueille des clients Booking.com depuis le 17 juin 2022.
Chaîne hôtelière/marque: Odalys City/Campus"
Premiere Classe Le Havre Centre-LES DOCKS,https://www.booking.com/hotel/fr/premiere-classe-le-havre-centre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtyQ0Z0GwAIB0gIkOThjMWY5YmMtMDM4OS00ZjI1LTk3MmUtYWJiMjU4ZTM2NjY42AIG4AIB&sid=de2e315f2c1cdda82db4dd3bf15a09d3&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=dc4f6c343e42035f&srepoch=1672759401&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,6",2 127 expériences vécues,Le Havre,"Rue Nungesser et Coli, 76600 Le Havre, France",49.49641693,0.15151234,"Le Premiere Classe Le Havre Centre-LES DOCKS est idéalement situé à proximité du stade Océane et des quais.
Vous profiterez d’un accueil personnalisé 24h/24 avec parking privé et sécurisé.
Les 86 chambres modernes sur place comprennent une salle de bains privative pourvue d’une douche, une télévision à écran plat et une connexion Wi-Fi gratuite.
Un petit-déjeuner buffet est servi tous les jours dans la salle dédiée ou sur la terrasse lorsque le temps le permet.
Vous pourrez découvrir le patrimoine historique et culturel notamment l'église Saint Joseph, la Maison de l'armateur, le musée MUMA, etc.
Vous trouverez la gare à 15 minutes à pied, vous bénéficierez également d’un accès facile aux différents transports pour découvrir la Normandie : Étretat, Honfleur, Deauville.
Vous aurez la possibilité de vous reposer sur la plage lors de votre séjour.
L'établissement Premiere Classe Le Havre Centre-LES DOCKS accueille des clients Booking.com depuis le 22 sept. 2016.
Chaîne hôtelière/marque: Premiere Classe"
Hotel Spa Le Pasino,https://www.booking.com/hotel/fr/pasino.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtyQ0Z0GwAIB0gIkOThjMWY5YmMtMDM4OS00ZjI1LTk3MmUtYWJiMjU4ZTM2NjY42AIG4AIB&sid=de2e315f2c1cdda82db4dd3bf15a09d3&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=dc4f6c343e42035f&srepoch=1672759401&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,4",940 expériences vécues,"Perret, Le Havre","Place Jules Ferry, Perret, 76600 Le Havre, France",49.49117449,0.11193663,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hotel Spa Le Pasino ! Connectez-vous pour économiser.
Situé au cœur du Havre, l'Hotel Spa le Pasino dispose d'une piscine intérieure, d'un spa avec un sauna et d'un casino sur place.
Les chambres climatisées comprennent toutes une télévision à écran plat ainsi qu'un lit queen-size. Certaines offrent une vue sur le port. Leur salle de bains privative est pourvue d'un sèche-cheveux et de peignoirs.
Chaque matin, un petit-déjeuner buffet est servi. Vous pourrez le prendre dans le confort de votre chambre.
Une connexion Wi-Fi gratuite est accessible dans l'ensemble de l'Hotel Spa le Pasino. Lors de votre séjour, vous pourrez faire de l'exercice dans la salle de sport ou vous détendre dans le jacuzzi du spa.
Un parking privé est disponible gratuitement sur place. La gare du Havre se trouve à 6 minutes de route. Le musée Malraux est accessible à 1 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour à deux.
L'établissement Hotel Spa Le Pasino accueille des clients Booking.com depuis le 27 oct. 2006."
Séjour chez le Marin,https://www.booking.com/hotel/fr/sejour-chez-le-marin.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtyQ0Z0GwAIB0gIkOThjMWY5YmMtMDM4OS00ZjI1LTk3MmUtYWJiMjU4ZTM2NjY42AIG4AIB&sid=de2e315f2c1cdda82db4dd3bf15a09d3&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=dc4f6c343e42035f&srepoch=1672759401&from_beach_sr=1&from=searchresults#hotelTmpl,"7,8",49 expériences vécues,Le Havre,"35 Boulevard Amiral Mouchez, 76600 Le Havre, France",49.48451380,0.13251530,"Le Séjour chez le Marin propose un hébergement au Havre, à 2,5 km de l'appartement témoin Perret, à 3 km de l'église Saint-Michel et à 3,2 km de l'église Saint-Joseph. Vous séjournerez à 2,5 km du Volcan. Vous bénéficierez gratuitement d'un parking privé sur place et d'une connexion Wi-Fi.
Cet appartement comprend 2 chambres, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi qu'une salle de bains pourvue d'une douche et d'un sèche-cheveux. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 22 km du musée d'ethnographie et d'art populaire normand et du vieux port de Honfleur. L'aéroport de Deauville-Normandie, le plus proche, est à 35 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,4 pour un séjour à deux.
L'établissement Séjour chez le Marin accueille des clients Booking.com depuis le 26 nov. 2019.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Nomad Hotel le Havre,https://www.booking.com/hotel/fr/nomad-le-havre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtyQ0Z0GwAIB0gIkOThjMWY5YmMtMDM4OS00ZjI1LTk3MmUtYWJiMjU4ZTM2NjY42AIG4AIB&sid=de2e315f2c1cdda82db4dd3bf15a09d3&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=dc4f6c343e42035f&srepoch=1672759401&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,4",2 771 expériences vécues,Le Havre,"5 rue Magellan, 76600 Le Havre, France",49.49331760,0.12530688,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Nomad Hotel le Havre ! Connectez-vous pour économiser.
Le Nomad Hotel Le Havre propose des chambres climatisées, dotées d'une connexion Wi-Fi gratuite et décorées dans un style moderne. Situé à 900 mètres du centre commercial Dock Océane, l'établissement possède un bar. Vous pourrez rejoindre la mairie et le centre-ville du Havre en 5 minutes de route.
Toutes les chambres sont équipées d'une tablette et d'un vidéo projecteur. Chacune comprend une salle de bains pourvue d'une douche et d'articles de toilette gratuits.
L'hôtel sert chaque jour le petit-déjeuner. Vous trouverez plusieurs commerces, bars et restaurants dans les environs.
Le Nomad Hotel Le Havre se situe à 2 minutes à pied de la gare du Havre et à 2 km du Musée d’art moderne André Malraux (MuMa).
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,5 pour un séjour à deux.
L'établissement Nomad Hotel le Havre accueille des clients Booking.com depuis le 29 juin 2015."
Birgit Hôtel Le Havre Centre,https://www.booking.com/hotel/fr/kyriadlehavrecentre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtyQ0Z0GwAIB0gIkOThjMWY5YmMtMDM4OS00ZjI1LTk3MmUtYWJiMjU4ZTM2NjY42AIG4AIB&sid=de2e315f2c1cdda82db4dd3bf15a09d3&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=dc4f6c343e42035f&srepoch=1672759401&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,0",150 expériences vécues,Le Havre,"Quai Colbert, 76600 Le Havre, France",49.49308921,0.13096154,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Birgit Hôtel Le Havre Centre ! Connectez-vous pour économiser.
Bienvenue à Birgit !
Pour visiter Le Havre, rien de mieux que de séjourner dans cet hôtel de 86 chambres entièrement rénové en 2022. Profitez de l'ambiance conviviale entourée d'objets anciens et de souvenirs de voyage.
Situé à proximité du centre-ville, de la gare et des transports en commun, vous pourrez rejoindre la plage et l'esplanade du Havre en 10 minutes.
Séjournez dans des chambres confortables et design, adaptées aux couples, aux familles, aux amis et aux voyageurs d'affaires.
Savourez le petit déjeuner concocté avec amour à partir de produits sains et locaux. Prenez le temps de déguster une des boissons locales dans le bar.
L'hôtel B!rgit Le Havre est la base idéale pour vos déplacements en famille ou entre amis et sera parfait pour une pause lors d'un déplacement professionnel.
L'établissement Birgit Hôtel Le Havre Centre accueille des clients Booking.com depuis le 19 oct. 2005."
Le Richelieu,https://www.booking.com/hotel/fr/le-richelieu-le-havre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtyQ0Z0GwAIB0gIkOThjMWY5YmMtMDM4OS00ZjI1LTk3MmUtYWJiMjU4ZTM2NjY42AIG4AIB&sid=de2e315f2c1cdda82db4dd3bf15a09d3&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=dc4f6c343e42035f&srepoch=1672759401&from_beach_sr=1&from=searchresults#hotelTmpl,"6,8",928 expériences vécues,"Perret, Le Havre","132 rue de Paris, Perret, 76600 Le Havre, France",49.48881105,0.10760218,"Le Citotel Le Richelieu est situé entre la mairie et la cathédrale, au cœur du Havre, à seulement 10 minutes à pied de la plage et à 24 km d'Honfleur. Toutes les chambres se trouvent aux étages supérieurs et disposent d'une télévision par satellite, d'une salle de bains privative et d'une connexion Wi-Fi gratuite.
Un petit-déjeuner est servi tous les jours dans la salle à manger. L'hôtel met également gratuitement des journaux à votre disposition.
L'embarcadère des ferries est accessible à seulement 500 mètres. L'hôtel est situé à proximité de divers restaurants, théâtres et cinémas et à 44 km de Deauville.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,4 pour un séjour à deux.
L'établissement Le Richelieu accueille des clients Booking.com depuis le 7 juil. 2009."
