name,link,review_score,review_count,area,address,hotel_latitude,hotel_longitude,description
Colmar Hotel,https://www.booking.com/hotel/fr/colmar.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Au3A0Z0GwAIB0gIkODBlNThhZWMtM2FmZi00ODUzLTgxOWItYzQ5YzEwMjYzODQ52AIG4AIB&sid=f3b4a39c3b87af14f256dac855d85be0&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=57d6783c47d8004f&srepoch=1672765561&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,0",6 064 expériences vécues,Colmar,"14 route de Rouffach, 68000 Colmar, France",48.07080074,7.34638973,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Colmar Hotel ! Connectez-vous pour économiser.
Le Colmar Hotel vous accueille à Colmar, à 1 km de la Maison des Têtes et à 1,2 km de la place des Dominicains, où se déroule le marché de Noël. Il possède une réception ouverte 24h/24 et un bar. Vous profiterez gratuitement d'une connexion Wi-Fi et d'un parking privé en face de l'hôtel.
Toutes les chambres comprennent une télévision par satellite à écran plat, une bouilloire ainsi qu'une salle de bains privative pourvue d'articles de toilette gratuits et d'un sèche-cheveux.
Un parking gratuit et un parking sécurisé payant sont disponibles sur place. Vous séjournerez à 1,1 km de la collégiale Saint-Martin et à 3,5 km du parc des expositions Colmar Expo. L'aéroport de Bâle-Mulhouse-Fribourg, le plus proche, se trouve à 54 km du Colmar Hotel.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,7 pour un séjour à deux.
L'établissement Colmar Hotel accueille des clients Booking.com depuis le 23 févr. 2016."
Ibis Budget Colmar Centre Gare,https://www.booking.com/hotel/fr/ibis-budget-colmar-centre-ville.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Au3A0Z0GwAIB0gIkODBlNThhZWMtM2FmZi00ODUzLTgxOWItYzQ5YzEwMjYzODQ52AIG4AIB&sid=f3b4a39c3b87af14f256dac855d85be0&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=57d6783c47d8004f&srepoch=1672765561&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,0",4 000 expériences vécues,"Centre-ville de Colmar, Colmar","15 Rue Stanislas, 68000 Colmar, France",48.07969759,7.35236159,"Colmar - séjournez au cœur de la ville – Très bon emplacement - voir la carte
L'ibis budget Colmar Centre Ville vous accueille à Colmar, dans le quartier du centre-ville, à 300 mètres de la Maison des Têtes et à 600 mètres de la collégiale Saint-Martin.
Les chambres possèdent une télévision par satellite.
Le parc des expositions Colmar Expo se trouve à 2,5 km de l'ibis budget Colmar Centre Ville. Vous rejoindrez le théâtre de Colmar à 200 mètres. L'aéroport de Bâle-Mulhouse-Fribourg, le plus proche, est implanté à 55 km.
C'est le quartier préféré des voyageurs visitant Colmar, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,4 pour un séjour à deux.
L'établissement Ibis Budget Colmar Centre Gare accueille des clients Booking.com depuis le 5 août 2016.
Chaîne hôtelière/marque: ibis Budget"
Appartement Bredala,https://www.booking.com/hotel/fr/bredala.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Au3A0Z0GwAIB0gIkODBlNThhZWMtM2FmZi00ODUzLTgxOWItYzQ5YzEwMjYzODQ52AIG4AIB&sid=f3b4a39c3b87af14f256dac855d85be0&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=57d6783c47d8004f&srepoch=1672765561&from=searchresults#hotelTmpl,"8,7",25 expériences vécues,"Centre-ville de Colmar, Colmar","14 rue des Serruriers, 68000 Colmar, France",48.07805253,7.35612649,"Colmar - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Appartement Bredala ! Connectez-vous pour économiser.
L'hébergement Bredala se situe à Colmar, à 100 mètres de la Maison des Têtes, à 300 mètres de la collégiale Saint-Martin et à 2,6 km du parc des expositions de la ville. Une connexion Wi-Fi gratuite est disponible dans l'ensemble de ses locaux.
Cet appartement comprend une télévision à écran plat, une salle de bains privative pourvue d'une douche ainsi qu'une cuisine équipée d'un four et d'un lave-vaisselle. Le linge de lit et les serviettes sont fournis.
Enfin, le Bredala se trouve à 100 mètres de l'église des Dominicains, à 200 mètres de l'église protestante Saint-Matthieu et à 55 km de l'aéroport de Bâle - Mulhouse - Fribourg (le plus proche).
C'est le quartier préféré des voyageurs visitant Colmar, selon les commentaires clients indépendants.
L'établissement Appartement Bredala accueille des clients Booking.com depuis le 13 juin 2016."
Hotel Arc-En-Ciel Colmar Contact Hotel,https://www.booking.com/hotel/fr/arc-en-ciel-hexagone.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Au3A0Z0GwAIB0gIkODBlNThhZWMtM2FmZi00ODUzLTgxOWItYzQ5YzEwMjYzODQ52AIG4AIB&sid=f3b4a39c3b87af14f256dac855d85be0&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=57d6783c47d8004f&srepoch=1672765561&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,0",2 268 expériences vécues,Colmar,"38, Route De Sélestat, 68000 Colmar, France",48.08745399,7.36068696,"L'Hotel Arc-En-Ciel Colmar Contact Hotel vous accueille dans un cadre verdoyant, à seulement 1 km du centre-ville de Colmar, de ses sites historiques et attractions.
Toutes les chambres standard disposent d'une salle de bains privative moderne, d'une télévision ainsi que d'une connexion Wi-Fi gratuite par fibre optique. Des chambres communicantes sont également disponibles.
Cet établissement constitue un pied-à-terre de choix pour explorer la Route des Vins, les villages pittoresques des environs et les parcs de loisirs. Vous pourrez également découvrir la gastronomie régionale et les vins locaux.
L'hôtel propose également un parking privé gratuit, un hangar à vélos, une terrasse extérieure et une véranda où vous pourrez prendre votre petit-déjeuner ou profiter d'un moment de calme.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,2 pour un séjour à deux.
L'établissement Hotel Arc-En-Ciel Colmar Contact Hotel accueille des clients Booking.com depuis le 14 mars 2007."
"Studio ""PFISTER""",https://www.booking.com/hotel/fr/chambre-quot-pfister-quot.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Au3A0Z0GwAIB0gIkODBlNThhZWMtM2FmZi00ODUzLTgxOWItYzQ5YzEwMjYzODQ52AIG4AIB&sid=f3b4a39c3b87af14f256dac855d85be0&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=57d6783c47d8004f&srepoch=1672765561&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,9",103 expériences vécues,"Centre-ville de Colmar, Colmar","1 floor 23 rue des têtes, 68000 Colmar, France",48.07848575,7.35530664,"Colmar - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Studio ""PFISTER"" ! Connectez-vous pour économiser.
Doté d'une connexion Wi-Fi gratuite, le Studio ""PFISTER"" est situé dans le centre de Colmar, à moins de 100 mètres de la Maison des Têtes et à 500 mètres de la collégiale Saint-Martin. Cet appartement se trouve à 28 km du château du Haut Koenigsbourg et à 42 km du parc des expositions de Mulhouse.
L'appartement comprend une télévision par satellite à écran plat. Les serviettes et le linge de lit sont fournis.
La région est prisée pour pratiquer le vélo et la randonnée. Un service de location de voitures est assuré sur place.
Le Studio ""PFISTER"" se trouve à 1,1 km de la gare de Colmar et à 3,5 km du parc des expositions Colmar Expo. L'aéroport de Bâle-Mulhouse-Fribourg, le plus proche, est implanté à 56 km.
C'est le quartier préféré des voyageurs visitant Colmar, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,9 pour un séjour à deux.
L'établissement Studio ""PFISTER"" accueille des clients Booking.com depuis le 3 avr. 2016.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Hôtel Roi Soleil Colmar,https://www.booking.com/hotel/fr/roi-soleil.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Au3A0Z0GwAIB0gIkODBlNThhZWMtM2FmZi00ODUzLTgxOWItYzQ5YzEwMjYzODQ52AIG4AIB&sid=f3b4a39c3b87af14f256dac855d85be0&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=57d6783c47d8004f&srepoch=1672765561&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,8",2 593 expériences vécues,Colmar,"1B rue des Frères Lumière, 68000 Colmar, France",48.11247800,7.36766875,"L'Hôtel Roi Soleil Colmar est installé dans le quartier de Colmar-Nord, à 5 km du centre-ville. Il comprend la climatisation, une connexion Wi-Fi gratuite et un petit-déjeuner buffet à volonté.
Toutes les chambres insonorisées de l'Hôtel Roi Soleil Colmar incluent des équipements modernes, comme une télévision par câble à écran plat. Elles possèdent aussi une salle de bains privative.
Vous pourrez profiter du jardin du Soleil Colmar.
Le parking de l'Hôtel Roi Soleil est gratuit et sera pratique si vous souhaitez partir à la découverte de Colmar et du vignoble alsacien environnant avec votre voiture.
L'établissement Hôtel Roi Soleil Colmar accueille des clients Booking.com depuis le 18 août 2010."
"Appartement avec terrasse ""MUSSLIN""",https://www.booking.com/hotel/fr/appartement-quot-musslin-quot.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Au3A0Z0GwAIB0gIkODBlNThhZWMtM2FmZi00ODUzLTgxOWItYzQ5YzEwMjYzODQ52AIG4AIB&sid=f3b4a39c3b87af14f256dac855d85be0&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=57d6783c47d8004f&srepoch=1672765561&from=searchresults#hotelTmpl,"9,6",49 expériences vécues,"Centre-ville de Colmar, Colmar","25 Rue des Têtes, 68000 Colmar, France",48.07847974,7.35522133,"Colmar - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Appartement avec terrasse ""MUSSLIN"" ! Connectez-vous pour économiser.
Situé à seulement 100 mètres de la Maison des Têtes, l'Appartement avec terrasse ""MUSSLIN"" est un établissement 3 étoiles bénéficiant d'un emplacement privilégié dans le centre de Colmar. Cet appartement 3 étoiles se trouve à 500 mètres de la collégiale Saint-Martin.
Offrant une vue sur la ville, cet appartement dispose d'une terrasse, de 2 chambres, d'un salon, d'une télévision à écran plat, d'une cuisine équipée avec un réfrigérateur et un four, ainsi que d'une salle de bains pourvue d'une douche. Les serviettes et le linge de lit sont fournis.
Un barbecue est à votre disposition sur place.
Vous séjournerez à 1,1 km de la gare de Colmar et à 3,5 km du parc des expositions Colmar Expo. L'aéroport de Bâle-Mulhouse-Fribourg, le plus proche, est implanté à 56 km.
C'est le quartier préféré des voyageurs visitant Colmar, selon les commentaires clients indépendants.
L'établissement Appartement avec terrasse ""MUSSLIN"" accueille des clients Booking.com depuis le 19 avr. 2017.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Colmar - Le Nichoir - Centre historique - Wifi,https://www.booking.com/hotel/fr/colmar-le-nichoir-centre-historique-wifi.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Au3A0Z0GwAIB0gIkODBlNThhZWMtM2FmZi00ODUzLTgxOWItYzQ5YzEwMjYzODQ52AIG4AIB&sid=f3b4a39c3b87af14f256dac855d85be0&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=57d6783c47d8004f&srepoch=1672765561&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,2",4 expériences vécues,"Centre-ville de Colmar, Colmar","4 Rue du Conseil Souverain, 68000 Colmar, France",48.07541420,7.35870350,"Colmar - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Colmar - Le Nichoir - Centre historique - Wifi ! Connectez-vous pour économiser.
Le Colmar - Le Nichoir - Centre historique - Wifi in Colmar est un hébergement avec une connexion Wi-Fi gratuite situé à 90 mètres de la collégiale Saint-Martin, à 500 mètres de la maison des Têtes et à 1,2 km de la gare ferroviaire de Colmar. Aménagé dans un bâtiment datant de 1990, cet hébergement se trouve également à 3,9 km de Colmar Expo et à 28 km du château du Haut Koenigsbourg.
L’appartement comprend 1 chambre, une télévision à écran plat, un lave-linge et une salle de bains pourvue d'une douche. Sa cuisine équipée comporte un lave-vaisselle et un micro-ondes. Les serviettes de toilette et le linge de lit sont fournis.
L’appartement se trouve à 41 km de la gare ferroviaire de Mulhouse et à 42 km du parc des expositions de Mulhouse. L'aéroport le plus proche est l'EuroAirport Bâle-Mulhouse-Fribourg, à 55 km du Colmar - Le Nichoir - Centre historique - Wifi.
C'est le quartier préféré des voyageurs visitant Colmar, selon les commentaires clients indépendants.
L'établissement Colmar - Le Nichoir - Centre historique - Wifi accueille des clients Booking.com depuis le 25 nov. 2022.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Résidence Pierre & Vacances La Petite Venise,https://www.booking.com/hotel/fr/la-petite-venise.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Au3A0Z0GwAIB0gIkODBlNThhZWMtM2FmZi00ODUzLTgxOWItYzQ5YzEwMjYzODQ52AIG4AIB&sid=f3b4a39c3b87af14f256dac855d85be0&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=57d6783c47d8004f&srepoch=1672765561&from=searchresults#hotelTmpl,"8,2",1 419 expériences vécues,Colmar,"11 avenue Joffre, 68000 Colmar, France",48.07093986,7.35386556,"La résidence Pierre & Vacances La Petite Venise est située au cœur de Colmar, dans le quartier de la Petite Venise, à 650 mètres de la gare de la ville. Elle propose une piscine intérieure avec une pataugeoire et un jardin doté d'une aire de jeux.
Décorés dans un style contemporain, tous les hébergements comprennent un coin salon et une télévision. La plupart possèdent un balcon ou une terrasse, sous réserve de disponibilité. Leur cuisine est équipée d'un four ou d'un micro-ondes, d'un lave-vaisselle et d'un réfrigérateur.
Moyennant un supplément, vous pourrez déguster un petit-déjeuner chaque matin dans la salle à manger pourvue d'une terrasse. De plus, des produits de boulangerie seront livrés à votre logement si vous en passez la commande la veille au soir auprès de la réception.
Vous séjournerez à 10 km d'Eguisheim. Enfin, l'aéroport de Bâle-Mulhouse-Fribourg se trouve à 56 km de la résidence Pierre & Vacances La Petite Venise.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement Résidence Pierre & Vacances La Petite Venise accueille des clients Booking.com depuis le 13 oct. 2015.
Chaîne hôtelière/marque: Pierre & Vacances Résidences"
Grand studio Colmar Centre,https://www.booking.com/hotel/fr/grand-studio-colmar.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Au3A0Z0GwAIB0gIkODBlNThhZWMtM2FmZi00ODUzLTgxOWItYzQ5YzEwMjYzODQ52AIG4AIB&sid=f3b4a39c3b87af14f256dac855d85be0&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=57d6783c47d8004f&srepoch=1672765561&from=searchresults#hotelTmpl,"9,3",76 expériences vécues,"Centre-ville de Colmar, Colmar","10 Rue De La Porte Neuve, 68000 Colmar, France",48.07626750,7.35551190,"Colmar - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Le Grand studio Colmar Centre est un établissement 4 étoiles idéalement situé dans le centre de Colmar, à seulement 300 mètres de la Maison des Têtes. Cet appartement 4 étoiles se trouve à moins de 1 km de la gare de Colmar.
Cet appartement comprend une chambre, une télévision par satellite à écran plat, une cuisine équipée avec un réfrigérateur et un four, ainsi qu'une salle de bains pourvue d'une douche. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 300 mètres de la collégiale Saint-Martin et à 4,2 km du parc des expositions Colmar Expo. L'aéroport le plus proche, celui de Bâle-Mulhouse-Fribourg, est situé à 55 km.
C'est le quartier préféré des voyageurs visitant Colmar, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement Grand studio Colmar Centre accueille des clients Booking.com depuis le 14 sept. 2015.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
