name,link,review_score,review_count,area,address,hotel_latitude,hotel_longitude,description
James Vignoble Hôtel - Eguisheim,https://www.booking.com/hotel/fr/saint-hubert-eguisheim.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtTH0Z0GwAIB0gIkM2IwNTM5MTQtMDJjNy00N2E5LTk3Y2ItNWQ5YjMzOGRlYmVi2AIG4AIB&sid=bab1337d6e3ff4fd0a1734854f6766ea&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=f9b979f03bc00026&srepoch=1672766433&from=searchresults#hotelTmpl,"8,6",1 242 expériences vécues,Eguisheim,"6 rue des 3 Pierres, 68420 Eguisheim, France",48.04496277,7.30157845,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement James Vignoble Hôtel - Eguisheim ! Connectez-vous pour économiser.
Le James Vignoble Hôtel - Eguisheim vous accueille en plein cœur du vignoble d'Eguisheim. Il offre une vue spectaculaire sur la Forêt-Noire.
L'établissement est équipé de deux piscines dont une extérieure chauffée à 29°C (Fermée en hiver, ouverte selon les conditions climatiques et les saisons). L’espace détente est ouvert et dispose d'une piscine couverte chauffée à 29°C. Il comprend également un bain à remous et un sauna panoramique. L'accès est gratuit pour les clients de l'hôtel. Des peignoirs, des serviettes et des tongs sont proposés à la réception, moyennant des frais supplémentaires.
Les 31 chambres meublées sont pourvues d’une salle de bains privative. Chaque chambre est équipée d'une télévision, d'un téléphone, de la climatisation et d'un minibar.
Un petit-déjeuner buffet, composé de mets sucrés et salés, est servi tous les matins. Le petit-déjeuner doit être réservé à l’arrivée. La connexion Wi-Fi est gratuite dans l’ensemble des locaux.
Le stationnement est payant sur place. Vous trouverez plusieurs restaurants à moins de 5 minutes de marche. Le marché de Noël d’Eguisheim se trouve à 500 mètres.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.
L'établissement James Vignoble Hôtel - Eguisheim accueille des clients Booking.com depuis le 20 juil. 2009."
Appartement Le Ch'ti Alsacien,https://www.booking.com/hotel/fr/appartement-le-ch-ti-alsacien.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtTH0Z0GwAIB0gIkM2IwNTM5MTQtMDJjNy00N2E5LTk3Y2ItNWQ5YjMzOGRlYmVi2AIG4AIB&sid=bab1337d6e3ff4fd0a1734854f6766ea&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=f9b979f03bc00026&srepoch=1672766433&from=searchresults#hotelTmpl,"9,1",9 expériences vécues,Eguisheim,"9 Rue Monseigneur Stumpf, 68420 Eguisheim, France",48.04257640,7.30523880,"Situé à Eguisheim, en Alsace, l'Appartement Le Ch'ti Alsacien est un établissement 3 étoiles doté d'une connexion Wi-Fi gratuite. Offrant une vue sur la ville, cet appartement 3 étoiles se trouve à 5,7 km de la gare de Colmar.
Cet appartement comprend 2 chambres, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi qu'une salle de bains pourvue d'une douche et d'un sèche-cheveux. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 6,5 km de la Maison des Têtes et à 7 km de la collégiale Saint-Martin. L'aéroport le plus proche, celui de Bâle-Mulhouse-Fribourg, est situé à 54 km.
L'établissement Appartement Le Ch'ti Alsacien accueille des clients Booking.com depuis le 27 nov. 2021.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Hotel Colmar Vignes Eguisheim,https://www.booking.com/hotel/fr/auberge-des-comtes.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtTH0Z0GwAIB0gIkM2IwNTM5MTQtMDJjNy00N2E5LTk3Y2ItNWQ5YjMzOGRlYmVi2AIG4AIB&sid=bab1337d6e3ff4fd0a1734854f6766ea&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=f9b979f03bc00026&srepoch=1672766433&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,8",973 expériences vécues,Eguisheim,"2 rue des Trois Châteaux, 68420 Eguisheim, France",48.04327133,7.30412185,"Situé à 200 mètres du centre-ville d'Eguishein et à 10 minutes en voiture de Colmar, l'Hotel Colmar Vignes Eguisheim met gratuitement à votre disposition une connexion Wi-Fi ainsi qu'un parking privé.
Les chambres sont équipées d'une télévision. Certaines sont dotées d'un balcon privé.
Chaque matin, un petit-déjeuner buffet est servi.
La route des vins d'Alsace et les Vosges sont facilement accessibles depuis l'Hotel Colmar Vignes Eguisheim.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement Hotel Colmar Vignes Eguisheim accueille des clients Booking.com depuis le 5 févr. 2010.
Chaîne hôtelière/marque: Logis Hôtels"
Résidence Pierre & Vacances Le Clos d'Eguisheim,https://www.booking.com/hotel/fr/residence-pierre-et-vacances-le-clos-d-eguisheim.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtTH0Z0GwAIB0gIkM2IwNTM5MTQtMDJjNy00N2E5LTk3Y2ItNWQ5YjMzOGRlYmVi2AIG4AIB&sid=bab1337d6e3ff4fd0a1734854f6766ea&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=f9b979f03bc00026&srepoch=1672766433&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,0",626 expériences vécues,Eguisheim,"Route De Wettolsheim, 68420 Eguisheim, France",48.04502734,7.31185466,"La Résidence Pierre & Vacances Le Clos d’Eguisheim est située à 700 mètres du centre du village d’Eguisheim en Alsace, le long de la route des vins. La résidence propose une piscine intérieure chauffée et des appartements entièrement équipés.
Dotés d’une terrasse ou d’une loggia pourvue de mobilier de jardin, les appartements entièrement meublés comprennent tous une pièce à vivre séparée, ainsi qu’une salle de bains privative. Leur cuisine est équipée de plaques de cuisson vitrocéramique, d’un réfrigérateur et d’une cafetière. Une connexion Wi-Fi est disponible moyennant des frais supplémentaires. Un service de boulangerie est assuré moyennant des frais supplémentaires.
La Résidence Pierre & Vacances donne sur la colline des Trois-Châteaux. L’établissement se trouve à seulement 6,5 km du centre-ville de Colmar et à 30 km de la frontière allemande. Le parking est gratuit et un service de prêt de livres ou de jeux de société est assuré.
L’établissement est détenteur du label Clé Verte.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour à deux.
L'établissement Résidence Pierre & Vacances Le Clos d'Eguisheim accueille des clients Booking.com depuis le 2 oct. 2007.
Chaîne hôtelière/marque: Pierre & Vacances Résidences"
Brit Hotel Confort La Ferme du Pape,https://www.booking.com/hotel/fr/hostellerie-du-pape.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtTH0Z0GwAIB0gIkM2IwNTM5MTQtMDJjNy00N2E5LTk3Y2ItNWQ5YjMzOGRlYmVi2AIG4AIB&sid=bab1337d6e3ff4fd0a1734854f6766ea&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=f9b979f03bc00026&srepoch=1672766433&from=searchresults#hotelTmpl,"7,7",1 623 expériences vécues,Eguisheim,"10 Grand Rue, 68420 Eguisheim, France",48.04228862,7.30945140,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Brit Hotel Confort La Ferme du Pape ! Connectez-vous pour économiser.
Le Brit Hotel Confort La Ferme du Pape vous accueille à l'entrée d'un charmant village au cœur des vignobles, dans une région gastronomique, à 8 km de Colmar.
Les chambres à la décoration traditionnelle du Brit Hotel Confort La Ferme du Pape sont dotées d'installations modernes, telles qu'une connexion Wi-Fi gratuite.
Le Brit Hotel Confort La Ferme du Pape présente une terrasse ombragée, où vous pourrez savourer des spécialités locales accompagnées de vins de la région.
L'établissement comporte un ascenseur, un parking privé gratuit et des installations pour les personnes à mobilité réduite. Le parcours de golf et les courts de tennis se trouvent à 5 km. Vous rejoindrez la piscine de la ville à 6 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement Brit Hotel Confort La Ferme du Pape accueille des clients Booking.com depuis le 26 juin 2009.
Chaîne hôtelière/marque: Brit Hotel"
notre maison à Eguisheim,https://www.booking.com/hotel/fr/notre-maison-a-eguisheim.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtTH0Z0GwAIB0gIkM2IwNTM5MTQtMDJjNy00N2E5LTk3Y2ItNWQ5YjMzOGRlYmVi2AIG4AIB&sid=bab1337d6e3ff4fd0a1734854f6766ea&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=f9b979f03bc00026&srepoch=1672766433&from=searchresults#hotelTmpl,"9,0",91 expériences vécues,Eguisheim,"33 Rue du Rempart Sud, 68420 Eguisheim, France",48.04159900,7.30616100,"Bénéficiant d'une terrasse et d'une réception ouverte 24h/24, l'établissement notre maison à Eguisheim est bien situé à Eguisheim, à 6 km de la gare de Colmar et à 6,9 km de la Maison des Têtes. Cette maison de vacances dispose d'un jardin, d'un barbecue, ainsi que d'une connexion Wi-Fi et d'un parking privé gratuits.
Dotée d'un lecteur Blu-ray, cette maison de vacances dispose d'une cuisine avec un réfrigérateur, un four et un lave-vaisselle, d'un salon avec des coins salon et repas, de 3 chambres ainsi que de 2 salles de bains avec une douche et une baignoire. Les serviettes et le linge de lit sont fournis.
Vous pourrez pratiquer le ski à proximité.
Vous séjournerez à 7,4 km de la collégiale Saint-Martin et à 10 km du parc des expositions Colmar Expo. L'aéroport le plus proche, celui de Bâle-Mulhouse-Fribourg, est situé à 54 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,8 pour un séjour à deux.
L'établissement notre maison à Eguisheim accueille des clients Booking.com depuis le 18 févr. 2018.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Hôtel L'Auberge Alsacienne,https://www.booking.com/hotel/fr/ha-tel-restaurant-l-auberge-alsacienne.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtTH0Z0GwAIB0gIkM2IwNTM5MTQtMDJjNy00N2E5LTk3Y2ItNWQ5YjMzOGRlYmVi2AIG4AIB&sid=bab1337d6e3ff4fd0a1734854f6766ea&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=f9b979f03bc00026&srepoch=1672766433&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,5",665 expériences vécues,Eguisheim,"12 Grand'Rue, 68420 Eguisheim, France",48.04223841,7.30916776,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel L'Auberge Alsacienne ! Connectez-vous pour économiser.
Situé dans le village d'Eguisheim, en Alsace, l'Hôtel L'Auberge Alsacienne propose des chambres modernes avec salle de bains privative et un restaurant traditionnel. La connexion Wi-Fi est gratuite dans l'ensemble de l'hôtel.
Les chambres insonorisées comprennent une télévision par satellite à écran plat. Un sèche-cheveux et des articles de toilette gratuits sont également fournis.
Un petit-déjeuner buffet vous sera servi tous les matins dans la salle à manger. Le restaurant de l'hôtel propose une cuisine typiquement alsacienne avec des menus à la carte.
Le centre d'Eguisheim se trouve à seulement 300 mètres et la gare SNCF de Colmar est à 6 km. La frontière allemande est très proche et Fribourg est accessible en 1 heure de route.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Hôtel L'Auberge Alsacienne accueille des clients Booking.com depuis le 29 févr. 2012."
La Légende des 2 Pierres,https://www.booking.com/hotel/fr/la-legende-des-2-pierres.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtTH0Z0GwAIB0gIkM2IwNTM5MTQtMDJjNy00N2E5LTk3Y2ItNWQ5YjMzOGRlYmVi2AIG4AIB&sid=bab1337d6e3ff4fd0a1734854f6766ea&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=f9b979f03bc00026&srepoch=1672766433&from=searchresults#hotelTmpl,"9,1",83 expériences vécues,Eguisheim,"93, rue Rempart Sud, 68420 Eguisheim, France",48.04299853,7.30448939,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement La Légende des 2 Pierres ! Connectez-vous pour économiser.
Situé dans le pittoresque village d'Eguisheim, l'appartement indépendant La Légende des 2 Pierres offre une vue sur la montagne. Un local à skis est à votre disposition.
Ce logement climatisé est doté d'un coin salon avec une télévision à écran plat, d'un lave-linge et d'une salle de bains munie d'une douche. La kitchenette est équipée d'un four, d'un four micro-ondes et d'un réfrigérateur.
Une connexion Wi-Fi est accessible gratuitement. Des épiceries et des restaurants vous attendent à quelques pas. Dans les environs, vous pourrez pratiquer la randonnée à pied et à vélo. Colmar se trouve à seulement 15 minutes en voiture.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,9 pour un séjour à deux.
L'établissement La Légende des 2 Pierres accueille des clients Booking.com depuis le 6 juin 2014."
Gîte Nature à Eguisheim***,https://www.booking.com/hotel/fr/gite-nature-a-eguisheim.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtTH0Z0GwAIB0gIkM2IwNTM5MTQtMDJjNy00N2E5LTk3Y2ItNWQ5YjMzOGRlYmVi2AIG4AIB&sid=bab1337d6e3ff4fd0a1734854f6766ea&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=f9b979f03bc00026&srepoch=1672766433&from=searchresults#hotelTmpl,"9,3",39 expériences vécues,Eguisheim,"32 rue rempart sud, 68420 Eguisheim, France",48.04270720,7.30442550,"Situé à Eguisheim, à 5,8 km de la gare de Colmar et à 6,7 km de la Maison des Têtes, le Gîte Nature à EguisheimCette chambre climatisée comprend une connexion Wi-Fi gratuite. Cet appartement se trouve à 35 km du château du Haut Koenigsbourg et à 39 km du parc des expositions de Mulhouse.
Cet appartement comprend 3 chambres, une salle de bains, du linge de lit, des serviettes, une télévision à écran plat, une cuisine entièrement équipée et un balcon avec vue sur la ville. Pour plus de commodité, l'établissement peut fournir des serviettes et du linge de lit moyennant des frais supplémentaires.
Vous pourrez profiter d'une terrasse et d'un barbecue sur place. La région est prisée pour pratiquer la randonnée et le ski.
Vous séjournerez à 7,1 km de la collégiale Saint-Martin et à 10 km du parc des expositions Colmar Expo. L'aéroport le plus proche, celui de Bâle-Mulhouse-Fribourg, est situé à 54 km.***.
L'établissement Gîte Nature à Eguisheim*** accueille des clients Booking.com depuis le 15 avr. 2020.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Les chambres du domaine,https://www.booking.com/hotel/fr/les-chambres-du-domaine.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtTH0Z0GwAIB0gIkM2IwNTM5MTQtMDJjNy00N2E5LTk3Y2ItNWQ5YjMzOGRlYmVi2AIG4AIB&sid=bab1337d6e3ff4fd0a1734854f6766ea&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=f9b979f03bc00026&srepoch=1672766433&from=searchresults#hotelTmpl,"9,3",215 expériences vécues,Eguisheim,"3 Cour Unterlinden, 68420 Eguisheim, France",48.04296300,7.30721600,"Situé à Eguisheim, en Alsace, l'établissement Les chambres du domaine propose gratuitement une connexion Wi-Fi et un parking privé.
Tous les logements disposent d'une salle de bains privative avec douche, de la climatisation, d'une télévision à écran plat et d'un grille-pain.
Ce Bed & Breakfast sert un petit-déjeuner à la carte.
Vous pourrez profiter d'une terrasse sur place et faire de la randonnée dans les environs.
Vous séjournerez à 5,5 km de la gare de Colmar et à 6,3 km de la Maison des Têtes. L'aéroport le plus proche, celui de Bâle-Mulhouse-Fribourg, est situé à 54 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,8 pour un séjour à deux.
L'établissement Les chambres du domaine accueille des clients Booking.com depuis le 8 avr. 2020.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
