name,link,review_score,review_count,area,address,hotel_latitude,hotel_longitude,description
ibis Styles Besançon,https://www.booking.com/hotel/fr/besancon.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ar3O0Z0GwAIB0gIkNWZjZTI2MmQtNDlhZS00NGNhLWJkZTYtZDA2NTI2NmE2Zjdm2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=cfd37ba4d8f70310&srepoch=1672767305&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,8",4 505 expériences vécues,Besançon,"22 bis Rue de Trey, 25000 Besançon, France",47.25425346,6.02163970,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement ibis Styles Besançon ! Connectez-vous pour économiser.
Idéalement situé dans un parc, l'hôtel ibis Styles Besançon se trouve à 15 minutes à pied de la gare TGV et du centre de Besançon. Il met à votre disposition une piscine extérieure dotée d'une terrasse bien exposée ainsi qu'une connexion Wi-Fi gratuite.
Ses chambres climatisées et spacieuses affichent une décoration de style contemporain. Elles comprennent également une télévision à écran LCD et une connexion Wi-Fi gratuite.
L'établissement vous proposera chaque matin un petit-déjeuner buffet. Vous pourrez siroter un verre au bar de l'hôtel ou dîner dans son restaurant. Une aire de jeux pour enfants et des salles de réunion sont également disponibles sur place.
L'hôtel met à votre disposition un parking privé gratuit ainsi qu'une réception ouverte 24h/24. Il se situe à 10 minutes en voiture du parc des expositions Micropolis et à seulement 3,7 km de la citadelle de Besançonet, site classé au patrimoine mondial de l'UNESCO.
L'établissement ibis Styles Besançon accueille des clients Booking.com depuis le 22 juin 2008.
Chaîne hôtelière/marque: ibis Styles"
ibis Besançon Centre Ville,https://www.booking.com/hotel/fr/ibis-besancon-centre-ville.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ar3O0Z0GwAIB0gIkNWZjZTI2MmQtNDlhZS00NGNhLWJkZTYtZDA2NTI2NmE2Zjdm2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=cfd37ba4d8f70310&srepoch=1672767305&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,3",1 648 expériences vécues,"Besancon Old Town, Besançon","21 rue Gambetta, 25000 Besançon, France",47.24045605,6.02599533,"Besançon - séjournez au cœur de la ville – Excellent emplacement - voir la carte
L'ibis Besançon Centre Ville se trouve dans la vieille ville de Besançon, à 500 mètres de la gare de Viotte et à 20 minutes de marche de la citadelle Vauban ainsi que du musée des beaux-arts. Il possède un snack-bar et une réception ouverts 24h/24. Une connexion Wi-Fi est disponible gratuitement.
Toutes les chambres sont climatisées et disposent de parquet, d'un téléphone ainsi que d'une télévision à écran plat. Leur salle de bains privative est pourvue d'une douche et d'un sèche-serviettes.
Un petit-déjeuner buffet composé de plats sucrés et salés tels que des œufs, de la salade de fruits, des yaourts et des jus de fruits est servi tous les matins. Des viennoiseries préparées sur place, des madeleines fraîchement cuites au four ainsi qu'une boisson chaude et un fruit à emporter sont également proposés. Un petit-déjeuner plus léger est disponible à partir de 4h00.
L'ibis Besançon Centre Ville est situé à 18 km de l'autoroute A36. Vous pourrez profiter d'un parking privé sur place moyennant des frais supplémentaires et sous réserve de disponibilité.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement ibis Besançon Centre Ville accueille des clients Booking.com depuis le 16 juil. 2013.
Chaîne hôtelière/marque: ibis"
Best Western Citadelle,https://www.booking.com/hotel/fr/bestwesterncitadelle.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ar3O0Z0GwAIB0gIkNWZjZTI2MmQtNDlhZS00NGNhLWJkZTYtZDA2NTI2NmE2Zjdm2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=cfd37ba4d8f70310&srepoch=1672767305&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,1",1 538 expériences vécues,"Besancon Old Town, Besançon","13 rue du Général Lecourbe, 25000 Besançon, France",47.23154100,6.02658033,"Besançon - séjournez au cœur de la ville – Très bon emplacement - voir la carte
Le Best Western Citadelle est situé dans le centre-ville historique de Besançon, à 5 minutes à pied de la rivière Doubs et de la Citadelle. Vous bénéficierez gratuitement d’une connexion Wi-Fi dans les chambres.
Les chambres comportent la climatisation et une télévision recevant les chaînes Canal+. La salle de bains privative est dotée d’eau chauffée par des panneaux solaires. En outre, l’établissement propose des chambres adaptées aux personnes à mobilité réduite.
L’hôtel sert un petit-déjeuner chaque matin moyennant un supplément. Vous pourrez le déguster dans votre chambre ou sous forme de buffet dans la salle à manger. Un service d’étage est également assuré.
Une borne de recharge pour une voiture électrique est disponible sur réservation préalable moyennant un supplément de 20 EUR.
L’établissement est implanté à 5 km du centre de conventions Micropolis. Vous pourrez profiter d’un parking public sur place moyennant des frais supplémentaires. Veuillez contacter l'établissement directement si vous souhaitez réserver une place de parking.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour à deux.
L'établissement Best Western Citadelle accueille des clients Booking.com depuis le 3 oct. 2006.
Chaîne hôtelière/marque: Best Western"
Hôtel de Paris,https://www.booking.com/hotel/fr/de-paris-besanasson.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ar3O0Z0GwAIB0gIkNWZjZTI2MmQtNDlhZS00NGNhLWJkZTYtZDA2NTI2NmE2Zjdm2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=cfd37ba4d8f70310&srepoch=1672767305&from=searchresults#hotelTmpl,"8,3",1 535 expériences vécues,"Besancon Old Town, Besançon","33 rue des Granges, 25000 Besançon, France",47.23856537,6.02532506,"Besançon - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Situé dans le centre de Besançon, l'Hôtel de Paris est agrémenté d'un intérieur contemporain. Il propose une réception ouverte 24h/24 et une terrasse. La citadelle de Besançon n'est qu'à 15 minutes à pied et Vesoul vous attend à 48 km.
Toutes les chambres sont dotées de la climatisation, d'une télévision par satellite à écran plat, d'un bureau, d'une armoire et d'un téléphone. Leur salle de bains privative est pourvue d'un sèche-cheveux et d'articles de toilette gratuits.
Un petit-déjeuner buffet est servi chaque matin. Vous pourrez aussi vous détendre avec un verre au bar de l'hôtel et vous trouverez des restaurants traditionnels à quelques pas.
Le musée des beaux-arts est à seulement 5 minutes à pied et la gare de TGV Besançon Franche-Comté est accessible à 12 km. L'établissement dispose également d'une bagagerie, de journaux quotidiens et d'une connexion Internet par câble gratuite.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement Hôtel de Paris accueille des clients Booking.com depuis le 22 janv. 2013."
All Suites Besançon,https://www.booking.com/hotel/fr/all-suites-besancon.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ar3O0Z0GwAIB0gIkNWZjZTI2MmQtNDlhZS00NGNhLWJkZTYtZDA2NTI2NmE2Zjdm2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=cfd37ba4d8f70310&srepoch=1672767305&from=searchresults#hotelTmpl,"7,9",2 111 expériences vécues,Besançon,"17 Avenue des Montboucons, 25000 Besançon, France",47.25435723,5.99548012,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement All Suites Besançon ! Connectez-vous pour économiser.
Situé à Besançon, à moins de 3,3 km de la gare de Besançon Viotte et à 4,4 km de la gare de Besançon-Mouillère, l'établissement All Suites Besançon propose des hébergements avec un jardin. Vous bénéficierez gratuitement d'une connexion Wi-Fi dans tout l'établissement et d'un parking privé. Cet hôtel 3 étoiles assure des services d’étage et de bagagerie. Des chambres familiales sont disponibles sur place.
Les chambres de l’hôtel comportent un bureau, une télévision à écran plat et une salle de bains privative.
Lors de votre séjour, vous pourrez profiter d’une terrasse.
L’établissement se trouve à 5,7 km de Micropolis et à 10 km de la gare TGV de Besançon Franche-Comté. L’aéroport de Dole-Jura, le plus proche, est implanté à 63 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,1 pour un séjour à deux.
L'établissement All Suites Besançon accueille des clients Booking.com depuis le 14 déc. 2010.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Hôtel AKENA BESANCON,https://www.booking.com/hotel/fr/akena-besancon.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ar3O0Z0GwAIB0gIkNWZjZTI2MmQtNDlhZS00NGNhLWJkZTYtZDA2NTI2NmE2Zjdm2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=cfd37ba4d8f70310&srepoch=1672767305&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,5",1 927 expériences vécues,Besançon,"1 Rue Victor Considérant, 25770 Besançon, France",47.23547525,5.90008540,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel AKENA BESANCON ! Connectez-vous pour économiser.
Situé à Besançon, à 10 km du centre des congrès Micropolis, l'Hôtel AKENA BESANCON dispose d’un restaurant, d’un parking privé gratuit, d’un bar et d’une terrasse. Cet hôtel est installé à environ 16 km de la gare de Besançon-Viotte et à 17 km de la gare de Besançon-Mouillère. Vous bénéficierez gratuitement d’une connexion Wi-Fi. En outre, l’établissement propose des chambres familiales.
L’hôtel sert un petit-déjeuner buffet chaque matin.
L'Hôtel AKENA BESANCON est implanté à 17 km de la gare TGV de Besançon Franche-Comté et à 40 km de la gare de Dole. L’aéroport de Dole-Jura, le plus proche, se trouve à 50 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour à deux.
L'établissement Hôtel AKENA BESANCON accueille des clients Booking.com depuis le 29 juin 2018.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Hôtel Restaurant Spa Le Sauvage,https://www.booking.com/hotel/fr/ho-tel-le-sauvage-besanasson.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ar3O0Z0GwAIB0gIkNWZjZTI2MmQtNDlhZS00NGNhLWJkZTYtZDA2NTI2NmE2Zjdm2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=cfd37ba4d8f70310&srepoch=1672767305&from=searchresults#hotelTmpl,"8,8",881 expériences vécues,"Besancon Old Town, Besançon","6, rue du Chapitre, 25000 Besançon, France",47.23171767,6.02759153,"Besançon - séjournez au cœur de la ville – Excellent emplacement - voir la carte
L’Hôtel Restaurant Spa Le Sauvage vous accueille dans l’ancien monastère des Clarisses, dans le quartier historique de Besançon, à 500 mètres des anciens contreforts de la citadelle. Cet établissement offre des vues sur le parc bordé d’arbres, les remparts médiévaux, la ville et la vallée du Doubs.
Revêtues de parquet, toutes les chambres sont dotées d’une salle de bains privative pourvue d’une baignoire ou d’une douche. Les hébergements comprennent également une télévision à écran plat, un téléphone et un bureau. Certains logements offrent une vue sur le jardin et la ville.
Le petit-déjeuner est servi chaque matin dans le coin repas, sur la terrasse, ou peut être apporté dans votre chambre sur demande. Vous pourrez également vous détendre sur la terrasse orientée à l'ouest avec une boisson commandée au bar. Vous pourrez accéder au spa sur réservation et moyennant des frais supplémentaires.
Vous séjournerez à 10 minutes à pied du musée du Temps et à seulement 2 km de la gare ferroviaire de Besançon-Viotte. Vous trouverez des commerces et restaurants à moins de 10 minutes de marche. Un parking privé est accessible moyennant un supplément. Vous bénéficierez gratuitement d’une connexion Wi-Fi.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement Hôtel Restaurant Spa Le Sauvage accueille des clients Booking.com depuis le 23 mars 2012."
Zenitude Hôtel-Résidences Les Hauts Du Chazal,https://www.booking.com/hotel/fr/residence-hauts-du-chazal.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ar3O0Z0GwAIB0gIkNWZjZTI2MmQtNDlhZS00NGNhLWJkZTYtZDA2NTI2NmE2Zjdm2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=cfd37ba4d8f70310&srepoch=1672767305&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,9",1 169 expériences vécues,Besançon,"26, rue Paul Milleret, 25000 Besançon, France",47.22448656,5.95612407,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Zenitude Hôtel-Résidences Les Hauts Du Chazal ! Connectez-vous pour économiser.
Le Zenitude Hôtel-Résidences Les Hauts Du Chazal est situé à proximité du grand centre commercial Chateaufarineau, à seulement 15 minutes du centre-ville. Le Zenitude Hôtel & Résidence Les Hauts Du Chazal bénéficie d'un cadre agréable et calme. Sa réception est ouverte 24h/24.
Toutes les chambres sont dotées d’une connexion Wi-Fi gratuite, d’une télévision par satellite, d’une kitchenette avec micro-ondes et d’un petit coin repas. Pour les séjours de 4 à 7 nuits, le service de ménage est effectué une seule fois. Il est assuré une fois par semaine pour les séjours de 8 nuits ou plus.
Vous avez la possibilité de vous restaurer avec nos formules gourmandes à emporter composées d'un plat chaud, d'une boisson et d'un dessert. Vous pourrez choisir parmi une vaste sélection de délicieux plats pour un repas en toute tranquillité.
Le Zenitude Hôtel & Résidence Les Hauts Du Chazal sert un petit-déjeuner buffet tous les jours. Un parking est mis gratuitement à votre disposition.
Lors de votre séjour, vous pourrez visiter de nombreux sites tels que la cathédrale Saint-Jean et plusieurs musées, dont le musée des Beaux-Arts. Un arrêt de tramway, qui vous permettra de rejoindre directement la gare et le centre-ville en 20 minutes, est accessible à 20 mètres.
L'établissement Zenitude Hôtel-Résidences Les Hauts Du Chazal accueille des clients Booking.com depuis le 25 nov. 2010."
Hotel Du Nord,https://www.booking.com/hotel/fr/du-nord-besancon.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ar3O0Z0GwAIB0gIkNWZjZTI2MmQtNDlhZS00NGNhLWJkZTYtZDA2NTI2NmE2Zjdm2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=cfd37ba4d8f70310&srepoch=1672767305&from=searchresults#hotelTmpl,"8,1",1 247 expériences vécues,"Besancon Old Town, Besançon","8, rue Moncey, 25000 Besançon, France",47.23727603,6.02586955,"Besançon - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hotel Du Nord ! Connectez-vous pour économiser.
Cet hôtel est situé au cœur de Besançon, à seulement 700 mètres des rives du Doubs. Vous bénéficierez d'une connexion Wi-Fi gratuite.- une connexion Wi-Fi et vous pourrez vous détendre dans le bar-salon de l'hôtel.
Décorées avec simplicité, toutes les chambres comprennent une télévision par satellite à écran plat. Desservies par un ascenseur, les chambres comprennent une salle de bains privative.
Un petit-déjeuner buffet composé de jus d'orange frais et de spécialités régionales est servi tous les matins dans la salle prévue à cet effet.
L'église Sainte-Madeleine se trouve à 10 minutes à pied et la gare de Besançon-Viotte est à 1,5 km de l'hôtel. Le musée des beaux-arts et d'archéologie de Besançon se trouve à seulement 450 mètres.
Un local à vélos est disponible gratuitement sur place. Des frais peuvent s'appliquer pour les motos.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement Hotel Du Nord accueille des clients Booking.com depuis le 9 juil. 2010."
Hotel Restaurant Siatel Chateaufarine,https://www.booking.com/hotel/fr/siatel-chateaufarine.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ar3O0Z0GwAIB0gIkNWZjZTI2MmQtNDlhZS00NGNhLWJkZTYtZDA2NTI2NmE2Zjdm2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=cfd37ba4d8f70310&srepoch=1672767305&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,8",1 805 expériences vécues,Besançon,"6 Rue Louis Aragon, 25000 Besançon, France",47.21613222,5.94183326,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hotel Restaurant Siatel Chateaufarine ! Connectez-vous pour économiser.
Doté d’une connexion Wi-Fi gratuite, l’Hotel Restaurant Siatel Chateaufarine propose des hébergements à 7,5 km du centre de Besançon, en Bourgogne-Franche-Comté. Vous pourrez vous détendre sur la terrasse ou jouer au billard dans le bar de l’établissement. La climatisation est disponible dans les parties communes.
Toutes les chambres sont insonorisées et disposent d’une télévision à écran plat, d’un bureau ainsi que d’un téléphone. Certaines sont climatisées et munies d’une connexion Wi-Fi haut débit. Leur salle de bains privative est pourvue d’un sèche-cheveux.
Le restaurant propose pour le déjeuner et le dîner un buffet composé de plats, de desserts et de fromages français traditionnels. Un petit-déjeuner est servi tous les matins.
Un parking privé est disponible gratuitement sur place, et la gare de Besançon-Viotte se trouve à 7,7 km. L’autoroute A36 ainsi que le musée des beaux-arts et d’archéologie sont respectivement situés à 6,2 et 8,2 km.
L'établissement Hotel Restaurant Siatel Chateaufarine accueille des clients Booking.com depuis le 27 avr. 2012."
