name,link,review_score,review_count,area,address,hotel_latitude,hotel_longitude,description
La Maison Des Ducs - Avec Terrasse - Coeur De Dijon,https://www.booking.com/hotel/fr/the-dukes-house-with-terrasse-heart-of-dijon.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArrV0Z0GwAIB0gIkOGE2OWE0YmQtOThkMi00NmJkLWI5ZGMtNzdiNTA3ZjA0MzRm2AIG4AIB&sid=6b1cfa1a8e40e661783ed5ed1f78128d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=a69c7d64694301c1&srepoch=1672768202&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,10,1 expérience vécue,"Centre-ville de Dijon, Dijon","7 Rue de la Préfecture, Centre-ville de Dijon, 21000 Dijon, France",47.32328600,5.04051000,"Dijon - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Situé à Dijon, à 1,1 km de la gare et à moins de 1 km de la station de tramway Foch-Gare, l'établissement La Maison Des Ducs - Avec Terrasse - Coeur De Dijon propose un hébergement climatisé avec une terrasse et une connexion Wi-Fi gratuite. Occupant un bâtiment datant du XVIIe siècle, cet appartement se trouve à 3,9 km de la station de tramway CHU-Hopitaux et à 4,2 km de la station de tramway Universite.
Cet appartement comprend 2 chambres, un salon, une télévision à écran plat, une cuisine équipée avec coin repas ainsi que 2 salles de bains avec douche et lave-linge. Les serviettes et le linge de lit sont fournis.
Vous pourrez profiter d'une terrasse.
La Maison Des Ducs - Avec Terrasse - Coeur De Dijon se trouve à 1,4 km du parc des expositions Dijon Congrexpo et à 600 mètres de l'église Saint-Philibert. L'aéroport de Dole-Jura, le plus proche, est implanté à 51 km.
C'est le quartier préféré des voyageurs visitant Dijon, selon les commentaires clients indépendants.
L'établissement La Maison Des Ducs - Avec Terrasse - Coeur De Dijon accueille des clients Booking.com depuis le 7 août 2022.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
City Loft Apparthotel,https://www.booking.com/hotel/fr/city-loft.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArrV0Z0GwAIB0gIkOGE2OWE0YmQtOThkMi00NmJkLWI5ZGMtNzdiNTA3ZjA0MzRm2AIG4AIB&sid=6b1cfa1a8e40e661783ed5ed1f78128d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=a69c7d64694301c1&srepoch=1672768202&from=searchresults#hotelTmpl,"8,1",3 430 expériences vécues,"Centre-ville de Dijon, Dijon","96 rue des Godrans, Centre-ville de Dijon, 21000 Dijon, France",47.32268695,5.03817558,"Dijon - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Idéalement situé au cœur du quartier piétonnier, le City Loft Apparthotel se trouve près du palais des ducs.
Anciennement connu comme le magasin Au Pauvre Diable, le bâtiment possède 53 appartements joliment meublés, allant d’appartements simples à des appartements quadruples. Chaque appartement est équipé de la climatisation, d'une kitchenette complète avec plaques de cuisson, réfrigérateur et micro-ondes, d'un coffre-fort et d'une télévision.
Pendant votre séjour à Dijon, prenez le temps de découvrir les célèbres produits de la ville, tels que la moutarde, le pain d’épice et la crème de cassis. La ville compte également un auditorium et une université réputée.
C'est le quartier préféré des voyageurs visitant Dijon, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement City Loft Apparthotel accueille des clients Booking.com depuis le 16 mai 2009."
Benigne Malyon,https://www.booking.com/hotel/fr/benigne-malyon.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArrV0Z0GwAIB0gIkOGE2OWE0YmQtOThkMi00NmJkLWI5ZGMtNzdiNTA3ZjA0MzRm2AIG4AIB&sid=6b1cfa1a8e40e661783ed5ed1f78128d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=a69c7d64694301c1&srepoch=1672768202&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,7",23 expériences vécues,"Centre-ville de Dijon, Dijon","REZ DE CHAUSSE 1 Rue Chaudronnerie, Centre-ville de Dijon, 21000 Dijon, France",47.32310560,5.04330485,"Dijon - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Benigne Malyon ! Connectez-vous pour économiser.
Occupant un ancien hôtel de style Renaissance italienne du XVIe siècle, le Benigne Malyon propose un appartement à Dijon, à 400 mètres du palais des ducs et des États de Bourgogne.
Ce logement comprend une cuisine équipée d'un four, d'un lave-vaisselle, d'une bouilloire et d'une machine à café. Sa salle de bains est pourvue d'une douche et d'une baignoire. Le linge de lit et les serviettes de toilette sont fournis. Un lave-linge est également à votre disposition.
Vous trouverez de nombreux magasins et restaurants à proximité de l'établissement.
Le Benigne Malyon se trouve à 300 mètres du musée Magnin et du musée des beaux-arts de Dijon. L'aéroport de Dole-Jura est, quant à lui, situé à 43 km.
C'est le quartier préféré des voyageurs visitant Dijon, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 10 pour un séjour à deux.
L'établissement Benigne Malyon accueille des clients Booking.com depuis le 14 nov. 2016."
Kyriad Direct DIJON NORD,https://www.booking.com/hotel/fr/hotel-balladins-dijon-nord-superior.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArrV0Z0GwAIB0gIkOGE2OWE0YmQtOThkMi00NmJkLWI5ZGMtNzdiNTA3ZjA0MzRm2AIG4AIB&sid=6b1cfa1a8e40e661783ed5ed1f78128d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=a69c7d64694301c1&srepoch=1672768202&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,4",3 283 expériences vécues,Dijon,"4, Rue Des Ardennes, 21000 Dijon, France",47.35121566,5.06966740,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Kyriad Direct DIJON NORD ! Connectez-vous pour économiser.
Situé à 12 minutes en voiture du centre-ville de Dijon, l'Hôtel Direct DIJON NORD possède des chambres climatisées avec connexion Wi-Fi gratuite, des salles de réunion et un restaurant. Un parking privé est disponible gratuitement sur place.
Décorées avec simplicité, les chambres insonorisées comprennent une salle de bains privative et une télévision à écran LCD avec la chaîne Canal+. Toutes les chambres sont desservies par un ascenseur et dotées d’une connexion Wi-Fi gratuite. Certaines sont adaptées aux familles ou aux groupes d’ami(e)s.
Un petit-déjeuner buffet est servi chaque matin dans la salle à manger. Vous pourrez boire un verre au bar de l’hôtel et prendre vos repas au restaurant, qui propose un menu à la carte comprenant des spécialités bourguignonnes, des grillades, des salades et des pizzas.
La gare de Dijon se trouve à 6 km et l'aéroport de Dijon-Bourgogne est accessible en 20 minutes de route. Le Palais des Sports est à 9 minutes en voiture et le musée des Beaux-Arts se situe à 5 km.
L'établissement Kyriad Direct DIJON NORD accueille des clients Booking.com depuis le 3 nov. 2006.
Chaîne hôtelière/marque: Kyriad Direct"
Odalys City Dijon Les Cordeliers,https://www.booking.com/hotel/fr/appart-39-odalys-les-cordeliers.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArrV0Z0GwAIB0gIkOGE2OWE0YmQtOThkMi00NmJkLWI5ZGMtNzdiNTA3ZjA0MzRm2AIG4AIB&sid=6b1cfa1a8e40e661783ed5ed1f78128d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=a69c7d64694301c1&srepoch=1672768202&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,0",4 507 expériences vécues,"Centre-ville de Dijon, Dijon","3/5, rue Turgot, Centre-ville de Dijon, 21000 Dijon, France",47.31827001,5.04011462,"Dijon - séjournez au cœur de la ville – Excellent emplacement - voir la carte
L’Odalys City Dijon Les Cordeliers vous accueille dans le centre historique de Dijon. Aménagé dans un ancien cloître, cet appart'hôtel propose des chambres dotées d’une salle de bains privative ainsi que des hébergements indépendants. Durant votre séjour, vous pourrez vous détendre dans le jardin ou le hammam.
Tous les hébergements de l'Odalys City Dijon Les Cordeliers possèdent une salle d'eau privative comportant des articles de toilette gratuits et un sèche-cheveux. Vous bénéficierez également d’une connexion Wi-Fi gratuite et d’une télévision par câble.
Les appartements comprennent une cuisine équipée d’un lave-vaisselle, d’un micro-ondes et d’une bouilloire électrique. Des restaurants et des bars vous attendent à quelques pas.
Vous séjournerez à 500 mètres du Palais des Ducs et du musée des Beaux-Arts, et à 1,5 km de la gare de Dijon-Ville. Le parc des expositions Congrexpo de Dijon se trouve à 1,5 km.
C'est le quartier préféré des voyageurs visitant Dijon, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.
L'établissement Odalys City Dijon Les Cordeliers accueille des clients Booking.com depuis le 19 sept. 2014.
Chaîne hôtelière/marque: Odalys City/Campus"
"Holiday Inn Express Dijon, an IHG Hotel",https://www.booking.com/hotel/fr/holiday-inn-express-dijon.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArrV0Z0GwAIB0gIkOGE2OWE0YmQtOThkMi00NmJkLWI5ZGMtNzdiNTA3ZjA0MzRm2AIG4AIB&sid=6b1cfa1a8e40e661783ed5ed1f78128d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=a69c7d64694301c1&srepoch=1672768202&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,0",4 545 expériences vécues,Dijon,"8 Rue de la Glaciere (Saint-Apollinaire), 21850 Dijon, France",47.32699910,5.07608727,"Situé à Saint-Apollinaire, l'Holiday Inn Express Dijon possède une piscine extérieure. Cet établissement climatisé propose une réception ouverte 24h/24, une terrasse bien exposée et un bar. Une bagagerie et une connexion Wi-Fi gratuite sont également disponibles.
Les chambres sont équipées d'une télévision par câble à écran plat et de la climatisation. Les salles de bains privatives sont pourvues d'une douche à l'italienne, d'un sèche-cheveux et d'articles de toilette gratuits.
Une bouilloire électrique est fournie dans chaque chambre. Un petit-déjeuner buffet est préparé tous les jours et vous trouverez des distributeurs automatiques de collations sur place.
L'hôtel se trouve à 3 km du centre de Dijon et à 4,6 km de la gare. L'établissement met un parking sécurisé à votre disposition gratuitement.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,2 pour un séjour à deux.
L'établissement Holiday Inn Express Dijon, an IHG Hotel accueille des clients Booking.com depuis le 21 févr. 2014.
Chaîne hôtelière/marque: Holiday Inn Express"
Hôtel des Ducs,https://www.booking.com/hotel/fr/des-ducs-dijon.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArrV0Z0GwAIB0gIkOGE2OWE0YmQtOThkMi00NmJkLWI5ZGMtNzdiNTA3ZjA0MzRm2AIG4AIB&sid=6b1cfa1a8e40e661783ed5ed1f78128d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=a69c7d64694301c1&srepoch=1672768202&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,5",1 822 expériences vécues,"Centre-ville de Dijon, Dijon","5, rue Lamonnoye, Centre-ville de Dijon, 21000 Dijon, France",47.32170512,5.04365332,"Dijon - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Situé à 50 mètres du palais des ducs, dans le centre historique de Dijon classé au patrimoine mondial de l'UNESCO, l'Hôtel des Ducs propose un bar ainsi qu'une connexion Wi-Fi gratuite. Chaque matin, il sert un petit-déjeuner buffet. D'autre part, vous pourrez vous détendre en prenant une boisson sur la terrasse.
Les chambres de l'Hôtel des Ducs sont desservies par un ascenseur et dotées d'un téléphone, d'une télévision à écran plat ainsi que d'une salle de bains privative pourvue d'une baignoire ou d'une douche. Certaines sont climatisées.
L'Hôtel des Ducs se trouve à moins de 50 mètres du musée des Beaux-Arts, de l'Opéra et du quartier commerçant de la ville. La Route des Vins de Bourgogne commence à seulement 10 minutes en voiture.
C'est le quartier préféré des voyageurs visitant Dijon, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement Hôtel des Ducs accueille des clients Booking.com depuis le 14 sept. 2007."
Aparthotel Adagio Access Dijon République,https://www.booking.com/hotel/fr/aparthotel-adagio-access-dijon-republique.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArrV0Z0GwAIB0gIkOGE2OWE0YmQtOThkMi00NmJkLWI5ZGMtNzdiNTA3ZjA0MzRm2AIG4AIB&sid=6b1cfa1a8e40e661783ed5ed1f78128d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=a69c7d64694301c1&srepoch=1672768202&from=searchresults#hotelTmpl,"8,3",1 828 expériences vécues,Dijon,"33 rue de Mulhouse, 21000 Dijon, France",47.32552600,5.04948040,"Situé dans le centre-ville de Dijon, à seulement 3 minutes à pied de la place de la République, l'Aparthotel Adagio Access Dijon République propose une réception ouverte 24h/24 et une connexion Wi-Fi gratuite dans l'ensemble de ses locaux. Le musée des Beaux-Arts est à 15 minutes à pied.
Climatisées, tous les hébergements disposent d'une pièce à vivre avec une télévision, d'un bureau et d'une salle de bains munie d'un sèche-cheveux. Leur cuisine entièrement équipée possède un micro-ondes, des plaques de cuisson et un réfrigérateur.
Vous pourrez préparer des repas faits maison dans le studio ou l'appartement. Un petit-déjeuner buffet est servi chaque matin dans la salle prévue à cet effet de l'établissement, tandis que les enfants de 4 à 11 ans profiteront de tarifs réduits. Vous trouverez des épiceries et des restaurants à quelques minutes à pied.
Classé bâtiment respectueux de l'environnement en raison de son toit photovoltaïque, l'appart'hôtel est facilement accessible en transports en commun. Le tramway et le bus L3 assurent un accès direct à la gare de Dijon, qui est à 500 mètres du parc des expositions de Dijon Congrexpo. Vous pourrez utiliser le parking privé sur place, moyennant des frais supplémentaires.
C'est le quartier préféré des voyageurs visitant Dijon, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour à deux.
L'établissement Aparthotel Adagio Access Dijon République accueille des clients Booking.com depuis le 19 sept. 2014.
Chaîne hôtelière/marque: Adagio Access Aparthotels"
Au jardin des plantes,https://www.booking.com/hotel/fr/au-jardin-des-plantes-dijon.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArrV0Z0GwAIB0gIkOGE2OWE0YmQtOThkMi00NmJkLWI5ZGMtNzdiNTA3ZjA0MzRm2AIG4AIB&sid=6b1cfa1a8e40e661783ed5ed1f78128d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=a69c7d64694301c1&srepoch=1672768202&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,1",162 expériences vécues,Dijon,"8 rue jardin des plantes, 21000 Dijon, France",47.31977800,5.02870800,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Au jardin des plantes ! Connectez-vous pour économiser.
L'établissement Au jardin des plantes est situé à Dijon, à moins de 1 km de l'église Saint-Philibert et à 8 minutes à pied de la gare de Dijon, dans une région propice à la randonnée. Il offre une vue sur le jardin et propose une connexion Wi-Fi gratuite dans l'ensemble de ses locaux.
Cet appartement comprend une chambre, une télévision par câble à écran plat, un lave-linge et une salle de bains pourvue d'une douche. Sa cuisine est équipée d'un micro-ondes et d'un réfrigérateur. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 600 mètres de la station de tramway Foch-Gare et à 3,2 km du parc des expositions Dijon Congrexpo. L'aéroport de Dole-Jura, le plus proche, est implanté à 51 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Au jardin des plantes accueille des clients Booking.com depuis le 9 janv. 2018.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Les Bons Enfants,https://www.booking.com/hotel/fr/les-bons-enfants.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArrV0Z0GwAIB0gIkOGE2OWE0YmQtOThkMi00NmJkLWI5ZGMtNzdiNTA3ZjA0MzRm2AIG4AIB&sid=6b1cfa1a8e40e661783ed5ed1f78128d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=a69c7d64694301c1&srepoch=1672768202&from=searchresults#hotelTmpl,"9,2",48 expériences vécues,"Centre-ville de Dijon, Dijon","6 rue des Bons Enfants, Centre-ville de Dijon, 21000 Dijon, France",47.32079064,5.04235301,"Dijon - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Les Bons Enfants ! Connectez-vous pour économiser.
Situé à 5 minutes à pied de l'église Notre-Dame, l'établissement Les Bons Enfants propose un hébergement à Dijon, à 100 mètres de la Place de la Libération.
Cet hébergement comprend un coin repas et d'une cuisine équipée d'un lave-vaisselle. Le linge de lit et les serviettes de toilette sont fournis.
Vous séjournerez à 1,1 km des jardins botaniques d'Arquebuse, à 100 mètres du Palais des Ducs de Bourgogne et à 43 km de l'aéroport de Dole-Jura, le plus proche.
C'est le quartier préféré des voyageurs visitant Dijon, selon les commentaires clients indépendants.
L'établissement Les Bons Enfants accueille des clients Booking.com depuis le 21 oct. 2016."
