name,link,review_score,review_count,area,address,hotel_latitude,hotel_longitude,description
Esprit Bistrot / Rent4night Grenoble,https://www.booking.com/hotel/fr/esprit-bistrot-rent4night-grenoble.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArXk0Z0GwAIB0gIkZTA4OTlmMDQtZjlkOS00MDJhLWIxYzktYjZlOGFkODNmNjRh2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=dc4f8121fb4301d1&srepoch=1672770116&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,9",30 expériences vécues,Grenoble,"4 Chemin Villebois, 38100 Grenoble, France",45.18543211,5.74399642,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Esprit Bistrot / Rent4night Grenoble ! Connectez-vous pour économiser.
Situé à Grenoble, à seulement 3,9 km du WTC Grenoble, l'Esprit Bistrot / Rent4night Grenoble propose un hébergement avec accès à un jardin, une terrasse et une réception ouverte 24h/24. Cet hébergement climatisé se trouve à 3,4 km de la gare de Grenoble. Vous bénéficierez d'un parking privé sur place et d'une connexion Wi-Fi gratuite.
L'appartement comprend une télévision. La cuisine est équipée d'un réfrigérateur, d'un micro-ondes, de plaques de cuisson, d'une machine à café et d'une bouilloire.
La région est prisée pour pratiquer la randonnée.
Vous séjournerez à 700 mètres du stade des Alpes et à 4,8 km du parc des expositions AlpExpo. L'aéroport le plus proche, celui des Alpes-Isère, est situé à 49 km.
L'établissement Esprit Bistrot / Rent4night Grenoble accueille des clients Booking.com depuis le 3 mai 2021.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Séjours & Affaires Grenoble Marie Curie,https://www.booking.com/hotel/fr/grenoble-marie-curie.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArXk0Z0GwAIB0gIkZTA4OTlmMDQtZjlkOS00MDJhLWIxYzktYjZlOGFkODNmNjRh2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=dc4f8121fb4301d1&srepoch=1672770116&from=searchresults#hotelTmpl,"7,6",348 expériences vécues,Grenoble,"58 Rue Félix Escanglon, 38000 Grenoble, France",45.19439642,5.71059331,"La résidence Séjours & Affaires Grenoble Marie Curie vous accueille à 5 minutes à pied de la gare de Grenoble et à moins 100 mètres de l'arrêt de tramway Cité Internationale. Elle bénéficie d'un emplacement privilégié dans le quartier des affaires Europole, à 650 mètres de Grenoble École de management, à 400 mètres du complexe Minatec et à 1,8 km du CNRS.
Le Séjours & Affaires Grenoble Marie Curie propose des studios et des appartements avec une connexion Wi-Fi gratuite, ainsi qu'un coin salon doté d'un bureau et d'une télévision à écran plat. Chacun possède aussi une cuisine entièrement équipée avec un réfrigérateur, une cuisinière et un micro-ondes. Les logements sont munis d'une salle de bains privative pourvue d'articles de toilette gratuits.
La résidence sert un petit-déjeuner continental, dans la salle prévue à cet effet ou sur la terrasse. Des boutiques et des restaurants vous attendent à moins de 1 km du Séjours & Affaires Grenoble Marie Curie.
Le centre-ville de Grenoble est accessible à 1,7 km. Vous bénéficierez du parking privé sur place moyennant des frais supplémentaires. La sortie 2 de l'autoroute A480 se situe à 3 minutes en voiture.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,1 pour un séjour à deux.
L'établissement Séjours & Affaires Grenoble Marie Curie accueille des clients Booking.com depuis le 7 avr. 2008."
Hôtel d’Angleterre Grenoble Hyper-Centre,https://www.booking.com/hotel/fr/tiangleterre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArXk0Z0GwAIB0gIkZTA4OTlmMDQtZjlkOS00MDJhLWIxYzktYjZlOGFkODNmNjRh2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=dc4f8121fb4301d1&srepoch=1672770116&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,6",1 813 expériences vécues,"Grenoble City Centre, Grenoble","5, place Victor Hugo, 38000 Grenoble, France",45.18920402,5.72537228,"Grenoble - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel d’Angleterre Grenoble Hyper-Centre ! Connectez-vous pour économiser.
L'Hôtel d'Angleterre Grenoble Hyper-Centre est situé au cœur de Grenoble, face aux jardins de la place Victor Hugo et à seulement 1 minute à pied de l'arrêt de tramway Victor Hugo. Il comporte une connexion Wi-Fi gratuite et un bar sur place.
Toutes les chambres sont insonorisées et climatisées. Elles disposent d'un bureau, d'une télévision par satellite à écran LCD et d'un lecteur DVD. Leur salle de bains privative est pourvue d'articles de toilette gratuits. Certaines bénéficient également d'une baignoire d'hydromassage et d'un balcon privé offrant une vue sur le massif du Vercors.
Un petit-déjeuner buffet comprenant des plats chauds, froids, sucrés et salés est disponible tous les jours. Un petit-déjeuner continental composé d'une boisson chaude, d'un jus de fruits, d'une viennoiserie, de pain, de beurre et de confiture est également proposé.
Un parking souterrain payant est accessible à proximité. L'aéroport de Grenoble-Isère, le plus proche, se trouve à 45 km.
C'est le quartier préféré des voyageurs visitant Grenoble, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement Hôtel d’Angleterre Grenoble Hyper-Centre accueille des clients Booking.com depuis le 12 juil. 2010."
Le Hüb - Grenoble,https://www.booking.com/hotel/fr/le-hub-grenoble.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArXk0Z0GwAIB0gIkZTA4OTlmMDQtZjlkOS00MDJhLWIxYzktYjZlOGFkODNmNjRh2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=dc4f8121fb4301d1&srepoch=1672770116&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,2",1 717 expériences vécues,Grenoble,"25 Avenue Doyen Louis Weil, 38000 Grenoble, France",45.19287300,5.71191700,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Hüb - Grenoble ! Connectez-vous pour économiser.
Le Hüb - Grenoble vous accueille à 300 mètres du centre de congrès World Trade Center Grenoble. Il propose un salon commun, un restaurant, un bar et un jardin. Vous y bénéficierez d’une connexion Wi-Fi gratuite et d’un parking privé.
Ses hébergements climatisés disposent d’une cuisine entièrement équipée avec coin repas, d’une télévision à écran plat ainsi que d’une salle de bains privative avec baignoire, sèche-cheveux et articles de toilette gratuits. Un micro-ondes, un réfrigérateur, une bouilloire et une machine à café sont également fournis.
Cet appart'hôtel sert un petit-déjeuner buffet le matin.
Vous disposerez aussi d'une terrasse sur place.
Vous séjournerez à 2,7 km du stade des Alpes et à 5 km du parc événementiel AlpExpo. Enfin, l'aéroport de Grenoble-Isère, le plus proche, se trouve à 44 km du Hüb - Grenoble.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,3 pour un séjour à deux.
L'établissement Le Hüb - Grenoble accueille des clients Booking.com depuis le 19 sept. 2019."
Hôtel de l'Europe Grenoble hyper-centre,https://www.booking.com/hotel/fr/de-l-europe-grenoble.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArXk0Z0GwAIB0gIkZTA4OTlmMDQtZjlkOS00MDJhLWIxYzktYjZlOGFkODNmNjRh2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=dc4f8121fb4301d1&srepoch=1672770116&from=searchresults#hotelTmpl,"8,2",708 expériences vécues,"Grenoble City Centre, Grenoble","22 Place Grenette, 38000 Grenoble, France",45.19035711,5.72733097,"Grenoble - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel de l'Europe Grenoble hyper-centre ! Connectez-vous pour économiser.
Situé au cœur de Grenoble, l'Hôtel de l'Europe Grenoble hyper-centre est le plus ancien hôtel de la ville, installé dans un bâtiment datant du XVIIe siècle. Vous bénéficierez d'une connexion Wi-Fi gratuite.
Insonorisées et dotées de la climatisation, toutes les chambres sont équipées d'une télévision par satellite à écran plat avec les chaînes Bein Sports, Canal+ et Eurosport. Certaines possèdent un balcon offrant une vue sur la ville.
L'Hôtel de l'Europe Grenoble hyper-centre sert chaque matin un petit-déjeuner continental, que vous pourrez déguster en chambre sur demande.
L'Hôtel de l'Europe Grenoble hyper-centre est installé à 350 mètres du téléphérique qui monte à la Bastille. La gare de Grenoble est accessible à 1 km ou en 5 minutes en tramway. Enfin, un parking public est accessible à proximité.
C'est le quartier préféré des voyageurs visitant Grenoble, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Hôtel de l'Europe Grenoble hyper-centre accueille des clients Booking.com depuis le 12 juil. 2010."
Kyriad Grenoble Centre,https://www.booking.com/hotel/fr/qualityhotelgrenoble.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArXk0Z0GwAIB0gIkZTA4OTlmMDQtZjlkOS00MDJhLWIxYzktYjZlOGFkODNmNjRh2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=dc4f8121fb4301d1&srepoch=1672770116&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,6",1 606 expériences vécues,Grenoble,"116 Cours de la Libération, 38100 Grenoble, France",45.16819994,5.71199477,"Situé à Grenoble, à 200 mètres du stade Lesdiguières, le Kyriad Grenoble Centre vous accueille dans un hôtel 3 étoiles doté d'une réception ouverte 24h/24 et d'une connexion Wi-Fi gratuite. Le centre de conventions Alpexpo se trouve à 3 km. Vous pourrez profiter gratuitement d'un parking privé sous surveillance vidéo.
Toutes les chambres comprennent la climatisation, une télévision par satellite à écran plat avec Canal + notamment et un plateau/bouilloire. Leur salle de bains privative est pourvue d'une baignoire et d'articles de toilette offerts.
Le service d'étage et le bar sont disponibles 24h/24 et 7j/7. Le matin, vous pourrez déguster un petit-déjeuner buffet.
Le téléphérique de Grenoble-La Bastille se trouve à 4 km, tandis que la gare de Grenoble, placée à 3 km, est accessible en 10 minutes en tramway. Enfin, l'aéroport de Grenoble-Isère est implanté à 46 km.
L'établissement Kyriad Grenoble Centre accueille des clients Booking.com depuis le 26 mai 2005.
Chaîne hôtelière/marque: Kyriad Hotel"
RockyPop Grenoble Hotel,https://www.booking.com/hotel/fr/rockypop-grenoble.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArXk0Z0GwAIB0gIkZTA4OTlmMDQtZjlkOS00MDJhLWIxYzktYjZlOGFkODNmNjRh2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=dc4f8121fb4301d1&srepoch=1672770116&from=searchresults#hotelTmpl,"8,6",74 expériences vécues,"Grenoble City Centre, Grenoble","9 Rue de Strasbourg, 38000 Grenoble, France",45.18691100,5.73129300,"Grenoble - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement RockyPop Grenoble Hotel ! Connectez-vous pour économiser.
Situé à Grenoble, à 1,6 km de la gare, le RockyPop Grenoble Hotel propose une salle de sport, un parking privé, un jardin et une terrasse. Cet hôtel 4 étoiles dispose d'une connexion Wi-Fi gratuite, d'un restaurant et d'un bar. L'hôtel possède un sauna et une réception ouverte 24h/24.
Les chambres climatisées comprennent un bureau, une machine à café, un coffre-fort, une télévision à écran plat et une salle de bains privative avec baignoire ou douche. Elles comprennent également une armoire et une bouilloire.
Un petit-déjeuner buffet est servi chaque matin.
Vous pourrez jouer au ping-pong sur place.
Vous séjournerez à 1,9 km du WTC Grenoble et à 4,8 km d'AlpExpo. L'aéroport le plus proche, celui des Alpes-Isère, est situé à 48 km.
C'est le quartier préféré des voyageurs visitant Grenoble, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,1 pour un séjour à deux.
L'établissement RockyPop Grenoble Hotel accueille des clients Booking.com depuis le 24 août 2022.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Appartéa Grenoble Alpexpo,https://www.booking.com/hotel/fr/adagio-access-grenoble.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArXk0Z0GwAIB0gIkZTA4OTlmMDQtZjlkOS00MDJhLWIxYzktYjZlOGFkODNmNjRh2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=dc4f8121fb4301d1&srepoch=1672770116&from=searchresults#hotelTmpl,"7,1",728 expériences vécues,Grenoble,"41, rue Maurice Dodéro, 38100 Grenoble, France",45.15999038,5.73111087,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Appartéa Grenoble Alpexpo ! Connectez-vous pour économiser.
L'Appartéa Grenoble Alpexpo est situé à 400 mètres du parc des expositions SAEM Alpexpo, en face de l'arrêt de tramway Grand'Place. Il propose des studios et des appartements avec une connexion Internet gratuite.
Tous les logements comprennent la climatisation et une télévision par câble, ainsi qu'une cuisine équipée d'un micro-ondes, d'une cuisinière et d'un réfrigérateur.
Lors de votre séjour à l'Appartéa Grenoble Alpexpo, vous pourrez déguster chaque matin un petit-déjeuner buffet. De plus, vous bénéficierez d'un parking public sur place.
Enfin, facilement accessible depuis les autoroutes A480 et A41, l'Appartéa Grenoble Alpexpo se trouve à 1 heure en voiture de nombreuses stations de ski.
L'établissement Appartéa Grenoble Alpexpo accueille des clients Booking.com depuis le 10 oct. 2007."
Novotel Grenoble Centre,https://www.booking.com/hotel/fr/grenoble-centre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArXk0Z0GwAIB0gIkZTA4OTlmMDQtZjlkOS00MDJhLWIxYzktYjZlOGFkODNmNjRh2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=dc4f8121fb4301d1&srepoch=1672770116&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,5",1 350 expériences vécues,Grenoble,"7 Place Robert Schuman, 38000 Grenoble, France",45.19069500,5.71259558,"Le Novotel Grenoble Centre est installé au cœur du quartier des affaires de Grenoble, à seulement quelques pas de la gare TGV. Vous trouverez un arrêt de tramway juste devant l'hôtel et de nombreuses grandes entreprises à proximité. Le centre historique est à seulement 10 minutes en voiture du Novotel Grenoble Centre.
Les chambres sont équipées de la climatisation, d'un bureau, d'un coffre-fort et d'un minibar. Certaines disposent d'une machine à café Nespresso. Toutes comprennent une salle de bains privative avec une douche et un sèche-cheveux.
Vous aurez accès à la salle de sport du Novotel. Le Novotel Grenoble Centre dispose également d'un restaurant, d'un bar, de salles de conférence, d'équipements pour les personnes à mobilité réduite et d'un parking privé (payant). Deux enfants de 16 ans maximum peuvent séjourner gratuitement dans la chambre de leurs parents.
Cet hôtel est également situé à quelques kilomètres de la chaîne de Belledonne et du massif du Vercors.
C'est le quartier préféré des voyageurs visitant Grenoble, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,1 pour un séjour à deux.
L'établissement Novotel Grenoble Centre accueille des clients Booking.com depuis le 8 juil. 2008.
Chaîne hôtelière/marque: Novotel"
Mon petit jardin de ville,https://www.booking.com/hotel/fr/mon-petit-jardin-de-ville.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArXk0Z0GwAIB0gIkZTA4OTlmMDQtZjlkOS00MDJhLWIxYzktYjZlOGFkODNmNjRh2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=dc4f8121fb4301d1&srepoch=1672770116&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,9",69 expériences vécues,Grenoble,"11 Rue Mirabeau, 38000 Grenoble, France",45.18492250,5.70725640,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Mon petit jardin de ville ! Connectez-vous pour économiser.
Doté d'un jardin, d'une terrasse et d'un bar, le Mon petit jardin de ville propose un hébergement avec une connexion Wi-Fi gratuite et une vue sur le jardin à Grenoble. Doté d'un parking privé gratuit, il se trouve à 1,1 km de la gare de Grenoble et à 1,2 km du WTC Grenoble.
Dotée d'un lecteur Blu-ray, la villa comprend une cuisine avec un réfrigérateur, un four et un lave-vaisselle, un salon, un coin repas, 2 chambres et une salle de bains avec douche. Il dispose également d'une télévision par satellite à écran plat ainsi que de lecteurs CD et DVD.
Une aire de jeux pour enfants est disponible sur place et vous pourrez faire de la randonnée dans les environs.
Le Mon petit jardin de ville se trouve à 6 km de l'AlpExpo et à 3,8 km du stade des Alpes. L'aéroport le plus proche, celui d'Alpes-Isère, est situé à 45 km. Un service de navette aéroport peut être assuré moyennant des frais supplémentaires.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,6 pour un séjour à deux.
L'établissement Mon petit jardin de ville accueille des clients Booking.com depuis le 6 sept. 2018."
