name,link,review_score,review_count,area,address,hotel_latitude,hotel_longitude,description
ANA LOCATION - Résidence Lou Cigaloun,https://www.booking.com/hotel/fr/residence-lou-cigaloun-greoux-les-bains.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AsLy0Z0GwAIB0gIkMDE5YjJmOWMtMjQzOS00YzQ3LWI4ZGMtOTQ4ZDMxNDg4ZTlk2AIG4AIB&sid=91dd256170f53c039ab572e8ad4178fd&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=359f84a954ad023a&srepoch=1672771924&from=searchresults#hotelTmpl,"9,1",51 expériences vécues,Gréoux-les-Bains,"623 Avenue Jean Moulin, 04800 Gréoux-les-Bains, France",43.75629560,5.88050060,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement ANA LOCATION - Résidence Lou Cigaloun ! Connectez-vous pour économiser.
Situé à Gréoux-les-Bains, en Provence-Alpes-Côte d'Azur, à moins de 18 km de l'ITER/Cadarache, l'ANA LOCATION - Résidence Lou Cigaloun propose des hébergements avec une connexion Wi-Fi gratuite, un barbecue, un jardin et un parking privé gratuit.
Tous les logements disposent d'une cuisine entièrement équipée avec machine à café, d'un salon avec télévision à écran plat ainsi que d'une salle de bains privative avec sèche-cheveux et douche. Un réfrigérateur, un four, un micro-ondes et une bouilloire sont également fournis.
Vous pourrez profiter d'une terrasse sur place et pratiquer la randonnée et la pêche dans les environs.
Le parcours de golf du Luberon se trouve à 23 km. L'aéroport de Marseille-Provence, le plus proche, est implanté à 80 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement ANA LOCATION - Résidence Lou Cigaloun accueille des clients Booking.com depuis le 11 mars 2020.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
La Clorinde,https://www.booking.com/hotel/fr/holiday-home-la-clorinde.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AsLy0Z0GwAIB0gIkMDE5YjJmOWMtMjQzOS00YzQ3LWI4ZGMtOTQ4ZDMxNDg4ZTlk2AIG4AIB&sid=91dd256170f53c039ab572e8ad4178fd&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=359f84a954ad023a&srepoch=1672771924&from=searchresults#hotelTmpl,"9,1",379 expériences vécues,Moustiers-Sainte-Marie,"chemin du Jas du colombier, 04360 Moustiers-Sainte-Marie, France",43.83828039,6.22067034,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement La Clorinde ! Connectez-vous pour économiser.
Située au cœur d'une oliveraie, à 800 mètres du village de Moustiers, La Clorinde est idéalement située pour découvrir les Gorges du Verdon (1.5Km) et apprécier la beauté du lac de Sainte Croix (3Km) et des champs de lavande.
Les chambres spacieuses, lumineuses, calmes et climatisées offrent une vue sur le jardin et les montagnes.
Petit déjeuner (3 formules), dîner, préparé avec des produits locaux, sera servi sur la terrasse et vous fera apprécier les charmes de la gastronomie provençale.
Nous vous proposons gratuitement un parking et un accès Wifi très puissant. Un service de blanchisserie est également assuré.
Nous parlons 3 langues: français, anglais, espagnol
Toutes vos demandes sont les bienvenues. La Clorinde, havre de paix, fera tout son possible pour que votre séjour en Provence soit une expérience inoubliable.
C'est le quartier préféré des voyageurs visitant Moustiers-Sainte-Marie, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement La Clorinde accueille des clients Booking.com depuis le 22 sept. 2014."
Camping La Ferme de Castellane,https://www.booking.com/hotel/fr/camping-la-ferme-de-castellane.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AsLy0Z0GwAIB0gIkMDE5YjJmOWMtMjQzOS00YzQ3LWI4ZGMtOTQ4ZDMxNDg4ZTlk2AIG4AIB&sid=91dd256170f53c039ab572e8ad4178fd&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=359f84a954ad023a&srepoch=1672771924&from=searchresults#hotelTmpl,"8,8",1 342 expériences vécues,Castellane,"Quartier la Lagne, 04120 Castellane, France",43.83862066,6.54142499,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Camping La Ferme de Castellane ! Connectez-vous pour économiser.
Installé dans le village de Castellane, le Camping La Ferme de Castellane se situe sur les berges de la rivière, à 5 minutes de route des gorges du Verdon. L’établissement comprend un terrain de pétanque et une connexion Wi-Fi gratuite dans les parties communes. Sur place, vous pourrez également jouer au ping-pong.
Décorés avec simplicité avec un mobilier en bois, tous les chalets et les mobile homes incluent une télévision par câble et une terrasse privée. Leur salle de bains privative est munie d’une douche. Établis en lisière de la forêt, tous les types d'hébergements offrent une vue sur la montagne.
Les kitchenettes du Camping La Ferme de Castellane sont équipées d’un micro-ondes, d’un réfrigérateur et de plaques de cuisson. Sur place, vous profiterez également d’un barbecue. La propriété dispose d'une piscine chauffée ainsi que d'hébergements insolites.
Une laverie et une aire de jeux pour enfants sont également à votre disposition. Vous pourrez regarder les chaînes du bouquet Canal+ dans la salle de télévision pourvue d’une bibliothèque, d’un baby-foot et de jeux de société.
Le camping se trouve à 2,3 km du cœur de Castellane et à 65 km de Grasse. Il marque le point de départ du sentier de randonnée GR 4. Sur place, le stationnement privé est gratuit.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,0 pour un séjour à deux.
L'établissement Camping La Ferme de Castellane accueille des clients Booking.com depuis le 12 janv. 2012."
Residence de Plein Air Panoramique à la Porte des Gorges du Verdon,https://www.booking.com/hotel/fr/camping-panoramique-du-verdon.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AsLy0Z0GwAIB0gIkMDE5YjJmOWMtMjQzOS00YzQ3LWI4ZGMtOTQ4ZDMxNDg4ZTlk2AIG4AIB&sid=91dd256170f53c039ab572e8ad4178fd&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=359f84a954ad023a&srepoch=1672771924&from=searchresults#hotelTmpl,"8,6",335 expériences vécues,Castellane,"D952 route des Gorges du Verdon, 04120 Castellane, France",43.83927457,6.49366021,"L’établissement Residence de Plein Air Panoramique à la Porte des Gorges du Verdon vous accueille au cœur des gorges du Verdon, à seulement 1 km de Castellane. Il propose une piscine chauffée pour les enfants, une piscine à débordement chauffée également et un terrain de volley-ball. Une connexion Wi-Fi est fournie gratuitement sur l’ensemble de son terrain.
Les mobile homes de l’établissement Résidence de Plein Air Panoramique disposent d'une terrasse privée offrant une vue panoramique sur Castellane. Leur kitchenette est équipée d’une cuisinière et d’un réfrigérateur-congélateur. Les serviettes de toilette et le linge de lit sont fournis.
Des viennoiseries et du pain frais sont proposés sur commande 24 heures à l’avance. Boutiques, boulangeries et restaurants vous attendent dans le centre-ville de Castellane.
Le parking privé sur place est gratuit. Vous pourrez acheter du miel, des épices et des objets artisanaux locaux sur le marché organisé une fois par semaine dans le centre-ville.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Residence de Plein Air Panoramique à la Porte des Gorges du Verdon accueille des clients Booking.com depuis le 25 juin 2012."
Terres de France - Résidence Côté Provence,https://www.booking.com/hotel/fr/residence-cote-provence.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AsLy0Z0GwAIB0gIkMDE5YjJmOWMtMjQzOS00YzQ3LWI4ZGMtOTQ4ZDMxNDg4ZTlk2AIG4AIB&sid=91dd256170f53c039ab572e8ad4178fd&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=359f84a954ad023a&srepoch=1672771924&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,5",636 expériences vécues,Gréoux-les-Bains,"11 Avenue des Thermes, 04800 Gréoux-les-Bains, France",43.75720200,5.89661000,"Situé à Gréoux-les-Bains, Le Terres de France - Résidence Côté Provence propose des hébergements avec une terrasse ou un balcon, une connexion Wi-Fi gratuite, une télévision à écran plat, une piscine extérieure ouverte en saison et un jardin.
Tous les logements comprennent la climatisation, une salle de bains privative ainsi qu'une cuisine équipée d'un réfrigérateur, d'un lave-vaisselle, d'un micro-ondes et de plaques de cuisson. Un grille-pain, une machine à café et une bouilloire sont également fournis.
Vous séjournerez à 19 km d'ITER/Cadarache et à 23 km du golf du Luberon. L'aéroport de Marseille-Provence, le plus proche, est implanté à 90 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,2 pour un séjour à deux.
L'établissement Terres de France - Résidence Côté Provence accueille des clients Booking.com depuis le 4 nov. 2020.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Les Bastides de Chanteraine,https://www.booking.com/hotel/fr/les-bastides-de-chanteraine.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AsLy0Z0GwAIB0gIkMDE5YjJmOWMtMjQzOS00YzQ3LWI4ZGMtOTQ4ZDMxNDg4ZTlk2AIG4AIB&sid=91dd256170f53c039ab572e8ad4178fd&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=359f84a954ad023a&srepoch=1672771924&from=searchresults#hotelTmpl,"8,3",316 expériences vécues,Aiguines,"Chanteraine, 83630 Aiguines, France",43.76273431,6.21918202,"Offrant une vue sur la montagne, l'établissement Les Bastides de Chanteraine est situé à Aiguines. Il propose une piscine extérieure ouverte en saison, un jardin, une terrasse, un restaurant et un bar.
Vous disposerez également d'un réfrigérateur, de plaques de cuisson et d'une machine à café.
Ce camping sert un petit-déjeuner continental ou à la carte.
Vous séjournerez à 2,5 km des Salles-sur-Verdon et à 7,2 km du Pont. L'aéroport de Toulon-Hyères, le plus proche, est implanté à 113 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,0 pour un séjour à deux.
L'établissement Les Bastides de Chanteraine accueille des clients Booking.com depuis le 30 juin 2019.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Studi-Hôtel Résidence Plein Voile,https://www.booking.com/hotel/fr/studi-ha-tel-ra-c-sidence-plein-voile.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AsLy0Z0GwAIB0gIkMDE5YjJmOWMtMjQzOS00YzQ3LWI4ZGMtOTQ4ZDMxNDg4ZTlk2AIG4AIB&sid=91dd256170f53c039ab572e8ad4178fd&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=359f84a954ad023a&srepoch=1672771924&from=searchresults#hotelTmpl,"7,6",1 077 expériences vécues,Les Salles-sur-Verdon,"Place Sainte Anne, 83630 Les Salles-sur-Verdon, France",43.77365600,6.20835700,"Situé à Les Salles-sur-Verdon, le Studi-Hôtel Résidence Plein Voile se trouve à seulement 200 mètres du lac de Sainte-Croix et dispose d'un jardin et d'une terrasse. Les Gorges du Verdon se situent à 10 km.
Décorées avec simplicité, toutes les chambres disposent d'une armoire et d'une salle de bains privative pourvue d'articles de toilette gratuits, tandis que d'autres sont également équipées d'un balcon et offrent des vues sur le lac. Vous aurez accès à un réfrigérateur.
Un petit-déjeuner continental peut être servi tous les matins à la Résidence Plein Voile. Un bar, une pizzeria et un restaurant sont idéalement situés à seulement 50 mètres de l'établissement.
Les activités nautiques se trouvent à 200 mètres, au bord du lac, et Moustiers-Sainte-Marie est à 12 km. Vous bénéficierez gratuitement d'une connexion Wi-Fi dans les parties communes ainsi que d'un parking public à proximité.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.
L'établissement Studi-Hôtel Résidence Plein Voile accueille des clients Booking.com depuis le 27 sept. 2012."
Appart T3 au coeur de Gréoux-les-Bains,https://www.booking.com/hotel/fr/appart-t3-au-coeur-de-greoux-les-bains.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AsLy0Z0GwAIB0gIkMDE5YjJmOWMtMjQzOS00YzQ3LWI4ZGMtOTQ4ZDMxNDg4ZTlk2AIG4AIB&sid=91dd256170f53c039ab572e8ad4178fd&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=359f84a954ad023a&srepoch=1672771924&from=searchresults#hotelTmpl,"8,0",24 expériences vécues,Gréoux-les-Bains,"16 Rue de la Plateforme, 04800 Gréoux-les-Bains, France",43.75883820,5.88445460,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Appart T3 au coeur de Gréoux-les-Bains ! Connectez-vous pour économiser.
L'Appart T3 au coeur de Gréoux-les-Bains est situé à Gréoux-les-Bains, à 18 km d'ITER/Cadarache et à 22 km du golf du Luberon, dans une région où vous pourrez faire du vélo. Offrant une vue sur la montagne, il dispose d'un casino et d'une connexion Wi-Fi gratuite dans l'ensemble de ses locaux.
Cet appartement de 2 chambres comprend un salon avec une télévision par satellite à écran plat, une cuisine entièrement équipée avec un réfrigérateur et un four ainsi qu'une salle de bains pourvue d'une douche. Les serviettes et le linge de lit sont fournis.
L'aéroport de Marseille-Provence, le plus proche, est implanté à 89 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement Appart T3 au coeur de Gréoux-les-Bains accueille des clients Booking.com depuis le 18 févr. 2019.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Le Petit Grillo - Gite proche des gorges du Verdon,https://www.booking.com/hotel/fr/le-petit-grillo-gite-proche-du-verdon.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AsLy0Z0GwAIB0gIkMDE5YjJmOWMtMjQzOS00YzQ3LWI4ZGMtOTQ4ZDMxNDg4ZTlk2AIG4AIB&sid=91dd256170f53c039ab572e8ad4178fd&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=359f84a954ad023a&srepoch=1672771924&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,1",35 expériences vécues,Allemagne-en-Provence,"1229 Chemin Saint-Véran, 04500 Allemagne-en-Provence, France",43.79256561,6.02551939,"Situé à Allemagne-en-Provence, à 31 km d'ITER / Cadarache et à 35 km du golf du Luberon, l'établissement Le Petit Grillo - Gite proche des gorges du Verdon propose un hébergement climatisé avec une terrasse et une connexion Wi-Fi gratuite. Offrant une vue sur le jardin, il se trouve à 45 km du parcours de golf de Digne et à 2,1 km d'Allemagne-en-Provence.
Cet appartement comprend une chambre, une télévision à écran plat, un lave-linge et une salle de bains pourvue d'une douche. Sa cuisine est équipée d'un micro-ondes et d'un lave-vaisselle. Pour plus de commodité, l'établissement peut fournir des serviettes et du linge de lit moyennant des frais supplémentaires.
Vous pourrez profiter d'une terrasse. Lors de votre séjour, vous pourrez profiter d'un jardin avec un barbecue. La région est prisée pour pratiquer la randonnée et la plongée avec tuba.
Vous séjournerez à 7,9 km d'Albiosc et à 10 km de Montagnac. L'aéroport de Marseille-Provence, le plus proche, est implanté à 102 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement Le Petit Grillo - Gite proche des gorges du Verdon accueille des clients Booking.com depuis le 7 juin 2020.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
B&B Maison Castellane,https://www.booking.com/hotel/fr/maison-castellane.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AsLy0Z0GwAIB0gIkMDE5YjJmOWMtMjQzOS00YzQ3LWI4ZGMtOTQ4ZDMxNDg4ZTlk2AIG4AIB&sid=91dd256170f53c039ab572e8ad4178fd&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=359f84a954ad023a&srepoch=1672771924&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,9",108 expériences vécues,Castellane,"La Cébière, 04120 Castellane, France",43.85192409,6.50941283,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement B&B Maison Castellane ! Connectez-vous pour économiser.
L'établissement B&B Maison Castellane se situe à 700 mètres du centre de Castellane. Vous pourrez profiter d'une terrasse et d'un jardin. Le parking privé sur place est gratuit.
Certaines chambres bénéficient d'un coin salon où vous pourrez vous détendre. Toutes les chambres offrent une vue sur la montagne ou sur le jardin. Les salles de bains sont privatives. La connexion Wi-Fi est gratuite.
Des repas faits maison sont disponibles tous les jours sur demande au petit-déjeuner.
Les Gorges du Verdon vous attendent à 32 km et Entrevaux est à 41 km. L'aéroport le plus proche est celui de Nice-Côte d'Azur, à 85 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement B&B Maison Castellane accueille des clients Booking.com depuis le 23 févr. 2016."
