name,link,review_score,review_count,area,address,hotel_latitude,hotel_longitude,description
Appartement Bord de Mer La Faviere,https://www.booking.com/hotel/fr/apartement-la-faviere-bormes-les-mimosas.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aq360Z0GwAIB0gIkZTdhZWEyMDktYjAxZi00MjAxLWJjMTYtMmU3ODEyYjM0ODQy2AIG4AIB&sid=d9a92bf28e4685905f0d9aedb36012ca&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=ebdb869f8c0c0096&srepoch=1672772928&from_beach_sr=1&from=searchresults#hotelTmpl,"8,2",47 expériences vécues,Bormes-les-Mimosas,"112 boulevard de la plage, 83230 Bormes-les-Mimosas, France",43.12602594,6.35675467,"Rénové en janvier 2022, l'Apartement La Faviere est situé à Bormes-les-Mimosas et dispose d'une terrasse avec vue sur le jardin. Vous trouverez des restaurants et des boutiques à moins de 400 mètres. Un parking privé est disponible gratuitement sur place.
Situé au premier étage, cet appartement comprend une télévision à écran plat, un coin repas ainsi qu'une kitchenette équipée d'un four micro-ondes et d'un réfrigérateur.
La région est prisée des amateurs de golf et d'équitation. Vous pourrez pratiquer diverses activités, telles que la plongée avec tuba et la planche à voile.
Vous séjournerez à 40 km de Saint-Tropez et à 23 km de l'aéroport et de la gare de Hyères.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,1 pour un séjour à deux.
L'établissement Appartement Bord de Mer La Faviere accueille des clients Booking.com depuis le 19 mai 2015."
Le petit atelier,https://www.booking.com/hotel/fr/le-petit-atelier-bormes-les-mimosas1234567891011121314151617.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aq360Z0GwAIB0gIkZTdhZWEyMDktYjAxZi00MjAxLWJjMTYtMmU3ODEyYjM0ODQy2AIG4AIB&sid=d9a92bf28e4685905f0d9aedb36012ca&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=ebdb869f8c0c0096&srepoch=1672772928&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,9",89 expériences vécues,Bormes-les-Mimosas,"34 Chemin de la Bergerie, 83230 Bormes-les-Mimosas, France",43.14250100,6.34917880,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le petit atelier ! Connectez-vous pour économiser.
Situé à Bormes-les-Mimosas, en Provence-Alpes-Côte d'Azur, à moins de 2,8 km de la plage de l'Anglade, l'établissement Le petit atelier propose des hébergements avec une connexion Wi-Fi gratuite, un barbecue, un jardin et un parking privé gratuit. Cet hébergement climatisé dispose d'un jacuzzi.
Offrant une vue sur le jardin, cette maison de vacances comprend une terrasse, un coin salon, une télévision à écran plat, une cuisine entièrement équipée avec un réfrigérateur et un four, ainsi qu'une salle de bains privative pourvue d'une douche et d'un sèche-cheveux. Un micro-ondes, des plaques de cuisson, un grille-pain, une machine à café et une bouilloire sont également fournis.
Vous pourrez profiter d'un jacuzzi.
Vous séjournerez à 2,8 km de la plage de la Pointe de Gouron et à 2,9 km de la Grande Plage. L'aéroport le plus proche, celui de Toulon-Hyères, est situé à 20 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement Le petit atelier accueille des clients Booking.com depuis le 19 oct. 2020.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Magnifique maison de village clim vue mer 6 pers,https://www.booking.com/hotel/fr/magnifique-maison-de-village-clim-vue-mer-8-pers.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aq360Z0GwAIB0gIkZTdhZWEyMDktYjAxZi00MjAxLWJjMTYtMmU3ODEyYjM0ODQy2AIG4AIB&sid=d9a92bf28e4685905f0d9aedb36012ca&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=ebdb869f8c0c0096&srepoch=1672772928&from_beach_sr=1&from=searchresults#hotelTmpl,"8,5",19 expériences vécues,Bormes-les-Mimosas,"8 Montée du Paradis, 83230 Bormes-les-Mimosas, France",43.15160800,6.34112340,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Magnifique maison de village clim vue mer 6 pers ! Connectez-vous pour économiser.
La Magnifique maison de village clim vue mer 6 pers est située à Bormes-les-Mimosas, à 39 km de la gare de Toulon, à 40 km du Zénith de Toulon et à 5,1 km de La Favière. Offrant une vue sur la ville et la mer, cette maison de vacances dispose également d'une connexion Wi-Fi gratuite.
Cette maison de vacances climatisée comprend 2 chambres, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi que 3 salles de bains pourvues d'une douche et d'articles de toilette gratuits. Les serviettes et le linge de lit sont fournis.
Vous pourrez profiter d'une terrasse et d'un barbecue sur place. La région est prisée pour pratiquer la randonnée.
Vous séjournerez à 22 km du centre d'art Villa Noailles et à 15 km du parcours de golf de Valcros. L'aéroport le plus proche, celui de Toulon-Hyères, est situé à 21 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour à deux.
L'établissement Magnifique maison de village clim vue mer 6 pers accueille des clients Booking.com depuis le 9 sept. 2021.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Asklan,https://www.booking.com/hotel/fr/assklan.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aq360Z0GwAIB0gIkZTdhZWEyMDktYjAxZi00MjAxLWJjMTYtMmU3ODEyYjM0ODQy2AIG4AIB&sid=d9a92bf28e4685905f0d9aedb36012ca&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=ebdb869f8c0c0096&srepoch=1672772928&from_beach_sr=1&from=searchresults#hotelTmpl,"7,6",114 expériences vécues,Bormes-les-Mimosas,"Résidence la Rade Ensoleillée 101 boulevard du front de mer, 83230 Bormes-les-Mimosas, France",43.12264843,6.35946596,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Asklan ! Connectez-vous pour économiser.
Situé à Bormes-les-Mimosas, à seulement 200 mètres de Faviere, l'Asklan propose un hébergement en bord de mer avec connexion Wi-Fi gratuite. Occupant un bâtiment datant de 2015, cet appartement se trouve à 41 km de la gare de Toulon et à 42 km du Zénith de Toulon.
Cet appartement comprend une chambre, un salon, une kitchenette entièrement équipée avec un réfrigérateur et une machine à café ainsi qu'une salle de bains pourvue d'une douche et d'articles de toilette gratuits. Les serviettes et le linge de lit sont fournis.
Vous pourrez profiter d'une terrasse sur place et faire de la randonnée dans les environs.
Vous séjournerez à proximité des plages de la Pointe de Gouron, de l'Anglade et de La Favière. L'aéroport de Toulon-Hyères, le plus proche, est à 24 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,4 pour un séjour à deux.
L'établissement Asklan accueille des clients Booking.com depuis le 30 août 2017.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
HomeStay Bormes,https://www.booking.com/hotel/fr/homestay-bormes-bormes-les-mimosas.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aq360Z0GwAIB0gIkZTdhZWEyMDktYjAxZi00MjAxLWJjMTYtMmU3ODEyYjM0ODQy2AIG4AIB&sid=d9a92bf28e4685905f0d9aedb36012ca&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=ebdb869f8c0c0096&srepoch=1672772928&from_beach_sr=1&from=searchresults#hotelTmpl,"9,6",115 expériences vécues,Bormes-les-Mimosas,"322 Rue des Icares, 83230 Bormes-les-Mimosas, France",43.14644500,6.32772400,"Offrant une vue sur la piscine, le HomeStay Bormes est situé à Bormes-les-Mimosas, à 37 km de la gare de Toulon. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking privé.
Les logements comprennent la climatisation, une télévision à écran plat ainsi qu'une salle de bains privative pourvue d'une douche, d'un sèche-cheveux et d'articles de toilette gratuits. Un micro-ondes, un réfrigérateur, des plaques de cuisson, une bouilloire et une machine à café sont également fournis.
Ce séjour chez l'habitant possède une terrasse bien exposée.
Vous pourrez vous baigner dans la piscine extérieure, vous détendre dans le jardin et utiliser le barbecue. La région est prisée pour pratiquer la randonnée et la plongée avec tuba.
Le Zénith de Toulon se trouve à 37 km du HomeStay Bormes, tandis que La Favière est à 5,7 km. L'aéroport le plus proche, celui de Toulon-Hyères, est situé à 21 km. Un service de navette aéroport peut être assuré moyennant des frais supplémentaires.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.
L'établissement HomeStay Bormes accueille des clients Booking.com depuis le 5 sept. 2018.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Studio avec Jardin et Parking Privés,https://www.booking.com/hotel/fr/217-rue-des-iris.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aq360Z0GwAIB0gIkZTdhZWEyMDktYjAxZi00MjAxLWJjMTYtMmU3ODEyYjM0ODQy2AIG4AIB&sid=d9a92bf28e4685905f0d9aedb36012ca&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=ebdb869f8c0c0096&srepoch=1672772928&from_beach_sr=1&from=searchresults#hotelTmpl,"8,5",54 expériences vécues,Bormes-les-Mimosas,"217 Rue des Iris, 83230 Bormes-les-Mimosas, France",43.14036330,6.33671490,"Situé à 38 km du Zénith de Toulon et à 3,8 km de La Favière, le Studio avec Jardin et Parking Privés dispose d'une connexion Wi-Fi gratuite et d'une terrasse. Situé à 38 km de la gare de Toulon, l'établissement possède un jardin et un parking privé gratuit.
Cet appartement comprend une chambre, une télévision par câble à écran plat, une kitchenette équipée d'un réfrigérateur et d'un four ainsi qu'une salle de bains pourvue d'une douche. Les serviettes et le linge de lit sont fournis.
Un petit-déjeuner continental est servi tous les matins sur place.
Le Studio avec Jardin et Parking Privés se trouve à 20 km du centre d'art Villa Noailles et à 13 km du parcours de golf de Valcros. L'aéroport de Toulon-Hyères, le plus proche, est à 20 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour à deux.
L'établissement Studio avec Jardin et Parking Privés accueille des clients Booking.com depuis le 23 oct. 2018.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Hôtel Paradis,https://www.booking.com/hotel/fr/paradis.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aq360Z0GwAIB0gIkZTdhZWEyMDktYjAxZi00MjAxLWJjMTYtMmU3ODEyYjM0ODQy2AIG4AIB&sid=d9a92bf28e4685905f0d9aedb36012ca&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=ebdb869f8c0c0096&srepoch=1672772928&from_beach_sr=1&from=searchresults#hotelTmpl,"8,0",701 expériences vécues,Bormes-les-Mimosas,"62 Impasse du Castellan, 83230 Bormes-les-Mimosas, France",43.14468600,6.33512500,"L'hôtel Paradis occupe un bâtiment datant de 1920 et bénéficie d'un jardin luxuriant. Il offre une vue panoramique sur la mer et le vieux village de Bormes.
Plusieurs chambres possèdent un balcon donnant sur la mer, d'autres surplombent le village. Les chambres sont aussi équipées d'une connexion Wi-Fi gratuite et d'une télévision.
De plus, vous dégusterez un petit-déjeuner continental quotidien. En fonction du nombre de personnes, il peut être proposé sous forme de buffet. Le parking est accessible pour les vélos, les motos et les voitures.
Bormes les Mimosas est situé entre Saint Tropez et Hyères et offre des vues superbes sur l'île de Port Cros et Porquerolles.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,9 pour un séjour à deux.
L'établissement Hôtel Paradis accueille des clients Booking.com depuis le 4 juin 2008."
"T2 BORMES LES MIMOSAS, La Faviere à 5 mn à pieds de la plage",https://www.booking.com/hotel/fr/t2-bormes-les-mimosas-la-faviere-a-5-mn-a-pieds-de-la-plage.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aq360Z0GwAIB0gIkZTdhZWEyMDktYjAxZi00MjAxLWJjMTYtMmU3ODEyYjM0ODQy2AIG4AIB&sid=d9a92bf28e4685905f0d9aedb36012ca&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=ebdb869f8c0c0096&srepoch=1672772928&from_beach_sr=1&from=searchresults#hotelTmpl,"8,6",5 expériences vécues,Bormes-les-Mimosas,"Résidence Les Jardins du Golfe. 420 BD de la plage, 83230 Bormes-les-Mimosas, France",43.12381270,6.35813270,"Le T2 BORMES LES MIMOSAS, La Faviere à 5 mn à pieds de la plage est un hébergement en bord de mer situé à Bormes-les-Mimosas, à 700 mètres de la plage de la Pointe de Gouron et à 41 km de la gare de Toulon. Doté d'un parking privé gratuit, il se trouve à 400 mètres de la Faviere et à 700 mètres de la plage de l'Anglade.
Offrant une vue sur le jardin, cet appartement comprend une terrasse, une chambre, un salon, une télévision à écran plat, une kitchenette équipée d'un réfrigérateur et d'un four ainsi qu'une salle de bains pourvue d'une baignoire.
Vous séjournerez à 700 mètres de La Favière et à 42 km du Zénith de Toulon. L'aéroport le plus proche, celui de Toulon-Hyères, est situé à 23 km.
L'établissement T2 BORMES LES MIMOSAS, La Faviere à 5 mn à pieds de la plage accueille des clients Booking.com depuis le 1 août 2021.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
FACE MER ENTRE PLAGE ET MARINA,https://www.booking.com/hotel/fr/face-mer-entre-plage-et-marina.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aq360Z0GwAIB0gIkZTdhZWEyMDktYjAxZi00MjAxLWJjMTYtMmU3ODEyYjM0ODQy2AIG4AIB&sid=d9a92bf28e4685905f0d9aedb36012ca&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=ebdb869f8c0c0096&srepoch=1672772928&from_beach_sr=1&from=searchresults#hotelTmpl,"8,6",5 expériences vécues,Bormes-les-Mimosas,"Boulevard du port, résidence l'esquilette, entrée le courlis, 83230 Bormes-les-Mimosas, France",43.12212055,6.36269069,"Situé à Bormes-les-Mimosas, le FACE MER ENTRE PLAGE ET MARINA propose un hébergement climatisé avec une piscine privée, une vue sur la mer et un balcon. Situé à 60 mètres de Faviere, il propose une piscine extérieure ouverte en saison et un parking privé gratuit.
Cet appartement dispose d'une télévision à écran plat. La kitchenette est équipée d'un réfrigérateur, d'un four, d'un micro-ondes, d'une machine à café et d'une bouilloire.
Vous séjournerez à proximité des plages de la Pointe de Gouron, de l'Anglade et de La Favière. L'aéroport le plus proche, celui de Toulon-Hyères, est situé à 24 km.
L'établissement FACE MER ENTRE PLAGE ET MARINA accueille des clients Booking.com depuis le 26 mars 2021.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Boulevard du Soleil,https://www.booking.com/hotel/fr/boulevard-du-soleil.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aq360Z0GwAIB0gIkZTdhZWEyMDktYjAxZi00MjAxLWJjMTYtMmU3ODEyYjM0ODQy2AIG4AIB&sid=d9a92bf28e4685905f0d9aedb36012ca&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=ebdb869f8c0c0096&srepoch=1672772928&from_beach_sr=1&from=searchresults#hotelTmpl,"8,9",33 expériences vécues,Bormes-les-Mimosas,"714 Boulevard du soleil, 83230 Bormes-les-Mimosas, France",43.14923281,6.34197015,"Situé à Bormes-les-Mimosas, à seulement 39 km de la gare de Toulon, le Boulevard du Soleil propose un hébergement avec vue sur la mer, connexion Wi-Fi et parking privé gratuits. Offrant une vue sur le jardin, il se trouve à 39 km du Zénith de Toulon et à 4,8 km de La Favière.
Cet appartement comprend une chambre, une salle de bains, du linge de lit, des serviettes, une télévision à écran plat, une cuisine entièrement équipée et un balcon avec vue sur la ville.
Vous séjournerez à 21 km du centre d'art Villa Noailles et à 14 km du parcours de golf de Valcros. L'aéroport de Toulon-Hyères, le plus proche, est implanté à 21 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement Boulevard du Soleil accueille des clients Booking.com depuis le 23 déc. 2018.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
