name,link,review_score,review_count,area,address,hotel_latitude,hotel_longitude,description
Maisons du Monde Hôtel & Suites - Marseille Vieux Port,https://www.booking.com/hotel/fr/maisondumondehotelandsuitesmarseille.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApmJ0p0GwAIB0gIkZjFiMjk2MDEtNzA4NC00NDAzLWEzZGQtZDI1NmNjNDA5Yjhi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=58048a52b6290213&srepoch=1672774821&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,4",1 655 expériences vécues,"Vieux Port - La Canebière, Marseille","43 Quai des Belges, 13001 Marseille, France",43.29412372,5.37463993,"Marseille - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Surplombant le Vieux-Port, l’établissement Maisons du Monde Hôtel & Suites - Marseille Vieux Port vous accueille au cœur de Marseille. Il propose des chambres modernes et climatisées. Une connexion Wi-Fi est disponible gratuitement.
Les chambres insonorisées de l’établissement Maisons du Monde Hôtel & Suites - Marseille Vieux Port comprennent une télévision par satellite à écran plat. Certaines offrent une vue sur la mer et le port.
L’hôtel se trouve à quelques pas de la station de métro Vieux-Port - Hôtel de Ville. Des arrêts de transports en commun desservant tous les principaux sites d’intérêt de la ville se trouvent le long de La Canebière, à 400 mètres.
C'est le quartier préféré des voyageurs visitant Marseille, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.
L'établissement Maisons du Monde Hôtel & Suites - Marseille Vieux Port accueille des clients Booking.com depuis le 1 oct. 2006."
Hôtel Maison Montgrand - Vieux Port,https://www.booking.com/hotel/fr/montgrand.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApmJ0p0GwAIB0gIkZjFiMjk2MDEtNzA4NC00NDAzLWEzZGQtZDI1NmNjNDA5Yjhi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=58048a52b6290213&srepoch=1672774821&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,0",1 567 expériences vécues,"Vieux Port - La Canebière, Marseille","35 Rue Montgrand, 13006 Marseille, France",43.29096270,5.37642920,"Marseille - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Maison Montgrand - Vieux Port ! Connectez-vous pour économiser.
Doté d'une terrasse spacieuse, d'un terrain de pétanque et d'un magasin de concept, l'Hôtel Maison Montgrand - Vieux Port vous propose 49 chambres et 13 appartements dans le centre de Marseille, à seulement 5 minutes à pied du Vieux-Port et à 4 km du stade Vélodrome.
Réparties dans 5 bâtiments différents, les chambres disposent de la climatisation, d’une connexion Wi-Fi gratuite, d’une télévision par satellite à écran plat et d’une salle de bains privative. Tous les appartements sont équipés d'une kitchenette et rendent hommage au peintre Michel Jouenne, dont la fondation au rez-de-chaussée expose ses œuvres.
Sur place, vous pourrez déguster un petit-déjeuner buffet chaque matin. Les repas sont servis à l’heure du déjeuner, du lundi au samedi. Le bar ouvert 24h/24 vous servira aussi des boissons chaudes et froides.
Le personnel de l’établissement se tiendra à votre disposition 24h/24. Il pourra vous aider à réserver une table de restaurant, louer une voiture et organiser de nombreuses activités. Un salon et une salle de réunion sont également disponibles.
Vous séjournerez à seulement 150 mètres de la station de métro Estrangin - Préfecture. Si vous venez en voiture, vous pourrez utiliser l’espace d’arrêt minute en face de l’hôtel. Enfin, vous rejoindrez en 5 minutes à pied l’opéra de Marseille et la place aux Huiles avec ses nombreux restaurants.
C'est le quartier préféré des voyageurs visitant Marseille, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement Hôtel Maison Montgrand - Vieux Port accueille des clients Booking.com depuis le 23 mars 2010."
LE PANIER ENCHANTÉ - Suites & Loft - Terrasse et patio au dessus du Vieux Port,https://www.booking.com/hotel/fr/le-panier-enchante-suites-amp-spa.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApmJ0p0GwAIB0gIkZjFiMjk2MDEtNzA4NC00NDAzLWEzZGQtZDI1NmNjNDA5Yjhi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=58048a52b6290213&srepoch=1672774821&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,9",404 expériences vécues,"Vieux Port - La Canebière, Marseille","7 Rue de la Charité, 13002 Marseille, France",43.30009700,5.36758500,"Marseille - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement LE PANIER ENCHANTÉ - Suites & Loft - Terrasse et patio au dessus du Vieux Port ! Connectez-vous pour économiser.
Situé dans le centre de Marseille, à 2,8 km de la plage des Catalans et à 700 mètres de la station de métro Joliette, l'établissement LE PANIER ENCHANTÉ - Suites & Loft - Terrasse et patio au dessus du Vieux Port propose un hébergement avec connexion Wi-Fi gratuite, climatisation et accès à un jardin avec terrasse.
Les logements comprennent une terrasse, une télévision à écran plat et une salle de bains privative pourvue d'articles de toilette gratuits. Plusieurs possèdent une cuisine équipée d'un réfrigérateur, d'un four et d'un micro-ondes.
Vous séjournerez à proximité de la station de métro Vieux Port, du centre commercial Les Terrasses du Port et du musée des civilisations de l'Europe et de la Méditerranée. L'aéroport de Marseille-Provence, le plus proche, est implanté à 21 km.
C'est le quartier préféré des voyageurs visitant Marseille, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement LE PANIER ENCHANTÉ - Suites & Loft - Terrasse et patio au dessus du Vieux Port accueille des clients Booking.com depuis le 28 août 2018.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Toyoko INN Marseille Saint Charles,https://www.booking.com/hotel/fr/toyoko-inn-marseille-saint-charles.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApmJ0p0GwAIB0gIkZjFiMjk2MDEtNzA4NC00NDAzLWEzZGQtZDI1NmNjNDA5Yjhi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=58048a52b6290213&srepoch=1672774821&from=searchresults#hotelTmpl,"7,8",7 942 expériences vécues,"Saint-Charles, Marseille","25 Avenue du General Leclerc, 13003 Marseille, France",43.30422900,5.37662400,"Situé à Marseille, à seulement 5 minutes à pied de la gare de Marseille Saint-Charles, le Toyoko INN Marseille Saint Charles dispose d’un jardin et d’une connexion Wi-Fi gratuite. L’établissement est facilement accessible depuis l’autoroute A7. Un parking sécurisé est disponible mais les places de stationnement sont limitées et ne peuvent pas être réservées à l'avance.
Les chambres sont équipées de la climatisation, d’une télévision à écran plat, d’un bureau et d’une salle de bains privative avec baignoire.
Parlant français et anglais, le personnel de la réception se fera un plaisir de vous aider à tout moment de la journée.
Vous séjournerez à 1,1 km du Vieux-Port de Marseille et à 20 minutes à pied du centre commercial Les Terrasses du Port. L’aéroport Marseille-Provence, le plus proche, se situe quant à lui à 20 km.
L'établissement Toyoko INN Marseille Saint Charles accueille des clients Booking.com depuis le 10 mai 2018.
Chaîne hôtelière/marque: Toyoko Inn"
Marseillement votre,https://www.booking.com/hotel/fr/votre-adresse-de-charme-hypercentre-marseille.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApmJ0p0GwAIB0gIkZjFiMjk2MDEtNzA4NC00NDAzLWEzZGQtZDI1NmNjNDA5Yjhi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=58048a52b6290213&srepoch=1672774821&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,3",186 expériences vécues,"Saint-Charles, Marseille","4 Rue DELILLE, 13001 Marseille, France",43.30020105,5.38260245,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Marseillement votre ! Connectez-vous pour économiser.
Situé à Marseille, à 2,9 km de la plage des Catalans et à 1,1 km de la station de métro Vieux-Port, le Marseillement votre offre une vue sur la ville et propose une connexion Wi-Fi gratuite.
Tous les logements disposent d'une cuisine entièrement équipée avec une machine à café, d'un salon avec une télévision à écran plat ainsi que d'une salle de bains privative avec des articles de toilette gratuits et une douche. Tous les logements comprennent des coins salon et repas.
Vous séjournerez à proximité de la gare de Marseille-Saint-Charles, de la rue Saint-Ferréol et de la station de métro Joliette. L'aéroport de Marseille-Provence, le plus proche, est implanté à 22 km.
C'est le quartier préféré des voyageurs visitant Marseille, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,6 pour un séjour à deux.
L'établissement Marseillement votre accueille des clients Booking.com depuis le 4 févr. 2019."
"Les catalans, vue mer",https://www.booking.com/hotel/fr/appartement-rue-des-catalans.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApmJ0p0GwAIB0gIkZjFiMjk2MDEtNzA4NC00NDAzLWEzZGQtZDI1NmNjNDA5Yjhi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=58048a52b6290213&srepoch=1672774821&from=searchresults#hotelTmpl,"8,0",14 expériences vécues,"La Corniche, Marseille","6 Rue des Catalans, 13007 Marseille, France",43.29042063,5.35606358,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Les catalans, vue mer ! Connectez-vous pour économiser.
Situé à Marseille, à seulement 100 mètres de la plage des Catalans, l'établissement Les catalans, vue mer propose un hébergement en bord de mer avec connexion Wi-Fi gratuite. Offrant une vue sur la mer, il se trouve à 1,9 km de la Fausse Monnaie et à 2 km de la plage de Maldorme.
Cet appartement climatisé comprend une chambre séparée, un salon, une salle de bains ainsi qu'une cuisine entièrement équipée avec un réfrigérateur et un four.
Vous séjournerez à 700 mètres du palais du Pharo et à 2,1 km de la rue Saint-Ferréol. L'aéroport de Marseille-Provence, le plus proche, est implanté à 27 km.
C'est le quartier préféré des voyageurs visitant Marseille, selon les commentaires clients indépendants.
L'établissement Les catalans, vue mer accueille des clients Booking.com depuis le 30 sept. 2016.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Le Plaisir 1827,https://www.booking.com/hotel/fr/le-plaisir-1827.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApmJ0p0GwAIB0gIkZjFiMjk2MDEtNzA4NC00NDAzLWEzZGQtZDI1NmNjNDA5Yjhi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=58048a52b6290213&srepoch=1672774821&from=searchresults#hotelTmpl,"9,0",84 expériences vécues,Marseille,"3 Eme etages gauche 38 Rue du Progrès, 13005 Marseille, France",43.29653880,5.39137380,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Plaisir 1827 ! Connectez-vous pour économiser.
Le Plaisir 1827 est situé à Marseille, à 1,3 km de la station de métro La Timone, à 1,8 km de la station de métro Castellane et à 1,4 km de la rue Saint-Ferréol. Il offre une vue sur la ville et propose une connexion Wi-Fi gratuite dans l'ensemble de ses locaux.
Cet appartement comprend une chambre, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi qu'une salle de bains pourvue d'une douche et d'un sèche-cheveux. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 1,7 km de la station de métro Vieux-Port et à 1,5 km de la gare de Marseille-Saint-Charles. L'aéroport de Marseille-Provence, le plus proche, est implanté à 24 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,1 pour un séjour à deux.
L'établissement Le Plaisir 1827 accueille des clients Booking.com depuis le 28 déc. 2020."
Vieux Port République Cannebiére,https://www.booking.com/hotel/fr/vieux-port-47-les-augustins.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApmJ0p0GwAIB0gIkZjFiMjk2MDEtNzA4NC00NDAzLWEzZGQtZDI1NmNjNDA5Yjhi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=58048a52b6290213&srepoch=1672774821&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,7",117 expériences vécues,"Vieux Port - La Canebière, Marseille","11 Rue des Augustins, 13001 Marseille, France",43.29594971,5.37455259,"Marseille - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Vieux Port République Cannebiére ! Connectez-vous pour économiser.
Situé à Marseille, à 1,9 km de la plage des Catalans et à 100 mètres de la station de métro Vieux Port, le Vieux Port République Cannebiére propose un hébergement climatisé avec vue sur la ville et connexion Wi-Fi gratuite.
Tous les logements comprennent une cuisine entièrement équipée avec une table à manger, une télévision par satellite à écran plat ainsi qu'une salle de bains privative pourvue d'une douche, d'articles de toilette gratuits et d'un sèche-cheveux. Un réfrigérateur, un four, un micro-ondes, une machine à café et une bouilloire sont également fournis.
Vous pourrez pratiquer la randonnée, la planche à voile et la plongée sous-marine dans les environs.
Vous séjournerez à proximité de la rue Saint-Ferréol, du musée des civilisations de l'Europe et de la Méditerranée et de la station de métro Joliette. L'aéroport de Marseille-Provence, le plus proche, est implanté à 22 km.
C'est le quartier préféré des voyageurs visitant Marseille, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement Vieux Port République Cannebiére accueille des clients Booking.com depuis le 5 oct. 2020."
"Holiday Inn Express Marseille Saint Charles, an IHG Hotel",https://www.booking.com/hotel/fr/holiday-inn-express-marseille-saint-charles.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApmJ0p0GwAIB0gIkZjFiMjk2MDEtNzA4NC00NDAzLWEzZGQtZDI1NmNjNDA5Yjhi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=58048a52b6290213&srepoch=1672774821&from=searchresults#hotelTmpl,"7,8",5 350 expériences vécues,"Saint-Charles, Marseille","15 Boulevard Maurice Bourdet, 13001 Marseille, France",43.30272424,5.37933044,"L'Holiday Inn Express Marseille Saint Charles se situe en face de la gare dans le centre-ville de Marseille, à 10 minutes de marche du Vieux-Port. Il propose des chambres avec salle de bains privative et connexion Wi-Fi gratuite.
Affichant une décoration moderne, toutes les chambres insonorisées comprennent la climatisation et une télévision par satellite à écran plat.
Lors de votre séjour à l'Holiday Inn Express Marseille Saint Charles, vous savourerez un petit-déjeuner gratuit et le bar Le Mistral vous servira aussi des repas légers. Par ailleurs, vous apprécierez de vous détendre sur la terrasse. Sur place, vous disposerez également d'une réception ouverte 24h/24 et d'un service de blanchisserie assuré moyennant un supplément.
Depuis la station de métro Saint-Charles (lignes 1 et 2), vous bénéficierez d'un accès direct au parc Chanot et au centre-ville. Enfin, accessible depuis l'A7, l'Holiday Inn Express Marseille Saint Charles possède un parking privé payant.
C'est le quartier préféré des voyageurs visitant Marseille, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,5 pour un séjour à deux.
L'établissement Holiday Inn Express Marseille Saint Charles, an IHG Hotel accueille des clients Booking.com depuis le 15 avr. 2010.
Chaîne hôtelière/marque: Holiday Inn Express"
"Superbe appart 3 p, 10 mn de la plage avec piscine et parking",https://www.booking.com/hotel/fr/superbe-appart-3-p-10-mn-de-la-plage-avec-piscine.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApmJ0p0GwAIB0gIkZjFiMjk2MDEtNzA4NC00NDAzLWEzZGQtZDI1NmNjNDA5Yjhi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=58048a52b6290213&srepoch=1672774821&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,0",28 expériences vécues,"Borely-Bonneveine, Marseille","72 Boulevard du Sablier, 13008 Marseille, France",43.25053030,5.38148170,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Superbe appart 3 p, 10 mn de la plage avec piscine et parking ! Connectez-vous pour économiser.
Dans le quartier Borely-Bonneveine de Marseille, à proximité de la Plage de la Vieille Chapelle, Superbe appart 3 p, Le 10 mn de la plage avec piscine et parking dispose d'un bar, d'une connexion Wi-Fi gratuite et d'un lave-linge. Situé à moins de 1 km de Bonneveine, il propose une piscine extérieure ouverte en saison et un parking privé gratuit.
Cet appartement comprend 2 chambres, une salle de bains, du linge de lit, des serviettes, une télévision par satellite à écran plat, un coin repas, une cuisine entièrement équipée et un balcon avec vue sur le jardin.
Une terrasse bien exposée est présente. Un service de location de vélos est assuré sur place.
Vous séjournerez à 1,3 km de Borely et à 2,9 km du stade Orange Vélodrome. L'aéroport le plus proche, celui de Marseille Provence, est situé à 32 km.
L'établissement Superbe appart 3 p, 10 mn de la plage avec piscine et parking accueille des clients Booking.com depuis le 2 juin 2022.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
