name,link,review_score,review_count,area,address,hotel_latitude,hotel_longitude,description
Boutique Hôtel Entraigues,https://www.booking.com/hotel/fr/entraigues-uzes2.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Au-d0p0GwAIB0gIkNDUyMWQwNjYtYmQzMC00N2NlLWJlZGYtNmNlYzc0N2NiYzYz2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=b8ac8f7d989801cd&srepoch=1672777467&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,8",1 124 expériences vécues,Uzès,"4 place de l'Evêché, Rue de la Calade, 30700 Uzès, France",44.01246437,4.42180011,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Boutique Hôtel Entraigues ! Connectez-vous pour économiser.
Doté d’une piscine extérieure, le Boutique Hôtel Entraigues vous accueille à Uzès, dans le Languedoc-Roussillon, à 32 km d’Avignon. Il possède une terrasse bien exposée et offre une vue sur la ville. Une connexion Wi-Fi est disponible gratuitement dans l’ensemble de l’établissement, et vous pourrez profiter d’un parking privé sur place moyennant des frais supplémentaires et sous réserve de disponibilité.
Les chambres sont climatisées et disposent d’une télévision par câble à écran plat ainsi que d’un plateau/bouilloire. Certaines comportent une terrasse, un patio ou un coin salon où vous pourrez vous détendre après une journée bien remplie.
Vous trouverez plusieurs restaurants à moins de 2 minutes de marche.
Vous aurez la possibilité de pratiquer différentes activités dans les environs, telles que le golf et le vélo. L’Hôtel Entraigues est à 20 km de Nîmes et à 41 km d’Arles. L’aéroport d’Avignon-Provence est, quant à lui, situé à 40 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement Boutique Hôtel Entraigues accueille des clients Booking.com depuis le 25 août 2015."
Les Gîtes de Cayenne - Gîte Olivia,https://www.booking.com/hotel/fr/les-gites-de-cayenne-gite-olivia.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Au-d0p0GwAIB0gIkNDUyMWQwNjYtYmQzMC00N2NlLWJlZGYtNmNlYzc0N2NiYzYz2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=b8ac8f7d989801cd&srepoch=1672777467&from=searchresults#hotelTmpl,"8,7",6 expériences vécues,Uzès,"3 impasse des perdrix, 30700 Uzès, France",44.01217860,4.40631810,"Offrant une vue sur le jardin, l'établissement Les Gîtes de Cayenne - Gîte Olivia est situé à Uzès, à 32 km du parc des expositions de Nîmes et à 39 km de la gare centrale d'Avignon. Cette villa dispose d'une piscine privée, d'un jardin, d'un barbecue, ainsi que d'une connexion Wi-Fi et d'un parking privé gratuits.
La villa comprend 3 chambres, une salle de bains, du linge de lit, des serviettes, une télévision à écran plat, un coin repas, une cuisine entièrement équipée et une terrasse avec vue sur la piscine.
Vous pourrez faire de la randonnée et du vélo dans les environs ou profiter de la piscine extérieure ouverte en saison.
Les Gîtes de Cayenne - Gîte Olivia se trouvent à 40 km du palais des Papes et à 41 km de la gare TGV d'Avignon. L'aéroport de Nîmes-Garons, le plus proche, est implanté à 35 km.
L'établissement Les Gîtes de Cayenne - Gîte Olivia accueille des clients Booking.com depuis le 5 août 2015.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
LE MAS DES OLIVIERS appartement 3 min a pied du centre d'Uzès parking piscine,https://www.booking.com/hotel/fr/mas-des-oliviers-uzes.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Au-d0p0GwAIB0gIkNDUyMWQwNjYtYmQzMC00N2NlLWJlZGYtNmNlYzc0N2NiYzYz2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=b8ac8f7d989801cd&srepoch=1672777467&from=searchresults#hotelTmpl,"8,9",66 expériences vécues,Uzès,"1 rue des cedres, 30700 Uzès, France",44.01276500,4.41432300,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement LE MAS DES OLIVIERS appartement 3 min a pied du centre d'Uzès parking piscine ! Connectez-vous pour économiser.
Situé à Uzès, à 38 km de la gare centrale d'Avignon, à 40 km du palais des papes et de la gare TGV d'Avignon, l'établissement LE MAS DES OLIVIERS appartement 3 min a pied du centre d'Uzès parking piscine propose un hébergement avec un balcon et une connexion Wi-Fi gratuite. Situé à 31 km du parc des expositions de Nîmes, il dispose d'une terrasse et d'un parking privé gratuit.
Cet appartement climatisé comprend 2 chambres, un salon, une cuisine entièrement équipée avec un réfrigérateur et une bouilloire ainsi que 2 salles de bains pourvues d'une baignoire et d'articles de toilette gratuits. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 14 km du pont du Gard et à 48 km du parc des expositions d'Avignon. L'aéroport le plus proche, celui de Nîmes-Garons, est situé à 35 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement LE MAS DES OLIVIERS appartement 3 min a pied du centre d'Uzès parking piscine accueille des clients Booking.com depuis le 7 janv. 2021.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Résidence La Bastide d'Uzes,https://www.booking.com/hotel/fr/756-b-chemin-de-l-39-escalette.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Au-d0p0GwAIB0gIkNDUyMWQwNjYtYmQzMC00N2NlLWJlZGYtNmNlYzc0N2NiYzYz2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=b8ac8f7d989801cd&srepoch=1672777467&from=searchresults#hotelTmpl,"8,8",24 expériences vécues,Uzès,"756 b Chemin de l'Escalette, 30700 Uzès, France",44.00141200,4.41978300,"Située à Uzès, à seulement 36 km de la gare centrale d'Avignon, la Résidence La Bastide d'Uzes propose un barbecue, une terrasse et une connexion Wi-Fi gratuite. Situé à 31 km du parc des expositions de Nîmes, il dispose d'une piscine extérieure ouverte en saison et d'un parking privé gratuit.
Cette maison de vacances comprend 3 chambres, une télévision à écran plat, un lave-linge et 2 salles de bains pourvues d'une douche. Sa kitchenette est équipée d'un lave-vaisselle et d'un micro-ondes. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 38 km du palais des Papes et à 39 km de la gare TGV d'Avignon. L'aéroport le plus proche, celui de Nîmes-Garons, est situé à 36 km.
L'établissement Résidence La Bastide d'Uzes accueille des clients Booking.com depuis le 10 mai 2019.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
UZES APPART HOTEL Résidence Le Mas des Oliviers,https://www.booking.com/hotel/fr/le-mas-des-oliviers-ulv.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Au-d0p0GwAIB0gIkNDUyMWQwNjYtYmQzMC00N2NlLWJlZGYtNmNlYzc0N2NiYzYz2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=b8ac8f7d989801cd&srepoch=1672777467&from=searchresults#hotelTmpl,"7,5",696 expériences vécues,Uzès,"1 rue des Cèdres, 30700 Uzès, France",44.01263259,4.41414893,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement UZES APPART HOTEL Résidence Le Mas des Oliviers ! Connectez-vous pour économiser.
Décoré dans un style provençal, l'UZES APPART HOTEL Résidence Le Mas des Oliviers est situé à 500 mètres du centre d'Uzès et à 1 km de la cathédrale de la ville. Il propose une connexion Wi-Fi gratuite et une piscine intérieure chauffée ouverte d'avril à octobre.
Dotés d'une terrasse ou d'un balcon privés, tous les appartements comprennent du carrelage, la climatisation et un salon avec une télévision à écran LCD. Leur salle de bains privative est pourvue d'articles de toilette gratuits.
Sur réservation préalable, vous pourrez savourer un petit-déjeuner continental livré chaque matin dans un panier à votre appartement. Vous aurez aussi la possibilité de préparer vos repas dans votre kitchenette équipée de plaques de cuisson.
Sur place, vous disposerez de livres et de jeux de société, ainsi que d'un parking souterrain privé gratuit. Vous séjournerez à 30 km de Nîmes et d'Avignon. Par ailleurs, le samedi, vous aurez l'occasion de découvrir le marché provençal d'Uzès. Enfin, l'UZES APPART HOTEL Résidence Le Mas des Oliviers vous fera bénéficier d'un bon de réduction pour visiter le pont du Gard.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,1 pour un séjour à deux.
L'établissement UZES APPART HOTEL Résidence Le Mas des Oliviers accueille des clients Booking.com depuis le 5 janv. 2012."
Hôtel Le Saint-Geniès,https://www.booking.com/hotel/fr/le-saint-genies.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Au-d0p0GwAIB0gIkNDUyMWQwNjYtYmQzMC00N2NlLWJlZGYtNmNlYzc0N2NiYzYz2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=b8ac8f7d989801cd&srepoch=1672777467&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,8",898 expériences vécues,Uzès,"Chemin de Saint-Geniès, 30700 Uzès, France",44.02305334,4.42047223,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Le Saint-Geniès ! Connectez-vous pour économiser.
Cet hôtel à la gestion familiale est situé au cœur d'un jardin, dans un quartier résidentiel paisible à 1,5 km du centre historique d'Uzès. Il comprend une piscine extérieure et offre de belles vues sur la campagne.
L'hôtel Le Saint-Geniès dispose de confortables chambres insonorisées dotées de la climatisation et d'une télévision par câble à écran plat. Les salles de bains privatives disposent d'un sèche-cheveux et d'une douche.
Tous les matins, l'hôtel Le Saint-Geniès vous servira un petit-déjeuner buffet complet que vous pourrez déguster sur la terrasse. Vous pourrez également vous détendre sur la terrasse bien exposée près de la piscine.
L'hôtel Saint-Geniès met à votre disposition une connexion Wi-Fi gratuite dans votre chambre. L'établissement se trouve à 30 km de Nîmes, à 16 km du Pont du Gard et à 30 minutes de route d'Avignon. Un parking public est disponible gratuitement sur place.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,9 pour un séjour à deux.
L'établissement Hôtel Le Saint-Geniès accueille des clients Booking.com depuis le 15 août 2006."
Les Olives,https://www.booking.com/hotel/fr/les-olives.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Au-d0p0GwAIB0gIkNDUyMWQwNjYtYmQzMC00N2NlLWJlZGYtNmNlYzc0N2NiYzYz2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=b8ac8f7d989801cd&srepoch=1672777467&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,6",76 expériences vécues,Uzès,"chemin de la Lavande, 30700 Uzès, France",43.99579924,4.42739208,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Les Olives ! Connectez-vous pour économiser.
Situé à 31 km du parc des expositions de Nîmes, l'établissement Les Olives propose une piscine extérieure, un jardin et des hébergements climatisés avec une terrasse et une connexion Wi-Fi gratuite.
Tous les logements disposent d'une cuisine entièrement équipée avec machine à café, d'un salon avec télévision à écran plat et d'une salle de bains privative avec sèche-cheveux et douche. Un réfrigérateur, un four, un lave-vaisselle et une bouilloire sont également fournis.
Vous pourrez profiter d'un barbecue sur place et faire de la randonnée dans les environs.
Vous séjournerez à 35 km de la gare centrale d'Avignon et à 37 km du palais des Papes. L'aéroport le plus proche, celui de Nîmes-Garons, est situé à 35 km. Un service de navette aéroport peut être assuré moyennant des frais supplémentaires.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour à deux.
L'établissement Les Olives accueille des clients Booking.com depuis le 14 avr. 2016."
"Uzès Duché luxueux appartement, terrasse privée",https://www.booking.com/hotel/fr/uzes-duche-luxueux-appartement-terrasse-privee.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Au-d0p0GwAIB0gIkNDUyMWQwNjYtYmQzMC00N2NlLWJlZGYtNmNlYzc0N2NiYzYz2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=b8ac8f7d989801cd&srepoch=1672777467&from=searchresults#hotelTmpl,10,1 expérience vécue,Uzès,"12 Rue Entre les Tours, 30700 Uzès, France",44.01251380,4.41999930,"Situé à Uzès, à 32 km du parc des expositions de Nîmes et à 38 km de la gare centrale d'Avignon, l'Uzès Duché luxueux appartement, terrasse privée propose un hébergement climatisé avec un balcon et une connexion Wi-Fi gratuite. Il se trouve à 40 km du palais des papes et propose un service de concierge.
Cet appartement comprend une chambre, une télévision par satellite à écran plat, un lave-linge et une salle de bains pourvue d'une douche. Sa cuisine est équipée d'un micro-ondes et d'un lave-vaisselle. Les serviettes et le linge de lit sont fournis.
Vous pourrez profiter d'une terrasse sur place et faire de la randonnée dans les environs.
Vous séjournerez à 41 km de la gare TGV d'Avignon et à 48 km du parc des expositions d'Avignon. L'aéroport le plus proche, celui de Nîmes-Garons, est situé à 35 km. Un service de navette aéroport peut être assuré moyennant des frais supplémentaires.
L'établissement Uzès Duché luxueux appartement, terrasse privée accueille des clients Booking.com depuis le 29 oct. 2022.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Maison De La Bourgade,https://www.booking.com/hotel/fr/maison-de-la-bourgade.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Au-d0p0GwAIB0gIkNDUyMWQwNjYtYmQzMC00N2NlLWJlZGYtNmNlYzc0N2NiYzYz2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=b8ac8f7d989801cd&srepoch=1672777467&from=searchresults#hotelTmpl,"9,8",41 expériences vécues,Uzès,"31 Rue de la Petite Bourgade, 30700 Uzès, France",44.00966800,4.41803200,"Dotée d'une piscine extérieure ouverte en saison, d'un jardin et d'une terrasse, la Maison De La Bourgade propose un hébergement à Uzès avec une connexion Wi-Fi gratuite et une vue sur la ville. Doté d'une piscine privée, ce Bed & Breakfast se trouve dans une région où vous pourrez pratiquer des activités telles que le vélo et le ping-pong.
Cette chambre d'hôtes comprend une télévision par satellite à écran plat. Les serviettes et le linge de lit sont fournis.
Un petit-déjeuner buffet, continental ou sans gluten est servi sur place.
Vous séjournerez à 31 km du parc des expositions de Nîmes et à 38 km de la gare centrale d'Avignon. L'aéroport le plus proche, celui de Nîmes-Garons, est situé à 34 km. Un service de navette aéroport peut être assuré moyennant des frais supplémentaires.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,8 pour un séjour à deux.
L'établissement Maison De La Bourgade accueille des clients Booking.com depuis le 31 janv. 2018.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
La bohème place aux herbes,https://www.booking.com/hotel/fr/la-boheme-uzes.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Au-d0p0GwAIB0gIkNDUyMWQwNjYtYmQzMC00N2NlLWJlZGYtNmNlYzc0N2NiYzYz2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=b8ac8f7d989801cd&srepoch=1672777467&from=searchresults#hotelTmpl,"9,6",44 expériences vécues,Uzès,"2em 11 Place aux Herbes, 30700 Uzès, France",44.01167638,4.41908838,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement La bohème place aux herbes ! Connectez-vous pour économiser.
La bohème place aux herbes est située à Uzès, à 31 km du parc des expositions de Nîmes et à 38 km de la gare centrale d'Avignon, dans une région propice à la randonnée. Il offre une vue sur la ville et propose une connexion Wi-Fi gratuite dans l'ensemble de ses locaux.
Cet appartement comprend une chambre, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi qu'une salle de bains pourvue d'une douche et d'articles de toilette gratuits. Il dispose également d'une télévision par satellite à écran plat.
Vous séjournerez à 40 km du palais des Papes et de la gare TGV d'Avignon. L'aéroport le plus proche, celui de Nîmes-Garons, est situé à 35 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,9 pour un séjour à deux.
L'établissement La bohème place aux herbes accueille des clients Booking.com depuis le 6 juin 2020.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
