name,link,review_score,review_count,area,address,hotel_latitude,hotel_longitude,description
Hotel Canal Aigues Mortes,https://www.booking.com/hotel/fr/canal-aigues-mortes.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArWr0p0GwAIB0gIkYTc5YmU3MDMtM2ZhNS00MmFlLWExODYtNWMxZjgxMTMzMWUx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=000092e0dba500b7&srepoch=1672779202&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,5",1 165 expériences vécues,Aigues-Mortes,"440 Route De Nimes, 30220 Aigues-Mortes, France",43.57298752,4.19482470,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hotel Canal Aigues Mortes ! Connectez-vous pour économiser.
L’hôtel Canal Aigues Mortes vous accueille sur les rives du canal, à 5 minutes à pied de la ville fortifiée. Vous pourrez profiter d’une vue sur le canal depuis sa terrasse panoramique et sa piscine. Cet établissement propose des chambres climatisées avec une connexion Wi-Fi gratuite. Un parking gratuit est disponible. Un parking couvert est accessible moyennant des frais supplémentaires ou gratuitement pour les motos.
Toutes les chambres de cet hôtel 3 étoiles sont insonorisées. Elles comprennent une télévision à écran plat avec des chaînes nationales et internationales.
Pendant les mois les plus chauds, vous dégusterez le petit-déjeuner buffet sur la terrasse. En été, vous aurez également la possibilité de prendre des collations ou des repas légers au bord du canal.
Un service de location de vélos est assuré sur place. L’établissement compte par ailleurs une salle de séminaire pour les réunions.
L’hôtel Canal Aigues Mortes est placé à 10 minutes de route de la plage de Grau-du-Roi et à 20 minutes en voiture de l’aéroport de Montpellier-Méditerranée. La gare d'Aigues-Mortes est à 4 minutes de marche. Montpellier, Arles et Nîmes peuvent être atteints à moins de 45 minutes de route.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,0 pour un séjour à deux.
L'établissement Hotel Canal Aigues Mortes accueille des clients Booking.com depuis le 2 juin 2009."
Résidence Odalys Fleur de Sel,https://www.booking.com/hotel/fr/residence-odalys-fleur-de-sel.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArWr0p0GwAIB0gIkYTc5YmU3MDMtM2ZhNS00MmFlLWExODYtNWMxZjgxMTMzMWUx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=000092e0dba500b7&srepoch=1672779202&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,3",510 expériences vécues,Aigues-Mortes,"278 Chemin de Trouche, 30220 Aigues-Mortes, France",43.57409400,4.17924600,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Résidence Odalys Fleur de Sel ! Connectez-vous pour économiser.
Situé à Aigues-Mortes, à 5 minutes à pied du centre-ville historique, l'établissement Résidence Odalys Fleur de Sel dispose d'une piscine extérieure chauffée ouverte en saison. Vous bénéficierez gratuitement d'une connexion Wi-Fi.
Répartis en petits duplex, tous les appartements comportent une salle de bains privative, un salon muni d'une télévision à écran plat et une kitchenette entièrement équipée. Certains comprennent également une terrasse ou un balcon.
La Résidence Odalys Fleur de Sel est implantée à 25 km de Montpellier. L'aéroport de Montpellier - Méditerranée se trouve, quant à lui, à 18 km. Vous pourrez profiter gratuitement d'un parking extérieur.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,9 pour un séjour à deux.
L'établissement Résidence Odalys Fleur de Sel accueille des clients Booking.com depuis le 11 avr. 2018.
Chaîne hôtelière/marque: Résidence Vacances Odalys"
La Villa Mazarin,https://www.booking.com/hotel/fr/la-villa-mazarin.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArWr0p0GwAIB0gIkYTc5YmU3MDMtM2ZhNS00MmFlLWExODYtNWMxZjgxMTMzMWUx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=000092e0dba500b7&srepoch=1672779202&from=searchresults#hotelTmpl,"9,1",678 expériences vécues,"Aigues-Mortes Medieval City, Aigues-Mortes","35 boulevard Gambetta, 30220 Aigues-Mortes, France",43.56498662,4.19175196,"Bénéficiez d'un traitement VIP grâce au service exclusif de l'établissement La Villa Mazarin
Vous pouvez bénéficier d'une réduction Genius dans l'établissement La Villa Mazarin ! Connectez-vous pour économiser.
La Villa Mazarin est construite dans un bâtiment datant du XVème siècle situé dans la ville fortifiée d'Aigues-Mortes et propose une terrasse ainsi qu'un bar. Vous bénéficierez gracieusement d'une connexion Wi-Fi disponible dans l'ensemble de l'établissement.
Les chambres climatisées possèdent le chauffage, une télévision par satellite, un téléphone, un réfrigérateur et du mobilier de style provençal du XVIIème siècle.
Le Salon Mazarin est le restaurant de l'hôtel où vous dégusterez des spécialités culinaires françaises ou une sélection de repas légers et de collations. Le salon s'ouvre sur la cour et sur une terrasse bien exposée.
Montpellier est à 26 km et Nîmes à 32 km. L'aéroport le plus proche est celui de Montpellier-Méditerranée situé à 19 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement La Villa Mazarin accueille des clients Booking.com depuis le 16 oct. 2009."
Maison T4 -Jardin+ Parking+ Clim -Proche Remparts,https://www.booking.com/hotel/fr/maison-t4-jardin-parking-clim-proche-remparts.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArWr0p0GwAIB0gIkYTc5YmU3MDMtM2ZhNS00MmFlLWExODYtNWMxZjgxMTMzMWUx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=000092e0dba500b7&srepoch=1672779202&from=searchresults#hotelTmpl,"8,1",24 expériences vécues,Aigues-Mortes,"551 Chemin du Bosquet, 30220 Aigues-Mortes, France",43.56581930,4.20535280,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Maison T4 -Jardin+ Parking+ Clim -Proche Remparts ! Connectez-vous pour économiser.
Dotée d'une connexion Wi-Fi gratuite, la Maison T4 -Jardin+ Parking+ Clim -Proche Remparts est située à Aigues-Mortes, à 25 km du parc des expositions de Montpellier, à 29 km du Zénith Sud de Montpellier et à 30 km du centre commercial Odysseum. Situé à 25 km de la salle omnisports Montpellier Arena, il dispose d'une terrasse et d'un parking privé gratuit.
Cet appartement climatisé comprend 3 chambres, une télévision à écran plat ainsi qu'une cuisine équipée d'un four et d'un lave-vaisselle. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 30 km de l'hôtel de ville de Montpellier et à 33 km du Corum. L'aéroport de Montpellier-Méditerranée, le plus proche, est implanté à 30 km.
L'établissement Maison T4 -Jardin+ Parking+ Clim -Proche Remparts accueille des clients Booking.com depuis le 20 mars 2022."
Hôtel Saint Louis,https://www.booking.com/hotel/fr/saint-louis-aigues-mortes.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArWr0p0GwAIB0gIkYTc5YmU3MDMtM2ZhNS00MmFlLWExODYtNWMxZjgxMTMzMWUx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=000092e0dba500b7&srepoch=1672779202&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,4",955 expériences vécues,"Aigues-Mortes Medieval City, Aigues-Mortes","10, Rue Amiral Courbet, 30220 Aigues-Mortes, France",43.56721967,4.18934360,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Saint Louis ! Connectez-vous pour économiser.
Situé dans le cœur historique d'Aigues-Mortes, à 180 mètres de la tour de Constance, l'Hôtel Saint Louis est doté de la climatisation, d'un centre de bien-être et d'un restaurant. Vous bénéficierez gratuitement d’une connexion Wi-Fi sur place et d’emplacements de stationnement publiques en ville (selon disponibilité).
Présentant une décoration contemporaine inspirée de la région, toutes les chambres sont dotées d'une télévision à écran plat, d'un minibar et d'un téléphone. Chaque logement comporte une salle de bains privative. En été, vous pourrez prendre un verre dans le patio ou sur la terrasse bien exposée. Muni de tables en terrasse, le restaurant de l’établissement, décoré dans un style baroque, sert une cuisine camarguaise moderne préparée avec des produits locaux.
L'hôtel dispose d'un centre de bien-être comprenant un sauna-hammam auquel vous pourrez accéder gratuitement sur réservation. Des massages sont également disponibles sur demande.
Vous séjournerez à 43 km de Nîmes et à 49 km d’Arles. L’aéroport de Montpellier-Méditerranée se trouve à 26 km de l’Hôtel Saint Louis.
Vous pourrez profiter d’un centre de bien-être pourvu d’un sauna et de massages dispensés sur demande.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Hôtel Saint Louis accueille des clients Booking.com depuis le 10 sept. 2008."
La Paloma,https://www.booking.com/hotel/fr/la-paloma-aigues-mortes.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArWr0p0GwAIB0gIkYTc5YmU3MDMtM2ZhNS00MmFlLWExODYtNWMxZjgxMTMzMWUx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=000092e0dba500b7&srepoch=1672779202&from=searchresults#hotelTmpl,"9,0",36 expériences vécues,Aigues-Mortes,"Résidence les rives de la tour N°17, 150 Rue du Vidourle, 30220 Aigues-Mortes, France",43.57006008,4.18717780,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement La Paloma ! Connectez-vous pour économiser.
Offrant une vue sur le jardin, La Paloma est un hébergement situé à Aigues-Mortes, à 23 km du parc des expositions de Montpellier et à 27 km du Zénith Sud de Montpellier. Cet hébergement climatisé se trouve à 23 km de la salle omnisports Montpellier Arena. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking privé sur place.
Cette maison de vacances comprend 2 chambres, une salle de bains, du linge de lit, des serviettes, une télévision à écran plat, un coin repas, une cuisine entièrement équipée et une terrasse avec vue sur la rivière. Pour plus de commodité, l'établissement peut fournir des serviettes et du linge de lit moyennant des frais supplémentaires.
Vous séjournerez à 28 km du centre commercial Odysseum et de l'hôtel de ville de Montpellier. L'aéroport de Montpellier-Méditerranée, le plus proche, est à 29 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 10 pour un séjour à deux.
L'établissement La Paloma accueille des clients Booking.com depuis le 5 déc. 2016."
La Maison de Lyna,https://www.booking.com/hotel/fr/la-maison-de-lyna.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArWr0p0GwAIB0gIkYTc5YmU3MDMtM2ZhNS00MmFlLWExODYtNWMxZjgxMTMzMWUx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=000092e0dba500b7&srepoch=1672779202&from=searchresults#hotelTmpl,"9,1",68 expériences vécues,"Aigues-Mortes Medieval City, Aigues-Mortes","22 Boulevard Gambetta, 30220 Aigues-Mortes, France",43.56601750,4.19235320,"Situé à Aigues-Mortes, à moins de 24 km de la salle omnisports Montpellier Arena et du parc des expositions de Montpellier, l'établissement La Maison de Lyna propose des hébergements avec une connexion Wi-Fi gratuite et un coin salon.
Tous les logements disposent d'une salle de bains privative avec douche, de la climatisation, d'une télévision à écran plat et d'un réfrigérateur.
Vous séjournerez à 28 km du Zénith Sud de Montpellier et à 29 km du centre commercial Odysseum. L'aéroport de Montpellier-Méditerranée, le plus proche, est implanté à 29 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement La Maison de Lyna accueille des clients Booking.com depuis le 15 juil. 2022."
Maison des Croisades,https://www.booking.com/hotel/fr/des-croisades.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArWr0p0GwAIB0gIkYTc5YmU3MDMtM2ZhNS00MmFlLWExODYtNWMxZjgxMTMzMWUx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=000092e0dba500b7&srepoch=1672779202&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,8",811 expériences vécues,Aigues-Mortes,"2 RUE DU PORT, 30220 Aigues-Mortes, France",43.56899740,4.18829820,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Maison des Croisades ! Connectez-vous pour économiser.
Située à Aigues-Mortes, la Maison des Croisades propose un service de location de vélos et un jardin. Il dispose d'une connexion Wi-Fi gratuite et d'une terrasse. Vous pourrez profiter d'une vue sur le canal et le jardin. La plage du Grau-du-Roi se trouve à 10 minutes en voiture.
Toutes les chambres de la Maison des Croisades sont équipées d'une télévision à écran plat, de la climatisation et d'une armoire.
La Maison des Croisades sert un petit-déjeuner buffet.
La Maison des Croisades se trouve à 33 km de Montpellier et à 44 km de Nîmes. L'aéroport de Montpellier-Méditerranée est à 24 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement Maison des Croisades accueille des clients Booking.com depuis le 24 mars 2017."
Nid douillet t3 au coeur des remparts,https://www.booking.com/hotel/fr/nid-douillet-t3-au-coeur-des-remparts.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArWr0p0GwAIB0gIkYTc5YmU3MDMtM2ZhNS00MmFlLWExODYtNWMxZjgxMTMzMWUx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=000092e0dba500b7&srepoch=1672779202&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,6",18 expériences vécues,"Aigues-Mortes Medieval City, Aigues-Mortes","24 Rue Theaulon, 30220 Aigues-Mortes, France",43.56554160,4.18960990,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Nid douillet t3 au coeur des remparts ! Connectez-vous pour économiser.
Le Nid douillet t3 au coeur des remparts est situé à Aigues-Mortes, à 24 km de la salle omnisports Montpellier Arena et du parc des expositions de Montpellier, dans une région propice à la randonnée. Il offre une vue sur la ville et propose une connexion Wi-Fi gratuite dans l'ensemble de ses locaux.
Cet appartement climatisé comprend 2 chambres, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi qu'une salle de bains pourvue d'une douche et d'un sèche-cheveux. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 28 km du Zénith Sud de Montpellier et à 29 km du centre commercial Odysseum. L'aéroport de Montpellier-Méditerranée, le plus proche, est implanté à 29 km.
L'établissement Nid douillet t3 au coeur des remparts accueille des clients Booking.com depuis le 25 févr. 2020."
Résidence Odalys Le Mas des Flamants,https://www.booking.com/hotel/fr/residence-le-mas-des-flamants.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArWr0p0GwAIB0gIkYTc5YmU3MDMtM2ZhNS00MmFlLWExODYtNWMxZjgxMTMzMWUx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=000092e0dba500b7&srepoch=1672779202&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,0",403 expériences vécues,Aigues-Mortes,"60 Chemin de Trouche, 30220 Aigues-Mortes, France",43.57379435,4.18062186,"Située à l'extérieur des fortifications d'Aigues-Mortes, sur les rives du Vidourle, la Résidence Odalys Le Mas des Flamants possède une piscine et des pataugeoires. Vous pourrez également vous rendre à la plage du Grau-du-Roi, à 7 km.
Occupant de petites maisons mitoyennes, les appartements de la Résidence Odalys Le Mas des Flamants comportent une terrasse ou un jardin privés. Une télévision et une connexion Wi-Fi sont disponibles moyennant des frais supplémentaires.
Vous pourrez préparer vos repas dans la kitchenette de votre hébergement et les déguster dans le petit coin repas. Les kitchenettes sont équipées de plaques de cuisson, d'un micro-ondes et d'un lave-vaisselle.
Une place de stationnement gratuite est disponible pour chaque appartement, et une laverie est également à votre disposition sur place. La Résidence Odalys Le Mas des Flamants est à 5 minutes de marche du centre-ville, et vous pourrez vous détendre sur la plage de Port-Camargue, située à 7 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour à deux.
L'établissement Résidence Odalys Le Mas des Flamants accueille des clients Booking.com depuis le 7 févr. 2012.
Chaîne hôtelière/marque: Résidence Vacances Odalys"
