name,link,review_score,review_count,area,address,hotel_latitude,hotel_longitude,description
Mas De Calabrun,https://www.booking.com/hotel/fr/mas-de-calabrun.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ao-y0p0GwAIB0gIkYjNmMTQ5YTQtMWNlOS00MDY1LTg2YjgtODE0YmU2Y2ZjOGFk2AIG4AIB&sid=e796f15da6487712f9ff770828be2b79&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=17d6948d56c7021b&srepoch=1672780059&from_beach_sr=1&from=searchresults#hotelTmpl,"8,4",730 expériences vécues,Les Saintes-Maries-de-la-Mer,"Route De Cacharel D 85A, 13460 Les Saintes-Maries-de-la-Mer, France",43.50225830,4.42575753,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Mas De Calabrun ! Connectez-vous pour économiser.
Doté d’une piscine extérieure, d’un terrain de pétanque et d’une table de ping-pong, l’hôtel Mas De Calabrun est installé sur un domaine privé à Saintes-Maries-de-la-Mer, dans le Parc naturel régional de Camargue Il vous accueille à 8 minutes de route de la plage. Une connexion Wi-Fi est disponible gratuitement.
Les chambres climatisées présentent une décoration traditionnelle de la Camargue et offrent une vue sur le jardin ou la piscine. Elles comprennent une télévision à écran plat. Leur salle de bains privative est pourvue d’une douche et d’un sèche-cheveux.
Le Calabrun peut également organiser des balades à cheval et des excursions en jeep.
Enfin, l’hôtel propose un parking privé gratuit sur place et se trouve à 1 heure de route au sud de Nîmes.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,0 pour un séjour à deux.
L'établissement Mas De Calabrun accueille des clients Booking.com depuis le 23 juil. 2010."
Hôtel Casa Marina,https://www.booking.com/hotel/fr/casa-marina-saintes-maries-de-la-mer.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ao-y0p0GwAIB0gIkYjNmMTQ5YTQtMWNlOS00MDY1LTg2YjgtODE0YmU2Y2ZjOGFk2AIG4AIB&sid=e796f15da6487712f9ff770828be2b79&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=17d6948d56c7021b&srepoch=1672780059&from_beach_sr=1&from=searchresults#hotelTmpl,"8,9",1 018 expériences vécues,Les Saintes-Maries-de-la-Mer,"1 Avenue Gilbert Leroy, 13460 Les Saintes-Maries-de-la-Mer, France",43.45113300,4.43095300,"Situé aux Saintes-Maries-de-la-Mer, face à la plage, l'Hôtel Casa Marina propose un hébergement 3 étoiles, un jardin, une terrasse et un bar. Cet hôtel 3 étoiles propose une connexion Wi-Fi gratuite et un service de concierge. Cet établissement non-fumeurs se trouve à 90 mètres de la plage d'Amphora.
Les chambres comprennent un bureau. Leur salle de bains privative est pourvue d'une douche et d'articles de toilette gratuits. Toutes les chambres de l'Hôtel Casa Marina disposent d'une télévision à écran plat et de la climatisation. Certaines possèdent également un balcon. Le linge de lit et les serviettes sont fournis.
Lors de votre séjour à l'Hôtel Casa Marina, vous pourrez pratiquer diverses activités aux Saintes-Maries-de-la-Mer et dans ses environs, telles que la plongée sous-marine, la pêche et la plongée avec tuba.
Vous séjournerez à 400 mètres de la plage d'Arenas et à moins de 1 km de celle de Crin Blanc. L'aéroport le plus proche, celui de Nîmes-Garons, est situé à 41 km.
C'est le quartier préféré des voyageurs visitant Les Saintes-Maries-de-la-Mer, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement Hôtel Casa Marina accueille des clients Booking.com depuis le 23 juil. 2020.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Le Castelet,https://www.booking.com/hotel/fr/le-castelet-les-saintes-maries-de-la-mer.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ao-y0p0GwAIB0gIkYjNmMTQ5YTQtMWNlOS00MDY1LTg2YjgtODE0YmU2Y2ZjOGFk2AIG4AIB&sid=e796f15da6487712f9ff770828be2b79&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=17d6948d56c7021b&srepoch=1672780059&from_beach_sr=1&from=searchresults#hotelTmpl,"7,0",1 488 expériences vécues,Les Saintes-Maries-de-la-Mer,"10 Rue Des Launes, 13460 Les Saintes-Maries-de-la-Mer, France",43.45134949,4.42507625,"Cet hôtel est situé à Saintes-Maries-de-la-Mer, à 60 mètres seulement de la mer Méditerranée et à 30 mètres de l'Étang des Launes. Il dispose d'un bar à cocktails avec une terrasse fleurie.
Les chambres de l'hôtel Le Castelet sont dotées de la connexion Wi-Fi gratuite, d'une télévision et d'une salle de bains privative avec douche. La plupart d'entre elles comprennent des toilettes privées. Tous les matins, vous dégusterez un petit déjeuner continental dans la salle à manger.
L'hôtel Le Castelet se trouve à 15 minutes en voiture du parc national de Camargue, à 35 minutes de route de Arles et à 50 kilomètres environ de Montpellier.
C'est le quartier préféré des voyageurs visitant Les Saintes-Maries-de-la-Mer, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour à deux.
L'établissement Le Castelet accueille des clients Booking.com depuis le 3 nov. 2010."
Hotel Les Palmiers En Camargue,https://www.booking.com/hotel/fr/les-palmiers-en-camargue.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ao-y0p0GwAIB0gIkYjNmMTQ5YTQtMWNlOS00MDY1LTg2YjgtODE0YmU2Y2ZjOGFk2AIG4AIB&sid=e796f15da6487712f9ff770828be2b79&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=17d6948d56c7021b&srepoch=1672780059&from_beach_sr=1&from=searchresults#hotelTmpl,"7,9",1 486 expériences vécues,Les Saintes-Maries-de-la-Mer,"16 Rue Alphonse Daudet, 13460 Les Saintes-Maries-de-la-Mer, France",43.45106618,4.42509368,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hotel Les Palmiers En Camargue ! Connectez-vous pour économiser.
Doté d'une connexion Wi-Fi gratuite, l'Hotel Les Palmiers En Camargue est situé à Saintes-Maries-de-la-Mer, à 100 mètres des plages de sable et à 200 mètres de l'église des Saintes-Maries.
Une télévision par satellite à écran plat est mise à votre disposition. Certaines chambres sont dotées d’un balcon ou d’une terrasse.
Lors de votre séjour, vous dégusterez sur place un petit-déjeuner buffet composé de mets sucrés et salés.
Vous aurez la possibilité de pratiquer différentes activités, telles que l’équitation, le vélo et la planche à voile.
L'aéroport de Montpellier-Méditerranée est implanté à 53 km. Enfin, un parking public est accessible gratuitement à 50 mètres, tandis que vous disposerez d'un garage privé sur demande et moyennant des frais supplémentaires.
C'est le quartier préféré des voyageurs visitant Les Saintes-Maries-de-la-Mer, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement Hotel Les Palmiers En Camargue accueille des clients Booking.com depuis le 16 juil. 2007."
Thalacap Camargue,https://www.booking.com/hotel/fr/thalacap-camargue.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ao-y0p0GwAIB0gIkYjNmMTQ5YTQtMWNlOS00MDY1LTg2YjgtODE0YmU2Y2ZjOGFk2AIG4AIB&sid=e796f15da6487712f9ff770828be2b79&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=17d6948d56c7021b&srepoch=1672780059&from_beach_sr=1&from=searchresults#hotelTmpl,"7,7",933 expériences vécues,Les Saintes-Maries-de-la-Mer,"Avenue du Dr Cambon, 13460 Les Saintes-Maries-de-la-Mer, France",43.45349134,4.43545103,"Le Thalacap Camargue est situé en face de la plage des Saintes-Maries-de-la-Mer, à 5 minutes de marche du centre-ville. Vous pourrez profiter gratuitement d'une piscine extérieure d'eau de mer ouverte en saison ainsi que d’une piscine intérieure, d’un sauna et d’un hammam ouverts tout au long de l'année.
Toutes les chambres sont climatisées et disposent d’une télévision à écran plat ainsi que d’une connexion Wi-Fi gratuite.
Le restaurant sert un cuisine de style méditerranéen. Lorsque le temps le permet, vous pourrez prendre vos repas sur la terrasse offrant une vue panoramique sur la mer.
En plus des autres installations de détente, vous bénéficierez d’un accès direct à un centre de thalassothérapie proposant différents de soins médicaux et de beauté moyennant des frais supplémentaires.
Vous rejoindrez la ville d’Arles à 37 km. Un parking privé est disponible sur place pour 10 EUR par nuit.
C'est le quartier préféré des voyageurs visitant Les Saintes-Maries-de-la-Mer, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement Thalacap Camargue accueille des clients Booking.com depuis le 21 juil. 2006."
Le Dauphin Bleu,https://www.booking.com/hotel/fr/le-dauphin-bleu.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ao-y0p0GwAIB0gIkYjNmMTQ5YTQtMWNlOS00MDY1LTg2YjgtODE0YmU2Y2ZjOGFk2AIG4AIB&sid=e796f15da6487712f9ff770828be2b79&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=17d6948d56c7021b&srepoch=1672780059&from_beach_sr=1&from=searchresults#hotelTmpl,"8,4",1 047 expériences vécues,Les Saintes-Maries-de-la-Mer,"31 Avenue Gilbert Leroy, 13460 Les Saintes-Maries-de-la-Mer, France",43.45233086,4.43364993,"Situé à 50 mètres de la plage, face à la mer Méditerranée, l’établissement Le Dauphin Bleu vous accueille à 400 mètres du centre de la vieille ville historique des Saintes-Maries-de-la-Mer. Vous bénéficierez gratuitement d’une connexion Wi-Fi dans les chambres.
Les chambres comportent également toutes la climatisation, une télévision à écran plat et une salle de bains privative. Certaines offrent une vue sur la mer.
Implanté dans le delta du Rhône, cet hôtel se trouve à seulement 700 mètres d’une église fortifiée datant du Moyen Âge. Vous pourrez pratiquer des sports nautiques dans les environs, notamment la planche à voile. L’aéroport de Montpellier est le plus proche, à 56,1 km du Dauphin Bleu.
C'est le quartier préféré des voyageurs visitant Les Saintes-Maries-de-la-Mer, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Le Dauphin Bleu accueille des clients Booking.com depuis le 7 févr. 2012."
L'Estrambord de Camargue,https://www.booking.com/hotel/fr/l-39-estrambord-de-camargue.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ao-y0p0GwAIB0gIkYjNmMTQ5YTQtMWNlOS00MDY1LTg2YjgtODE0YmU2Y2ZjOGFk2AIG4AIB&sid=e796f15da6487712f9ff770828be2b79&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=17d6948d56c7021b&srepoch=1672780059&from_beach_sr=1&from=searchresults#hotelTmpl,"8,4",145 expériences vécues,Les Saintes-Maries-de-la-Mer,"19 Rue Jean Jaures, 13460 Les Saintes-Maries-de-la-Mer, France",43.45208300,4.42559800,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement L'Estrambord de Camargue ! Connectez-vous pour économiser.
Offrant une vue sur la ville, L'Estrambord de Camargue propose un hébergement avec un balcon et une machine à café, à environ 400 mètres de la plage d'Arenas. Ce Bed & Breakfast propose des hébergements climatisés avec connexion Wi-Fi gratuite.
Cette chambre d'hôtes comprend une télévision à écran plat. Les serviettes et le linge de lit sont fournis.
Cette chambre d'hôtes sert un petit-déjeuner buffet ou continental.
Une terrasse est disponible sur place. Vous pourrez pratiquer la randonnée et la pêche dans les environs.
Vous séjournerez à 400 mètres de la plage d'Amphora et à 600 mètres de celle de Crin Blanc. L'aéroport de Nîmes-Garons, le plus proche, est implanté à 41 km.
C'est le quartier préféré des voyageurs visitant Les Saintes-Maries-de-la-Mer, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.
L'établissement L'Estrambord de Camargue accueille des clients Booking.com depuis le 11 mars 2019."
Les Rizières,https://www.booking.com/hotel/fr/les-rizieres.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ao-y0p0GwAIB0gIkYjNmMTQ5YTQtMWNlOS00MDY1LTg2YjgtODE0YmU2Y2ZjOGFk2AIG4AIB&sid=e796f15da6487712f9ff770828be2b79&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=17d6948d56c7021b&srepoch=1672780059&from_beach_sr=1&from=searchresults#hotelTmpl,"8,1",636 expériences vécues,Les Saintes-Maries-de-la-Mer,"Route D'Arles, 13460 Les Saintes-Maries-de-la-Mer, France",43.47103999,4.41058695,"Installé près d'un étang, l'hôtel Les Rizières est situé à 2,8 km de Saintes-Maries-de-la-Mer et à 2,4 km du parc ornithologique de Pont-de-Gau avec ses flamants roses. Toutes les chambres sont aménagées au rez-de-chaussée, autour d'un patio arboré.
Les hébergements sont pourvus de la climatisation, d'une télévision par satellite et d'un minibar. De plus, vous bénéficierez gratuitement d'une connexion Wi-Fi dans l'ensemble de l'établissement.
La piscine extérieure chauffée ouverte en saison est entourée d'une terrasse meublée et bien exposée.
Le parc national de Camargue vous attend à moins de 10 km de l'hôtel Les Rizières et la mer se trouve à seulement 2,8 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,9 pour un séjour à deux.
L'établissement Les Rizières accueille des clients Booking.com depuis le 26 mai 2006."
Auberge Cavaliere du Pont des Bannes,https://www.booking.com/hotel/fr/auberge-cavaliere-saintes-maries-de-la-mer.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ao-y0p0GwAIB0gIkYjNmMTQ5YTQtMWNlOS00MDY1LTg2YjgtODE0YmU2Y2ZjOGFk2AIG4AIB&sid=e796f15da6487712f9ff770828be2b79&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=17d6948d56c7021b&srepoch=1672780059&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,3",354 expériences vécues,Les Saintes-Maries-de-la-Mer,"D 570 Route D'Arles, 13460 Les Saintes-Maries-de-la-Mer, France",43.46542981,4.41963136,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Auberge Cavaliere du Pont des Bannes ! Connectez-vous pour économiser.
Située dans un environnement naturel et paisible à Saintes-Maries-de-la-Mer, l'Auberge Cavaliere du Pont des Bannes propose des chambres confortables, 2 piscines extérieures, un spa avec sauna et jacuzzi ainsi qu'un court de tennis et un centre équestre. Vous bénéficierez gratuitement d'une connexion Wi-Fi.
Les chambres sont équipées d'une terrasse privée offrant une vue les environs. Elles comprennent également une salle de bains privative, une télévision et un minibar. L'établissement est entièrement et strictement non-fumeurs.
Tous les matins, vous pourrez déguster un petit-déjeuner buffet composé d'une large sélection de pains et de petits pains faits maison, de gâteaux, de fromages, de charcuterie, de saumon, d'œufs, de champignons, de saucisses, de jus de fruits, de café, de thé, de yaourt et de fruits frais.
L'Auberge Cavaliere du Pont des Bannes comporte également un bar et 2 restaurants, dont l'un est un restaurant gastronomique servant des plats provençaux traditionnels.
Vous pourrez jouer au ping-pong et au tennis sur place. Lors de votre séjour, vous pourrez pratiquer l'équitation et le VTT et faire une excursion en véhicule 4x4 dans les environs. Les enfants pourront profiter d'un club de poney. Un parking sécurisé est accessible sans frais la nuit.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,6 pour un séjour à deux.
L'établissement Auberge Cavaliere du Pont des Bannes accueille des clients Booking.com depuis le 28 janv. 2009."
Abrivado,https://www.booking.com/hotel/fr/abrivado.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ao-y0p0GwAIB0gIkYjNmMTQ5YTQtMWNlOS00MDY1LTg2YjgtODE0YmU2Y2ZjOGFk2AIG4AIB&sid=e796f15da6487712f9ff770828be2b79&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=17d6948d56c7021b&srepoch=1672780059&from_beach_sr=1&from=searchresults#hotelTmpl,"8,5",708 expériences vécues,Les Saintes-Maries-de-la-Mer,"2, Avenue Theodore Aubanel, 13460 Les Saintes-Maries-de-la-Mer, France",43.45033695,4.42622423,"Situé dans le parc régional de Camargue, l'Abrivado est un hôtel climatisé situé à côté du port, dans la ville de Saintes-Maries-de-la-Mer. Il se trouve à 50 mètres de la plage et des commerces environnants. Une connexion Wi-Fi est disponible gratuitement dans les chambres.
Décorées avec simplicité, les chambres comprennent une télévision et un téléphone. 12 des chambres offrent une vue sur la mer et 6 d'entre elles disposent également d'une terrasse privée meublée. Leur salle de bains privative est pourvue d'un sèche-cheveux.
Un petit-déjeuner continental est servi chaque matin à l'hôtel Abrivado moyennant des frais supplémentaires.
Un parking public abordable est disponible à proximité et vous pourrez visiter Arles, située à 40 km. L'aéroport de Montpellier est à 52 km. Un parking public est disponible à proximité.
C'est le quartier préféré des voyageurs visitant Les Saintes-Maries-de-la-Mer, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Abrivado accueille des clients Booking.com depuis le 16 févr. 2012."
