name,link,review_score,review_count,area,address,hotel_latitude,hotel_longitude,description
Grand Tonic Hotel & SPA NUXE,https://www.booking.com/hotel/fr/tonic-hotel-biarritz.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AofR1J0GwAIB0gIkOWZiNTliMzEtYTkzOC00ZTYyLTlkZWUtMWU0N2YwNzY0ODdj2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=c5ec3389d8990248&srepoch=1672816788&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,5",1 463 expériences vécues,Biarritz,"58 Avenue Edouard VII, 64200 Biarritz, France",43.48447351,-1.55694455,"Situé dans la ville balnéaire de Biarritz, le Grand Tonic Hotel & SPA Biarritz se trouve à seulement 200 mètres de la Grande Plage. L’établissement propose une terrasse ombragée et des chambres élégantes avec connexion Wi-Fi gratuite.
Toutes les chambres climatisées sont équipées d'une baignoire spa dans la salle de bains. Chaque étage du Grand Tonic Hotel est décoré sur une thématique individuelle et doté d'une télévision par satellite.
Le restaurant LMB sert une cuisine raffinée et vous pourrez prendre un verre au bar du Grand Tonic Hotel & SPA Biarritz. Un petit-déjeuner buffet est servi tous les matins.
Le casino Barrière de Biarritz est accessible à seulement 300 mètres et le parcours de golf de Biarritz-Le Phare est à 1 km. Un parking public est présent sur place.
Pour un séjour parfait, vous pourrez vous détendre dans la piscine intérieure chauffée, le hammam ou le sauna du SPA de l’hôtel. Vous trouverez également une carte de soins pour votre moment de détente
C'est le quartier préféré des voyageurs visitant Biarritz, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,1 pour un séjour à deux.
L'établissement Grand Tonic Hotel & SPA NUXE accueille des clients Booking.com depuis le 1 août 2005."
Best Western Kemaris,https://www.booking.com/hotel/fr/best-western-kemaris.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AofR1J0GwAIB0gIkOWZiNTliMzEtYTkzOC00ZTYyLTlkZWUtMWU0N2YwNzY0ODdj2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=c5ec3389d8990248&srepoch=1672816788&from_beach_sr=1&from=searchresults#hotelTmpl,"8,2",2 222 expériences vécues,Biarritz,"35 Avenue du Maréchal Joffre, 64200 Biarritz, France",43.47650270,-1.56245649,"Alliant un environnement animé, de nombreux équipements et une ambiance chaleureuse, l'hôtel Best Western Kemaris présente une architecture typique du Pays basque.
Lumineuses et spacieuses, les chambres de l'établissement affichent un décor raffiné et bénéficient de tout le confort moderne avec une télévision à écran plat et une connexion Wi-Fi gratuite. Chacune affiche une décoration magnifique conjuguant design et touches naturelles, et certaines possèdent également une grande terrasse.
Un petit-déjeuner buffet composé de produits régionaux est servi tous les matins et vous pourrez prendre un verre au bar.
Le Kemaris Best Western jouit d'un emplacement privilégié pour partir à pied à la découverte de la ville de Biarritz. Vous trouverez en outre de nombreux restaurants et bars à quelques minutes de marche. Enfin, vous pourrez réserver un parking privé sur place.
C'est le quartier préféré des voyageurs visitant Biarritz, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,7 pour un séjour à deux.
L'établissement Best Western Kemaris accueille des clients Booking.com depuis le 3 juin 2009.
Chaîne hôtelière/marque: Best Western"
"Hôtel Littéraire Jules Verne, BW Signature Collection",https://www.booking.com/hotel/fr/karitza-biarritz.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AofR1J0GwAIB0gIkOWZiNTliMzEtYTkzOC00ZTYyLTlkZWUtMWU0N2YwNzY0ODdj2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=c5ec3389d8990248&srepoch=1672816788&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,5",1 565 expériences vécues,"Centre de Biarritz, Biarritz","2, rue Guy Petit, 64200 Biarritz, France",43.47853954,-1.55539960,"Biarritz - séjournez au cœur de la ville – Très bon emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Littéraire Jules Verne, BW Signature Collection ! Connectez-vous pour économiser.
Le Best Western Plus Hôtel Littéraire Jules Verne est situé dans le centre-ville de Biarritz, à proximité du Palais des Festivals, du casino et des plages locales. Vous pourrez profiter d’une piscine extérieure chauffée.
Affichant une décoration moderne, les chambres insonorisées du Best Western Plus Hôtel Littéraire Jules Verne comportent la climatisation et une télévision par satellite à écran plat. Vous bénéficierez gratuitement d’une connexion Wi-Fi et des chambres adjacentes sont disponibles sur demande.
Vous pourrez savourer votre petit-déjeuner tous les matins dans le confort de votre chambre, et une machine à café Nespresso est disponible dans certains logements.
Le personnel amical et attentif de l’hôtel se tient à votre disposition 24h/24 pour vous aider à organiser votre séjour à Biarritz. Vous pourrez bénéficier d’un parking couvert moyennant des frais supplémentaires.
C'est le quartier préféré des voyageurs visitant Biarritz, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,6 pour un séjour à deux.
L'établissement Hôtel Littéraire Jules Verne, BW Signature Collection accueille des clients Booking.com depuis le 1 oct. 2006.
Chaîne hôtelière/marque: BW Signature Collection by Best Western"
Hôtel Les Baigneuses de Biarritz,https://www.booking.com/hotel/fr/le-caritz.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AofR1J0GwAIB0gIkOWZiNTliMzEtYTkzOC00ZTYyLTlkZWUtMWU0N2YwNzY0ODdj2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=c5ec3389d8990248&srepoch=1672816788&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,9",445 expériences vécues,"Centre de Biarritz, Biarritz","14 rue du Port Vieux, 64200 Biarritz, France",43.48230843,-1.56681105,"Biarritz - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Agrémenté d’une terrasse, l’Hôtel Les Baigneuses de Biarritz vous accueille au cœur de Biarritz, face à l’océan Atlantique, à seulement 50 mètres de la plage du Port Vieux. Cet hôtel propose une connexion Wi-Fi gratuite et des hébergements offrant une vue sur la mer.
Les chambres disposent d’une télévision à écran plat et d’une salle de bains privative avec douche.
Le restaurant de l’établissement sert une cuisine de brasserie, et vous pourrez savourer un verre au bar sur place. Le petit-déjeuner continental comprend du pain frais, une viennoiserie française, une boisson chaude, du jus d’orange frais, du beurre et de la confiture. Le restaurant est fermé le dimanche soir.
L’établissement ne possède pas d’ascenseur. L'hôtel ne propose pas de parking. Le parking le plus proche est celui de Sainte Eugénie, qui est sous-terrain.
L'enregistrement le dimanche s'effectue entre 15h00 et 19h00.
L’hôtel se trouve à 4 km de la gare de Biarritz et à 5 km de l’aéroport de Biarritz-Pays basque. Vous séjournerez à 9 km du centre-ville de Bayonne et à 37 minutes de route de Hendaye.
C'est le quartier préféré des voyageurs visitant Biarritz, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement Hôtel Les Baigneuses de Biarritz accueille des clients Booking.com depuis le 19 mars 2013."
La Maison du Lierre,https://www.booking.com/hotel/fr/la-maison-du-lierre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AofR1J0GwAIB0gIkOWZiNTliMzEtYTkzOC00ZTYyLTlkZWUtMWU0N2YwNzY0ODdj2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=c5ec3389d8990248&srepoch=1672816788&from_beach_sr=1&from=searchresults#hotelTmpl,"8,8",913 expériences vécues,"Centre de Biarritz, Biarritz","3 avenue du Jardin Public, 64200 Biarritz, France",43.48013354,-1.56076133,"Biarritz - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement La Maison du Lierre ! Connectez-vous pour économiser.
La Maison du Lierre se situe à Biarritz, à 300 mètres de la plage, ainsi qu’à 5 minutes du centre de conventions Bellevue, du casino et de la gare du Midi. Le marché central de Biarritz vous attend à 100 mètres. Vous profiterez d’une connexion Wi-Fi gratuite et de la chaîne Canal+.
Ce charmant établissement propose de nombreux services, tels que des repas sains, disponibles sur réservation, et un petit-déjeuner à savourer sur la terrasse en été. Sur réservation et moyennant des frais supplémentaires, vous aurez également accès au sauna sur place, à des services de massage et des soins de spa.
Les chambres comprennent une salle de bains privative pourvue d’une douche à l’italienne et donnent sur une cour intérieure. Certaines s’ouvrent sur un balcon ou une terrasse.
Vous aurez accès à un salon privé muni d’un ordinateur.
C'est le quartier préféré des voyageurs visitant Biarritz, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement La Maison du Lierre accueille des clients Booking.com depuis le 26 juil. 2010."
Hotel de La Plage - Nouvel Etablissement,https://www.booking.com/hotel/fr/de-la-plage-biarritz.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AofR1J0GwAIB0gIkOWZiNTliMzEtYTkzOC00ZTYyLTlkZWUtMWU0N2YwNzY0ODdj2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=c5ec3389d8990248&srepoch=1672816788&from_beach_sr=1&from=searchresults#hotelTmpl,"9,3",212 expériences vécues,"Centre de Biarritz, Biarritz","3, esplanade du Port Vieux, 64200 Biarritz, France",43.48213327,-1.56753056,"Biarritz - séjournez au cœur de la ville – Excellent emplacement - voir la carte
L'Hôtel de la Plage vous accueille à Biarritz, en face de l'océan et à seulement 50 mètres de la plage du vieux-port. Il propose des chambres dotées d'une télévision à écran plat et d'une connexion Wi-Fi gratuite. La gare se trouve à 10 minutes en voiture.
Ses chambres disposent d'une salle de bains privative pourvue d'articles de toilette gratuits. Certaines d'entre elles donnent sur la mer. Une connexion Wi-Fi est accessible gratuitement dans tout l'établissement.
Un petit-déjeuner continental est servi chaque matin. Vous trouverez tous les types de restaurants à moins de 150 mètres.
L'hôtel se situe à 5 minutes de route du centre de Biarritz et à 15 km de Saint-Jean-de-Luz. Vous rejoindrez l'aéroport de Biarritz-Anglet-Bayonne en 10 minutes en voiture.
C'est le quartier préféré des voyageurs visitant Biarritz, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,8 pour un séjour à deux.
L'établissement Hotel de La Plage - Nouvel Etablissement accueille des clients Booking.com depuis le 26 avr. 2013."
Hôtel Cosmopolitain,https://www.booking.com/hotel/fr/palacito.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AofR1J0GwAIB0gIkOWZiNTliMzEtYTkzOC00ZTYyLTlkZWUtMWU0N2YwNzY0ODdj2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=c5ec3389d8990248&srepoch=1672816788&from_beach_sr=1&from=searchresults#hotelTmpl,"8,3",1 296 expériences vécues,"Centre de Biarritz, Biarritz","1, Rue Gambetta, 64200 Biarritz, France",43.48217900,-1.56183958,"Biarritz - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Cosmopolitain ! Connectez-vous pour économiser.
L'Hôtel Cosmopolitain est un établissement 3 étoiles qui vous propose des hébergements et des parties communes à la décoration élégante dans le centre de Biarritz, à seulement 200 mètres de la plage et à 700 mètres du rocher de la Vierge.
Dotées d'une connexion Wi-Fi gratuite, les chambres climatisées comprennent une télévision par satellite et une salle de bains privative.
Le déjeuner est servi sur place, et vous pourrez prendre un cocktail ou une coupe de champagne au bar.
L'Hôtel Cosmopolitain se trouve à proximité de nombreux bars et restaurants. Enfin, vous serez à 1 km des musées du Chocolat et de la Mer, ainsi qu'à 10 minutes en voiture de la gare SNCF et de l'aéroport de Biarritz-Pays basque.
C'est le quartier préféré des voyageurs visitant Biarritz, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Hôtel Cosmopolitain accueille des clients Booking.com depuis le 29 juil. 2010."
Radisson Blu Hotel Biarritz,https://www.booking.com/hotel/fr/radisson-blu-hotel-biarritz.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AofR1J0GwAIB0gIkOWZiNTliMzEtYTkzOC00ZTYyLTlkZWUtMWU0N2YwNzY0ODdj2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=c5ec3389d8990248&srepoch=1672816788&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,4",1 855 expériences vécues,"Centre de Biarritz, Biarritz","1 Carrefour Helianthe, 64200 Biarritz, France",43.47827192,-1.56469077,"Biarritz - séjournez au cœur de la ville – Très bon emplacement - voir la carte
Situé dans le centre de Biarritz, le Radisson Blu Hotel Biarritz surplombe la plage de surf Côte des Basques. Dans les environs, vous trouverez des lieux de vie nocturne, des bars à tapas, un casino, un marché local et le musée de la marine. Cet établissement 4 étoiles propose une piscine extérieure sur le toit, une salle de sport, ainsi qu'un spa où vous pourrez profiter de massages, de soins du visage ou du corps, d'un hammam et d'un sauna moyennant des frais supplémentaires.
Les chambres insonorisées de l'hôtel comprennent la climatisation, un plateau de courtoisie, un minibar, une télévision par câble et une salle de bains privative.
Vous bénéficierez d'une connexion Wi-Fi gratuite dans l'ensemble de l'hôtel. Pendant les vacances scolaires, une salle de jeux avec des puzzles et des jeux Wii est également à votre disposition.
Un petit-déjeuner buffet est servi tous les matins. Vous pourrez déguster une cuisine régionale et internationale aux bars et restaurants sur place. Depuis la terrasse ombragée de l'hôtel, vous profiterez d'une vue panoramique sur le littoral atlantique et les Pyrénées.
Le Radisson Blu Hotel Biarritz se trouve à 15 minutes de route de l'aéroport de Biarritz. Des bornes de recharge pour voitures électriques sont par ailleurs présentes sur place.
C'est le quartier préféré des voyageurs visitant Biarritz, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour à deux.
L'établissement Radisson Blu Hotel Biarritz accueille des clients Booking.com depuis le 1 août 2005.
Chaîne hôtelière/marque: Radisson Blu"
Résidence Biarritz Ocean,https://www.booking.com/hotel/fr/biarritz-ocean.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AofR1J0GwAIB0gIkOWZiNTliMzEtYTkzOC00ZTYyLTlkZWUtMWU0N2YwNzY0ODdj2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=c5ec3389d8990248&srepoch=1672816788&from_beach_sr=1&from=searchresults#hotelTmpl,"7,6",462 expériences vécues,"Centre de Biarritz, Biarritz","10, Rue Etienne Ardoin, 64200 Biarritz, France",43.48040601,-1.55796111,"Biarritz - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Résidence Biarritz Ocean ! Connectez-vous pour économiser.
L'établissement Résidence Biarritz Océan se situe au cœur de Biarritz, à seulement 400 mètres de la célèbre Grande Plage et à 240 mètres du casino. Cette résidence propose des chambres et des appartements indépendants dotés de balcons.
Toutes les chambres et tous les appartements de la Résidence Biarritz Ocean sont équipés d'une télévision par satellite, d'un téléphone et d'une salle de bains privative pourvue d'une baignoire. Certaines salles de bains sont adaptées pour accueillir les personnes à mobilité réduite. Les chambres possèdent de grands balcons, et plusieurs offrent une vue sur le jardin sur place. Les appartements bénéficient d'une kitchenette avec micro-ondes, réfrigérateur et lave-vaisselle.
Un petit-déjeuner continental est servi tous les matins. Cette résidence met à votre disposition une connexion Wi-Fi gratuite dans l'ensemble de l'établissement, ainsi qu'un parking privatif sur place, moyennant un supplément.
Le musée de la Mer se situe à 10 minutes de marche. Le Résidence Biarritz Ocean propose des réductions sur les tarifs du green fee dans 7 parcours de golf dans la région. L'aéroport de Biarritz est à 4 km.
C'est le quartier préféré des voyageurs visitant Biarritz, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement Résidence Biarritz Ocean accueille des clients Booking.com depuis le 23 avr. 2006."
Sure Hotel by Best Western Biarritz Aeroport,https://www.booking.com/hotel/fr/amaryshotel.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AofR1J0GwAIB0gIkOWZiNTliMzEtYTkzOC00ZTYyLTlkZWUtMWU0N2YwNzY0ODdj2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=c5ec3389d8990248&srepoch=1672816788&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,7",1 763 expériences vécues,Biarritz,"Rn 10 - Aéroport De Parme, 64200 Biarritz, France",43.47220790,-1.53489947,"Le Sure Hotel by Best Western Biarritz Aeroport vous accueille au cœur du Pays basque, à 3 km du centre de Biarritz et de ses plages. La connexion Wi-Fi et le stationnement sont gratuits.
Les chambres insonorisées disposent de portes doubles pour une intimité totale. Décorées dans un style contemporain, elles comprennent une télévision par satellite et un bureau. Cet établissement est entièrement climatisé.
Un petit-déjeuner buffet est servi tous les matins. Récompensé du titre de « Maître restaurateur », le restaurant prépare des plats traditionnels basques avec des produits frais locaux. Par beau temps, vous pourrez déjeuner ou dîner sur la terrasse.
Vous séjournerez à seulement 2 km de l'autoroute A63 et à 1 km de l'aéroport de Biarritz-Anglet-Bayonne.
L'établissement Sure Hotel by Best Western Biarritz Aeroport accueille des clients Booking.com depuis le 27 oct. 2006.
Chaîne hôtelière/marque: Sure Hotel by Best Western"
