name,link,review_score,review_count,area,address,hotel_latitude,hotel_longitude,description
Hotel La Fabrique,https://www.booking.com/hotel/fr/la-fabrique-la-rochelle.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtHc1J0GwAIB0gIkZTIyZmFkYTUtOWVmYS00MWRhLTk5ZmMtNjgwMDE5YTE3NGEw2AIG4AIB&sid=1c0e667d20209abc5e67e5343224c927&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7474366e91f20009&srepoch=1672818270&from=searchresults#hotelTmpl,"8,4",2 165 expériences vécues,"Centre-ville de La Rochelle, La Rochelle","7-9-11 rue de la Fabrique, 17000 La Rochelle, France",46.15615500,-1.14858300,"La Rochelle - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hotel La Fabrique ! Connectez-vous pour économiser.
L'Hotel La Fabrique vous accueille à La Rochelle et vous propose un bar sur place.
Les chambres disposent d'une télévision à écran plat. L'Hôtel La Fabrique est muni d'une connexion Wi-Fi gratuite dans l'ensemble de ses locaux.
La réception est ouverte 24h/24. Vous trouverez un parking public payant à proximité.
L'espace Encan se situe à 600 mètres de l'Hotel La Fabrique, et le parc des expositions de La Rochelle vous attend à 700 mètres. L'aéroport le plus proche est celui de La Rochelle-Île de Ré, distant de 4 km.
C'est le quartier préféré des voyageurs visitant La Rochelle, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement Hotel La Fabrique accueille des clients Booking.com depuis le 18 juil. 2017."
Hôtel La Monnaie Art & Spa,https://www.booking.com/hotel/fr/de-la-monnaie.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtHc1J0GwAIB0gIkZTIyZmFkYTUtOWVmYS00MWRhLTk5ZmMtNjgwMDE5YTE3NGEw2AIG4AIB&sid=1c0e667d20209abc5e67e5343224c927&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=7474366e91f20009&srepoch=1672818270&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,6",1 955 expériences vécues,"Centre-ville de La Rochelle, La Rochelle","3 Rue De La Monnaie, 17000 La Rochelle, France",46.15630080,-1.15810812,"La Rochelle - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel La Monnaie Art & Spa ! Connectez-vous pour économiser.
Idéalement situé dans le quartier historique de La Rochelle, l'Hôtel De La Monnaie Art & Spa est aménagé dans un édifice datant du XVIIe siècle qui surplombe le Vieux-Port. Orné d’œuvres d'art, il propose une terrasse et un centre de bien-être.
Offrant une vue sur la cour intérieure ou la vieille ville entourée de fortifications, toutes les chambres de l'Hôtel De La Monnaie disposent de la climatisation, d'une télévision, d'une connexion Wi-Fi gratuite, d'un plateau/bouilloire et d'une salle de bains privative.
Lors de votre séjour, vous pourrez prendre un verre au bar et déguster votre petit-déjeuner dans le charmant salon, dans la cour bien exposée ou dans l'intimité de votre chambre.
L'emplacement central de l'hôtel De La Monnaie vous permettra de flâner dans les rues piétonnes et de découvrir les nombreux restaurants locaux, ainsi que le marché de produits régionaux à proximité. Enfin, vous bénéficierez d'un parking privé moyennant des frais supplémentaires.
C'est le quartier préféré des voyageurs visitant La Rochelle, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement Hôtel La Monnaie Art & Spa accueille des clients Booking.com depuis le 4 déc. 2008."
Maisons du Monde Hôtel & Suites - La Rochelle Vieux Port,https://www.booking.com/hotel/fr/inter-saint-jean-d-acre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtHc1J0GwAIB0gIkZTIyZmFkYTUtOWVmYS00MWRhLTk5ZmMtNjgwMDE5YTE3NGEw2AIG4AIB&sid=1c0e667d20209abc5e67e5343224c927&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=7474366e91f20009&srepoch=1672818270&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,4",1 946 expériences vécues,"Centre-ville de La Rochelle, La Rochelle","4, Place de La Chaîne et 3 rue Saint-Jean du Perot, 17000 La Rochelle, France",46.15619304,-1.15443483,"La Rochelle - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Maisons du Monde Hôtel & Suites - La Rochelle Vieux Port est situé au niveau du port de La Rochelle. Vous bénéficierez gratuitement d'une connexion Wi-Fi gratuite dans l’ensemble des locaux.
La Maisons du Monde Hôtel & Suites - La Rochelle Vieux Port est implantée à proximité de nombreux restaurants et à quelques minutes à pied du quartier historique, de la plage et des attractions de La Rochelle. Vous aurez facilement accès à l’île de Ré et à l’île d’Oléron.
Les chambres confortables comportent la climatisation, une salle de bains privative et une télévision à écran plat recevant les chaînes Canal+ et Eurosport.
Le petit-déjeuner est servi de 7h00 à 11h00 le samedi et le dimanche et de 6h00 à 10h30 du lundi au vendredi.
Des conditions différentes et des suppléments peuvent s’appliquer en cas de réservation de plus de 5 hébergements.
C'est le quartier préféré des voyageurs visitant La Rochelle, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement Maisons du Monde Hôtel & Suites - La Rochelle Vieux Port accueille des clients Booking.com depuis le 7 janv. 2010."
B&B HOTEL La Rochelle Centre Les Minimes,https://www.booking.com/hotel/fr/altica-la-rochelle.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtHc1J0GwAIB0gIkZTIyZmFkYTUtOWVmYS00MWRhLTk5ZmMtNjgwMDE5YTE3NGEw2AIG4AIB&sid=1c0e667d20209abc5e67e5343224c927&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=7474366e91f20009&srepoch=1672818270&from=searchresults#hotelTmpl,"7,7",644 expériences vécues,La Rochelle,"49, Rue de la Scierie Les Minimes, 17000 La Rochelle, France",46.14939066,-1.15375221,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement B&B HOTEL La Rochelle Centre Les Minimes ! Connectez-vous pour économiser.
Cet établissement propose de nouvelles chambres.
Le B&B HOTEL La Rochelle Centre Les Minimes vous accueille 24h/24 et 7j/7. Situé à 10 minutes à pied de la gare SNCF et du centre-ville, cet hôtel est doté d'un parking sécurisé.
Cet établissement se trouve à proximité de plusieurs lieux d’intérêt, notamment à 400 mètres du Musée Maritime et à 800 mètres de l’Aquarium La Rochelle, où sont présentés plus de 12 000 animaux marins.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,2 pour un séjour à deux.
L'établissement B&B HOTEL La Rochelle Centre Les Minimes accueille des clients Booking.com depuis le 15 févr. 2010.
Chaîne hôtelière/marque: B&B Hotels"
Hôtel Le Rochelois,https://www.booking.com/hotel/fr/le-rochelois.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtHc1J0GwAIB0gIkZTIyZmFkYTUtOWVmYS00MWRhLTk5ZmMtNjgwMDE5YTE3NGEw2AIG4AIB&sid=1c0e667d20209abc5e67e5343224c927&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=7474366e91f20009&srepoch=1672818270&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,9",3 305 expériences vécues,La Rochelle,"66, boulevard Winston Churchill Port neuf, 17000 La Rochelle, France",46.15418175,-1.18243652,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Le Rochelois ! Connectez-vous pour économiser.
L'Hôtel Le Rochelois possède une piscine extérieure ouverte en saison et un court de tennis. La connexion Wi-Fi est gratuite dans l'ensemble de l'établissement. Une piscine d'hydromassage, un sauna et un hammam sont également disponibles moyennant des frais supplémentaires.
Les chambres sont équipées d'une télévision à écran plat. Leur salle de bains privative est pourvue d'une douche à l'italienne ou d'une baignoire et de toilettes.
Le petit-déjeuner continental quotidien est composé de viennoiseries, de fromages, de fruits, d’œufs, de céréales, de confitures, de jambon, de miel et de thé.
L'Hôtel Le Rochelois se trouve à 5 km de la gare ferroviaire de La Rochelle. Un nombre limité de places de parking privées sont disponibles gratuitement sur place. Un parking privé souterrain est également accessible moyennant des frais supplémentaires.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,4 pour un séjour à deux.
L'établissement Hôtel Le Rochelois accueille des clients Booking.com depuis le 27 août 2013."
Appart'City La Rochelle,https://www.booking.com/hotel/fr/appart-city-cap-affaires-la-rochelle.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtHc1J0GwAIB0gIkZTIyZmFkYTUtOWVmYS00MWRhLTk5ZmMtNjgwMDE5YTE3NGEw2AIG4AIB&sid=1c0e667d20209abc5e67e5343224c927&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=7474366e91f20009&srepoch=1672818270&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,2",3 069 expériences vécues,La Rochelle,"8 Rue Franc Lapeyre, 17000 La Rochelle, France",46.15844669,-1.14101171,"L’Appart'City La Rochelle se situe à 10 minutes à pied de la gare ferroviaire de La Rochelle ainsi qu'à 15 minutes du Vieux-Port et de la vieille ville. Il propose des hébergements contemporains avec un coin salon et une télévision à écran LCD.
Les appartements et studios comprennent une connexion Wi-Fi disponible gratuitement. Certains logements comportent un balcon privé. Leur kitchenette est équipée d'un micro-ondes et d'un réfrigérateur.
La résidence propose un petit-déjeuner buffet composé de pains variés (notamment sans gluten), de viennoiseries ainsi que de boissons chaudes et froides. Des fruits frais, des fromages et des yaourts sont également servis. Vous pourrez acheter des boissons et des collations auprès de la réception.
L’Appart'City met des parkings extérieur et souterrain à votre disposition. Vous séjournerez à 15 minutes en voiture de l’aéroport de La Rochelle-Île de Ré. Vous pourrez visiter l’île de Ré située à seulement 15 km.
L'établissement Appart'City La Rochelle accueille des clients Booking.com depuis le 4 sept. 2009.
Chaîne hôtelière/marque: Appart'City"
Le Champlain,https://www.booking.com/hotel/fr/best-western-champlain-france-angleterre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtHc1J0GwAIB0gIkZTIyZmFkYTUtOWVmYS00MWRhLTk5ZmMtNjgwMDE5YTE3NGEw2AIG4AIB&sid=1c0e667d20209abc5e67e5343224c927&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=7474366e91f20009&srepoch=1672818270&from=searchresults#hotelTmpl,"8,7",1 038 expériences vécues,"Centre-ville de La Rochelle, La Rochelle","30, Rue Rambaud , 17000 La Rochelle, France",46.16357605,-1.15415990,"La Rochelle - séjournez au cœur de la ville – Excellent emplacement - voir la carte
L'hôtel Le Champlain est situé en face du parc Charruyer, au cœur de La Rochelle. Il propose des chambres spacieuses et climatisées avec télévision par câble à écran plat et connexion Wi-Fi gratuite.
Toutes les chambres sont desservies par un ascenseur.
Lors de votre séjour, vous pourrez profiter d'un service d'enregistrement rapide, d'une réception ouverte 24h/24, d'un jardin et d'un bar où vous trouverez une sélection de journaux internationaux.
Vous séjournerez à seulement 5 minutes du Vieux-Port.
C'est le quartier préféré des voyageurs visitant La Rochelle, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement Le Champlain accueille des clients Booking.com depuis le 21 avr. 2010."
Maison des Ambassadeurs,https://www.booking.com/hotel/fr/la-residence-de-france-residence-hoteliere.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtHc1J0GwAIB0gIkZTIyZmFkYTUtOWVmYS00MWRhLTk5ZmMtNjgwMDE5YTE3NGEw2AIG4AIB&sid=1c0e667d20209abc5e67e5343224c927&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=7474366e91f20009&srepoch=1672818270&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,6",1 113 expériences vécues,"Centre-ville de La Rochelle, La Rochelle","43 rue du Minage, 17000 La Rochelle, France",46.16282553,-1.15110219,"La Rochelle - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Maison des Ambassadeurs ! Connectez-vous pour économiser.
Situé au cœur de La Rochelle, dans un bâtiment datant du XVIIIe siècle, à seulement 5 minutes à pied du Vieux-Port, la Maison des Ambassadeurs propose une réception ouverte 24h/24 et un service de conciergerie.
Présentant une décoration haut de gamme, toutes les chambres et les suites de la Maison des Ambassadeurs incluent une salle de bains privative avec des articles de toilette gratuits.
Le soir, le piano-bar ou la terrasse sur place offrent un cadre idéal pour boire un verre. Vous pourrez vous détendre dans les salons de l'hôtel ou au bord de la piscine extérieure.
Cet hôtel se trouve à seulement 1,5 km de l’Aquarium La Rochelle et de la plage, et à 15 minutes de route du pont de l'île de Ré. Des bornes de recharge pour les voitures électriques se trouvent sur place.
C'est le quartier préféré des voyageurs visitant La Rochelle, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Maison des Ambassadeurs accueille des clients Booking.com depuis le 24 févr. 2010."
La Rochelle sur L'eau,https://www.booking.com/hotel/fr/aqua-domum.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtHc1J0GwAIB0gIkZTIyZmFkYTUtOWVmYS00MWRhLTk5ZmMtNjgwMDE5YTE3NGEw2AIG4AIB&sid=1c0e667d20209abc5e67e5343224c927&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=7474366e91f20009&srepoch=1672818270&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,3",173 expériences vécues,La Rochelle,"Quai du Lazaret, 17000 La Rochelle, France",46.14667561,-1.16817349,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement La Rochelle sur L'eau ! Connectez-vous pour économiser.
Situé à La Rochelle, en Poitou-Charentes, à proximité des Minimes et du port de plaisance des Minimes, l'établissement La Rochelle sur L'eau propose des hébergements avec connexion Wi-Fi et parking privé gratuits.
Offrant une vue sur la mer, ce bateau comprend une terrasse, un coin salon, une télévision à écran plat, une cuisine entièrement équipée avec un réfrigérateur et des plaques de cuisson ainsi qu'une salle de bains privative pourvue d'une douche et d'articles de toilette gratuits. Pour plus de commodité, l'établissement peut fournir des serviettes et du linge de lit moyennant des frais supplémentaires.
Un service de location de vélos est assuré sur place pour vous permettre de partir à la découverte des environs.
Vous séjournerez à 2,5 km de la plage du Roux et à 2,6 km de l'Espace Encan. L'aéroport le plus proche, celui de La Rochelle-Île de Ré, est situé à 10 km. Un service de navette aéroport peut être assuré moyennant des frais supplémentaires.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement La Rochelle sur L'eau accueille des clients Booking.com depuis le 2 janv. 2019."
Central Park Hôtel & Spa,https://www.booking.com/hotel/fr/central-park-amp-spa.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtHc1J0GwAIB0gIkZTIyZmFkYTUtOWVmYS00MWRhLTk5ZmMtNjgwMDE5YTE3NGEw2AIG4AIB&sid=1c0e667d20209abc5e67e5343224c927&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=7474366e91f20009&srepoch=1672818270&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,7",2 003 expériences vécues,La Rochelle,"4, avenue Jean Guiton, 17000 La Rochelle, France",46.15891333,-1.16082335,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Central Park Hôtel & Spa ! Connectez-vous pour économiser.
Le Central Park Hôtel & Spa est un établissement 4 étoiles situé à La Rochelle, à côté du Vieux-Port, à quelques minutes à pied de la plage et à 10 minutes de marche du cœur de la ville. Un bar vous accueille sur place, de même qu'un centre de bien-être proposant une salle de sport, des jacuzzis, un sauna, un hammam, des massages et des soins de beauté moyennant des frais supplémentaires.
Dans cet hôtel moderne et cependant écologique, toutes les chambres possèdent une salle de bains privative avec des articles de toilette gratuits. Les suites comprennent un coin salon propice à la détente et certaines disposent d'une terrasse avec un jacuzzi. Chacune des chambres est équipée d'une télévision par satellite à écran plat.
Le matin, l'établissement sert un petit-déjeuner buffet incluant des produits bio d'origine locale. Vous séjournerez dans un quartier résidentiel, à seulement quelques pas de boutiques et de restaurants.
L'établissement possède une réception ouverte 24h/24 et un salon commun.
Le Central Park Hôtel & Spa se trouve à 600 mètres de la grosse cloche et à 1,7 km du parc des expositions de La Rochelle. L'aéroport de La Rochelle-Île de Ré est le plus proche, à 3 km de l'établissement.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,1 pour un séjour à deux.
L'établissement Central Park Hôtel & Spa accueille des clients Booking.com depuis le 15 juil. 2016."
