namecity,name,link,review_score,review_count,area,address,hotel_latitude,hotel_longitude,description,cityname,latitude,longitude,temperature_j1,precipitation_j1,weathercode_j1,temperature_j2,precipitation_j2,weathercode_j2,temperature_j3,precipitation_j3,weathercode_j3,temperature_j4,precipitation_j4,weathercode_j4,temperature_j5,precipitation_j5,weathercode_j5,temperature_j6,precipitation_j6,weathercode_j6,temperature_j7,precipitation_j7,weathercode_j7,mean_temp,sum_precipitation,top_weather_code
Mont Saint Michel,Hôtel Vert,https://www.booking.com/hotel/fr/vert.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArL80J0GwAIB0gIkN2EwYWFhMGMtNGIwYy00MzAxLTgyNDctM2RkOTU2ZDYzZjc12AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=1da1671fedec03bb&srepoch=1672756799&from=searchresults#hotelTmpl,"8,0",4 389 expériences vécues,Le Mont-Saint-Michel,"La Caserne, 50170 Le Mont-Saint-Michel, France",48.61470049,-1.50961697,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Vert ! Connectez-vous pour économiser.
Situé à 2 km du Mont-Saint-Michel, sur la côte normande, l'Hôtel Vert propose des chambres décorées dans des tons pastel dotées d'une salle de bains privative, d'une télévision ainsi que d'une connexion Wi-Fi gratuite.
Vous pourrez savourer une cuisine régionale au restaurant La Rôtisserie. Le bar L'Équinoxe s'ouvre sur une terrasse privée.
Le Vert Hotel possède également une réception ouverte 24h/24, un parking privé, un supermarché sur place et une boutique de souvenirs.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement Hôtel Vert accueille des clients Booking.com depuis le 9 déc. 2010.",Mont Saint Michel,48.6359541,-1.511459954959514,10.0,0.0,2,11.1,0.0,3,13.9,0.0,3,12.8,0.0,3,12.7,0.0,3,11.0,0.1,3,12.4,0.0,3,11.985714285714286,0.1,3
Mont Saint Michel,Mercure Mont Saint Michel,https://www.booking.com/hotel/fr/mont-saint-michel.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArL80J0GwAIB0gIkN2EwYWFhMGMtNGIwYy00MzAxLTgyNDctM2RkOTU2ZDYzZjc12AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=1da1671fedec03bb&srepoch=1672756799&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,2",3 570 expériences vécues,Le Mont-Saint-Michel,"La Caserne, 50170 Le Mont-Saint-Michel, France",48.61424653,-1.51054502,"Installé dans des espaces verts à seulement 2 km de l'abbaye du Mont-Saint-Michel, le Mercure Mont Saint Michel propose des chambres spacieuses avec salle de bains privative, un bar-restaurant et de nombreuses places de parking gratuites.
Les chambres du Mercure Mont Saint Michel sont dotées de la climatisation, d'un plateau/bouilloire et d'une télévision par satellite/câble à écran plat.
Le restaurant Le Pré Salé, célèbre dans la région, prépare de délicieux fruits de mer ainsi que des spécialités régionales. Le bar Le Normandy sert des boissons dans un cadre convivial et décontracté.
Le Mercure Mont Saint Michel vous accueille à 6,5 km de Pontorson et à 52 km de Saint-Malo.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement Mercure Mont Saint Michel accueille des clients Booking.com depuis le 7 juil. 2009.
Chaîne hôtelière/marque: Mercure",Mont Saint Michel,48.6359541,-1.511459954959514,10.0,0.0,2,11.1,0.0,3,13.9,0.0,3,12.8,0.0,3,12.7,0.0,3,11.0,0.1,3,12.4,0.0,3,11.985714285714286,0.1,3
Mont Saint Michel,La Mère Poulard,https://www.booking.com/hotel/fr/la-mere-poulard.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArL80J0GwAIB0gIkN2EwYWFhMGMtNGIwYy00MzAxLTgyNDctM2RkOTU2ZDYzZjc12AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=1da1671fedec03bb&srepoch=1672756799&from=searchresults#hotelTmpl,"7,0",2 044 expériences vécues,Le Mont-Saint-Michel,"Grande Rue, 50170 Le Mont-Saint-Michel, France",48.63508532,-1.51053965,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement La Mère Poulard ! Connectez-vous pour économiser.
Occupant un bâtiment historique, l'hôtel La Mère Poulard jouit d'un emplacement idéal au cœur du Mont-Saint-Michel. Décorées dans un style classique, ses chambres donnent sur la baie, l'abbaye ou la cité médiévale.
Toutes les chambres de l'hôtel La Mère Poulard sont équipées d'une télévision à écran plat et d'une connexion Wi-Fi gratuite. Leur salle de bains privative comporte une baignoire.
Au prestigieux restaurant de l'hôtel La Mère Poulard, vous pourrez savourer des plats traditionnels dont sa fameuse omelette connue dans le monde entier. Vous pourrez tranquillement prendre un verre au piano-bar qui surplombe la baie du Mont-Saint-Michel.
L'hôtel possède un magasin spécialisé dans les produits gastronomiques régionaux. La réception est ouverte 24h/24.
Vous pourrez choisir parmi de nombreuses activités dont les randonnées pédestres, les balades à vélo ou bien la visite du Mont-Saint-Michel. Avranches se trouve à 23 minutes de route et Saint-Malo à 45 minutes de La Mère Poulard.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,1 pour un séjour à deux.
L'établissement La Mère Poulard accueille des clients Booking.com depuis le 30 mars 2010.",Mont Saint Michel,48.6359541,-1.511459954959514,10.0,0.0,2,11.1,0.0,3,13.9,0.0,3,12.8,0.0,3,12.7,0.0,3,11.0,0.1,3,12.4,0.0,3,11.985714285714286,0.1,3
Mont Saint Michel,Hotel De La Digue,https://www.booking.com/hotel/fr/de-la-digue.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArL80J0GwAIB0gIkN2EwYWFhMGMtNGIwYy00MzAxLTgyNDctM2RkOTU2ZDYzZjc12AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=1da1671fedec03bb&srepoch=1672756799&from=searchresults#hotelTmpl,"7,1",2 949 expériences vécues,Le Mont-Saint-Michel,"La Caserne, 50170 Le Mont-Saint-Michel, France",48.61688155,-1.51091784,"L'hôtel De La Digue est un établissement traditionnel situé en Normandie, à seulement 5 minutes en navette ou à 30 minutes de marche du Mont-Saint-Michel. La connexion Wi-Fi est gratuite dans l'ensemble des locaux. Le restaurant sur place sert une cuisine française classique et offre une vue panoramique sur le Mont-Saint-Michel.
Spacieuses et joliment décorées, les chambres sont dotées d'une télévision. Certaines chambres doubles donnent sur la rivière Couesnon.
Vous pourrez prendre un verre au bar de l'hôtel ou sur la terrasse.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,1 pour un séjour à deux.
L'établissement Hotel De La Digue accueille des clients Booking.com depuis le 4 oct. 2010.",Mont Saint Michel,48.6359541,-1.511459954959514,10.0,0.0,2,11.1,0.0,3,13.9,0.0,3,12.8,0.0,3,12.7,0.0,3,11.0,0.1,3,12.4,0.0,3,11.985714285714286,0.1,3
Mont Saint Michel,Le Relais Saint Michel,https://www.booking.com/hotel/fr/le-relais-saint-michel.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArL80J0GwAIB0gIkN2EwYWFhMGMtNGIwYy00MzAxLTgyNDctM2RkOTU2ZDYzZjc12AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=1da1671fedec03bb&srepoch=1672756799&from=searchresults#hotelTmpl,"7,8",3 111 expériences vécues,Le Mont-Saint-Michel,"La Caserne, 50170 Le Mont-Saint-Michel, France",48.61758727,-1.51039615,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Relais Saint Michel ! Connectez-vous pour économiser.
Le Relais Saint Michel vous accueille face à la baie du Mont-Saint-Michel. Les chambres de cet hôtel (à l'exception de la chambre lits jumeaux Saint-Michel avec vue intérieure) possèdent toutes une terrasse privée et certaines vous offrent une vue panoramique sur le Mont-Saint-Michel.
Insonorisées, confortables et spacieuses, les chambres sont dotées d'équipements modernes, dont un minibar et une connexion Wi-Fi gratuite. Leurs salles de bains sont privatives.
Le restaurant de l'hôtel vous servira une cuisine traditionnelle. Lors de votre séjour, vous pourrez prendre un verre ou un repas sur la terrasse qui offre une vue sur le Mont-Saint-Michel.
Un service de navette gratuit s'arrête en face de l'établissement et relie le célèbre Mont-Saint-Michel en seulement 10 minutes. Des gilets de sécurité vous seront proposés si vous souhaitez faire une promenade la nuit. Par ailleurs, si vous arrivez en voiture, vous pourrez profiter d'un espace de stationnement surveillé moyennant des frais supplémentaires.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement Le Relais Saint Michel accueille des clients Booking.com depuis le 1 déc. 2005.",Mont Saint Michel,48.6359541,-1.511459954959514,10.0,0.0,2,11.1,0.0,3,13.9,0.0,3,12.8,0.0,3,12.7,0.0,3,11.0,0.1,3,12.4,0.0,3,11.985714285714286,0.1,3
Mont Saint Michel,Les Terrasses Poulard,https://www.booking.com/hotel/fr/les-terrasses-poulard.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArL80J0GwAIB0gIkN2EwYWFhMGMtNGIwYy00MzAxLTgyNDctM2RkOTU2ZDYzZjc12AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=1da1671fedec03bb&srepoch=1672756799&from=searchresults#hotelTmpl,"7,3",2 492 expériences vécues,Le Mont-Saint-Michel,"Grande Rue, 50170 Le Mont-Saint-Michel, France",48.63534943,-1.51037872,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Les Terrasses Poulard ! Connectez-vous pour économiser.
Occupant 2 bâtiments différents au cœur du Mont-Saint-Michel, l'établissement historique Les Terrasses Poulard propose des hébergements avec une vue sur la baie, le village et la rue.
Décorées dans un style moderne, les chambres sont accessibles par des escaliers. Certaines présentent de grandes fenêtres donnant sur la baie. Toutes sont dotées d'une télévision et d'une salle de bains privative.
Le petit-déjeuner est servi au restaurant de l'Auberge de la Mère Poulard, à 2 minutes à pied. Spécialisé dans la cuisine française et régionale, le restaurant est aussi ouvert pour le déjeuner et le dîner. Vous pourrez également prendre vos repas, des boissons et des collations au restaurant La Confiance sur place.
L'établissement Les Terrasses Poulard comporte un bar, ainsi qu'une réception ouverte 24h/24 avec une bagagerie.
La région constitue un cadre idéal pour diverses activités telles que la pêche, le vélo et la randonnée à pied.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,1 pour un séjour à deux.
L'établissement Les Terrasses Poulard accueille des clients Booking.com depuis le 23 déc. 2005.",Mont Saint Michel,48.6359541,-1.511459954959514,10.0,0.0,2,11.1,0.0,3,13.9,0.0,3,12.8,0.0,3,12.7,0.0,3,11.0,0.1,3,12.4,0.0,3,11.985714285714286,0.1,3
Mont Saint Michel,Le Mouton Blanc,https://www.booking.com/hotel/fr/le-mouton-blanc-le-mont-saint-michel.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArL80J0GwAIB0gIkN2EwYWFhMGMtNGIwYy00MzAxLTgyNDctM2RkOTU2ZDYzZjc12AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=1da1671fedec03bb&srepoch=1672756799&from=searchresults#hotelTmpl,"7,0",1 578 expériences vécues,Le Mont-Saint-Michel,"Grande Rue , 50170 Le Mont-Saint-Michel, France",48.63602298,-1.50989592,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Mouton Blanc ! Connectez-vous pour économiser.
Situé au pied de l'abbaye, le Mouton Blanc Hotel vous accueille dans son bâtiment historique datant du XIVe siècle. Il propose des chambres confortables avec une décoration simple et accueillante.
Les chambres sont réparties dans 3 bâtiments dont un offre des vues sur le Mont-Saint-Michel et un autre comporte des chambres de style médiéval.
Le restaurant du Mouton Blanc vous servira une cuisine locale traditionnelle dans la salle à manger ou sur la terrasse. Vous dégusterez aussi un petit-déjeuner chaque matin.
Enfin lors de votre séjour au Mouton Blanc Hotel, vous pourrez bénéficier de services personnalisés sur demande pour des visites, des loisirs et d'autres activités.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,4 pour un séjour à deux.
L'établissement Le Mouton Blanc accueille des clients Booking.com depuis le 21 déc. 2009.",Mont Saint Michel,48.6359541,-1.511459954959514,10.0,0.0,2,11.1,0.0,3,13.9,0.0,3,12.8,0.0,3,12.7,0.0,3,11.0,0.1,3,12.4,0.0,3,11.985714285714286,0.1,3
Mont Saint Michel,La Vieille Auberge,https://www.booking.com/hotel/fr/la-vieille-auberge-le-mont-saint-michel.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArL80J0GwAIB0gIkN2EwYWFhMGMtNGIwYy00MzAxLTgyNDctM2RkOTU2ZDYzZjc12AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=1da1671fedec03bb&srepoch=1672756799&from=searchresults#hotelTmpl,"7,1",1 118 expériences vécues,Le Mont-Saint-Michel,"Grande Rue, 50170 Le Mont-Saint-Michel, France",48.636063,-1.511457,"La Vieille Auberge vous accueille dans le village médiéval du Mont-Saint-Michel, à quelques pas de la célèbre abbaye du Mont-Saint-Michel. L’établissement propose une connexion Wi-Fi gratuite, un restaurant et une terrasse avec vue sur la baie du Mont-Saint-Michel.
Les chambres sont aménagées dans 2 bâtiments annexes et accessibles par de multiples escaliers. Un bâtiment comprend des chambres standard donnant sur la rue principale et l’autre bâtiment, situé en haut du village, abrite des chambres avec vue sur la mer. Tous les logements disposent d’une télévision à écran plat et d’une salle de bains privative avec une baignoire ou une douche.
L’hôtel comporte un bar et un restaurant servant une cuisine française traditionnelle.
Vous séjournerez à 24 km d’Avranches et à 49 km de Cancale. La ville de Dol-de-Bretagne se trouve à 30 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour à deux.
L'établissement La Vieille Auberge accueille des clients Booking.com depuis le 20 déc. 2013.",Mont Saint Michel,48.6359541,-1.511459954959514,10.0,0.0,2,11.1,0.0,3,13.9,0.0,3,12.8,0.0,3,12.7,0.0,3,11.0,0.1,3,12.4,0.0,3,11.985714285714286,0.1,3
Mont Saint Michel,Hotel Gabriel,https://www.booking.com/hotel/fr/hotel-gabriel.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArL80J0GwAIB0gIkN2EwYWFhMGMtNGIwYy00MzAxLTgyNDctM2RkOTU2ZDYzZjc12AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=1da1671fedec03bb&srepoch=1672756799&from=searchresults#hotelTmpl,"7,9",2 427 expériences vécues,Le Mont-Saint-Michel,"Route du Mont Saint Michel, 50170 Le Mont-Saint-Michel, France",48.61538141,-1.51070997,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hotel Gabriel ! Connectez-vous pour économiser.
L’Hotel Gabriel se trouve à 1,6 km du Mont-Saint-Michel. L’établissement est à seulement 25 minutes à pied des remparts de la vieille ville. Il propose une connexion Wi-Fi gratuite ainsi que des chambres avec salle de bains privative.
Accessibles par des escaliers, les chambres spacieuses de l'hôtel comprennent la télévision par satellite. Chaque hébergement dispose d’une salle de bains pourvue d’une douche.
Un petit-déjeuner buffet est disponible tous les matins. La Rôtisserie sert des spécialités normandes et bretonnes.
L’Hotel Gabriel est situé à 6 minutes en voiture de l’autoroute E401. Vous séjournerez également à 7,3 km de la gare TGV de Pontorson qui dessert Paris.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement Hotel Gabriel accueille des clients Booking.com depuis le 12 janv. 2010.",Mont Saint Michel,48.6359541,-1.511459954959514,10.0,0.0,2,11.1,0.0,3,13.9,0.0,3,12.8,0.0,3,12.7,0.0,3,11.0,0.1,3,12.4,0.0,3,11.985714285714286,0.1,3
Mont Saint Michel,Auberge Saint Pierre,https://www.booking.com/hotel/fr/auberge-saint-pierre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArL80J0GwAIB0gIkN2EwYWFhMGMtNGIwYy00MzAxLTgyNDctM2RkOTU2ZDYzZjc12AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=1da1671fedec03bb&srepoch=1672756799&from=searchresults#hotelTmpl,"7,9",816 expériences vécues,Le Mont-Saint-Michel,"Grande Rue, 50170 Le Mont-Saint-Michel, France",48.63568798,-1.50988251,"L'Auberge Saint-Pierre occupe une maison à colombages du XIVe siècle située au Mont-Saint-Michel, une île accessible à marée basse. Elle allie le charme d'époque des poutres apparentes à des éléments de confort moderne comme une télévision et une connexion Wi-Fi gratuite.
Les chambres de l'Auberge Saint Pierre disposent d'une salle de bains privative avec une baignoire ou une douche. Certaines offrent une vue sur la mer.
L'établissement sert un petit-déjeuner buffet tous les matins. Vous pourrez prendre vos repas au restaurant authentique présent sur place qui sert une cuisine normande traditionnelle et des plats de poisson.
Installé dans la rue principale menant à l'abbaye, cet hôtel constitue un pied-à-terre idéal pour visiter le mont Saint-Michel. Certaines chambres se trouvent dans 2 bâtiments séparés accessibles par de nombreuses marches.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,1 pour un séjour à deux.
L'établissement Auberge Saint Pierre accueille des clients Booking.com depuis le 12 déc. 2007.",Mont Saint Michel,48.6359541,-1.511459954959514,10.0,0.0,2,11.1,0.0,3,13.9,0.0,3,12.8,0.0,3,12.7,0.0,3,11.0,0.1,3,12.4,0.0,3,11.985714285714286,0.1,3
