name,link,review_score,review_count,area,address,coordinates_gps,description
Novotel Grenoble Centre,https://www.booking.com/hotel/fr/grenoble-centre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtjFyp0GwAIB0gIkYWNiZjc1N2EtMDMyZS00MzY2LTg1NTgtNThkNDY0MThlMmNj2AIG4AIB&sid=70af2e80c0cb391c83b908b55c73621d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=class&srpvid=fed6423264920089&srepoch=1672651509&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,5",1 350 expériences vécues,Grenoble,"7 Place Robert Schuman, 38000 Grenoble, France","5.68705663274393,45.1727295855374,5.7381345312728,45.2086604186836","Le Novotel Grenoble Centre est installé au cœur du quartier des affaires de Grenoble, à seulement quelques pas de la gare TGV. Vous trouverez un arrêt de tramway juste devant l'hôtel et de nombreuses grandes entreprises à proximité. Le centre historique est à seulement 10 minutes en voiture du Novotel Grenoble Centre.
Les chambres sont équipées de la climatisation, d'un bureau, d'un coffre-fort et d'un minibar. Certaines disposent d'une machine à café Nespresso. Toutes comprennent une salle de bains privative avec une douche et un sèche-cheveux.
Vous aurez accès à la salle de sport du Novotel. Le Novotel Grenoble Centre dispose également d'un restaurant, d'un bar, de salles de conférence, d'équipements pour les personnes à mobilité réduite et d'un parking privé (payant). Deux enfants de 16 ans maximum peuvent séjourner gratuitement dans la chambre de leurs parents.
Cet hôtel est également situé à quelques kilomètres de la chaîne de Belledonne et du massif du Vercors.
C'est le quartier préféré des voyageurs visitant Grenoble, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,1 pour un séjour à deux.
L'établissement Novotel Grenoble Centre accueille des clients Booking.com depuis le 8 juil. 2008.
Chaîne hôtelière/marque: Novotel"
RockyPop Grenoble Hotel,https://www.booking.com/hotel/fr/rockypop-grenoble.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtjFyp0GwAIB0gIkYWNiZjc1N2EtMDMyZS00MzY2LTg1NTgtNThkNDY0MThlMmNj2AIG4AIB&sid=70af2e80c0cb391c83b908b55c73621d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=class&srpvid=fed6423264920089&srepoch=1672651509&from=searchresults#hotelTmpl,"8,5",68 expériences vécues,"Grenoble City Centre, Grenoble","9 Rue de Strasbourg, 38000 Grenoble, France","5.70575574850829,45.1689455834269,5.75683025149171,45.2048764165731","Grenoble - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement RockyPop Grenoble Hotel ! Connectez-vous pour économiser.
Situé à Grenoble, à 1,6 km de la gare, le RockyPop Grenoble Hotel propose une salle de sport, un parking privé, un jardin et une terrasse. Cet hôtel 4 étoiles dispose d'une connexion Wi-Fi gratuite, d'un restaurant et d'un bar. L'hôtel possède un sauna et une réception ouverte 24h/24.
Les chambres climatisées comprennent un bureau, une machine à café, un coffre-fort, une télévision à écran plat et une salle de bains privative avec baignoire ou douche. Elles comprennent également une armoire et une bouilloire.
Un petit-déjeuner buffet est servi chaque matin.
Vous pourrez jouer au ping-pong sur place.
Vous séjournerez à 1,9 km du WTC Grenoble et à 4,8 km d'AlpExpo. L'aéroport le plus proche, celui des Alpes-Isère, est situé à 48 km.
C'est le quartier préféré des voyageurs visitant Grenoble, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,0 pour un séjour à deux.
L'établissement RockyPop Grenoble Hotel accueille des clients Booking.com depuis le 24 août 2022."
Residhome Grenoble Caserne De Bonne,https://www.booking.com/hotel/fr/residhome-prestige-grenoble-caserne-de-bonne.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtjFyp0GwAIB0gIkYWNiZjc1N2EtMDMyZS00MzY2LTg1NTgtNThkNDY0MThlMmNj2AIG4AIB&sid=70af2e80c0cb391c83b908b55c73621d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=class&srpvid=fed6423264920089&srepoch=1672651509&from=searchresults#hotelTmpl,"7,7",1 553 expériences vécues,"Grenoble City Centre, Grenoble","21 Rue Lazare Carnot, 38000 Grenoble, France","5.69880258522565,45.1655044566099,5.74987400092547,45.2014352897561","Grenoble - séjournez au cœur de la ville – Très bon emplacement - voir la carte
Le Residhome Grenoble Caserne De Bonne est un établissement 4 étoiles situé à Grenoble, à seulement 10 minutes à pied du centre-ville. Il vous propose des hébergements dotés d’une connexion Wi-Fi gratuite et offrant une vue sur le Vercors et la chaîne de Belledonne.
Ces appartements disposent d’une cuisine entièrement équipée et d’une salle de bains privative. Ils sont également pourvus d’une télévision à écran plat et d’un bureau.
Lors de votre séjour, vous aurez accès au sauna et à la salle de sport. Le complexe hôtelier possède aussi un bar et une réception ouverte 24h/24. Par ailleurs, vous trouverez un centre commercial avec des boutiques et des restaurants à seulement 150 mètres.
Le Residhome Grenoble Caserne De Bonne se trouve à 15 minutes de marche de la gare SNCF et à seulement 3 minutes à pied de l’arrêt de tramway le plus proche.
C'est le quartier préféré des voyageurs visitant Grenoble, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,7 pour un séjour à deux.
L'établissement Residhome Grenoble Caserne De Bonne accueille des clients Booking.com depuis le 14 nov. 2008.
Chaîne hôtelière/marque: Residhome Apparthotel"
Le Grand Hôtel Grenoble,https://www.booking.com/hotel/fr/le-grand-grenoble-centre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtjFyp0GwAIB0gIkYWNiZjc1N2EtMDMyZS00MzY2LTg1NTgtNThkNDY0MThlMmNj2AIG4AIB&sid=70af2e80c0cb391c83b908b55c73621d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=class&srpvid=fed6423264920089&srepoch=1672651509&from=searchresults#hotelTmpl,"8,3",1 426 expériences vécues,"Grenoble City Centre, Grenoble","5 rue de la Republique, 38000 Grenoble, France","5.70300901699914,45.1728496185269,5.75408702324973,45.2087804516731","Grenoble - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Le Grand Hôtel Grenoble est un établissement 4 étoiles situé dans le centre-ville de Grenoble, à 10 mètres de la place Grenette. Les chambres sont insonorisées et climatisées. Certaines sont pourvues d’un balcon.
Elles comprennent une salle de bains privative avec une baignoire ou une douche à l’italienne. Elles sont également équipées d’un minibar, d’une télévision par satellite à écran plat et d’une connexion Wi-Fi gratuite.
Le bar sur place, Le Stendhal, vous proposera une large gamme de boissons, cocktails et vins. Vous aurez le choix entre un petit-déjeuner complet ou express. Des plats froids peuvent être livrés dans votre chambre pour le déjeuner ou le dîner.
La réception du Grand Hôtel Grenoble est ouverte 24h/24. La gare TGV de Grenoble se trouve à 1,5 km. Un parking public est disponible à proximité.
C'est le quartier préféré des voyageurs visitant Grenoble, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement Le Grand Hôtel Grenoble accueille des clients Booking.com depuis le 11 mai 2011."
Okko Hotels Grenoble Jardin Hoche,https://www.booking.com/hotel/fr/okko-hotels-grenoble-jardin-hoche.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtjFyp0GwAIB0gIkYWNiZjc1N2EtMDMyZS00MzY2LTg1NTgtNThkNDY0MThlMmNj2AIG4AIB&sid=70af2e80c0cb391c83b908b55c73621d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=class&srpvid=fed6423264920089&srepoch=1672651509&from=searchresults#hotelTmpl,"8,0",1 303 expériences vécues,"Grenoble City Centre, Grenoble","23 rue Hoche, 38000 Grenoble, France","5.7004534375095,45.166984763466,5.75152618123128,45.2029155966122","Grenoble - séjournez au cœur de la ville – Très bon emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Okko Hotels Grenoble Jardin Hoche ! Connectez-vous pour économiser.
Situé à Grenoble, à proximité immédiate du jardin Hoche, l’Okko Hotels Grenoble Jardin Hoche possède un sauna et une salle de sport. Cet hôtel design bénéficie d’une terrasse avec vue sur le parc Hoche, d’une réception ouverte 24h/24 et d’une connexion Wi-Fi gratuite.
Les chambres comprennent toutes la climatisation, une télévision à écran plat, un bureau et une machine à café. Leur salle de bains privative est pourvue d’une douche, d’un sèche-cheveux et d’articles de toilette gratuits.
Un petit-déjeuner buffet est servi chaque matin sur place. Des boissons sans alcool sont également proposées gratuitement toute la journée dans le salon. Le soir, vous pourrez profiter d'un buffet d'entrées avec des antipasti, des légumes frais, de délicieux dips et des produits de saison.
L’Okko Hotels Grenoble Jardin Hoche possède un salon club et une bibliothèque. L’hôtel est situé à 500 mètres du parc Paul-Mistral, à 50 mètres du centre commercial La Caserne de Bonne et à 1,5 km de la gare ferroviaire de Grenoble.
C'est le quartier préféré des voyageurs visitant Grenoble, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,7 pour un séjour à deux.
L'établissement Okko Hotels Grenoble Jardin Hoche accueille des clients Booking.com depuis le 30 juil. 2014.
Chaîne hôtelière/marque: Okko Hotels"
Hotel Mercure Grenoble Centre Président,https://www.booking.com/hotel/fr/grand-mercure-grenoble-president.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtjFyp0GwAIB0gIkYWNiZjc1N2EtMDMyZS00MzY2LTg1NTgtNThkNDY0MThlMmNj2AIG4AIB&sid=70af2e80c0cb391c83b908b55c73621d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=class&srpvid=fed6423264920089&srepoch=1672651509&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,6",592 expériences vécues,Grenoble,"11, Rue Général Mangin, 38100 Grenoble, France","5.6947640690523,45.1605283767267,5.74583102133695,45.1964592098729","Situé à 10 minutes du centre-ville de Grenoble, l'Hôtel Mercure Grenoble Centre Président est accessible en tramway et par d'autres transports en commun. L'établissement propose l'accès gratuit à sa salle de sport, sa piscine, son sauna et son jacuzzi.
Décorées dans un style contemporain, les chambres disposent de la climatisation, d'une télévision à écran plat, d'une connexion Wi-Fi gratuite, ainsi que d'une cafetière. Toutes sont pourvues d'une salle de bains privative.
Le restaurant du Président vous servira une cuisine française traditionnelle et des plats régionaux. Du lundi au vendredi soir, vous pourrez accompagner vos repas de l'un des nombreux crus de la carte des Grands Vins Mercure.
Vous pourrez déguster un verre de vin ou un cocktail au bar de l'hôtel, le Sirius. Affichant une décoration africaine, ce bar doté d'une terrasse organise des animations musicales ainsi que des soirées à thème. Vous pourrez profiter gratuitement d'un massage le mardi.
Un parking privé est disponible sur place moyennant des frais supplémentaires.
L'établissement Hotel Mercure Grenoble Centre Président accueille des clients Booking.com depuis le 10 juil. 2008.
Chaîne hôtelière/marque: Mercure"
Mercure Grenoble Centre Alpotel,https://www.booking.com/hotel/fr/mercure-grenoble-centre-alpotel.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtjFyp0GwAIB0gIkYWNiZjc1N2EtMDMyZS00MzY2LTg1NTgtNThkNDY0MThlMmNj2AIG4AIB&sid=70af2e80c0cb391c83b908b55c73621d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=class&srpvid=fed6423264920089&srepoch=1672651509&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,4",277 expériences vécues,"Grenoble City Centre, Grenoble","12 Boulevard Maréchal Joffre, 38000 Grenoble, France","5.70415636260971,45.1653078416455,5.75522760192886,45.2012386747917","Grenoble - séjournez au cœur de la ville – Très bon emplacement - voir la carte
Le Mercure Grenoble Centre Alpotel est situé au cœur de Grenoble, à 2 km de Minatec. L'hôtel dispose d'un restaurant servant une cuisine régionale contemporaine.
Les chambres confortables, climatisées et insonorisées de cet établissement 4 étoiles sont dotées d'une connexion Wi-Fi.
Un petit-déjeuner buffet est servi tous les matins. Le soir, vous pourrez déguster des plats régionaux au Café Pourpre, le restaurant de l'hôtel.
Le Mercure Grenoble Centre Alpotel est situé à proximité de la gare TGV, tandis que l'Alpexpo et le centre de conventions WTC sont facilement accessibles en tramway.
C'est le quartier préféré des voyageurs visitant Grenoble, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,2 pour un séjour à deux.
L'établissement Mercure Grenoble Centre Alpotel accueille des clients Booking.com depuis le 26 juin 2008.
Chaîne hôtelière/marque: Mercure"
RockyPop Grenoble Appartements,https://www.booking.com/hotel/fr/rockypop-grenoble-appartements.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtjFyp0GwAIB0gIkYWNiZjc1N2EtMDMyZS00MzY2LTg1NTgtNThkNDY0MThlMmNj2AIG4AIB&sid=70af2e80c0cb391c83b908b55c73621d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=class&srpvid=fed6423264920089&srepoch=1672651509&from=searchresults#hotelTmpl,"9,1",14 expériences vécues,"Grenoble City Centre, Grenoble","11 Rue de Strasbourg, 38000 Grenoble, France","5.7060327965112,45.1688385834269,5.75710720348879,45.2047694165731","Grenoble - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement RockyPop Grenoble Appartements ! Connectez-vous pour économiser.
Situé à Grenoble, à 1,6 km de la gare de Grenoble et à 1,9 km du WTC Grenoble, le RockyPop Grenoble Appartements propose des hébergements avec une connexion Wi-Fi gratuite, un jardin avec une terrasse, une salle de sport et un sauna. Un parking privé est disponible sur place.
Tous les logements disposent d'une salle de bains privative avec baignoire ou douche, de la climatisation, d'une télévision à écran plat et d'un réfrigérateur. La cuisine est équipée d'un four, d'un micro-ondes, de plaques de cuisson et d'une machine à café.
Cet appart'hôtel sert un petit-déjeuner buffet tous les matins.
Le RockyPop Grenoble Appartements se trouve à moins de 1 km du stade des Alpes et à 4,8 km du parc des expositions AlpExpo. L'aéroport le plus proche, celui des Alpes-Isère, est situé à 48 km.
C'est le quartier préféré des voyageurs visitant Grenoble, selon les commentaires clients indépendants.
L'établissement RockyPop Grenoble Appartements accueille des clients Booking.com depuis le 24 août 2022."
"Le Téléphérique, vue Bastille, 6 pers, 300 m Gare",https://www.booking.com/hotel/fr/le-telepherique-vue-bastille-6-pers-300-m-gare.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtjFyp0GwAIB0gIkYWNiZjc1N2EtMDMyZS00MzY2LTg1NTgtNThkNDY0MThlMmNj2AIG4AIB&sid=70af2e80c0cb391c83b908b55c73621d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=class&srpvid=fed6423264920089&srepoch=1672651509&from=searchresults#hotelTmpl,"9,6",21 expériences vécues,Grenoble,"5 Place Hubert Dubedout, 38000 Grenoble, France","5.69437245303279,45.1740425782089,5.74545152992321,45.2099734113551","Doté d'une connexion Wi-Fi gratuite et offrant une vue sur la montagne, l'établissement Le Téléphérique, vue Bastille, 6 pers, 300 mètres Gare est situé à Grenoble, à seulement 500 mètres de la gare de Grenoble et à 800 mètres du WTC Grenoble. Vous pourrez pratiquer diverses activités dans les environs, telles que le ski et le vélo.
Offrant une vue sur la ville, cet appartement dispose d'un balcon, de 2 chambres, d'un salon, d'une télévision à écran plat, d'une cuisine équipée avec un réfrigérateur et un four, ainsi que d'une salle de bains pourvue d'une douche. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 5,4 km du parc des expositions AlpExpo et à 2,2 km du stade des Alpes. L'aéroport le plus proche, celui des Alpes-Isère, est situé à 46 km.
C'est le quartier préféré des voyageurs visitant Grenoble, selon les commentaires clients indépendants.
L'établissement Le Téléphérique, vue Bastille, 6 pers, 300 m Gare accueille des clients Booking.com depuis le 18 juil. 2021."
Chez Flo,https://www.booking.com/hotel/fr/chez-flo-grenoble.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtjFyp0GwAIB0gIkYWNiZjc1N2EtMDMyZS00MzY2LTg1NTgtNThkNDY0MThlMmNj2AIG4AIB&sid=70af2e80c0cb391c83b908b55c73621d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=class&srpvid=fed6423264920089&srepoch=1672651509&from=searchresults#hotelTmpl,"9,7",7 expériences vécues,Grenoble,"1 Avenue Marcelin Berthelot, 38100 Grenoble, France","5.70654363784848,45.1625040834269,5.75761236215152,45.1984349165731","Situé à 2,3 km de la gare de Grenoble, l'établissement Chez Flo propose des hébergements climatisés avec connexion Wi-Fi gratuite.
Offrant une vue sur la ville, l'appartement comprend un balcon, un coin salon, une télévision par câble à écran plat, une cuisine entièrement équipée avec un réfrigérateur et un four ainsi qu'une salle de bains privative pourvue d'un bidet et d'un sèche-cheveux. Un lave-vaisselle, un micro-ondes, des plaques de cuisson et une machine à café sont également fournis.
Le WTC Grenoble se trouve à 3 km du Chez Flo, tandis que l'AlpExpo est à 3,6 km. L'aéroport le plus proche, celui des Alpes-Isère, est situé à 48 km.
L'établissement Chez Flo accueille des clients Booking.com depuis le 13 nov. 2022."
