name,link,review_score,review_count,area,address,coordinates_gps,description
Boutique Hôtel Entraigues,https://www.booking.com/hotel/fr/entraigues-uzes2.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArKby50GwAIB0gIkZjM1MmRkYTAtMjBlNC00OGFmLTk5ZGYtYzczMWY0OTNhMWMz2AIG4AIB&sid=2b1a1261f397318a8bafd67c14c0e75f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=1f42579fd4e201b4&srepoch=1672662463&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,8",1 123 expériences vécues,Uzès,"4 place de l'Evêché, Rue de la Calade, 30700 Uzès, France","4.3967739099832,43.9944989544126,4.44682631210692,44.0304297875588","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Boutique Hôtel Entraigues ! Connectez-vous pour économiser.
Doté d’une piscine extérieure, le Boutique Hôtel Entraigues vous accueille à Uzès, dans le Languedoc-Roussillon, à 32 km d’Avignon. Il possède une terrasse bien exposée et offre une vue sur la ville. Une connexion Wi-Fi est disponible gratuitement dans l’ensemble de l’établissement, et vous pourrez profiter d’un parking privé sur place moyennant des frais supplémentaires et sous réserve de disponibilité.
Les chambres sont climatisées et disposent d’une télévision par câble à écran plat ainsi que d’un plateau/bouilloire. Certaines comportent une terrasse, un patio ou un coin salon où vous pourrez vous détendre après une journée bien remplie.
Vous trouverez plusieurs restaurants à moins de 2 minutes de marche.
Vous aurez la possibilité de pratiquer différentes activités dans les environs, telles que le golf et le vélo. L’Hôtel Entraigues est à 20 km de Nîmes et à 41 km d’Arles. L’aéroport d’Avignon-Provence est, quant à lui, situé à 40 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement Boutique Hôtel Entraigues accueille des clients Booking.com depuis le 25 août 2015."
Les Gîtes de Cayenne - Gîte Olivia,https://www.booking.com/hotel/fr/les-gites-de-cayenne-gite-olivia.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArKby50GwAIB0gIkZjM1MmRkYTAtMjBlNC00OGFmLTk5ZGYtYzczMWY0OTNhMWMz2AIG4AIB&sid=2b1a1261f397318a8bafd67c14c0e75f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=1f42579fd4e201b4&srepoch=1672662463&from=searchresults#hotelTmpl,"8,7",6 expériences vécues,Uzès,"3 impasse des perdrix, 30700 Uzès, France","4.38129201952877,43.9942131834269,4.43134418047127,44.0301440165731","Offrant une vue sur le jardin, l'établissement Les Gîtes de Cayenne - Gîte Olivia est situé à Uzès, à 32 km du parc des expositions de Nîmes et à 39 km de la gare centrale d'Avignon. Cette villa dispose d'une piscine privée, d'un jardin, d'un barbecue, ainsi que d'une connexion Wi-Fi et d'un parking privé gratuits.
La villa comprend 3 chambres, une salle de bains, du linge de lit, des serviettes, une télévision à écran plat, un coin repas, une cuisine entièrement équipée et une terrasse avec vue sur la piscine.
Vous pourrez faire de la randonnée et du vélo dans les environs ou profiter de la piscine extérieure ouverte en saison.
Les Gîtes de Cayenne - Gîte Olivia se trouvent à 40 km du palais des Papes et à 41 km de la gare TGV d'Avignon. L'aéroport de Nîmes-Garons, le plus proche, est implanté à 35 km.
L'établissement Les Gîtes de Cayenne - Gîte Olivia accueille des clients Booking.com depuis le 5 août 2015.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
LE MAS DES OLIVIERS appartement 3 min a pied du centre d'Uzès parking piscine,https://www.booking.com/hotel/fr/mas-des-oliviers-uzes.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArKby50GwAIB0gIkZjM1MmRkYTAtMjBlNC00OGFmLTk5ZGYtYzczMWY0OTNhMWMz2AIG4AIB&sid=2b1a1261f397318a8bafd67c14c0e75f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=1f42579fd4e201b4&srepoch=1672662463&from=searchresults#hotelTmpl,"8,9",65 expériences vécues,Uzès,"1 rue des cedres, 30700 Uzès, France","4.38929667207577,43.9947995834269,4.43934932792423,44.0307304165731","Vous pouvez bénéficier d'une réduction Genius dans l'établissement LE MAS DES OLIVIERS appartement 3 min a pied du centre d'Uzès parking piscine ! Connectez-vous pour économiser.
Situé à Uzès, à 38 km de la gare centrale d'Avignon, à 40 km du palais des papes et de la gare TGV d'Avignon, l'établissement LE MAS DES OLIVIERS appartement 3 min a pied du centre d'Uzès parking piscine propose un hébergement avec un balcon et une connexion Wi-Fi gratuite. Situé à 31 km du parc des expositions de Nîmes, il dispose d'une terrasse et d'un parking privé gratuit.
Cet appartement climatisé comprend 2 chambres, un salon, une cuisine entièrement équipée avec un réfrigérateur et une bouilloire ainsi que 2 salles de bains pourvues d'une baignoire et d'articles de toilette gratuits. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 14 km du pont du Gard et à 48 km du parc des expositions d'Avignon. L'aéroport le plus proche, celui de Nîmes-Garons, est situé à 35 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement LE MAS DES OLIVIERS appartement 3 min a pied du centre d'Uzès parking piscine accueille des clients Booking.com depuis le 7 janv. 2021."
Hôtel Le Saint-Geniès,https://www.booking.com/hotel/fr/le-saint-genies.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArKby50GwAIB0gIkZjM1MmRkYTAtMjBlNC00OGFmLTk5ZGYtYzczMWY0OTNhMWMz2AIG4AIB&sid=2b1a1261f397318a8bafd67c14c0e75f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=1f42579fd4e201b4&srepoch=1672662463&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,8",898 expériences vécues,Uzès,"Chemin de Saint-Geniès, 30700 Uzès, France","4.39544156379955,44.0050879204269,4.44550290517552,44.0410187535731","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Le Saint-Geniès ! Connectez-vous pour économiser.
Cet hôtel à la gestion familiale est situé au cœur d'un jardin, dans un quartier résidentiel paisible à 1,5 km du centre historique d'Uzès. Il comprend une piscine extérieure et offre de belles vues sur la campagne.
L'hôtel Le Saint-Geniès dispose de confortables chambres insonorisées dotées de la climatisation et d'une télévision par câble à écran plat. Les salles de bains privatives disposent d'un sèche-cheveux et d'une douche.
Tous les matins, l'hôtel Le Saint-Geniès vous servira un petit-déjeuner buffet complet que vous pourrez déguster sur la terrasse. Vous pourrez également vous détendre sur la terrasse bien exposée près de la piscine.
L'hôtel Saint-Geniès met à votre disposition une connexion Wi-Fi gratuite dans votre chambre. L'établissement se trouve à 30 km de Nîmes, à 16 km du Pont du Gard et à 30 minutes de route d'Avignon. Un parking public est disponible gratuitement sur place.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,9 pour un séjour à deux.
L'établissement Hôtel Le Saint-Geniès accueille des clients Booking.com depuis le 15 août 2006."
Résidence La Bastide d'Uzes,https://www.booking.com/hotel/fr/756-b-chemin-de-l-39-escalette.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArKby50GwAIB0gIkZjM1MmRkYTAtMjBlNC00OGFmLTk5ZGYtYzczMWY0OTNhMWMz2AIG4AIB&sid=2b1a1261f397318a8bafd67c14c0e75f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=1f42579fd4e201b4&srepoch=1672662463&from=searchresults#hotelTmpl,"8,8",24 expériences vécues,Uzès,"756 b Chemin de l'Escalette, 30700 Uzès, France","4.39476146155492,43.9834465834269,4.44480453844508,44.0193774165731","Située à Uzès, à seulement 36 km de la gare centrale d'Avignon, la Résidence La Bastide d'Uzes propose un barbecue, une terrasse et une connexion Wi-Fi gratuite. Situé à 31 km du parc des expositions de Nîmes, il dispose d'une piscine extérieure ouverte en saison et d'un parking privé gratuit.
Cette maison de vacances comprend 3 chambres, une télévision à écran plat, un lave-linge et 2 salles de bains pourvues d'une douche. Sa kitchenette est équipée d'un lave-vaisselle et d'un micro-ondes. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 38 km du palais des Papes et à 39 km de la gare TGV d'Avignon. L'aéroport le plus proche, celui de Nîmes-Garons, est situé à 36 km.
L'établissement Résidence La Bastide d'Uzes accueille des clients Booking.com depuis le 10 mai 2019."
Les Olives,https://www.booking.com/hotel/fr/les-olives.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArKby50GwAIB0gIkZjM1MmRkYTAtMjBlNC00OGFmLTk5ZGYtYzczMWY0OTNhMWMz2AIG4AIB&sid=2b1a1261f397318a8bafd67c14c0e75f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=1f42579fd4e201b4&srepoch=1672662463&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,6",76 expériences vécues,Uzès,"chemin de la Lavande, 30700 Uzès, France","4.40237290574842,43.977833826476,4.45241124902176,44.0137646596222","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Les Olives ! Connectez-vous pour économiser.
Situé à 31 km du parc des expositions de Nîmes, l'établissement Les Olives propose une piscine extérieure, un jardin et des hébergements climatisés avec une terrasse et une connexion Wi-Fi gratuite.
Tous les logements disposent d'une cuisine entièrement équipée avec machine à café, d'un salon avec télévision à écran plat et d'une salle de bains privative avec sèche-cheveux et douche. Un réfrigérateur, un four, un lave-vaisselle et une bouilloire sont également fournis.
Vous pourrez profiter d'un barbecue sur place et faire de la randonnée dans les environs.
Vous séjournerez à 35 km de la gare centrale d'Avignon et à 37 km du palais des Papes. L'aéroport le plus proche, celui de Nîmes-Garons, est situé à 35 km. Un service de navette aéroport peut être assuré moyennant des frais supplémentaires.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour à deux.
L'établissement Les Olives accueille des clients Booking.com depuis le 14 avr. 2016."
"Uzès Duché luxueux appartement, terrasse privée",https://www.booking.com/hotel/fr/uzes-duche-luxueux-appartement-terrasse-privee.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArKby50GwAIB0gIkZjM1MmRkYTAtMjBlNC00OGFmLTk5ZGYtYzczMWY0OTNhMWMz2AIG4AIB&sid=2b1a1261f397318a8bafd67c14c0e75f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=1f42579fd4e201b4&srepoch=1672662463&from=searchresults#hotelTmpl,10,1 expérience vécue,Uzès,"12 Rue Entre les Tours, 30700 Uzès, France","4.39497307807974,43.9945483834269,4.44502552192026,44.0304792165731","Situé à Uzès, à 32 km du parc des expositions de Nîmes et à 38 km de la gare centrale d'Avignon, l'Uzès Duché luxueux appartement, terrasse privée propose un hébergement climatisé avec un balcon et une connexion Wi-Fi gratuite. Il se trouve à 40 km du palais des papes et propose un service de concierge.
Cet appartement comprend une chambre, une télévision par satellite à écran plat, un lave-linge et une salle de bains pourvue d'une douche. Sa cuisine est équipée d'un micro-ondes et d'un lave-vaisselle. Les serviettes et le linge de lit sont fournis.
Vous pourrez profiter d'une terrasse sur place et faire de la randonnée dans les environs.
Vous séjournerez à 41 km de la gare TGV d'Avignon et à 48 km du parc des expositions d'Avignon. L'aéroport le plus proche, celui de Nîmes-Garons, est situé à 35 km. Un service de navette aéroport peut être assuré moyennant des frais supplémentaires.
L'établissement Uzès Duché luxueux appartement, terrasse privée accueille des clients Booking.com depuis le 29 oct. 2022.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Maison de Roche-Uzès Centre Historique L' Ucetia,https://www.booking.com/hotel/fr/maison-de-roche-uzes-centre-historique-l-ucetia.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArKby50GwAIB0gIkZjM1MmRkYTAtMjBlNC00OGFmLTk5ZGYtYzczMWY0OTNhMWMz2AIG4AIB&sid=2b1a1261f397318a8bafd67c14c0e75f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=1f42579fd4e201b4&srepoch=1672662463&from=searchresults#hotelTmpl,"9,3",37 expériences vécues,Uzès,"4 Rue Paul Foussat, 30700 Uzès, France","4.39489692208796,43.9932591834269,4.44494827791204,44.0291900165731","Dotée d'une terrasse et d'un restaurant, la Maison de Roche-Uzès Centre Historique L' Ucetia est située à Uzès, à 31 km du parc des expositions de Nîmes, à 38 km de la gare centrale d'Avignon et à 40 km du palais des papes. Vous profiterez d'une terrasse et d'une aire de jeux pour enfants.
Cet appartement comprend une chambre, une cuisine équipée d'un réfrigérateur et d'un four, une télévision à écran plat, un coin salon et une salle de bains pourvue d'une douche. Les serviettes et le linge de lit sont fournis.
Un service de location de voitures est assuré sur place.
Vous séjournerez à 40 km de la gare TGV d'Avignon et à 48 km du parc des expositions d'Avignon. L'aéroport de Nîmes-Garons, le plus proche, est implanté à 34 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement Maison de Roche-Uzès Centre Historique L' Ucetia accueille des clients Booking.com depuis le 13 nov. 2021."
Le Pré Aux Cigales,https://www.booking.com/hotel/fr/le-pre-aux-cigales.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArKby50GwAIB0gIkZjM1MmRkYTAtMjBlNC00OGFmLTk5ZGYtYzczMWY0OTNhMWMz2AIG4AIB&sid=2b1a1261f397318a8bafd67c14c0e75f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=1f42579fd4e201b4&srepoch=1672662463&from=searchresults#hotelTmpl,"9,7",36 expériences vécues,Uzès,"Le pré aux cigales 8 Rue du Docteur Gardes, 30700 Uzès, France","4.38484254021166,43.9974797292746,4.43489745822302,44.0334105624208","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Pré Aux Cigales ! Connectez-vous pour économiser.
Situé à Uzès, en Occitanie, l'établissement Le Pré Aux Cigales dispose d'un jardin. Cet hébergement climatisé se trouve à 31 km d'Alès. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking privé sur place.
Cette maison de vacances comprend une chambre, une télévision à écran plat, une cuisine équipée d'un lave-vaisselle et d'un micro-ondes, un lave-linge ainsi qu'une salle de bains pourvue d'une douche. Pour plus de commodité, l'établissement fournit gratuitement les serviettes et le linge de lit.
Vous pourrez profiter d'une terrasse.
Avignon se trouve à 41 km. Le Pré Aux Cigales se trouve à 24 km de Nîmes. L'aéroport de Nîmes-Garons, le plus proche, est implanté à 37 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement Le Pré Aux Cigales accueille des clients Booking.com depuis le 21 févr. 2017."
Bon Jour Uzès,https://www.booking.com/hotel/fr/bon-jour-uzes.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArKby50GwAIB0gIkZjM1MmRkYTAtMjBlNC00OGFmLTk5ZGYtYzczMWY0OTNhMWMz2AIG4AIB&sid=2b1a1261f397318a8bafd67c14c0e75f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=1f42579fd4e201b4&srepoch=1672662463&from=searchresults#hotelTmpl,"9,6",68 expériences vécues,Uzès,"2ème 2 Rue Pelisserie, 30700 Uzès, France","4.39409874620595,43.9942313870668,4.44415092251162,44.030162220213","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Bon Jour Uzès ! Connectez-vous pour économiser.
Doté d'une connexion Wi-Fi gratuite et offrant une vue sur la ville, le Bon Jour Uzès est un hébergement situé à Uzès. Cet appartement se trouve à 32 km du parc des expositions de Nîmes et à 38 km de la gare centrale d'Avignon.
Cet appartement climatisé comprend 2 chambres, un salon, une kitchenette entièrement équipée avec un réfrigérateur et une machine à café ainsi qu'une salle de bains avec un bidet et une douche. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 40 km du palais des Papes et à 41 km de la gare TGV d'Avignon. L'aéroport le plus proche, celui de Nîmes-Garons, est situé à 35 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,9 pour un séjour à deux.
L'établissement Bon Jour Uzès accueille des clients Booking.com depuis le 4 sept. 2020."
