name,link,review_score,review_count,area,address,coordinates_gps,description
Hotel La Fabrique,https://www.booking.com/hotel/fr/la-fabrique-la-rochelle.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqnny50GwAIB0gIkNTk1NjcxMjMtMDdkZS00NjkzLThiMGEtYTUzNWVhZDZiZDYx2AIG4AIB&sid=da91ac415f950a94402da7cbd46b313b&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=57d66a9ad9160276&srepoch=1672672181&from=searchresults#hotelTmpl,"8,4",2 164 expériences vécues,"Centre-ville de La Rochelle, La Rochelle","7-9-11 rue de la Fabrique, 17000 La Rochelle, France","-1.17456637300323,46.1381895834269,-1.12259962699683,46.1741204165731","La Rochelle - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hotel La Fabrique ! Connectez-vous pour économiser.
L'Hotel La Fabrique vous accueille à La Rochelle et vous propose un bar sur place.
Les chambres disposent d'une télévision à écran plat. L'Hôtel La Fabrique est muni d'une connexion Wi-Fi gratuite dans l'ensemble de ses locaux.
La réception est ouverte 24h/24. Vous trouverez un parking public payant à proximité.
L'espace Encan se situe à 600 mètres de l'Hotel La Fabrique, et le parc des expositions de La Rochelle vous attend à 700 mètres. L'aéroport le plus proche est celui de La Rochelle-Île de Ré, distant de 4 km.
C'est le quartier préféré des voyageurs visitant La Rochelle, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement Hotel La Fabrique accueille des clients Booking.com depuis le 18 juil. 2017."
Hôtel Le Rochelois,https://www.booking.com/hotel/fr/le-rochelois.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqnny50GwAIB0gIkNTk1NjcxMjMtMDdkZS00NjkzLThiMGEtYTUzNWVhZDZiZDYx2AIG4AIB&sid=da91ac415f950a94402da7cbd46b313b&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=57d66a9ad9160276&srepoch=1672672181&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,9",3 302 expériences vécues,La Rochelle,"66, boulevard Winston Churchill Port neuf, 17000 La Rochelle, France","-1.20841896149615,46.1362163308212,-1.15645407884038,46.1721471639674","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Le Rochelois ! Connectez-vous pour économiser.
L'Hôtel Le Rochelois possède une piscine extérieure ouverte en saison et un court de tennis. La connexion Wi-Fi est gratuite dans l'ensemble de l'établissement. Une piscine d'hydromassage, un sauna et un hammam sont également disponibles moyennant des frais supplémentaires.
Les chambres sont équipées d'une télévision à écran plat. Leur salle de bains privative est pourvue d'une douche à l'italienne ou d'une baignoire et de toilettes.
Le petit-déjeuner continental quotidien est composé de viennoiseries, de fromages, de fruits, d’œufs, de céréales, de confitures, de jambon, de miel et de thé.
L'Hôtel Le Rochelois se trouve à 5 km de la gare ferroviaire de La Rochelle. Un nombre limité de places de parking privées sont disponibles gratuitement sur place. Un parking privé souterrain est également accessible moyennant des frais supplémentaires.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,4 pour un séjour à deux.
L'établissement Hôtel Le Rochelois accueille des clients Booking.com depuis le 27 août 2013."
Maisons du Monde Hôtel & Suites - La Rochelle Vieux Port,https://www.booking.com/hotel/fr/inter-saint-jean-d-acre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqnny50GwAIB0gIkNTk1NjcxMjMtMDdkZS00NjkzLThiMGEtYTUzNWVhZDZiZDYx2AIG4AIB&sid=da91ac415f950a94402da7cbd46b313b&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=57d66a9ad9160276&srepoch=1672672181&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,4",1 940 expériences vécues,"Centre-ville de La Rochelle, La Rochelle","4, Place de La Chaîne et 3 rue Saint-Jean du Perot, 17000 La Rochelle, France","-1.18041822091694,46.1382276271833,-1.12845143898373,46.1741584603295","La Rochelle - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Maisons du Monde Hôtel & Suites - La Rochelle Vieux Port est situé au niveau du port de La Rochelle. Vous bénéficierez gratuitement d'une connexion Wi-Fi gratuite dans l’ensemble des locaux.
La Maisons du Monde Hôtel & Suites - La Rochelle Vieux Port est implantée à proximité de nombreux restaurants et à quelques minutes à pied du quartier historique, de la plage et des attractions de La Rochelle. Vous aurez facilement accès à l’île de Ré et à l’île d’Oléron.
Les chambres confortables comportent la climatisation, une salle de bains privative et une télévision à écran plat recevant les chaînes Canal+ et Eurosport.
Le petit-déjeuner est servi de 7h00 à 11h00 le samedi et le dimanche et de 6h00 à 10h30 du lundi au vendredi.
Des conditions différentes et des suppléments peuvent s’appliquer en cas de réservation de plus de 5 hébergements.
C'est le quartier préféré des voyageurs visitant La Rochelle, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement Maisons du Monde Hôtel & Suites - La Rochelle Vieux Port accueille des clients Booking.com depuis le 7 janv. 2010."
Hôtel La Monnaie Art & Spa,https://www.booking.com/hotel/fr/de-la-monnaie.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqnny50GwAIB0gIkNTk1NjcxMjMtMDdkZS00NjkzLThiMGEtYTUzNWVhZDZiZDYx2AIG4AIB&sid=da91ac415f950a94402da7cbd46b313b&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=57d66a9ad9160276&srepoch=1672672181&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,6",1 953 expériences vécues,"Centre-ville de La Rochelle, La Rochelle","3 Rue De La Monnaie, 17000 La Rochelle, France","-1.18409155704538,46.1383353883094,-1.13212467334707,46.1742662214556","La Rochelle - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel La Monnaie Art & Spa ! Connectez-vous pour économiser.
Idéalement situé dans le quartier historique de La Rochelle, l'Hôtel De La Monnaie Art & Spa est aménagé dans un édifice datant du XVIIe siècle qui surplombe le Vieux-Port. Orné d’œuvres d'art, il propose une terrasse et un centre de bien-être.
Offrant une vue sur la cour intérieure ou la vieille ville entourée de fortifications, toutes les chambres de l'Hôtel De La Monnaie disposent de la climatisation, d'une télévision, d'une connexion Wi-Fi gratuite, d'un plateau/bouilloire et d'une salle de bains privative.
Lors de votre séjour, vous pourrez prendre un verre au bar et déguster votre petit-déjeuner dans le charmant salon, dans la cour bien exposée ou dans l'intimité de votre chambre.
L'emplacement central de l'hôtel De La Monnaie vous permettra de flâner dans les rues piétonnes et de découvrir les nombreux restaurants locaux, ainsi que le marché de produits régionaux à proximité. Enfin, vous bénéficierez d'un parking privé moyennant des frais supplémentaires.
C'est le quartier préféré des voyageurs visitant La Rochelle, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement Hôtel La Monnaie Art & Spa accueille des clients Booking.com depuis le 4 déc. 2008."
Le Champlain,https://www.booking.com/hotel/fr/best-western-champlain-france-angleterre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqnny50GwAIB0gIkNTk1NjcxMjMtMDdkZS00NjkzLThiMGEtYTUzNWVhZDZiZDYx2AIG4AIB&sid=da91ac415f950a94402da7cbd46b313b&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=57d66a9ad9160276&srepoch=1672672181&from=searchresults#hotelTmpl,"8,7",1 037 expériences vécues,"Centre-ville de La Rochelle, La Rochelle","30, Rue Rambaud , 17000 La Rochelle, France","-1.18014678126824,46.1456106341597,-1.12817302578437,46.1815414673059","La Rochelle - séjournez au cœur de la ville – Excellent emplacement - voir la carte
L'hôtel Le Champlain est situé en face du parc Charruyer, au cœur de La Rochelle. Il propose des chambres spacieuses et climatisées avec télévision par câble à écran plat et connexion Wi-Fi gratuite.
Toutes les chambres sont desservies par un ascenseur.
Lors de votre séjour, vous pourrez profiter d'un service d'enregistrement rapide, d'une réception ouverte 24h/24, d'un jardin et d'un bar où vous trouverez une sélection de journaux internationaux.
Vous séjournerez à seulement 5 minutes du Vieux-Port.
C'est le quartier préféré des voyageurs visitant La Rochelle, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement Le Champlain accueille des clients Booking.com depuis le 21 avr. 2010."
Petite Roche,https://www.booking.com/hotel/fr/petite-roche.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqnny50GwAIB0gIkNTk1NjcxMjMtMDdkZS00NjkzLThiMGEtYTUzNWVhZDZiZDYx2AIG4AIB&sid=da91ac415f950a94402da7cbd46b313b&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=57d66a9ad9160276&srepoch=1672672181&from=searchresults#hotelTmpl,"8,8",82 expériences vécues,"Centre-ville de La Rochelle, La Rochelle","22 rue des Fonderies, 17000 La Rochelle, France","-1.17243693146913,46.1419133834269,-1.12046666853091,46.1778442165731","La Rochelle - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Petite Roche ! Connectez-vous pour économiser.
Dotée d'une terrasse et d'une connexion Wi-Fi gratuite, la Petite Roche est située dans le centre de La Rochelle, à proximité de la Concurrence, de la gare et de l'Espace Encan.
Tous les logements comprennent une cuisine équipée d'un réfrigérateur, un salon avec un canapé-lit et une télévision à écran plat ainsi qu'une salle de bains privative. Un four, un lave-vaisselle, un micro-ondes et une bouilloire sont également fournis.
Vous séjournerez à proximité du parc des expositions de La Rochelle, de la Grosse Horloge et du bunker. L'aéroport de La Rochelle-Île de Ré, le plus proche, est à 6 km.
C'est le quartier préféré des voyageurs visitant La Rochelle, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement Petite Roche accueille des clients Booking.com depuis le 3 août 2017."
LE MONTAIGNE,https://www.booking.com/hotel/fr/le-montaigne-la-rochelle.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqnny50GwAIB0gIkNTk1NjcxMjMtMDdkZS00NjkzLThiMGEtYTUzNWVhZDZiZDYx2AIG4AIB&sid=da91ac415f950a94402da7cbd46b313b&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=57d66a9ad9160276&srepoch=1672672181&from=searchresults#hotelTmpl,"8,7",23 expériences vécues,"Centre-ville de La Rochelle, La Rochelle","3 Rue Montaigne, 17000 La Rochelle, France","-1.1787612402981,46.1351550834269,-1.1267973597019,46.1710859165731","La Rochelle - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Doté d'une connexion Wi-Fi et d'un parking privé gratuits, l'établissement LE MONTAIGNE est situé à La Rochelle, à seulement 1,6 km de Concurrence. Cet appartement se trouve à 2,4 km des Minimes et à 1,6 km du parc des expositions de La Rochelle.
Cet appartement comprend une chambre, une télévision à écran plat, un coin salon et une salle de bains pourvue d'une douche. Sa kitchenette est équipée d'un lave-vaisselle et d'un micro-ondes. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à proximité de la plage du Roux, de l'Espace Encan et de la gare de La Rochelle. L'aéroport de La Rochelle-Île de Ré, le plus proche, est à 11 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement LE MONTAIGNE accueille des clients Booking.com depuis le 17 mars 2022.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Central Park Hôtel & Spa,https://www.booking.com/hotel/fr/central-park-amp-spa.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqnny50GwAIB0gIkNTk1NjcxMjMtMDdkZS00NjkzLThiMGEtYTUzNWVhZDZiZDYx2AIG4AIB&sid=da91ac415f950a94402da7cbd46b313b&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=57d66a9ad9160276&srepoch=1672672181&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,7",1 999 expériences vécues,La Rochelle,"4, avenue Jean Guiton, 17000 La Rochelle, France","-1.18680803014691,46.1409479087744,-1.13483867911513,46.1768787419206","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Central Park Hôtel & Spa ! Connectez-vous pour économiser.
Le Central Park Hôtel & Spa est un établissement 4 étoiles situé à La Rochelle, à côté du Vieux-Port, à quelques minutes à pied de la plage et à 10 minutes de marche du cœur de la ville. Un bar vous accueille sur place, de même qu'un centre de bien-être proposant une salle de sport, des jacuzzis, un sauna, un hammam, des massages et des soins de beauté moyennant des frais supplémentaires.
Dans cet hôtel moderne et cependant écologique, toutes les chambres possèdent une salle de bains privative avec des articles de toilette gratuits. Les suites comprennent un coin salon propice à la détente et certaines disposent d'une terrasse avec un jacuzzi. Chacune des chambres est équipée d'une télévision par satellite à écran plat.
Le matin, l'établissement sert un petit-déjeuner buffet incluant des produits bio d'origine locale. Vous séjournerez dans un quartier résidentiel, à seulement quelques pas de boutiques et de restaurants.
L'établissement possède une réception ouverte 24h/24 et un salon commun.
Le Central Park Hôtel & Spa se trouve à 600 mètres de la grosse cloche et à 1,7 km du parc des expositions de La Rochelle. L'aéroport de La Rochelle-Île de Ré est le plus proche, à 3 km de l'établissement.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,1 pour un séjour à deux.
L'établissement Central Park Hôtel & Spa accueille des clients Booking.com depuis le 15 juil. 2016."
Résidence Pierre & Vacances Centre,https://www.booking.com/hotel/fr/pierre-vacances-centre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqnny50GwAIB0gIkNTk1NjcxMjMtMDdkZS00NjkzLThiMGEtYTUzNWVhZDZiZDYx2AIG4AIB&sid=da91ac415f950a94402da7cbd46b313b&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=57d66a9ad9160276&srepoch=1672672181&from=searchresults#hotelTmpl,"7,2",1 133 expériences vécues,"Centre-ville de La Rochelle, La Rochelle","14, quai de Marans, 17000 La Rochelle, France","-1.17237541716656,46.1378040124355,-1.12040903527179,46.1737348455817","La Rochelle - séjournez au cœur de la ville – Très bon emplacement - voir la carte
La Résidence Pierre & Vacances Centre propose des hébergements à La Rochelle, à 5 minutes de marche du vieux port et à 300 mètres de la gare TGV. Elle possède une terrasse et une piscine intérieure chauffée.
Les studios du Pierre & Vacances Centre disposent d'un coin salon et d'une télévision à écran plat. Leur kitchenette est équipée d'un lave-vaisselle, d'un micro-ondes et d'une cafetière électrique.
Elle est desservie par un ascenseur et accessible aux personnes à mobilité réduite.
La Residence Pierre & Vacances Centre bénéficie d’un emplacement idéal pour partir à la découverte de La Rochelle. Vous pourrez également faire une excursion en bateau vers l’île de Ré et le fort Boyard. La plage est à seulement 15 minutes de marche de l’hôtel. Un parking est accessible sur réservation, sous réserve de disponibilité et moyennant des frais supplémentaires.
C'est le quartier préféré des voyageurs visitant La Rochelle, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,9 pour un séjour à deux.
L'établissement Résidence Pierre & Vacances Centre accueille des clients Booking.com depuis le 26 juil. 2005.
Chaîne hôtelière/marque: Pierre & Vacances Résidences"
ATHOME RESIDENCE ET SPA,https://www.booking.com/hotel/fr/athome-residence-et-spa.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqnny50GwAIB0gIkNTk1NjcxMjMtMDdkZS00NjkzLThiMGEtYTUzNWVhZDZiZDYx2AIG4AIB&sid=da91ac415f950a94402da7cbd46b313b&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=57d66a9ad9160276&srepoch=1672672181&from=searchresults#hotelTmpl,"8,2",2 716 expériences vécues,La Rochelle,"33 avenue du docteur planet, 17000 La Rochelle, France","-1.17837657698069,46.1280295834269,-1.12641942301931,46.1639604165731","Situé à La Rochelle, l'ATHOME RESIDENCE ET SPA propose une connexion Wi-Fi gratuite, un jardin, un salon commun et une terrasse.
Tous les logements comprennent une télévision par satellite à écran plat ainsi qu'une kitchenette entièrement équipée avec une table à manger. Leur salle de bains privative est pourvue d'une douche, d'articles de toilette gratuits et d'un sèche-cheveux. Un réfrigérateur, un micro-ondes, des plaques de cuisson, une machine à café et une bouilloire sont également disponibles.
Un petit-déjeuner buffet, continental et végétarien est servi chaque matin.
Vous séjournerez à proximité de la plage du Roux, des Minimes et de l'Espace Encan. L'aéroport de La Rochelle-Île de Ré, le plus proche, est à 8 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,5 pour un séjour à deux.
L'établissement ATHOME RESIDENCE ET SPA accueille des clients Booking.com depuis le 30 mars 2020."
