name,link,review_score,review_count,area
Beautiful villa with air conditioning large private swimming pool and near St Remy de Provence,https://www.booking.com/hotel/fr/bastide-provencale-eyragues.fr.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9leXJhZ3Vlc0gNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBA4gCAagCA7gC4czGnQbAAgHSAiQ0ZDJmYWE0ZS05MTc0LTQyMDctYmUwOS00MTNkYTVjMTNhMjjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=class&srpvid=5edc6cb00e63042a&srepoch=1672586867&from=searchresults#hotelTmpl,N/A,N/A,Eyragues
La case d'Eyragues au coeur des Alpilles,https://www.booking.com/hotel/fr/la-case-d-eyragues-au-coeur-des-alpilles.fr.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9leXJhZ3Vlc0gNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBA4gCAagCA7gC4czGnQbAAgHSAiQ0ZDJmYWE0ZS05MTc0LTQyMDctYmUwOS00MTNkYTVjMTNhMjjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=class&srpvid=5edc6cb00e63042a&srepoch=1672586867&from=searchresults#hotelTmpl,N/A,N/A,Eyragues
Villa de prestige 10 personnes à Eyragues,https://www.booking.com/hotel/fr/villa-de-prestige-10-personnes-a-eyragues.fr.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9leXJhZ3Vlc0gNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBA4gCAagCA7gC4czGnQbAAgHSAiQ0ZDJmYWE0ZS05MTc0LTQyMDctYmUwOS00MTNkYTVjMTNhMjjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=class&srpvid=5edc6cb00e63042a&srepoch=1672586867&from=searchresults#hotelTmpl,N/A,N/A,Eyragues
"Maison tendance avec jardin, centre village, Alpilles, familles",https://www.booking.com/hotel/fr/les-mazets-de-jules-2.fr.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9leXJhZ3Vlc0gNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBA4gCAagCA7gC4czGnQbAAgHSAiQ0ZDJmYWE0ZS05MTc0LTQyMDctYmUwOS00MTNkYTVjMTNhMjjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=class&srpvid=5edc6cb00e63042a&srepoch=1672586867&from=searchresults#hotelTmpl,"8,7",12 expériences vécues,Eyragues
Maison d'hôtes Le Pré Gourmand - Adults only,https://www.booking.com/hotel/fr/le-pre-gourmand-eyragues.fr.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9leXJhZ3Vlc0gNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBA4gCAagCA7gC4czGnQbAAgHSAiQ0ZDJmYWE0ZS05MTc0LTQyMDctYmUwOS00MTNkYTVjMTNhMjjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=class&srpvid=5edc6cb00e63042a&srepoch=1672586867&from=searchresults#hotelTmpl,"9,1",82 expériences vécues,Eyragues
Maison Beally,https://www.booking.com/hotel/fr/maison-beally.fr.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9leXJhZ3Vlc0gNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBA4gCAagCA7gC4czGnQbAAgHSAiQ0ZDJmYWE0ZS05MTc0LTQyMDctYmUwOS00MTNkYTVjMTNhMjjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=class&srpvid=5edc6cb00e63042a&srepoch=1672586867&from=searchresults#hotelTmpl,N/A,N/A,Eyragues
Modern holiday cottage with swimming pool and close to beautiful Saint Remy de Provence,https://www.booking.com/hotel/fr/mazet-provencale.fr.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9leXJhZ3Vlc0gNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBA4gCAagCA7gC4czGnQbAAgHSAiQ0ZDJmYWE0ZS05MTc0LTQyMDctYmUwOS00MTNkYTVjMTNhMjjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=class&srpvid=5edc6cb00e63042a&srepoch=1672586867&from=searchresults#hotelTmpl,N/A,N/A,Eyragues
"Maison tendance avec jardin, centre village, Alpilles, familles",https://www.booking.com/hotel/fr/maison-de-village-dans-les-alpilles-a-5-min-de-saint-remy-de-provence.fr.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9leXJhZ3Vlc0gNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBA4gCAagCA7gC4czGnQbAAgHSAiQ0ZDJmYWE0ZS05MTc0LTQyMDctYmUwOS00MTNkYTVjMTNhMjjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=class&srpvid=5edc6cb00e63042a&srepoch=1672586867&from=searchresults#hotelTmpl,"9,2",19 expériences vécues,Eyragues
Holiday Home Siflora,https://www.booking.com/hotel/fr/holiday-home-siflora.fr.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9leXJhZ3Vlc0gNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBA4gCAagCA7gC4czGnQbAAgHSAiQ0ZDJmYWE0ZS05MTc0LTQyMDctYmUwOS00MTNkYTVjMTNhMjjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=class&srpvid=5edc6cb00e63042a&srepoch=1672586867&from=searchresults#hotelTmpl,"9,3",3 expériences vécues,Eyragues
bel appartement 2 chambres au coeur du village,https://www.booking.com/hotel/fr/bel-appartement-2-chambres-au-coeur-du-village-eyragues.fr.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9leXJhZ3Vlc0gNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBA4gCAagCA7gC4czGnQbAAgHSAiQ0ZDJmYWE0ZS05MTc0LTQyMDctYmUwOS00MTNkYTVjMTNhMjjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=class&srpvid=5edc6cb00e63042a&srepoch=1672586867&from=searchresults#hotelTmpl,"9,8",13 expériences vécues,Eyragues
