name,link,review_score,review_count,area,address,coordinates_gps,description
Hotel & Spa REGENT PETITE FRANCE,https://www.booking.com/hotel/fr/regentpetitefrance.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4As7_x50GwAIB0gIkZmM2MTIxNTctNWU0OS00YmIzLTk4ZjctNWI5MmRhNmZmNjhk2AIG4AIB&sid=2557fd079da0c63f0c8333a1a8946445&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=class&srpvid=7a62996df6da016c&srepoch=1672609771&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,8",1 296 expériences vécues,"Centre de Strasbourg - Petite France - Cathédrale, Strasbourg","5 rue des Moulins, 67000 Strasbourg, France","7.71452753110677,48.5628358035666,7.76893974975794,48.5987666367128","Strasbourg - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hotel & Spa REGENT PETITE FRANCE ! Connectez-vous pour économiser.
L’Hotel & Spa REGENT PETITE FRANCE, installé dans le centre-ville de Strasbourg, au cœur du quartier de la Petite France, occupe un ancien moulin du XVIIe siècle et propose un restaurant sur place ainsi qu'un centre de bien-être doté d’un sauna et d’un hammam et dispensant des soins de massage. Vous profiterez d’une connexion Wi-Fi dans l’ensemble de ses locaux et d’un parking privé sur réservation.
Tous les hébergements de l’Hôtel Régent Petite France & Spa offrent une vue sur le quartier pittoresque de la Petite France, soit sur la rivière Ill, soit sur les maisons traditionnelles à colombages d’Alsace. Les chambres incluent également la climatisation, une salle de bains privative, une télévision par satellite et un minibar.
Vous aurez le choix entre un petit-déjeuner buffet ou continental servi respectivement dans le salon ou dans votre hébergement. Sur place, le bar à champagne propose plus de 20 types de champagne ainsi qu'un menu de plats avec des créations offrant un voyage culinaire à plusieurs horizons. La vue sur la Petite France contribue à voyager et à s'évader dans une atmosphère chaleureuse et intime.
L’Hôtel Régent Petite France & Spa est à 1 km de la gare de Strasbourg-Ville. Vous séjournerez à 10 minutes à pied de la cathédrale Notre-Dame de Strasbourg et du musée alsacien.
C'est le quartier préféré des voyageurs visitant Strasbourg, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,8 pour un séjour à deux.
L'établissement Hotel & Spa REGENT PETITE FRANCE accueille des clients Booking.com depuis le 30 août 2001."
Pavillon REGENT PETITE FRANCE,https://www.booking.com/hotel/fr/pavillon-regent-petite-france.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4As7_x50GwAIB0gIkZmM2MTIxNTctNWU0OS00YmIzLTk4ZjctNWI5MmRhNmZmNjhk2AIG4AIB&sid=2557fd079da0c63f0c8333a1a8946445&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=class&srpvid=7a62996df6da016c&srepoch=1672609771&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,0",574 expériences vécues,"Centre de Strasbourg - Petite France - Cathédrale, Strasbourg","6, rue des Moulins, 67000 Strasbourg, France","7.714341671968,48.5636259406686,7.76875474119218,48.5995567738147","Strasbourg - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Pavillon REGENT PETITE FRANCE ! Connectez-vous pour économiser.
Le Pavillon Régent Petite France est situé dans le cœur de Strasbourg. Vous bénéficierez gratuitement d'une connexion Wi-Fi. Les ponts couverts se trouvent à 3 minutes à pied.
Les chambres comprennent une salle de bains privative pourvue d'une douche et un plateau/bouilloire. Elles offrent en outre une vue sur le fleuve.
Le petit-déjeuner est servi chaque matin.
La gare de Strasbourg vous attend à 800 mètres. La cathédrale Notre-Dame se tient également à 800 mètres et le musée d'art moderne de Strasbourg est accessible en 8 minutes de marche. Enfin, comptez 17 km jusqu'à l'aéroport international de Strasbourg.
C'est le quartier préféré des voyageurs visitant Strasbourg, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,8 pour un séjour à deux.
L'établissement Pavillon REGENT PETITE FRANCE accueille des clients Booking.com depuis le 29 avr. 2015."
"Maison Rouge Strasbourg Hotel & Spa, Autograph Collection",https://www.booking.com/hotel/fr/maisonrouge.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4As7_x50GwAIB0gIkZmM2MTIxNTctNWU0OS00YmIzLTk4ZjctNWI5MmRhNmZmNjhk2AIG4AIB&sid=2557fd079da0c63f0c8333a1a8946445&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=class&srpvid=7a62996df6da016c&srepoch=1672609771&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,8",740 expériences vécues,"Centre de Strasbourg - Petite France - Cathédrale, Strasbourg","4, Rue des Francs Bourgeois, 67000 Strasbourg, France","7.71867539288205,48.5644057244579,7.77308930157024,48.6003365576041","Strasbourg - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Situé dans la zone piétonne près de la place Kléber, l’établissement historique Maison Rouge est agrémenté de vitraux d’époque. Ses logements sont décorés dans un style personnalisé. Une connexion Wi-Fi gratuite est disponible dans l’ensemble des locaux.
Les chambres du Maison Rouge sont accessibles aux personnes à mobilité réduite et comprennent un minibar ainsi qu’une télévision par satellite. Tous les hébergements sont desservis par l’ascenseur traditionnel de l’hôtel et possèdent une salle de bains privative pourvue d’une baignoire ou d’une douche.
Lors de votre séjour, vous pourrez lire la presse quotidienne et profiter d’une réception ouverte 24h/24. La ligne de tramway local, dont l’arrêt se trouve devant l’hôtel, dessert les sites historiques de Strasbourg, notamment la rue de la Mésange, accessible en 5 minutes.
C'est le quartier préféré des voyageurs visitant Strasbourg, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement Maison Rouge Strasbourg Hotel & Spa, Autograph Collection accueille des clients Booking.com depuis le 27 avr. 2004.
Chaîne hôtelière/marque: Autograph Collection"
Sofitel Strasbourg Grande Ile,https://www.booking.com/hotel/fr/sofitel-strasbourg.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4As7_x50GwAIB0gIkZmM2MTIxNTctNWU0OS00YmIzLTk4ZjctNWI5MmRhNmZmNjhk2AIG4AIB&sid=2557fd079da0c63f0c8333a1a8946445&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=class&srpvid=7a62996df6da016c&srepoch=1672609771&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,9",730 expériences vécues,"Centre de Strasbourg - Petite France - Cathédrale, Strasbourg","Place Saint Pierre Le Jeune, 67000 Strasbourg, France","7.71906883254879,48.5672211682656,7.77348577245838,48.6031520014118","Strasbourg - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Situé sur la Grande Île, le centre historique de Strasbourg, l'établissement luxueux Sofitel Strasbourg Grande Île propose des chambres dotées de lits Sofitel MyBed, d'une télévision à écran plat et d'une connexion Wi-Fi illimitée.
Vous pourrez déguster une cuisine française préparée avec des produits locaux et de saison accompagnée de vins fins dans le restaurant de l'hôtel. Le bar-salon Le Link vous servira une sélection de cocktails et de champagnes.
Les installations du Sofitel Strasbourg Grande Île comprennent une salle de sport et des salles de réunion.
Le Sofitel Grande Île vous attend à proximité de la gare, du quartier historique de La Petite France ainsi que des plus beaux monuments, musées et boutiques de la ville.
C'est le quartier préféré des voyageurs visitant Strasbourg, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement Sofitel Strasbourg Grande Ile accueille des clients Booking.com depuis le 12 juil. 2006.
Chaîne hôtelière/marque: Sofitel"
Citadines Eurometropole Strasbourg,https://www.booking.com/hotel/fr/citadines-eurometropole-strasbourg.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4As7_x50GwAIB0gIkZmM2MTIxNTctNWU0OS00YmIzLTk4ZjctNWI5MmRhNmZmNjhk2AIG4AIB&sid=2557fd079da0c63f0c8333a1a8946445&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=class&srpvid=7a62996df6da016c&srepoch=1672609771&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,6",4 372 expériences vécues,Strasbourg,"11 Allée de l’Euro, 67205 Strasbourg, France","7.67724237035128,48.5863087053773,7.73167987305691,48.6222395385235","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Citadines Eurometropole Strasbourg ! Connectez-vous pour économiser.
Situé à Strasbourg, à 3,6 km du Zénith, le Citadines Eurometropole Strasbourg dispose d'un restaurant ainsi que d'un centre de spa et de bien-être avec une piscine intérieure, une salle de sport et un sauna. Cet appart'hôtel met gratuitement à votre disposition une connexion Wi-Fi et un parking privé.
Les logements comprennent la climatisation, une télévision à écran plat ainsi qu'une salle de bains privative pourvue d'une douche, d'articles de toilette gratuits et d'un sèche-cheveux. Certains logements comprennent un coin salon et/ou un balcon.
Un petit-déjeuner buffet, à la carte et américain est servi chaque matin.
Le Citadines Eurometropole Strasbourg propose un hébergement 4 étoiles avec un hammam.
Vous pourrez profiter d'une terrasse bien exposée sur place et faire du vélo ou de la randonnée dans les environs.
Vous séjournerez à 5,4 km de l'église Saint-Paul et à 5,8 km de la cathédrale de Strasbourg. L'aéroport international de Strasbourg, le plus proche, est à 13 km.
L'établissement Citadines Eurometropole Strasbourg accueille des clients Booking.com depuis le 26 juil. 2021.
Chaîne hôtelière/marque: Citadines"
Cozy Appartement Halles Strasbourg,https://www.booking.com/hotel/fr/cozy-appartement-halles-strasbourg-strasbourg.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4As7_x50GwAIB0gIkZmM2MTIxNTctNWU0OS00YmIzLTk4ZjctNWI5MmRhNmZmNjhk2AIG4AIB&sid=2557fd079da0c63f0c8333a1a8946445&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=class&srpvid=7a62996df6da016c&srepoch=1672609771&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,8",6 expériences vécues,"Centre de Strasbourg - Petite France - Cathédrale, Strasbourg","3 Rue Clément, 67000 Strasbourg, France","7.71628896695089,48.5688242834269,7.77070763304911,48.6047551165731","Strasbourg - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Cozy Appartement Halles Strasbourg ! Connectez-vous pour économiser.
Situé dans le quartier de la Petite France, dans le centre-ville de Strasbourg, le Cozy Appartement Halles Strasbourg propose un hébergement doté d’un lave-linge et d’une connexion Wi-Fi gratuite à proximité de la cathédrale de Strasbourg. Cet appartement possède un balcon.
L’appartement comprend 2 chambres, une salle de bains, une télévision par satellite à écran plat, un coin repas, une cuisine entièrement équipée et une terrasse offrant une vue sur la ville. Les serviettes et le linge de lit sont fournis.
L’appartement se trouve à proximité de sites d’intérêt tels que l’église Saint-Paul, le jardin botanique de l’université de Strasbourg et le musée historique de la ville de Strasbourg. L'aéroport international de Strasbourg-Entzheim, le plus proche du Cozy Appartement Halles Strasbourg, est situé à 11 km.
C'est le quartier préféré des voyageurs visitant Strasbourg, selon les commentaires clients indépendants.
L'établissement Cozy Appartement Halles Strasbourg accueille des clients Booking.com depuis le 24 nov. 2022."
Avenue de La Paix - L'Exclusif,https://www.booking.com/hotel/fr/avenue-de-la-paix.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4As7_x50GwAIB0gIkZmM2MTIxNTctNWU0OS00YmIzLTk4ZjctNWI5MmRhNmZmNjhk2AIG4AIB&sid=2557fd079da0c63f0c8333a1a8946445&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=class&srpvid=7a62996df6da016c&srepoch=1672609771&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,2",80 expériences vécues,"Quartier Européen - Orangerie, Strasbourg","2 Avenue de la Paix, 67000 Strasbourg, France","7.72797658883431,48.5708265834269,7.78239741116569,48.6067574165731","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Avenue de La Paix - L'Exclusif ! Connectez-vous pour économiser.
Situé à Strasbourg, à 500 mètres de l'église Saint-Paul et à 1 km de la cathédrale, L'Avenue de La Paix - L'Exclusif propose des hébergements avec une connexion Wi-Fi gratuite, la climatisation, un jardin et une terrasse. Cet appartement 4 étoiles offre une vue sur la ville et se trouve à 1,2 km du jardin botanique de l'Université de Strasbourg.
Doté d'une console de jeux, l'appartement dispose d'une cuisine avec un réfrigérateur, un four et un lave-vaisselle, d'un salon avec des coins salon et repas, de 3 chambres ainsi que d'une salle de bains avec une douche et un jacuzzi. Les serviettes et le linge de lit sont fournis.
Le personnel de la réception ouverte 24h/24 parle français et anglais.
Vous pourrez pratiquer le ski, la pêche et la plongée avec tuba dans les environs. Un point de vente de forfaits de ski est à votre disposition sur place.
Vous séjournerez à proximité du parc des expositions, du Parlement européen et du musée d'histoire de Strasbourg. L'aéroport international de Strasbourg, le plus proche, est à 13 km.
L'établissement Avenue de La Paix - L'Exclusif accueille des clients Booking.com depuis le 27 févr. 2018."
Hôtel Tandem - Boutique Hôtel,https://www.booking.com/hotel/fr/ha-tel-nid-de-cigognes.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4As7_x50GwAIB0gIkZmM2MTIxNTctNWU0OS00YmIzLTk4ZjctNWI5MmRhNmZmNjhk2AIG4AIB&sid=2557fd079da0c63f0c8333a1a8946445&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=class&srpvid=7a62996df6da016c&srepoch=1672609771&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,0",2 742 expériences vécues,"Gare de Strasbourg, Strasbourg","2 place de la Gare, 67000 Strasbourg, France","7.70774124967496,48.5658709103912,7.76215673578342,48.6018017435374","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Tandem - Boutique Hôtel ! Connectez-vous pour économiser.
Ce boutique hôtel respectueux de l’environnement vous accueille en face de la gare TGV de Strasbourg, à seulement 1,7 km du centre-ville et à 5 minutes à pied du quartier pittoresque de la Petite France. Vous rejoindrez le Parlement européen en 10 minutes en tramway, et une connexion Wi-Fi est disponible gratuitement dans l’ensemble de l'établissement.
Les chambres climatisées de l'Hôtel Tandem - Boutique Hôtel comprennent une télévision, un bureau et une salle de bains privative avec douche.
Un petit-déjeuner buffet est servi chaque matin à l'Hôtel Tandem - Boutique Hôtel. Il est composé uniquement de produits faits maison, biologiques et locaux, avec une sélection de mets chauds et froids. Vous pourrez prendre un verre au bar ou vous détendre dans le patio intérieur.
L’établissement propose une sélection de vins entièrement biodynamiques.
Sur place, vous disposerez de plusieurs espaces de travail, d’un salon et d’une bibliothèque.
L'Hôtel Tandem propose également un service de location de vélos et de tandems, ainsi qu'un local à vélos sécurisé sur place. Un parking public est accessible à proximité, moyennant des frais supplémentaires.
C'est le quartier préféré des voyageurs visitant Strasbourg, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Hôtel Tandem - Boutique Hôtel accueille des clients Booking.com depuis le 16 sept. 2011."
HANNONG Hotel & Wine Bar,https://www.booking.com/hotel/fr/tihannong.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4As7_x50GwAIB0gIkZmM2MTIxNTctNWU0OS00YmIzLTk4ZjctNWI5MmRhNmZmNjhk2AIG4AIB&sid=2557fd079da0c63f0c8333a1a8946445&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=class&srpvid=7a62996df6da016c&srepoch=1672609771&from=searchresults#hotelTmpl,"8,6",3 322 expériences vécues,"Centre de Strasbourg - Petite France - Cathédrale, Strasbourg","15, rue du 22 Novembre, 67000 Strasbourg, France","7.71592120602321,48.5648306904186,7.77033557221699,48.6007615235648","Strasbourg - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement HANNONG Hotel & Wine Bar ! Connectez-vous pour économiser.
L'Hôtel Hannong est situé au cœur de Strasbourg, à seulement 5 minutes de marche de la gare TGV, de la cathédrale et du quartier de la Petite France. Vous pourrez profiter gratuitement d'une connexion Wi-Fi.
Les chambres du Hannong sont climatisées et insonorisées. Revêtues de parquet, elles sont dotées d'un mobilier de style européen, d'une télévision par satellite et d'une salle de bains privative avec baignoire ou douche.
Un petit-déjeuner buffet comprenant des boissons chaudes, des viennoiseries et du pain fait maison, des produits locaux, des confitures ainsi que des jus de fruits est servi tous les matins dans la salle prévue à cet effet. Vous pourrez prendre un verre au bar à vin dans le salon au plafond de verre ou sur la grande terrasse.
L'Hôtel Hannong se trouve à seulement 100 mètres de la station de tramway principale, celle de la Place de l'Homme de Fer. Enfin, la gare de Strasbourg est accessible en 9 minutes à pied.
C'est le quartier préféré des voyageurs visitant Strasbourg, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement HANNONG Hotel & Wine Bar accueille des clients Booking.com depuis le 19 févr. 2001."
Carpe Diem Home - Au pied de la Cathédrale,https://www.booking.com/hotel/fr/carpe-diem-home.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4As7_x50GwAIB0gIkZmM2MTIxNTctNWU0OS00YmIzLTk4ZjctNWI5MmRhNmZmNjhk2AIG4AIB&sid=2557fd079da0c63f0c8333a1a8946445&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=class&srpvid=7a62996df6da016c&srepoch=1672609771&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,5",557 expériences vécues,"Centre de Strasbourg - Petite France - Cathédrale, Strasbourg","28, rue des Orfèvres, 67000 Strasbourg, France","7.72195420398447,48.5641115834269,7.77636779601553,48.6000424165731","Strasbourg - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Carpe Diem Home - Au pied de la Cathédrale ! Connectez-vous pour économiser.
Proposant des hébergements avec une cuisine, le Carpe Diem Home est installé à 1 minute à pied de la cathédrale de Strasbourg et à 700 mètres du quartier de la Petite France. Vous profiterez d’une connexion Wi-Fi gratuite.
Situés à un étage supérieur et accessibles par des escaliers, tous les logements possèdent un lave-vaisselle, un four, une machine à café, un micro-ondes et une bouilloire.
Vous rejoindrez le Parlement européen en 15 minutes de route, le musée alsacien à 450 mètres et l’aéroport international de Strasbourg-Entzheim à 12 km.
C'est le quartier préféré des voyageurs visitant Strasbourg, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 10 pour un séjour à deux.
L'établissement Carpe Diem Home - Au pied de la Cathédrale accueille des clients Booking.com depuis le 29 janv. 2018."
