name,link,review_score,review_count,area,address,coordinates_gps,description
MeandYou Hammametspa,https://www.booking.com/hotel/fr/4-rue-de-thann.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AouNyJ0GwAIB0gIkZThhZDcyNTAtNmEyNC00M2Y2LWE2NzgtNTIxNDgxYjdhMzY42AIG4AIB&sid=6de1172ace7d05cc996f0b951fdb9004&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=class&srpvid=ca849ccb5d6901b0&srepoch=1672611497&from=searchresults#hotelTmpl,"9,2",179 expériences vécues,"Centre-ville de Colmar, Colmar","4 Rue de Thann, 68000 Colmar, France","7.3360671448877,48.0627533834699,7.3899483551123,48.0986842166161","Colmar - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement MeandYou Hammametspa ! Connectez-vous pour économiser.
Le MeandYou Hammametspa est un établissement 5 étoiles idéalement situé dans le centre de Colmar, à seulement 1 km de la Maison des Têtes. Cet appartement 5 étoiles se trouve à 700 mètres de la collégiale Saint-Martin.
Cet appartement climatisé comprend une chambre, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi qu'une salle de bains pourvue d'une douche et d'un jacuzzi. Les serviettes et le linge de lit sont fournis.
Cet appartement 5 étoiles possède un jacuzzi, un hammam et un spa.
Le MeandYou Hammametspa se trouve à 1,8 km de la gare de Colmar et à 3 km du parc des expositions Colmar Expo. L'aéroport de Bâle-Mulhouse-Fribourg, le plus proche, est implanté à 56 km.
C'est le quartier préféré des voyageurs visitant Colmar, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,0 pour un séjour à deux.
L'établissement MeandYou Hammametspa accueille des clients Booking.com depuis le 18 févr. 2019."
Subtil insolite,https://www.booking.com/hotel/fr/subtil-insolite-colmar.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AouNyJ0GwAIB0gIkZThhZDcyNTAtNmEyNC00M2Y2LWE2NzgtNTIxNDgxYjdhMzY42AIG4AIB&sid=6de1172ace7d05cc996f0b951fdb9004&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=class&srpvid=ca849ccb5d6901b0&srepoch=1672611497&from=searchresults#hotelTmpl,"8,7",31 expériences vécues,"Centre-ville de Colmar, Colmar","9, route de Bâle, 68000 Colmar, France","7.33421559242562,48.0538497520812,7.38808747935171,48.0897805852274","Colmar - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Subtil insolite ! Connectez-vous pour économiser.
Situé dans un quartier central de Colmar, à proximité de la gare et de la Maison des Têtes, le Subtil insolite propose une connexion Wi-Fi gratuite, la climatisation et des équipements ménagers tels qu'un lave-vaisselle et une bouilloire. Dotée d'un parking privé, elle se trouve à 600 mètres de la collégiale Saint-Martin.
La villa comprend 4 chambres, 2 salles de bains, du linge de lit, des serviettes, une télévision à écran plat, un coin repas, une cuisine entièrement équipée et une terrasse avec vue sur le jardin. Pour plus de commodité, l'établissement peut fournir des serviettes et du linge de lit moyennant des frais supplémentaires.
Après une journée de randonnée, de ski ou de vélo, vous pourrez vous détendre dans le jardin ou le coin salon commun.
Le Subtil insolite se trouve à 3,9 km du parc des expositions Colmar Expo et à 31 km du château du Haut Koenigsbourg. L'aéroport de Bâle-Mulhouse-Fribourg, le plus proche, est implanté à 56 km.
C'est le quartier préféré des voyageurs visitant Colmar, selon les commentaires clients indépendants.
L'établissement Subtil insolite accueille des clients Booking.com depuis le 19 juil. 2018."
Relais & Châteaux La Maison Des Têtes,https://www.booking.com/hotel/fr/la-maison-des-tetes.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AouNyJ0GwAIB0gIkZThhZDcyNTAtNmEyNC00M2Y2LWE2NzgtNTIxNDgxYjdhMzY42AIG4AIB&sid=6de1172ace7d05cc996f0b951fdb9004&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=class&srpvid=ca849ccb5d6901b0&srepoch=1672611497&from=searchresults#hotelTmpl,"8,9",359 expériences vécues,"Centre-ville de Colmar, Colmar","19 Rue des Têtes, 68000 Colmar, France","7.32858756503062,48.0606300770321,7.38246655145689,48.0965609101783","Colmar - séjournez au cœur de la ville – Excellent emplacement - voir la carte
L'établissement La Maison Des Têtes se trouve dans la ville alsacienne historique de Colmar. Il dispose de chambres spacieuses et climatisées dotées d'une télévision, d'une salle de bains privative, ainsi que d'une connexion Wi-Fi gratuite.
Ce bâtiment classique du XVIIe siècle à Colmar possède un restaurant servant une cuisine traditionnelle et des spécialités régionales.
Lors de votre séjour à la Maison Des Têtes, vous pourrez vous détendre sur la terrasse ombragée de l'hôtel et profiter d'un verre dans le salon.
Le musée Unterlinden se trouve à 400 mètres de l'établissement, tandis que le marché de Noël de Colmar - Place Jeanne d'Arc est accessible à 550 mètres.
C'est le quartier préféré des voyageurs visitant Colmar, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement Relais & Châteaux La Maison Des Têtes accueille des clients Booking.com depuis le 8 juin 2010.
Chaîne hôtelière/marque: Relais & Châteaux"
Suites Residences Spa,https://www.booking.com/hotel/fr/suites-residences-spa.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AouNyJ0GwAIB0gIkZThhZDcyNTAtNmEyNC00M2Y2LWE2NzgtNTIxNDgxYjdhMzY42AIG4AIB&sid=6de1172ace7d05cc996f0b951fdb9004&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=class&srpvid=ca849ccb5d6901b0&srepoch=1672611497&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,4",1 750 expériences vécues,"Centre-ville de Colmar, Colmar","27 Rue Kleber, 68000 Colmar, France","7.32756853689074,48.0610364984504,7.38144794895362,48.0969673315966","Colmar - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Suites Residences Spa ! Connectez-vous pour économiser.
Situé à 200 mètres de la Maison des Têtes, le Suites Residences Spa propose un service de prêt de vélos, un spa et centre de bien-être ainsi qu'une réception ouverte 24h/24. La connexion Wi-Fi est gratuite.
Offrant une vue sur la ville, l'appartement dispose d'une terrasse, d'un coin salon, d'une télévision par satellite à écran plat, d'une cuisine entièrement équipée avec un micro-ondes et un réfrigérateur, ainsi que d'une salle de bains privative avec une douche et un sèche-cheveux. Un four, des plaques de cuisson, un grille-pain, une bouilloire et une machine à café sont également fournis.
Le Suites Residences Spa sert un petit-déjeuner continental.
Cet établissement 5 étoiles possède un jacuzzi et une terrasse.
Vous pourrez pratiquer la randonnée et le ski dans les environs. Le Suites Residences Spa assure un service de location de voitures.
Vous séjournerez à 600 mètres de la collégiale Saint-Martin et à 1 km de la gare de Colmar. L'aéroport le plus proche, celui de Bâle-Mulhouse-Fribourg, est situé à 55 km. Un service de navette aéroport peut être assuré moyennant des frais supplémentaires.
C'est le quartier préféré des voyageurs visitant Colmar, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.
L'établissement Suites Residences Spa accueille des clients Booking.com depuis le 26 juin 2017."
L'Esquisse Hotel & Spa Colmar - Mgallery,https://www.booking.com/hotel/fr/colmar-champ-de-mars.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AouNyJ0GwAIB0gIkZThhZDcyNTAtNmEyNC00M2Y2LWE2NzgtNTIxNDgxYjdhMzY42AIG4AIB&sid=6de1172ace7d05cc996f0b951fdb9004&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=class&srpvid=ca849ccb5d6901b0&srepoch=1672611497&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,1",834 expériences vécues,"Centre-ville de Colmar, Colmar","2 Avenue De La Marne, 68000 Colmar, France","7.32659431528461,48.0574917199698,7.38047001529324,48.093422553116","Colmar - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous avez trouvé votre station balnéaire à Colmar : L'Esquisse Hotel & Spa Colmar - Mgallery est un hôtel 5 étoiles situé au cœur du centre historique. Situé dans le paradis verdoyant du Champ de Mars, cet établissement vous propose une expérience unique et précieuse.
Ce boutique hôtel vous promet un séjour chaleureux et luxueux avec 62 chambres et suites dotées d'un confort inégalé, le spa de Clarins et une expérience gastronomique au restaurant JY.
Cet hôtel urbain contemporain à l'élégance authentique est une véritable célébration de l'art de vivre à la française.
C'est le quartier préféré des voyageurs visitant Colmar, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement L'Esquisse Hotel & Spa Colmar - Mgallery accueille des clients Booking.com depuis le 1 juil. 2008.
Chaîne hôtelière/marque: MGallery"
Grand studio Colmar Centre,https://www.booking.com/hotel/fr/grand-studio-colmar.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AouNyJ0GwAIB0gIkZThhZDcyNTAtNmEyNC00M2Y2LWE2NzgtNTIxNDgxYjdhMzY42AIG4AIB&sid=6de1172ace7d05cc996f0b951fdb9004&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=class&srpvid=ca849ccb5d6901b0&srepoch=1672611497&from=searchresults#hotelTmpl,"9,3",74 expériences vécues,"Centre-ville de Colmar, Colmar","10 Rue De La Porte Neuve, 68000 Colmar, France","7.32857362572535,48.0583020834269,7.38245017427467,48.0942329165731","Colmar - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Le Grand studio Colmar Centre est un établissement 4 étoiles idéalement situé dans le centre de Colmar, à seulement 300 mètres de la Maison des Têtes. Cet appartement 4 étoiles se trouve à moins de 1 km de la gare de Colmar.
Cet appartement comprend une chambre, une télévision par satellite à écran plat, une cuisine équipée avec un réfrigérateur et un four, ainsi qu'une salle de bains pourvue d'une douche. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 300 mètres de la collégiale Saint-Martin et à 4,2 km du parc des expositions Colmar Expo. L'aéroport le plus proche, celui de Bâle-Mulhouse-Fribourg, est situé à 55 km.
C'est le quartier préféré des voyageurs visitant Colmar, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement Grand studio Colmar Centre accueille des clients Booking.com depuis le 14 sept. 2015."
Le rohan sawadee,https://www.booking.com/hotel/fr/le-rohan-sawadee.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AouNyJ0GwAIB0gIkZThhZDcyNTAtNmEyNC00M2Y2LWE2NzgtNTIxNDgxYjdhMzY42AIG4AIB&sid=6de1172ace7d05cc996f0b951fdb9004&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=class&srpvid=ca849ccb5d6901b0&srepoch=1672611497&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,5",134 expériences vécues,"Centre-ville de Colmar, Colmar","3 éme étage 3a Boulevard du Champ de Mars, 68000 Colmar, France","7.32787578718244,48.0595944754119,7.38175368908756,48.0955253085581","Colmar - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Le rohan sawadee bénéficie d'un emplacement idéal dans le centre de Colmar et dispose d'une terrasse. Vous bénéficierez d'une connexion Wi-Fi gratuite et d'une terrasse.
Offrant une vue sur la ville, cet appartement dispose d'un balcon, de 2 chambres, d'un salon, d'une télévision à écran plat, d'une cuisine équipée avec un réfrigérateur et un four, ainsi que d'une salle de bains pourvue d'une douche. Les serviettes et le linge de lit sont fournis.
Vous pourrez profiter d'un jacuzzi sur place.
Vous séjournerez à proximité de la Maison des Têtes, de la gare de Colmar et de la collégiale Saint-Martin. L'aéroport de Bâle-Mulhouse-Fribourg, le plus proche, est implanté à 55 km.
C'est le quartier préféré des voyageurs visitant Colmar, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,9 pour un séjour à deux.
L'établissement Le rohan sawadee accueille des clients Booking.com depuis le 27 nov. 2019."
Odalys City Colmar La Rose d'Argent,https://www.booking.com/hotel/fr/appart-39-odalys-la-rose-d-39-argent.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AouNyJ0GwAIB0gIkZThhZDcyNTAtNmEyNC00M2Y2LWE2NzgtNTIxNDgxYjdhMzY42AIG4AIB&sid=6de1172ace7d05cc996f0b951fdb9004&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=class&srpvid=ca849ccb5d6901b0&srepoch=1672611497&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,8",4 686 expériences vécues,Colmar,"2 RUE DU GRILLENBREIT, 68000 Colmar, France","7.33820873283492,48.0609501648334,7.39208805448163,48.0968809979796","Situé à Colmar, à seulement 1,6 km de la gare, l'Odalys City Colmar La Rose d'Argent propose une salle de sport et une piscine à contre-courant avec jets de massage. Il se trouve à 700 mètres de la collégiale Saint-Martin et à 1 km de la Maison des Têtes.
Cet hébergement comprend un coin salon, une télévision à écran plat, une armoire ainsi qu'une salle de bains privative avec une baignoire ou une douche. La kitchenette est équipée de plaques de cuisson, d'un micro-ondes et d'un réfrigérateur.
Un petit-déjeuner est servi chaque matin à l'Odalys City Colmar La Rose d'Argent et les enfants peuvent en profiter à un tarif réduit. De nombreux restaurants sont également accessibles à quelques pas de l'Appart'hôtel Odalys La Rose d'Argent.
Une connexion Wi-Fi est disponible gratuitement dans l'ensemble des locaux. Vous pourrez profiter du parking privé sur réservation préalable. Le parc des expositions de Colmar se trouve à 3,3 km. L'aéroport international de Bâle-Mulhouse-Fribourg est accessible à 54 km.
C'est le quartier préféré des voyageurs visitant Colmar, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour à deux.
L'établissement Odalys City Colmar La Rose d'Argent accueille des clients Booking.com depuis le 14 janv. 2015.
Chaîne hôtelière/marque: Odalys City/Campus"
Hotel L'Europe,https://www.booking.com/hotel/fr/l-europe.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AouNyJ0GwAIB0gIkZThhZDcyNTAtNmEyNC00M2Y2LWE2NzgtNTIxNDgxYjdhMzY42AIG4AIB&sid=6de1172ace7d05cc996f0b951fdb9004&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=class&srpvid=ca849ccb5d6901b0&srepoch=1672611497&from=searchresults#hotelTmpl,"8,1",2 739 expériences vécues,Colmar,"15 route de Neuf Brisach - Horbourg Wihr, 68180 Colmar, France","7.37693309831155,48.0592408008253,7.43081062984931,48.0951716339715","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hotel L'Europe ! Connectez-vous pour économiser.
Situé dans le Grand Est, l’Hotel L’Europe est installé à seulement 4 km du centre-ville de Colmar.
L'Hotel L'Europe vous propose des chambres climatisées dotées d'une connexion Wi-Fi gratuite et d'une télévision à écran plat diffusant des chaînes internationales. Certains logements comportent également un minibar.
Le restaurant Le Comptoir d'Henri vous servira une cuisine traditionnelle française préparée avec des produits frais du marché. Lors de votre séjour à l’hôtel, vous pourrez profiter du restaurant sur place ouvert tous les soirs, sauf le dimanche. Le bar est ouvert de 16h00 à minuit.
L’Hotel L’Europe se trouve à 15 minutes en voiture de la gare de Colmar et à 3 km des autoroutes A35 et E25. Un parking public est disponible gratuitement.
L'établissement Hotel L'Europe accueille des clients Booking.com depuis le 10 nov. 2009."
Le 1615 - Luxe et Spa,https://www.booking.com/hotel/fr/le-1615.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AouNyJ0GwAIB0gIkZThhZDcyNTAtNmEyNC00M2Y2LWE2NzgtNTIxNDgxYjdhMzY42AIG4AIB&sid=6de1172ace7d05cc996f0b951fdb9004&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=class&srpvid=ca849ccb5d6901b0&srepoch=1672611497&from=searchresults#hotelTmpl,"8,7",132 expériences vécues,"Centre-ville de Colmar, Colmar","50 Grand Rue, 68000 Colmar, France","7.33188621813358,48.0583165834269,7.38576278186636,48.0942474165731","Colmar - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le 1615 - Luxe et Spa ! Connectez-vous pour économiser.
Le 1615 - Luxe et Spa propose une connexion Wi-Fi gratuite dans l'ensemble de ses locaux. Il vous accueille à Colmar, à quelques pas de la collégiale Saint-Martin.
Les chambres comprennent une télévision à écran plat. Certaines présentent un coin salon, pour votre plus grand confort. Toutes sont dotées d'une machine à café. La salle de bains privative est pourvue d'une baignoire spa, ainsi que d'un sèche-cheveux et d'articles de toilette gratuits.
La Maison des Têtes se trouve à 300 mètres de l'établissement Le 1615 - Luxe et Spa. Vous rejoindrez le parc des expositions de Colmar à 2,8 km. L'aéroport de Bâle-Mulhouse-Fribourg, le plus proche, est implanté à 55 km.
C'est le quartier préféré des voyageurs visitant Colmar, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,8 pour un séjour à deux.
L'établissement Le 1615 - Luxe et Spa accueille des clients Booking.com depuis le 25 juin 2017."
