name,link,review_score,review_count,area,address,coordinates_gps,description
James Vignoble Hôtel - Eguisheim,https://www.booking.com/hotel/fr/saint-hubert-eguisheim.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AumTyJ0GwAIB0gIkZmI3NDc5MjMtMDE1OC00OGQ4LTk2ZjktYTdiZjJlNTEzZmM22AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=class&srpvid=661c9e7ad28d0239&srepoch=1672612358&from=searchresults#hotelTmpl,"8,6",1 240 expériences vécues,Eguisheim,"6 rue des 3 Pierres, 68420 Eguisheim, France","7.2746565490926,48.0269973576635,7.32850034535282,48.0629281908097","Vous pouvez bénéficier d'une réduction Genius dans l'établissement James Vignoble Hôtel - Eguisheim ! Connectez-vous pour économiser.
Le James Vignoble Hôtel - Eguisheim vous accueille en plein cœur du vignoble d'Eguisheim. Il offre une vue spectaculaire sur la Forêt-Noire.
L'établissement est équipé de deux piscines dont une extérieure chauffée à 29°C (Fermée en hiver, ouverte selon les conditions climatiques et les saisons). L’espace détente est ouvert et dispose d'une piscine couverte chauffée à 29°C. Il comprend également un bain à remous et un sauna panoramique. L'accès est gratuit pour les clients de l'hôtel. Des peignoirs, des serviettes et des tongs sont proposés à la réception, moyennant des frais supplémentaires.
Les 31 chambres meublées sont pourvues d’une salle de bains privative. Chaque chambre est équipée d'une télévision, d'un téléphone, de la climatisation et d'un minibar.
Un petit-déjeuner buffet, composé de mets sucrés et salés, est servi tous les matins. Le petit-déjeuner doit être réservé à l’arrivée. La connexion Wi-Fi est gratuite dans l’ensemble des locaux.
Le stationnement est payant sur place. Vous trouverez plusieurs restaurants à moins de 5 minutes de marche. Le marché de Noël d’Eguisheim se trouve à 500 mètres.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.
L'établissement James Vignoble Hôtel - Eguisheim accueille des clients Booking.com depuis le 20 juil. 2009."
Résidence Pierre & Vacances Le Clos d'Eguisheim,https://www.booking.com/hotel/fr/residence-pierre-et-vacances-le-clos-d-eguisheim.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AumTyJ0GwAIB0gIkZmI3NDc5MjMtMDE1OC00OGQ4LTk2ZjktYTdiZjJlNTEzZmM22AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=class&srpvid=661c9e7ad28d0239&srepoch=1672612358&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,0",625 expériences vécues,Eguisheim,"Route De Wettolsheim, 68420 Eguisheim, France","7.28493272863625,48.0270619191034,7.33877659238578,48.0629927522496","La Résidence Pierre & Vacances Le Clos d’Eguisheim est située à 700 mètres du centre du village d’Eguisheim en Alsace, le long de la route des vins. La résidence propose une piscine intérieure chauffée et des appartements entièrement équipés.
Dotés d’une terrasse ou d’une loggia pourvue de mobilier de jardin, les appartements entièrement meublés comprennent tous une pièce à vivre séparée, ainsi qu’une salle de bains privative. Leur cuisine est équipée de plaques de cuisson vitrocéramique, d’un réfrigérateur et d’une cafetière. Une connexion Wi-Fi est disponible moyennant des frais supplémentaires. Un service de boulangerie est assuré moyennant des frais supplémentaires.
La Résidence Pierre & Vacances donne sur la colline des Trois-Châteaux. L’établissement se trouve à seulement 6,5 km du centre-ville de Colmar et à 30 km de la frontière allemande. Le parking est gratuit et un service de prêt de livres ou de jeux de société est assuré.
L’établissement est détenteur du label Clé Verte.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour à deux.
L'établissement Résidence Pierre & Vacances Le Clos d'Eguisheim accueille des clients Booking.com depuis le 2 oct. 2007.
Chaîne hôtelière/marque: Pierre & Vacances Résidences"
Gite Edelweiss à Eguisheim,https://www.booking.com/hotel/fr/appartement-edelweiss-eguisheim.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AumTyJ0GwAIB0gIkZmI3NDc5MjMtMDE1OC00OGQ4LTk2ZjktYTdiZjJlNTEzZmM22AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=class&srpvid=661c9e7ad28d0239&srepoch=1672612358&from=searchresults#hotelTmpl,"9,4",8 expériences vécues,Eguisheim,"36 Grand'rue, 68420 Eguisheim, France","7.27830092790982,48.0252700214033,7.33214291858694,48.0612008545495","Le Gite Edelweiss à Eguisheim propose un hébergement avec connexion Wi-Fi gratuite à Eguisheim, à 5,8 km de la gare de Colmar, à 6,6 km de la Maison des Têtes et à 7,1 km de la collégiale Saint-Martin. Vous pourrez pratiquer diverses activités dans les environs, telles que la randonnée, le vélo et le ping-pong.
Cet appartement comprend 3 chambres, une salle de bains, du linge de lit, des serviettes, une télévision par câble à écran plat, un coin repas, une cuisine entièrement équipée et une terrasse avec vue sur la ville.
Vous séjournerez à 10 km du parc des expositions Colmar Expo et à 35 km du château du Haut Koenigsbourg. L'aéroport de Bâle, le plus proche, est implanté à 56 km.
L'établissement Gite Edelweiss à Eguisheim accueille des clients Booking.com depuis le 25 avr. 2017.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
GITE LE COQ ROUGE,https://www.booking.com/hotel/fr/gite-le-coq-rouge.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AumTyJ0GwAIB0gIkZmI3NDc5MjMtMDE1OC00OGQ4LTk2ZjktYTdiZjJlNTEzZmM22AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=class&srpvid=661c9e7ad28d0239&srepoch=1672612358&from=searchresults#hotelTmpl,"9,8",31 expériences vécues,Eguisheim,"41 Rue du Rempart Sud, 68420 Eguisheim, France","7.27877259802539,48.0237436952399,7.33261299337661,48.0596745283861","Doté d'un jardin, d'un barbecue et d'une terrasse, le GITE LE COQ ROUGE propose un hébergement avec une connexion Wi-Fi gratuite et une vue sur la ville à Eguisheim. Il se trouve à 8,2 km de la collégiale Saint-Martin et à 11 km de Colmar Expo.
Cette maison de vacances comprend 2 chambres, une salle de bains, du linge de lit, des serviettes, une télévision par satellite à écran plat, un coin repas, une cuisine entièrement équipée et une terrasse avec vue sur le jardin.
Vous pourrez faire du vélo dans les environs.
Vous séjournerez à 6,1 km de la gare de Colmar et à 7,7 km de la Maison des Têtes. L'aéroport de Bâle, le plus proche, est implanté à 56 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 10 pour un séjour à deux.
L'établissement GITE LE COQ ROUGE accueille des clients Booking.com depuis le 5 juin 2019.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
ZEN,https://www.booking.com/hotel/fr/zen-eguisheim.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AumTyJ0GwAIB0gIkZmI3NDc5MjMtMDE1OC00OGQ4LTk2ZjktYTdiZjJlNTEzZmM22AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=class&srpvid=661c9e7ad28d0239&srepoch=1672612358&from=searchresults#hotelTmpl,10,1 expérience vécue,Eguisheim,"32 rue rempart sud, 68420 Eguisheim, France","7.27750478072781,48.0247417834269,7.33134621927219,48.0606726165731","Situé à Eguisheim, à 400 mètres du marché de Noël, le ZEN propose des hébergements avec connexion Wi-Fi gratuite.
L'aéroport de Bâle-Mulhouse-Fribourg, le plus proche, est implanté à 58 km.
L'établissement ZEN accueille des clients Booking.com depuis le 24 sept. 2019.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Appartement Le Ch'ti Alsacien,https://www.booking.com/hotel/fr/appartement-le-ch-ti-alsacien.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AumTyJ0GwAIB0gIkZmI3NDc5MjMtMDE1OC00OGQ4LTk2ZjktYTdiZjJlNTEzZmM22AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=class&srpvid=661c9e7ad28d0239&srepoch=1672612358&from=searchresults#hotelTmpl,"9,1",9 expériences vécues,Eguisheim,"9 Rue Monseigneur Stumpf, 68420 Eguisheim, France","7.27831814908494,48.0246109834269,7.33215945091506,48.0605418165731","Situé à Eguisheim, en Alsace, l'Appartement Le Ch'ti Alsacien est un établissement 3 étoiles doté d'une connexion Wi-Fi gratuite. Offrant une vue sur la ville, cet appartement 3 étoiles se trouve à 5,7 km de la gare de Colmar.
Cet appartement comprend 2 chambres, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi qu'une salle de bains pourvue d'une douche et d'un sèche-cheveux. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 6,5 km de la Maison des Têtes et à 7 km de la collégiale Saint-Martin. L'aéroport le plus proche, celui de Bâle-Mulhouse-Fribourg, est situé à 54 km.
L'établissement Appartement Le Ch'ti Alsacien accueille des clients Booking.com depuis le 27 nov. 2021."
Brit Hotel Confort La Ferme du Pape,https://www.booking.com/hotel/fr/hostellerie-du-pape.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AumTyJ0GwAIB0gIkZmI3NDc5MjMtMDE1OC00OGQ4LTk2ZjktYTdiZjJlNTEzZmM22AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=class&srpvid=661c9e7ad28d0239&srepoch=1672612358&from=searchresults#hotelTmpl,"7,7",1 621 expériences vécues,Eguisheim,"10 Grand Rue, 68420 Eguisheim, France","7.28253090071298,48.024323203539,7.33637190175436,48.0602540366852","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Brit Hotel Confort La Ferme du Pape ! Connectez-vous pour économiser.
Le Brit Hotel Confort La Ferme du Pape vous accueille à l'entrée d'un charmant village au cœur des vignobles, dans une région gastronomique, à 8 km de Colmar.
Les chambres à la décoration traditionnelle du Brit Hotel Confort La Ferme du Pape sont dotées d'installations modernes, telles qu'une connexion Wi-Fi gratuite.
Le Brit Hotel Confort La Ferme du Pape présente une terrasse ombragée, où vous pourrez savourer des spécialités locales accompagnées de vins de la région.
L'établissement comporte un ascenseur, un parking privé gratuit et des installations pour les personnes à mobilité réduite. Le parcours de golf et les courts de tennis se trouvent à 5 km. Vous rejoindrez la piscine de la ville à 6 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement Brit Hotel Confort La Ferme du Pape accueille des clients Booking.com depuis le 26 juin 2009.
Chaîne hôtelière/marque: Brit Hotel"
notre maison à Eguisheim,https://www.booking.com/hotel/fr/notre-maison-a-eguisheim.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AumTyJ0GwAIB0gIkZmI3NDc5MjMtMDE1OC00OGQ4LTk2ZjktYTdiZjJlNTEzZmM22AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=class&srpvid=661c9e7ad28d0239&srepoch=1672612358&from=searchresults#hotelTmpl,"9,0",92 expériences vécues,Eguisheim,"33 Rue du Rempart Sud, 68420 Eguisheim, France","7.27924085986661,48.0236335834269,7.33308114013339,48.0595644165731","Bénéficiant d'une terrasse et d'une réception ouverte 24h/24, l'établissement notre maison à Eguisheim est bien situé à Eguisheim, à 6 km de la gare de Colmar et à 6,9 km de la Maison des Têtes. Cette maison de vacances dispose d'un jardin, d'un barbecue, ainsi que d'une connexion Wi-Fi et d'un parking privé gratuits.
Dotée d'un lecteur Blu-ray, cette maison de vacances dispose d'une cuisine avec un réfrigérateur, un four et un lave-vaisselle, d'un salon avec des coins salon et repas, de 3 chambres ainsi que de 2 salles de bains avec une douche et une baignoire. Les serviettes et le linge de lit sont fournis.
Vous pourrez pratiquer le ski à proximité.
Vous séjournerez à 7,4 km de la collégiale Saint-Martin et à 10 km du parc des expositions Colmar Expo. L'aéroport le plus proche, celui de Bâle-Mulhouse-Fribourg, est situé à 54 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,8 pour un séjour à deux.
L'établissement notre maison à Eguisheim accueille des clients Booking.com depuis le 18 févr. 2018."
Hôtel L'Auberge Alsacienne,https://www.booking.com/hotel/fr/ha-tel-restaurant-l-auberge-alsacienne.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AumTyJ0GwAIB0gIkZmI3NDc5MjMtMDE1OC00OGQ4LTk2ZjktYTdiZjJlNTEzZmM22AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=class&srpvid=661c9e7ad28d0239&srepoch=1672612358&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,5",664 expériences vécues,Eguisheim,"12 Grand'Rue, 68420 Eguisheim, France","7.28224728335019,48.0242729917733,7.33608823191051,48.0602038249195","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel L'Auberge Alsacienne ! Connectez-vous pour économiser.
Situé dans le village d'Eguisheim, en Alsace, l'Hôtel L'Auberge Alsacienne propose des chambres modernes avec salle de bains privative et un restaurant traditionnel. La connexion Wi-Fi est gratuite dans l'ensemble de l'hôtel.
Les chambres insonorisées comprennent une télévision par satellite à écran plat. Un sèche-cheveux et des articles de toilette gratuits sont également fournis.
Un petit-déjeuner buffet vous sera servi tous les matins dans la salle à manger. Le restaurant de l'hôtel propose une cuisine typiquement alsacienne avec des menus à la carte.
Le centre d'Eguisheim se trouve à seulement 300 mètres et la gare SNCF de Colmar est à 6 km. La frontière allemande est très proche et Fribourg est accessible en 1 heure de route.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Hôtel L'Auberge Alsacienne accueille des clients Booking.com depuis le 29 févr. 2012."
La Légende des 2 Pierres,https://www.booking.com/hotel/fr/la-legende-des-2-pierres.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AumTyJ0GwAIB0gIkZmI3NDc5MjMtMDE1OC00OGQ4LTk2ZjktYTdiZjJlNTEzZmM22AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=class&srpvid=661c9e7ad28d0239&srepoch=1672612358&from=searchresults#hotelTmpl,"9,1",80 expériences vécues,Eguisheim,"93, rue Rempart Sud, 68420 Eguisheim, France","7.2775685186876,48.0250331135472,7.33141026173841,48.0609639466934","Vous pouvez bénéficier d'une réduction Genius dans l'établissement La Légende des 2 Pierres ! Connectez-vous pour économiser.
Situé dans le pittoresque village d'Eguisheim, l'appartement indépendant La Légende des 2 Pierres offre une vue sur la montagne. Un local à skis est à votre disposition.
Ce logement climatisé est doté d'un coin salon avec une télévision à écran plat, d'un lave-linge et d'une salle de bains munie d'une douche. La kitchenette est équipée d'un four, d'un four micro-ondes et d'un réfrigérateur.
Une connexion Wi-Fi est accessible gratuitement. Des épiceries et des restaurants vous attendent à quelques pas. Dans les environs, vous pourrez pratiquer la randonnée à pied et à vélo. Colmar se trouve à seulement 15 minutes en voiture.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,9 pour un séjour à deux.
L'établissement La Légende des 2 Pierres accueille des clients Booking.com depuis le 6 juin 2014."
