name,link,review_score,review_count,area,address,coordinates_gps,description
Hôtel Paradis,https://www.booking.com/hotel/fr/paradis.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yp0GwAIB0gIkMjM0NjAxMGItZjkxYi00YTllLWFkNjMtY2EyNTFiOTAyYzE52AIG4AIB&sid=9e14ebb4b05452fafd6ef8011e5810cf&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=2e334ee1904200da&srepoch=1672657988&from_beach_sr=1&from=searchresults#hotelTmpl,"8,0",701 expériences vécues,Bormes-les-Mimosas,"62 Impasse du Castellan, 83230 Bormes-les-Mimosas, France","6.31045690671268,43.1267205834269,6.35979309328744,43.1626514165731","L'hôtel Paradis occupe un bâtiment datant de 1920 et bénéficie d'un jardin luxuriant. Il offre une vue panoramique sur la mer et le vieux village de Bormes.
Plusieurs chambres possèdent un balcon donnant sur la mer, d'autres surplombent le village. Les chambres sont aussi équipées d'une connexion Wi-Fi gratuite et d'une télévision.
De plus, vous dégusterez un petit-déjeuner continental quotidien. En fonction du nombre de personnes, il peut être proposé sous forme de buffet. Le parking est accessible pour les vélos, les motos et les voitures.
Bormes les Mimosas est situé entre Saint Tropez et Hyères et offre des vues superbes sur l'île de Port Cros et Porquerolles.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,9 pour un séjour à deux.
L'établissement Hôtel Paradis accueille des clients Booking.com depuis le 4 juin 2008."
"T2 BORMES LES MIMOSAS, La Faviere à 5 mn à pieds de la plage",https://www.booking.com/hotel/fr/t2-bormes-les-mimosas-la-faviere-a-5-mn-a-pieds-de-la-plage.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yp0GwAIB0gIkMjM0NjAxMGItZjkxYi00YTllLWFkNjMtY2EyNTFiOTAyYzE52AIG4AIB&sid=9e14ebb4b05452fafd6ef8011e5810cf&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=2e334ee1904200da&srepoch=1672657988&from_beach_sr=1&from=searchresults#hotelTmpl,"8,6",5 expériences vécues,Bormes-les-Mimosas,"Résidence Les Jardins du Golfe. 420 BD de la plage, 83230 Bormes-les-Mimosas, France","6.33347302503694,43.1058472834269,6.38279237496306,43.1417781165731","Le T2 BORMES LES MIMOSAS, La Faviere à 5 mn à pieds de la plage est un hébergement en bord de mer situé à Bormes-les-Mimosas, à 700 mètres de la plage de la Pointe de Gouron et à 41 km de la gare de Toulon. Doté d'un parking privé gratuit, il se trouve à 400 mètres de la Faviere et à 700 mètres de la plage de l'Anglade.
Offrant une vue sur le jardin, cet appartement comprend une terrasse, une chambre, un salon, une télévision à écran plat, une kitchenette équipée d'un réfrigérateur et d'un four ainsi qu'une salle de bains pourvue d'une baignoire.
Vous séjournerez à 700 mètres de La Favière et à 42 km du Zénith de Toulon. L'aéroport le plus proche, celui de Toulon-Hyères, est situé à 23 km.
L'établissement T2 BORMES LES MIMOSAS, La Faviere à 5 mn à pieds de la plage accueille des clients Booking.com depuis le 1 août 2021."
Mer et soleil,https://www.booking.com/hotel/fr/mer-et-soleil-bormes-les-mimosas.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yp0GwAIB0gIkMjM0NjAxMGItZjkxYi00YTllLWFkNjMtY2EyNTFiOTAyYzE52AIG4AIB&sid=9e14ebb4b05452fafd6ef8011e5810cf&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=2e334ee1904200da&srepoch=1672657988&from_beach_sr=1&from=searchresults#hotelTmpl,"8,6",13 expériences vécues,Bormes-les-Mimosas,"163 Boulevard de la Plage appartement 36 1 étage immeuble les troènes, 83230 Bormes-les-Mimosas, France","6.33089375707205,43.107626057923,6.3802145410755,43.1435568910692","Offrant une vue sur le jardin, le Mer et soleil propose un hébergement avec une terrasse et un balcon, à environ 1,6 km de la plage de la Pointe de Gouron. Situé à moins de 1 km de Faviere, l'établissement possède un jardin et un parking privé gratuit.
Cet appartement climatisé comprend une chambre, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi qu'une salle de bains pourvue d'une baignoire et d'un sèche-cheveux. Il dispose également d'une télévision à écran plat.
Vous séjournerez à 1,6 km de la plage de l'Anglade et à 41 km de la gare de Toulon. L'aéroport de Toulon-Hyères, le plus proche, est implanté à 23 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement Mer et soleil accueille des clients Booking.com depuis le 7 déc. 2021."
Boulevard du Soleil,https://www.booking.com/hotel/fr/boulevard-du-soleil.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yp0GwAIB0gIkMjM0NjAxMGItZjkxYi00YTllLWFkNjMtY2EyNTFiOTAyYzE52AIG4AIB&sid=9e14ebb4b05452fafd6ef8011e5810cf&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=2e334ee1904200da&srepoch=1672657988&from_beach_sr=1&from=searchresults#hotelTmpl,"8,9",33 expériences vécues,Bormes-les-Mimosas,"714 Boulevard du soleil, 83230 Bormes-les-Mimosas, France","6.31730021804039,43.1312673966519,6.36664007452161,43.1671982297981","Situé à Bormes-les-Mimosas, à seulement 39 km de la gare de Toulon, le Boulevard du Soleil propose un hébergement avec vue sur la mer, connexion Wi-Fi et parking privé gratuits. Offrant une vue sur le jardin, il se trouve à 39 km du Zénith de Toulon et à 4,8 km de La Favière.
Cet appartement comprend une chambre, une salle de bains, du linge de lit, des serviettes, une télévision à écran plat, une cuisine entièrement équipée et un balcon avec vue sur la ville.
Vous séjournerez à 21 km du centre d'art Villa Noailles et à 14 km du parcours de golf de Valcros. L'aéroport de Toulon-Hyères, le plus proche, est implanté à 21 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement Boulevard du Soleil accueille des clients Booking.com depuis le 23 déc. 2018."
La petite Provence,https://www.booking.com/hotel/fr/lovely-place-for-2.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yp0GwAIB0gIkMjM0NjAxMGItZjkxYi00YTllLWFkNjMtY2EyNTFiOTAyYzE52AIG4AIB&sid=9e14ebb4b05452fafd6ef8011e5810cf&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=2e334ee1904200da&srepoch=1672657988&from_beach_sr=1&from=searchresults#hotelTmpl,"8,7",17 expériences vécues,Bormes-les-Mimosas,"2 Rue des Marchands, 83230 Bormes-les-Mimosas, France","6.3172360159053,43.1333055743944,6.36657751775565,43.1692364075406","Dotée d'une connexion Wi-Fi gratuite et offrant une vue sur le jardin, La petite Provence est un hébergement situé à Bormes-les-Mimosas. Cet appartement se trouve à 39 km de la gare de Toulon et à 40 km du Zénith de Toulon.
Offrant une vue sur la ville, cet appartement dispose d'une télévision par câble à écran plat ainsi que d'une cuisine bien équipée avec un réfrigérateur, un four et des plaques de cuisson. Sa salle de bains est pourvue d'une douche et d'articles de toilette gratuits.
Vous séjournerez à 5 km de La Favière et à 22 km du centre d'art Villa Noailles. L'aéroport de Toulon-Hyères, le plus proche, est implanté à 21 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement La petite Provence accueille des clients Booking.com depuis le 12 juin 2021."
FACE MER ENTRE PLAGE ET MARINA,https://www.booking.com/hotel/fr/face-mer-entre-plage-et-marina.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yp0GwAIB0gIkMjM0NjAxMGItZjkxYi00YTllLWFkNjMtY2EyNTFiOTAyYzE52AIG4AIB&sid=9e14ebb4b05452fafd6ef8011e5810cf&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=2e334ee1904200da&srepoch=1672657988&from_beach_sr=1&from=searchresults#hotelTmpl,"8,6",5 expériences vécues,Bormes-les-Mimosas,"Boulevard du port, résidence l'esquilette, entrée le courlis, 83230 Bormes-les-Mimosas, France","6.33803170034822,43.1041551375911,6.38734968615998,43.1400859707373","Situé à Bormes-les-Mimosas, le FACE MER ENTRE PLAGE ET MARINA propose un hébergement climatisé avec une piscine privée, une vue sur la mer et un balcon. Situé à 60 mètres de Faviere, il propose une piscine extérieure ouverte en saison et un parking privé gratuit.
Cet appartement dispose d'une télévision à écran plat. La kitchenette est équipée d'un réfrigérateur, d'un four, d'un micro-ondes, d'une machine à café et d'une bouilloire.
Vous séjournerez à proximité des plages de la Pointe de Gouron, de l'Anglade et de La Favière. L'aéroport le plus proche, celui de Toulon-Hyères, est situé à 24 km.
L'établissement FACE MER ENTRE PLAGE ET MARINA accueille des clients Booking.com depuis le 26 mars 2021."
Studio clim wifi centre historique de Bormes les Mimosas,https://www.booking.com/hotel/fr/studio-centre-historique-de-bormes-les-mimosas.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yp0GwAIB0gIkMjM0NjAxMGItZjkxYi00YTllLWFkNjMtY2EyNTFiOTAyYzE52AIG4AIB&sid=9e14ebb4b05452fafd6ef8011e5810cf&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=2e334ee1904200da&srepoch=1672657988&from_beach_sr=1&from=searchresults#hotelTmpl,"8,5",72 expériences vécues,Bormes-les-Mimosas,"83230 Bormes-les-Mimosas, France","6.31795564432637,43.1323951580034,6.36729641119941,43.1683259911496","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Studio clim wifi centre historique de Bormes les Mimosas ! Connectez-vous pour économiser.
Situé à Bormes-les-Mimosas, à 39 km de la gare de Toulon et du Zénith de Toulon, le Studio clim centre historique de Bormes les Mimosas propose une connexion Wi-Fi gratuite et la climatisation. Cet appartement se trouve à 14 km du parcours de golf de Valcros et à 31 km de l'université du Sud, Toulon-Var.
Cet appartement comprend une chambre, une salle de bains, du linge de lit, des serviettes, une télévision à écran plat, un coin repas, une cuisine entièrement équipée et une terrasse avec vue sur la ville.
La région est prisée pour pratiquer la randonnée.
Vous séjournerez à 4,7 km de La Favière et à 21 km du centre d'art Villa Noailles. L'aéroport le plus proche, celui de Toulon-Hyères, est situé à 21 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement Studio clim wifi centre historique de Bormes les Mimosas accueille des clients Booking.com depuis le 4 mars 2019."
Les deux mas,https://www.booking.com/hotel/fr/lou-mazet-bormes-les-mimosas.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yp0GwAIB0gIkMjM0NjAxMGItZjkxYi00YTllLWFkNjMtY2EyNTFiOTAyYzE52AIG4AIB&sid=9e14ebb4b05452fafd6ef8011e5810cf&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=2e334ee1904200da&srepoch=1672657988&from_beach_sr=1&from=searchresults#hotelTmpl,"9,4",61 expériences vécues,Bormes-les-Mimosas,"les deux mas 59 Rue des Hortensias, 83230 Bormes-les-Mimosas, France","6.31165544958405,43.1259711763009,6.36099103136595,43.1619020094471","Situé à Bormes-les-Mimosas, à 37 km de la gare de Toulon et à 38 km du Zénith de Toulon, l'établissement Les deux mas propose des hébergements avec une connexion Wi-Fi gratuite, la climatisation et l'accès à un jardin avec une piscine extérieure.
Offrant une vue sur le jardin, tous les logements disposent d'une télévision à écran plat, de lecteurs Blu-ray et DVD, d'un lave-linge et d'une salle de bains privative avec douche. La cuisine est équipée d'un lave-vaisselle, d'un micro-ondes, d'un réfrigérateur et d'une bouilloire.
Un barbecue et une terrasse sont à votre disposition sur place.
Vous séjournerez à 4,2 km de La Favière et à 20 km du centre d'art Villa Noailles. L'aéroport de Toulon-Hyères, le plus proche, est à 22 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,8 pour un séjour à deux.
L'établissement Les deux mas accueille des clients Booking.com depuis le 9 sept. 2020.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
L'Amirauté,https://www.booking.com/hotel/fr/studio-alize.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yp0GwAIB0gIkMjM0NjAxMGItZjkxYi00YTllLWFkNjMtY2EyNTFiOTAyYzE52AIG4AIB&sid=9e14ebb4b05452fafd6ef8011e5810cf&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=2e334ee1904200da&srepoch=1672657988&from_beach_sr=1&from=searchresults#hotelTmpl,"8,4",23 expériences vécues,Bormes-les-Mimosas,"539 Avenue de la Mer, 83230 Bormes-les-Mimosas, France","6.33338950097405,43.1048330942046,6.3827080333027,43.1407639273508","L'Amirauté est situé à Bormes-les-Mimosas, à moins de 1 km de la plage de l'Anglade, à 10 minutes à pied de la plage de la Pointe de Gouron et à 41 km de la gare de Toulon. Situé à 300 mètres de Faviere, l'établissement possède un jardin et un parking privé gratuit.
Offrant une vue sur le jardin, cet appartement comprend un balcon, une chambre, un salon, une télévision à écran plat, une kitchenette équipée d'un lave-vaisselle et d'un micro-ondes, ainsi qu'une salle de bains pourvue d'une baignoire ou d'une douche.
Vous pourrez profiter d'une terrasse sur place et pratiquer la plongée avec tuba et la pêche à proximité.
Vous séjournerez à moins de 1 km de La Favière et à 42 km du Zénith de Toulon. L'aéroport de Toulon-Hyères, le plus proche, est à 24 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement L'Amirauté accueille des clients Booking.com depuis le 25 janv. 2017."
Hotel La Voile,https://www.booking.com/hotel/fr/hotel-la-voile-fr.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yp0GwAIB0gIkMjM0NjAxMGItZjkxYi00YTllLWFkNjMtY2EyNTFiOTAyYzE52AIG4AIB&sid=9e14ebb4b05452fafd6ef8011e5810cf&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=2e334ee1904200da&srepoch=1672657988&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,6",941 expériences vécues,Bormes-les-Mimosas,"165 Avenue Des Girelles - La Favière, 83230 Bormes-les-Mimosas, France","6.33263964890525,43.1075245834269,6.38196035109477,43.1434554165731","L'Hotel La Voile est idéalement situé à seulement 400 mètres des plages et du port de Bormes, dans un environnement calme et paisible à proximité du village de La Favière. Il possède une piscine extérieure chauffée et un bar-salon.
Plusieurs chambres de l'hôtel offrent une vue sur la mer ou le jardin. Vous aurez le choix entre des chambres simples ou doubles, certaines pouvant accueillir jusqu'à 4 personnes.
Chaque matin, un petit-déjeuner buffet est servi dans le coin repas moyennant un supplément. L'hôtel peut également vous recommander des restaurants dans les environs.
Vous séjournerez à proximité du charmant village médiéval de Bormes-Les-Mimosas et à moins de 100 mètres des boutiques et des restaurants locaux. Dans les environs, vous aurez l'occasion de pratiquer de nombreux sports nautiques et activités de plein air. Un parking privé est disponible sur demande et moyennant un supplément.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,4 pour un séjour à deux.
L'établissement Hotel La Voile accueille des clients Booking.com depuis le 6 janv. 2010."
