name,link,review_score,review_count,area,address,coordinates_gps,description
DORMIR A MONTAUBAN Logements Carreyrat Calme et Verdoyant,https://www.booking.com/hotel/fr/studio-carreyrat-cadre-calme-et-verdoyant.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApzTy50GwAIB0gIkOGRhMjM0MzYtZGVkMi00N2ExLWE2MjAtZGRiMGZkNWE3N2Nk2AIG4AIB&sid=9eb87e15f42d11ff3c275e5ad3e70dda&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7bd765944904007d&srepoch=1672669609&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,9",269 expériences vécues,Montauban,"2980 Chemin de Fayence, 82000 Montauban, France","1.36457304290283,43.9630214462362,1.41459890049979,43.9989522793824","Vous pouvez bénéficier d'une réduction Genius dans l'établissement DORMIR A MONTAUBAN Logements Carreyrat Calme et Verdoyant ! Connectez-vous pour économiser.
Situé à Montauban, le DORMIR A MONTAUBAN Logements Carreyrat Calme et Verdoyant propose des hébergements avec une connexion Wi-Fi gratuite et un jardin avec une terrasse et une vue sur le jardin.
L'appartement comprend un coin salon avec une télévision à écran plat ainsi qu'une salle de bains privative avec des articles de toilette gratuits, un sèche-cheveux et une douche. La cuisine est équipée d'un réfrigérateur, d'un micro-ondes, de plaques de cuisson et d'une machine à café.
Une aire de jeux pour enfants est disponible sur place.
L'aéroport de Toulouse-Blagnac, le plus proche, est implanté à 54 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement DORMIR A MONTAUBAN Logements Carreyrat Calme et Verdoyant accueille des clients Booking.com depuis le 17 août 2017."
Le Central,https://www.booking.com/hotel/fr/le-central-montauban.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApzTy50GwAIB0gIkOGRhMjM0MzYtZGVkMi00N2ExLWE2MjAtZGRiMGZkNWE3N2Nk2AIG4AIB&sid=9eb87e15f42d11ff3c275e5ad3e70dda&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=7bd765944904007d&srepoch=1672669609&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,3",59 expériences vécues,Montauban,"13bis Rue Pasteur, 82000 Montauban, France","1.33652696328093,44.0013106348369,1.38658511529307,44.0372414679831","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Central ! Connectez-vous pour économiser.
Le Central est situé à Montauban. Cet appartement dispose d'une réception ouverte 24h/24 et d'une connexion Wi-Fi gratuite.
Cet appartement comprend 2 chambres, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi qu'une salle de bains pourvue d'une baignoire et d'un sèche-cheveux. Les serviettes et le linge de lit sont fournis.
L'aéroport de Toulouse-Blagnac, le plus proche, est implanté à 53 km.
L'établissement Le Central accueille des clients Booking.com depuis le 5 avr. 2021."
Vanille Bourbon,https://www.booking.com/hotel/fr/vanille-bourbon.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApzTy50GwAIB0gIkOGRhMjM0MzYtZGVkMi00N2ExLWE2MjAtZGRiMGZkNWE3N2Nk2AIG4AIB&sid=9eb87e15f42d11ff3c275e5ad3e70dda&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=7bd765944904007d&srepoch=1672669609&from=searchresults#hotelTmpl,"9,2",275 expériences vécues,Montauban,"24 Avenue Chamier, 82000 Montauban, France","1.3195644716266,43.9952745834269,1.3696175283734,44.0312054165731","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Vanille Bourbon ! Connectez-vous pour économiser.
Situé à Montauban, à 50 km de l'amphithéâtre Purpan-Ancely, le Vanille Bourbon propose des hébergements avec connexion Wi-Fi gratuite, climatisation et accès à un jardin avec terrasse.
Les chambres comprennent un coin salon avec une télévision à écran plat ainsi qu'une salle de bains privative pourvue d'articles de toilette gratuits, d'un sèche-cheveux et d'une douche. Pour plus de commodité, l'établissement peut fournir des serviettes et du linge de lit moyennant des frais supplémentaires.
Le Vanille Bourbon sert un petit-déjeuner continental ou à la carte.
L'aéroport de Toulouse-Blagnac, le plus proche, est implanté à 50 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,5 pour un séjour à deux.
L'établissement Vanille Bourbon accueille des clients Booking.com depuis le 21 mai 2018.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Brit Hotel Confort Montauban,https://www.booking.com/hotel/fr/deltour-montauban-city.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApzTy50GwAIB0gIkOGRhMjM0MzYtZGVkMi00N2ExLWE2MjAtZGRiMGZkNWE3N2Nk2AIG4AIB&sid=9eb87e15f42d11ff3c275e5ad3e70dda&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=7bd765944904007d&srepoch=1672669609&from=searchresults#hotelTmpl,"7,6",866 expériences vécues,Montauban,"Za Albasud- 16 Impasse JacquesDaguerre , 82000 Montauban, France","1.30538159220804,43.9628454263788,1.35540730149161,43.998776259525","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Brit Hotel Confort Montauban ! Connectez-vous pour économiser.
Le Brit Hotel Confort Montauban est situé au sud de la ville de Montauban, à 300 mètres de la sortie 66 de l'autoroute A20. Il propose des chambres climatisées avec télévision par câble à écran LCD et connexion Wi-Fi gratuite.
Le Brit Hotel Confort Montauban sert un petit-déjeuner buffet continental et des produits locaux.
Le Brit Hotel Confort Montauban se trouve à 6 km de la gare de Montauban et à 7 km de la cathédrale. Un parking privé est disponible gratuitement.
L'établissement Brit Hotel Confort Montauban accueille des clients Booking.com depuis le 21 mai 2010.
Chaîne hôtelière/marque: Brit Hotel"
room five MONTAUBAN,https://www.booking.com/hotel/fr/room-five-montauban.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApzTy50GwAIB0gIkOGRhMjM0MzYtZGVkMi00N2ExLWE2MjAtZGRiMGZkNWE3N2Nk2AIG4AIB&sid=9eb87e15f42d11ff3c275e5ad3e70dda&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=7bd765944904007d&srepoch=1672669609&from=searchresults#hotelTmpl,"9,6",46 expériences vécues,Montauban,"Place nationale 5, 82000 Montauban, France","1.32883077261212,43.9999000510734,1.37888773375312,44.0358308842196","Vous pouvez bénéficier d'une réduction Genius dans l'établissement room five MONTAUBAN ! Connectez-vous pour économiser.
Situé à Montauban, en Midi-Pyrénées, le room five MONTAUBAN est un établissement 4 étoiles doté d'une connexion Wi-Fi gratuite. Installé dans un bâtiment datant de 2021, l'appartement se trouve dans une région où vous pourrez pratiquer des activités telles que la randonnée et la pêche.
Doté d'un lecteur Blu-ray, l'appartement dispose d'une cuisine avec un réfrigérateur, un four et un lave-vaisselle, d'un salon avec des coins salon et repas, d'une chambre ainsi que d'une salle de bains avec une douche et un jacuzzi. Il dispose également d'une télévision à écran plat ainsi que de lecteurs CD et DVD et iPad.
Cet appartement 4 étoiles possède un jacuzzi.
L'aéroport de Toulouse-Blagnac, le plus proche, est implanté à 51 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 10 pour un séjour à deux.
L'établissement room five MONTAUBAN accueille des clients Booking.com depuis le 11 janv. 2021."
Château de Loubéjac,https://www.booking.com/hotel/fr/chateau-de-loubejac.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApzTy50GwAIB0gIkOGRhMjM0MzYtZGVkMi00N2ExLWE2MjAtZGRiMGZkNWE3N2Nk2AIG4AIB&sid=9eb87e15f42d11ff3c275e5ad3e70dda&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=7bd765944904007d&srepoch=1672669609&from=searchresults#hotelTmpl,"8,7",247 expériences vécues,Montauban,"14 chemin Jambau, 82130 Montauban, France","1.32346014391638,44.0714759925408,1.37357764228532,44.107406825687","La Château de Loubéjac est un château du XVe siècle, situé à 3 km de L'Honor-de-Cos et à 8 km de Montauban et qui dispose d'une piscine extérieure en saison, d'un court de tennis et d'une connexion Wi-Fi gratuite dans les parties communes.
Le petit-déjeuner est composé de confitures et de tartes faites maison, de fromage et de jambon. Une table d'hôtes est disponible sur demande et sur réservation. Vous pourrez déguster une cuisine française traditionnelle et des spécialités régionales.
Toutes décorées différemment, les chambres comprennent une salle de bains de privative avec des articles de toilette gratuits et un sèche-cheveux. Certaines chambres offrent une vue sur la piscine.
Vous trouverez un parcours de golf à 3 km du Château de Loubéjac et vous pourrez faire du canoë dans les Gorges de l'Aveyron à 40 km. Toulouse se trouve à 45 km du château et de l'aéroport de Blagnac est à 35 km. Un parking privé est disponible sur place.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement Château de Loubéjac accueille des clients Booking.com depuis le 20 juin 2013."
Castel Bois Marie,https://www.booking.com/hotel/fr/castel-bois-marie.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApzTy50GwAIB0gIkOGRhMjM0MzYtZGVkMi00N2ExLWE2MjAtZGRiMGZkNWE3N2Nk2AIG4AIB&sid=9eb87e15f42d11ff3c275e5ad3e70dda&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=7bd765944904007d&srepoch=1672669609&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,3",586 expériences vécues,Montauban,"1083 Chemin de Bégué, 82000 Montauban, France","1.28412983492342,43.9612085834269,1.33415416507658,43.9971394165731","Profitez des services haut de gamme de l'établissement Castel Bois Marie
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Castel Bois Marie ! Connectez-vous pour économiser.
Situé à Montauban, à 50 km de l'amphithéâtre Purpan-Ancely, le Castel Bois Marie propose un hébergement avec une piscine extérieure ouverte en saison, un parking privé gratuit, un jardin et un salon commun. Cette maison d'hôtes 5 étoiles dispose d'une connexion Wi-Fi gratuite, d'une terrasse et d'un restaurant. Vous pourrez prendre un verre au bar.
Toutes les chambres comprennent une salle de bains privative.
Un petit-déjeuner buffet, à la carte et continental est servi tous les matins.
L'aéroport de Toulouse-Blagnac, le plus proche, est implanté à 50 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,9 pour un séjour à deux.
L'établissement Castel Bois Marie accueille des clients Booking.com depuis le 28 mars 2018.
Chaîne hôtelière/marque: les Collectionneurs"
Cosy Red 4 Pers - Neuf et au Calme - Fibre-Netflix,https://www.booking.com/hotel/fr/cosy-red.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApzTy50GwAIB0gIkOGRhMjM0MzYtZGVkMi00N2ExLWE2MjAtZGRiMGZkNWE3N2Nk2AIG4AIB&sid=9eb87e15f42d11ff3c275e5ad3e70dda&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=7bd765944904007d&srepoch=1672669609&from=searchresults#hotelTmpl,"9,1",20 expériences vécues,Montauban,"1er Etage Droit 30 Faubourg Lacapelle, 82000 Montauban, France","1.33594579102354,43.9954655834269,1.38599900897646,44.0313964165731","Le Cosy Red 4 Pers - Neuf et au Calme - Fibre-Netflix est situé à Montauban.
Cet appartement comprend une chambre, un salon, une télévision à écran plat, une cuisine équipée avec un coin repas ainsi qu'une salle de bains pourvue d'une douche et d'un lave-linge. Les serviettes et le linge de lit sont fournis.
L'aéroport de Toulouse-Blagnac, le plus proche, est implanté à 53 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,9 pour un séjour à deux.
L'établissement Cosy Red 4 Pers - Neuf et au Calme - Fibre-Netflix accueille des clients Booking.com depuis le 16 févr. 2021.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
To Be Discovered L'HYPERCENTRE,https://www.booking.com/hotel/fr/montauban-overnight.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApzTy50GwAIB0gIkOGRhMjM0MzYtZGVkMi00N2ExLWE2MjAtZGRiMGZkNWE3N2Nk2AIG4AIB&sid=9eb87e15f42d11ff3c275e5ad3e70dda&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=7bd765944904007d&srepoch=1672669609&from=searchresults#hotelTmpl,"8,8",33 expériences vécues,Montauban,"7 Rue Jules Michelet, 82000 Montauban, France","1.32965893586882,43.9991161370001,1.37971523523586,44.0350469701463","Vous pouvez bénéficier d'une réduction Genius dans l'établissement To Be Discovered L'HYPERCENTRE ! Connectez-vous pour économiser.
Le To Be Discovered L'HYPERCENTRE est situé à Montauban. Vous bénéficierez d'une connexion Wi-Fi gratuite dans l'ensemble des locaux.
Cet appartement comprend une chambre, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi qu'une salle de bains pourvue d'une douche et d'articles de toilette gratuits. Les serviettes et le linge de lit sont fournis.
L'aéroport de Toulouse-Blagnac, le plus proche, est implanté à 51 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement To Be Discovered L'HYPERCENTRE accueille des clients Booking.com depuis le 19 juin 2019."
Manoir de la Gravette Maison d'Hôtes,https://www.booking.com/hotel/fr/le-manoir-de-la-gravette.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApzTy50GwAIB0gIkOGRhMjM0MzYtZGVkMi00N2ExLWE2MjAtZGRiMGZkNWE3N2Nk2AIG4AIB&sid=9eb87e15f42d11ff3c275e5ad3e70dda&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=7bd765944904007d&srepoch=1672669609&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,6",261 expériences vécues,Montauban,"Manoir de la Gravette 1643 Route de l'Aveyron, 82000 Montauban, France","1.31884187226784,44.0310779501129,1.36892517533961,44.0670087832591","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Manoir de la Gravette Maison d'Hôtes ! Connectez-vous pour économiser.
Situé à Montauban, Le Manoir de la Gravette Maison d'Hôtes dispose d'une piscine extérieure ouverte en saison, d'un bar et d'un salon commun. Il possède également un parc d’un hectare et une terrasse. Dotées de la climatisation, les chambres comportent une connexion Wi-Fi gratuite et un dressing.
Tous les logements de cette maison d’hôtes sont pourvus d’un coin salon. Ils comprennent un bureau, une télévision à écran plat et une salle de bains privative.
Cet établissement sert un petit-déjeuner continental ou à la carte.
La région est prisée des amateurs de vélo.
Vous séjournerez à 33 km de Moissac, à 41 km de Saint-Sauveur et à 70 km d’Albi. Enfin, l'aéroport de Toulouse-Blagnac, le plus proche, se trouve à 57 km du Manoir de la Gravette Maison d'Hôtes.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.
L'établissement Manoir de la Gravette Maison d'Hôtes accueille des clients Booking.com depuis le 16 juin 2019."
